ueid_base,recordedname,latinname
B057_1986_110,ash,Fraxinus sp.
B057_1986_10,Phragmites,Phragmites australis
B057_1986_11,Phragmites,Phragmites australis
B057_1986_110,Queen Anne's lace,Daucus carota
B057_1986_114,butter and eggs,Linaria vulgaris
B057_1986_101,Phragmites,Phragmites australis
B057_1986_113,shepherd's purse,Capsella bursa-pastoris
B057_1986_104,Bayberry,Morella pensylvanica
B057_1986_118,Phragmites,Phragmites australis
B057_1986_11,wild asparagus,Asparagus officinalis
B057_1986_110,Switchgrass,Panicum virgatum
B057_1986_113,mugwort,Artemisia vulgaris
B057_1986_107,cool season grasses,
B057_1986_11,bayberry,Morella pensylvanica
B057_1986_113,Phragmites,Phragmites australis
B057_1986_11,goldenrod,Solidago sp.
B057_1986_105,avens,Geum sp.
B057_1986_100,Mugwort,Artemisia vulgaris
B057_1986_102,Phragmites,Phragmites australis
B057_1986_104,Black locust,Robinia pseudoacacia
B057_1986_107,bindweed,Calystegia
B057_1986_103,poor man's pepper,Lepidium virginicum ssp. virginicum
B057_1986_105,aster,
B057_1986_102,clover,Trifolium sp.
B057_1986_110,pokeweed,Phytolacca americana var. americana
B057_1986_117,Cool season grass,
B057_1986_111,Phragmites,Phragmites australis
B057_1986_115,chicory,Cichorium intybus
B057_1986_102,CSG,
B057_1986_103,Seaside goldenrod,Solidago sempervirens
B057_1986_101,toad flax,Nuttallanthus canadensis
B057_1986_109,goldenrod,Solidago sp.
B057_1986_1,dandelion,Taraxacum officinale
B057_1986_111,switchgrass,Panicum virgatum
B057_1986_117,Mugwort,Artemisia vulgaris
B057_1986_107,curly dock,Rumex crispus
B057_1986_110,seaside goldenrod,Solidago sempervirens
B057_1986_113,black cherry,Prunus serotina
B057_1986_10,Marsh elder,Iva frutescens
B057_1986_117,Switch grass,Panicum virgatum
B057_1986_113,smartweed,Polygonum sp.
B057_1986_113,pokeweed,Phytolacca americana var. americana
B057_1986_104,common evening primrose,Oenothera biennis
B057_1986_107,smartweed,Polygonum sp.
B057_1986_116,Mugwort,Artemisia vulgaris
B057_1986_108,Mugwort,Artemisia vulgaris
B057_1986_102,big toothed aspen,Populus grandidentata
B057_1986_102,yarrow,Achillea millefolium
B057_1986_107,Black locust,Robinia pseudoacacia
B057_1986_106,Switchgrass,Panicum virgatum
B057_1986_11,CSG,
B057_1986_118,salt meadow cordgrass,Spartina patens
