to_street,sign_descr,side_of_st
BROADWAY,TAXI (SYMBOL) TAXI/FHV Relief STAND 1 HOUR LIMIT 8AM-7PM EXCEPT SUNDAY -->,S
1 AVENUE,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT 7AM-7PM ALL DAYS -->,N
AVENUE OF AMERICAS,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,W
EAST 157 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,W
16 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT MONDAY-FRIDAY 8AM-6PM -->,E
SKILLMAN AVENUE,FHV (SYMBOL) FHV RELIEF STAND 1 HOUR LIMIT 10AM-6PM ALL DAYS -->,W
WHITE STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,W
UNION SQUARE EAST,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,N
8 AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,N
BROADWAY,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT MONDAY-FRIDAY 6PM-2AM SATURDAY & SUNDAY ALL DAY --> (SUPERSEDES SP-375BA),N
7 AVENUE,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,S
1 AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT 5AM-MIDNIGHT ALL DAYS -->,N
WEST 54 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,W
28 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,N
36 AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT 10AM-6PM EXCEPT SATURDAY -->,E
WEST 39 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,W
COOPER SQUARE,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,S
43 AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,E
SKILLMAN AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,W
WYTHE AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,N
FORT WASHINGTON AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,S
EAST 28 STREET,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT 7AM-7PM ALL DAYS -->,E
WEST 45 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,E
THIRD AVENUE,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,S
MADISON AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,S
23 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,S
37 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,N
51 STREET,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT,S
9 AVENUE,TAXI/FHV RELIEF STAND 1 HOUR LIMIT NO PARKING ANYTIME EXCEPT TAXIS/FHV'S <----->,S
72 STREET,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,N
RED OAK DRIVE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,N
10 AVENUE,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,S
WEST 43 STREET,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,E
B 91 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,S
BROADWAY,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,N
EAST 1 STREET,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT 7AM-7PM ALL DAYS -->,N
QUEENS PLAZA SOUTH,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,E
WEST 41 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,E
BEDFORD PARK BOULEVARD,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,E
8 AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,S
9 AVENUE,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,S
WHITE PLAINS ROAD,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,S
EAST HOUSTON STREET,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT MONDAY-FRIDAY 8AM-6PM <->,W
3 AVENUE,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,N
43 AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,E
WEST 126 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,S
10 AVENUE,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,N
CHRYSTIE STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,N
RUTGERS STREET,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT <->,N
11 STREET,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT <->,N
11 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,S
WEST 126 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,N
EAST TREMONT AVENUE,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,S
UNION SQUARE WEST,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,N
EAST 138 STREET,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,W
38 AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT 10:30AM-7PM ALL DAYS -->,W
