the_geom,shape_stle
"{'type': 'MultiLineString', 'coordinates': [[[-73.94087863186571, 40.75817888570499], [-73.9408797568153, 40.7581789853379], [-73.94088088174885, 40.758179102980876], [-73.94088200665048, 40.758179256644034], [-73.94088311968567, 40.75817943731625], [-73.94088422084636, 40.75817965400255], [-73.94088532199108, 40.75817988869895], [-73.9408863994188, 40.758180159403366], [-73.9408874768226, 40.758180457122855], [-73.94088853051743, 40.75818078184538], [-73.9408895723458, 40.75818113357696], [-73.94094379399942, 40.75820033313997], [-73.94095892396196, 40.75820570790569], [-73.94099844183903, 40.75821973100675], [-73.94105308971052, 40.75823912884751], [-73.94110773761383, 40.75825852666234], [-73.94111117323506, 40.75825974590153], [-73.94116238555688, 40.75827791544616], [-73.94122382896957, 40.75829976605019], [-73.94128528426504, 40.75832161662742], [-73.9413467396088, 40.758343458166756], [-73.94140819498492, 40.758365308678265], [-73.94146963856676, 40.758387150145865], [-73.94148067236978, 40.75839107294848], [-73.9415169797407, 40.75840398841999]]]}",194.99948833
"{'type': 'MultiLineString', 'coordinates': [[[-73.94687501851288, 40.77592046391203], [-73.94661307412615, 40.77580980254007]]]}",82.9996619748
"{'type': 'MultiLineString', 'coordinates': [[[-73.99194904673433, 40.74507599173158], [-73.99211291360537, 40.74514555189574]]]}",52.0000772443
"{'type': 'MultiLineString', 'coordinates': [[[-73.9384748633304, 40.85089549803864], [-73.93885708076593, 40.85100486696644]]]}",113.000398721
"{'type': 'MultiLineString', 'coordinates': [[[-73.94930930905913, 40.6450463660002], [-73.94911164861557, 40.64505740010464]]]}",54.9997361268
"{'type': 'MultiLineString', 'coordinates': [[[-73.9838202309161, 40.72934925889408], [-73.98358332790947, 40.72924977139192]]]}",75.0000641761
"{'type': 'MultiLineString', 'coordinates': [[[-73.95023044744707, 40.779711502207384], [-73.9500190077035, 40.7796221421143]]]}",67.0000463589
"{'type': 'MultiLineString', 'coordinates': [[[-73.85675783455393, 40.840321440067804], [-73.85691092874025, 40.84027976340634]]]}",44.9999758426
"{'type': 'MultiLineString', 'coordinates': [[[-73.93837978980952, 40.75190240334645], [-73.93853880809735, 40.75198810660771]]]}",54.00099137
"{'type': 'MultiLineString', 'coordinates': [[[-73.92940546919174, 40.81246685163362], [-73.92941337349183, 40.81246341387065], [-73.92943854724217, 40.81245247022364], [-73.92948207658186, 40.81243355038533], [-73.92953294528527, 40.8124118884987], [-73.92958381395555, 40.812390226589564], [-73.92963469444483, 40.81236856466508], [-73.92964648315802, 40.81236354438086], [-73.9296855630489, 40.812346902710885], [-73.92968982699912, 40.812345086306024], [-73.92973644348146, 40.81232523173642], [-73.92979612171358, 40.81230019823559], [-73.92985579990076, 40.812275164703806], [-73.92991547804311, 40.812250131140964], [-73.92996683820489, 40.81222858642586]]]}",177.99998018
