prop_location,ampsdistrict,boro,No with propnum,Yes with propnum
"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge",10,B,,B082
"Decatur St., Macdonough St. bet. Lewis Ave. and Marcus Garvey Blvd.",3,B,B215,
"Belt Pkwy., Williams Court  bet. E. 12 St. and Homecrest Ave",15,B,B166B,
Linden Blvd Bet. Essex St & Shepherd Av,5,B,BZ484,
"Terrace Pl., Seeley St. bet. Propsect Ave. and 18 St.",7,B,B081,
10 St. bet. 2 Ave. and 3 Ave.,6,B,B120,
Belt Pkwy. bet. Verrazano Bridge and Cross Bay Blvd.,15,B,B166,
"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge",10,B,B082,
"Ave P, Stillwell Ave, and Bay Pkwy",11,B,B100-02,
"Ft Hamilton Pkwy., Prospect Ave., Greenwood Ave.",7,B,,B130
"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge",10,B,B082,
"Middleton St., Harrison Ave., Union Ave.",1,B,B194,
"Corbin Pl. to W. 37 St., Boardwalk",13,B,,B169
"Neptune Ave., Bayview Ave.,W. 24 St. to W. 32 St.",13,B,B129,
"41 St., 44 St., bet. 5 Ave. and 7 Ave.",7,B,,B087
Schermerhorn St. bet. Nevins St. and 3 Ave.,2,B,,B137
Eastern Parkway & Ralph Ave (1),16,B,BZ505,
Vermont St. bet. Linden Blvd. and Stanley Ave.,5,B,B214,
"Albany Ave., E. New York Ave., Lefferts Ave.",9,B,,B193
Colonial Rd. from 83 St. to 85 St.,10,B,,B192
7 Ave. bet. 81 St. and 82 St.,10,B,B210P,
Vermont St. bet. Linden Blvd. and Stanley Ave.,5,B,B214,
Macy Ave. bet. Lafayette Ave. and Kosciuszko St.,3,B,,B140
Ave. L bet. E. 17 St. and E. 18 St.,14,B,,B150
"Corbin Pl. to W. 37 St., Boardwalk",13,B,,B169
"Kings Hwy, E5 St & Av R",15,B,BZ502,
Park Ave. bet. Washington Ave. and Hall St.,2,B,,B220
Smith St. bet. Luquer St. and Nelson St.,6,B,B118A,
"Gravesend Bay, Bay 44 St. to Bay 49 St., Shore Pkwy.",13,B,B125,
"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge",10,B,B082,
"Ave. P, Kings Hwy., Ocean Ave.",15,B,B205,
"Union Ave., N. 11 St. and Roebling St.",1,B,B196,
"Kings Highway, Ave. M, E. 34 St. to E. 35 St.",18,B,B173,
Marcus Garvey Blvd. bet. Monore St. and Madison St.,3,B,,B216
"Corbin Pl. to W. 37 St., Boardwalk",13,B,B169,
"Gravesend Bay, Bay 44 St. to Bay 49 St., Shore Pkwy.",13,B,B125,
Dahlgreen Pl. bet. Exit 17 and Ft. Hill Pl.,10,B,B210V,
"Neptune Ave., Bayview Ave.,W. 24 St. to W. 32 St.",13,B,B129,
Belt Pkwy. bet. Verrazano Bridge and Cross Bay Blvd.,11,B,B166,
Avenue H bet. Kings Hwy. and E. 49 St.,18,B,B206,
"79 St., Ft. Hamilton Pkwy., 7 Ave.",10,B,B092,
3 Ave. bet. Hamilton Ave. and 16 St.,7,B,B210G,
Ave. L bet. E. 17 St. and E. 18 St.,14,B,B150,
"Village Rd. N., Ave. U bet. Van Sicklen St. and Lake St.",15,B,B211,
"E. 12 St., Kings Hwy., Quentin Rd.",15,B,B094,
"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge",10,B,B082,
W. 22 St. bet. Bay 56 St. and Shore Pkwy.,13,B,B166C,
"Marcy Ave., Tompkins Ave., bet. Greene Ave. and Lafayette Ave.",3,B,B088,
3 Ave. bet. 35 St. and 34 St.,7,B,B210B,
"Albany Ave., E. 40 St. bet. Farragut Rd. and Foster Ave.",17,B,,B218
"Marcy Ave., Tompkins Ave., bet. Greene Ave. and Lafayette Ave.",3,B,,B088
"Corbin Pl. to W. 37 St., Boardwalk",13,B,B169,
"Gravesend Bay, Bay 44 St. to Bay 49 St., Shore Pkwy.",13,B,,B125
"Throop Ave., Lormer St., Broadway",1,B,B117,
"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge",10,B,B082,
"Neptune Ave., Bayview Ave.,W. 24 St. to W. 32 St.",13,B,B129,
Classon Ave. bet. Fulton St. and Lefferts Pl.,2,B,,B102
"Gravesend Bay, Bay 44 St. to Bay 49 St., Shore Pkwy.",13,B,,B125
"Ave Y., Bergen Ave. bet. Ave. V and Belt Pkwy.",18,B,,B166D
Stuyvesant Ave. and Fulton St.,3,B,B200,
"Corbin Pl. to W. 37 St., Boardwalk",13,B,B169,
"Corbin Pl. to W. 37 St., Boardwalk",13,B,,B169
"New Utrecht Ave., 45 St., Ft Hamilton Pkwy.",12,B,B191,
Mc Kibbin St. bet. White St. and Bogart St.,1,B,B132,
"Gravesend Neck Rd., E. 2 St., Ave. V",15,B,B213,
92 St. bet. Gowanus Exwy. and Ft. Hamilton Pkwy.,10,B,B210U,
Ave. P bet. E. 4 St. and Ocean Pkwy.,12,B,,B128
"Corbin Pl. to W. 37 St., Boardwalk",13,B,,B169
"Belt Pkwy., Fresh Creek, Seaview Ave.",18,B,B165A,
"Ave Y., Bergen Ave. bet. Ave. V and Belt Pkwy.",18,B,B166D,
"Corbin Pl. to W. 37 St., Boardwalk",13,B,B169,
S/B Gowanus Exwy. bet. 85 St. and 86 St.,10,B,B210S,
Linwood St. bet. New Lots Ave. and Hegeman Ave.,5,B,B149B,
"Neptune Ave., Bayview Ave.,W. 24 St. to W. 32 St.",13,B,,B129
"Cadman Plaza West, Cadman Plaza East bet. BQE and Tillary St.",2,B,,B113A
"Corbin Pl. to W. 37 St., Boardwalk",13,B,,B169
W. 12 St. bet. Bay Pkwy. and Ave. P,11,B,B100,
"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge",10,B,,B082
"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge",10,B,B082,
W. 22 St. and Boardwalk,13,B,B169C,
"Corbin Pl. to W. 37 St., Boardwalk",13,B,B169,
E. 17 St. bet. Foster Ave. and Ave. H,14,B,B179,
3 Ave. bet. 64 St. and 65 St.,7,B,,B210A
Campus Rd. bet. E. 21 St. and Ocean Ave.,14,B,B212,
"Pacific St., Washington Ave., Underhill Ave.",8,B,B089,
"Corbin Pl. to W. 37 St., Boardwalk",13,B,B169,
"41 St., 44 St., bet. 5 Ave. and 7 Ave.",7,B,B087,
"Halleck St., Bush St. bet. Otsego St. and Court St.",6,B,B126,
Eastern Parkway & Ralph Ave (2),16,B,BZ506,
"Halleck St., Bush St. bet. Otsego St. and Court St.",6,B,B126,
"Halleck St., Bush St. bet. Otsego St. and Court St.",6,B,B126,
"Hamilton Ave., Nelson St. Clinton St.",6,B,B210F,
Glenwood Rd. bet. E. 23 St. and Coney Island Ave.,14,B,B178,
"Dahill Rd., 24 Ave., 62 St.",12,B,B175,
8 Ave. bet. 65 St. and 66 St.,10,B,B146,
83 St. to 85 St. bet. Colonial Rd. and Narrows Ave.,10,B,B192A,
"Lee Ave., Division Ave., Roebling St.",1,B,B090,
"Halleck St., Bush St. bet. Otsego St. and Court St.",6,B,,B126
"11 St., 12 St. bet. 2 Ave. and 3 Ave.",6,B,B095,
"Halleck St., Bush St. bet. Otsego St. and Court St.",6,B,B126,
"Halleck St., Bush St. bet. Otsego St. and Court St.",6,B,B126,
Smith St. bet. Nelson St. and Huntington St.,6,B,B118B,
18 Ave. bet. 83 St. and 82 St.,11,B,,B158
Underhill Ave. bet. Prospect Pl. and Park Pl.,8,B,,B161
Ft. Hamilton Pkwy. bet. 52 St. and 53 St.,12,B,,B152
S/B Gowanus Exwy. bet. 84 St. and 85 St.,10,B,B210R,
"Adam St., Court St., Cadman Plaza West bet. Johnson St. and Fulton St.",2,B,B113C,
"S. 5 St., Broadway, Havemeyer St.",1,B,B167A,
"Halleck St., Bush St. bet. Otsego St. and Court St.",6,B,B126,
Guanus Exwy. bet. Prospect Exwy. and 18 St.,7,B,B210E,
"New Lots Ave., Dumont Ave., Atkins Ave.",5,B,B155,
"Corbin Pl. to W. 37 St., Boardwalk",13,B,B169,
"Fountain Ave., 75 St. bet. Belt Pkwy., Flatlands Ave.,",5,B,B165,
"Ft Hamilton Pkwy, 7th Ave, and 81st St",10,B,B210Q-BZ562,
Howard Ave. bet. Atlantic Ave. and  Herkimer St.,3,B,B093,
3 Ave. bet. 40 St. and 41 St.,7,B,B210I,
Sullican Pl. bet. Rogers Ave. and Nostrand Ave.,9,B,B121,
"Pitkin Ave., E. New York Ave. bet. Crafton St. and Legon St.",16,B,B116,
S. 4 St. bet. S. 5 Pl. and Roebling St.,1,B,B168,
Myrtle Ave. bet. Nostrand Ave. and Marcy Ave.,3,B,B217,
4 Ave. bet. BQE and 64 St.,7,B,B210N,
Linded Blvd Bet. Shepherd Av & Berriman st,5,B,BZ483,
S/B Gowanus Exwy. bet. 64 St. and 65 St.,10,B,B210M,
"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge",10,B,,B082
Sackman To Powell Sts bet. Glenmore and Pit,16,B,B156,
"Willmohr St., E. 91 St., Linden Blvd.",17,B,B174,
3 Ave. bet. 59 St. and 60 St.,7,B,B210K,
"Hamilton Ave., bet. Prospect Exwy. and 18 St.",7,B,B210D,
"Halleck St., Bush St. bet. Otsego St. and Court St.",6,B,B126,
Halleck St. at Columbia St.,6,B,B126A,
"Quentin Rd., Kings Hwy., W. 9 St.",11,B,B160,
Wythe Ave. bet. Grand St. and S. 1 St.,1,B,,B124
"Bedford Ave., Gravesend Neck Rd., Ave. V, E. 24 St.",15,B,,B209
"Fulton St., Truxton St., bet. Eastern Pkwy. and Van Sinderen Ave.",16,B,B219,
"Hamilton Ave., Court St. Garnet St.",6,B,B210C,
"Commercial St., Dupont St.",1,B,B135,
"Dean St., Bergen St. bet. Rockaway Ave.and Hopkinson Ave.",16,B,,B144
Linden St. bet. Central Ave. and Wilson Ave.,4,B,,B139
"Dyker Beach Park, NW of Bay 8th St & Independence Ave",10,B,BZ503,
"Nevins St., 3 Ave., bet. De Graw St. and Douglas St.",6,B,B145,
"Cadman Plaza West, Adam St. bet. Prospect St. and Joralemon St.",2,B,B113,
Bedford Ave. bet. Metropolitan Ave. and N. 1 St.,1,B,B085,
"E. 16 St., Shore Pkwy., Bay Ct.",15,B,B166E,
Dahill Rd. bet. 37 St. and 38 St.,12,B,B151,
"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge",10,B,B082,
"Ave. U bet. E. 58 St., E. 59 St., and E. 60 St.",18,B,B147,
"Blake Ave., Tapscott St., Howard Ave.",16,B,B182,
"Eastern Pkwy., Flatbush Ave. bet. Underhill Ave. and Washington Ave.",8,B,,B159
"Flushing Ave., Steuben St., Williamsburg Pl.",2,B,B221,
