site_location,sourcefc,sub_category
83 St. to 85 St. bet. Colonial Rd. and Narrows Ave.,Property,Large Park
Pier To W 21 St,Zone,Beach Zone
Stillwell Ave To Pier,Zone,Beach Zone
Classon Ave. bet. Fulton St. and Lefferts Pl.,Property,Neighborhood Plgd
"Vermont St, Linden Blvd, Gershwin JHS, Fence Betw Football Field & Courts",Playground,Neighborhood Plgd
"E. 12 St., Kings Hwy., Quentin Rd.",Property,Sitting Area/Triangle/Mall
Glenwood Rd. bet. E. 23 St. and Coney Island Ave.,Property,Sitting Area/Triangle/Mall
Halleck St. at Columbia St.,Property,Sitting Area/Triangle/Mall
Mc Kibbin St. bet. White St. and Bogart St.,Property,Neighborhood Plgd
W 6th St To W 10th St,Zone,Beach Zone
N/B Gowanus Exwy. bet. 65 St. and 66 St.,Property,EXWY
S. 4 St. bet. S. 5 Pl. and Roebling St.,Property,Sitting Area/Triangle/Mall
"Btw Clinton & Court, N Of Bay, South Of Building And Fence",Zone,Large Park Zone
"Aberdeen St., Furman Ave. north of Bushwick Ave.",Property,Neighborhood Plgd
"Middleton St., Harrison Ave., Union Ave.",Property,Sitting Area/Triangle/Mall
N/B Gowanus Exwy. bet. 85 St. and 86 St.,Property,EXWY
"Dahill Rd., 24 Ave., 62 St.",Property,Sitting Area/Triangle/Mall
Smith St. bet. Nelson St. and Huntington St.,Property,Neighborhood Plgd
Smith St. bet. Luquer St. and Nelson St.,Property,Neighborhood Plgd
"Ave Y., Bergen Ave. bet. Ave. V and Belt Pkwy.",Property,Large Park
"Lorraine, Clinton, Henry Sts",Playground,Plgd Within Park
"Ave P, Stillwell Ave, and Bay Pkwy",Greenstreet,Sitting Area/Triangle/Mall
"Ft Hamilton Pkwy, 7th Ave, and 81st St",Greenstreet,Type 1
Eastern Parkway & Ralph Ave (2),Greenstreet,Type 1
Wythe Ave. bet. Grand St. and S. 1 St.,Property,JOP
3 Ave. bet. 35 St. and 34 St.,Property,Neighborhood Plgd
"Throop Ave., Lormer St., Broadway",Property,Sitting Area/Triangle/Mall
"Ave. S, Moore Pl. bet. E. 16 St. and E. 17 St.",Property,JOP
"Knickerbocker Ave, Myrtle Ave, and Bleecker St",Greenstreet,
B 5th St To B 2nd St,Zone,Beach Zone
"Decatur St., Macdonough St. bet. Lewis Ave. and Marcus Garvey Blvd.",Property,JOP
Macy Ave. bet. Lafayette Ave. and Kosciuszko St.,Property,JOP
S/B Gowanus Exwy. bet. 85 St. and 86 St.,Property,EXWY
"Gravesend Neck Rd., E. 2 St., Ave. V",Property,Sitting Area/Triangle/Mall
"10 Ave., New Utrecht Ave. bet. 43 St. and 42 St.",Property,Neighborhood Plgd
"4 Ave, Wakeman Pl, Ridge Blvd",Zone,Large Park Zone
"Commercial St., Dupont St.",Property,Neighborhood Plgd
Atlantic Ave. bet. Fountain Ave. and N. Conduit Ave.,Property,JOP
"Surf Ave. bet. W. 25 St. to W. 27 St., Boardwalk",Property,Neighborhood Plgd
"Ave P, Bay Pkwy, W 12 St",Playground,Neighborhood Plgd
"Belt Pkwy., Williams Court  bet. E. 12 St. and Homecrest Ave",Property,Neighborhood Plgd
Lafayette Ave Btw Marcy & Tompkins Aves,Playground,Plgd Within Park
Linwood St. bet. New Lots Ave. and Hegeman Ave.,Property,Neighborhood Plgd
S/B Gowanus Exwy. bet. 84 St. and 85 St.,Property,EXWY
"Hamilton Ave., Court St. Garnet St.",Property,Sitting Area/Triangle/Mall
"Vermont St, Stanley Ave, Gershwin JHS, Fence Betw Courts & Football Field",Playground,JOP
"Union Ave., N. 11 St. and Roebling St.",Property,Sitting Area/Triangle/Mall
"S/o Gravesend Bay, SE/o Path, N/o Neptune Ave",Zone,Large Park Zone
Ave. L bet. E. 17 St. and E. 18 St.,Property,Neighborhood Plgd
"Corbin Pl. to W. 37 St., Boardwalk",Property,Large Park
"Willmohr St., E. 91 St., Linden Blvd.",Property,Sitting Area/Triangle/Mall
Dahill Rd. bet. 37 St. and 38 St.,Property,Neighborhood Plgd
"Ave. P, Kings Hwy., Ocean Ave.",Property,Sitting Area/Triangle/Mall
"Belt Pkwy., Fresh Creek, Seaview Ave.",Property,Fill
3 Ave. bet. 40 St. and 41 St.,Property,JOP
7 Ave. bet. 81 St. and 82 St.,Property,Neighborhood Plgd
"E. 38 St., Ave. M, Flatlands Ave.",Property,Neighborhood Plgd
Bedford Ave. at Division Ave.,Property,Sitting Area/Triangle/Mall
W. 22 St. and Boardwalk,Property,
"Albany Ave., E. 40 St. bet. Farragut Rd. and Foster Ave.",Property,Neighborhood Plgd
"E. 16 St., Shore Pkwy., Bay Ct.",Property,Sitting Area/Triangle/Mall
"Kings Hwy, E5 St & Av R",Greenstreet,
"Terrace Pl., Seeley St. bet. Propsect Ave. and 18 St.",Property,
"Blake Ave., Tapscott St., Howard Ave.",Property,Sitting Area/Triangle/Mall
Eastern Pkwy Between Washington Ave & Flatbush Ave,Playground,Plgd Within Park
Coney Island Ave To B 5th St,Zone,Beach Zone
Underhill Ave. bet. Prospect Pl. and Park Pl.,Property,Neighborhood Plgd
"Fountain Ave., 75 St. bet. Belt Pkwy., Flatlands Ave.,",Property,Large Park
W 25th St To W 29th St,Zone,Beach Zone
"Albany Ave., E. New York Ave., Lefferts Ave.",Property,Neighborhood Plgd
"S/o Gravesend Bay, E/o Bayview Ave, NW/o Path",Zone,Large Park Zone
Myrtle Ave. bet. Nostrand Ave. and Marcy Ave.,Property,Neighborhood Plgd
"Neptune Ave., Bayview Ave.,W. 24 St. to W. 32 St.",Property,Large Park
Bay 46 & Cropsey Ave,Playground,Plgd Within Park
Bedford Ave. bet. Metropolitan Ave. and N. 1 St.,Property,
Marcus Garvey Blvd. bet. Monore St. and Madison St.,Property,JOP
Ft. Hamilton Pkwy. bet. 94 St. and 101 St.,Property,Large Park
Linden St. bet. Central Ave. and Wilson Ave.,Property,Neighborhood Plgd
"Flatbush Ave., Schenctady Ave., Ave. O",Property,Type 1
"Clarkson Ave., New York Ave.",Property,Neighborhood Plgd
Vermont St. bet. Linden Blvd. and Stanley Ave.,Property,Large Park
S. 3 St. bet. Berry St. and Bedford Ave.,Property,Neighborhood Plgd
W 21st St To W 25th St,Zone,Beach Zone
"Clinton, Halleck, Court, Bay",Zone,Large Park Zone
"Columbia And Bay Streets, SE Of ""Halleck St"" Sidewalk, NE Of ""Henry St"" Sidewalk",Zone,Large Park Zone
Island Creek & W 22 St - Area Surrounding Ballfields,Zone,Large Park Zone
"Pitkin Ave., E. New York Ave. bet. Crafton St. and Legon St.",Property,Sitting Area/Triangle/Mall
Kings Highway between 25 St. and 98 St.,Property,Sitting Area/Triangle/Mall
"Hamilton Ave., bet. Prospect Exwy. and 18 St.",Property,Sitting Area/Triangle/Mall
Bay Ridge Ave To 72nd St,Zone,Large Park Zone
"New Utrecht Ave., 9 Ave., 39 St.",Property,Sitting Area/Triangle/Mall
Park Ave. bet. Washington Ave. and Hall St.,Property,Neighborhood Plgd
79 St & Shore Rd,Playground,Plgd Within Park
"Dyker Beach Park, NW of Bay 8th St & Independence Ave",Greenstreet,
"Adam St., Court St., Cadman Plaza West bet. Johnson St. and Fulton St.",Property,Sitting Area/Triangle/Mall
W 10th St To Stillwell Ave,Zone,Beach Zone
Bedford Ave. bet. S. 9 St. and Division Ave.,Property,Neighborhood Plgd
"Marcy Ave., Tompkins Ave., bet. Greene Ave. and Lafayette Ave.",Property,Large Park
"92nd St To 4 Ave - Lower Half, By Expressway",Zone,Large Park Zone
"Ft Hamilton Pkwy., Prospect Ave., Greenwood Ave.",Property,Neighborhood Plgd
"New Lots Ave., Dumont Ave., Atkins Ave.",Property,Sitting Area/Triangle/Mall
Colonial Rd. from 83 St. to 85 St.,Property,JOP
Elton St. bet. New Lots Ave. and Hegeman Ave.,Property,Neighborhood Plgd
"Bedford Ave., Gravesend Neck Rd., Ave. V, E. 24 St.",Property,Neighborhood Plgd
Harbor View To 92nd St,Zone,Large Park Zone
Belt Pkwy. bet. Verrazano Bridge and Cross Bay Blvd.,Property,Large Park
W 29th St To W 32nd St,Zone,Beach Zone
"Lee Ave., Division Ave., Roebling St.",Property,Neighborhood Plgd
Sackman To Powell Sts bet. Glenmore and Pit,Property,Neighborhood Plgd
Ave. P bet. E. 4 St. and Ocean Pkwy.,Property,Neighborhood Plgd
Avenue V bet. E. 13 St. and E. 14 St.,Property,Neighborhood Plgd
"Hamilton Ave., Nelson St. Clinton St.",Property,Neighborhood Plgd
"Ave. U, E. 71 St., Veterans Ave.",Property,Sitting Area/Triangle/Mall
"Linden Blvd., Church Ave., E. 92 St.",Property,Sitting Area/Triangle/Mall
Corbin Pl To Seacoast Ter,Zone,Beach Zone
"Flushing Ave., Steuben St., Williamsburg Pl.",Property,Neighborhood Plgd
"Otsego, Sigourney, Halleck And Columbia Sts",Zone,Large Park Zone
"79 St., Ft. Hamilton Pkwy., 7 Ave.",Property,Sitting Area/Triangle/Mall
"Halleck St., Bush St. bet. Otsego St. and Court St.",Property,Large Park
"E. 17 St., South of Ave. H",Property,Sitting Area/Triangle/Mall
Island Creek & W 22 St - Ballfields,Zone,Large Park Zone
18 Ave. bet. 83 St. and 82 St.,Property,Neighborhood Plgd
"Dean St., Bergen St. bet. Rockaway Ave.and Hopkinson Ave.",Property,JOP
Linden Blvd Bet. Essex St & Shepherd Av,Greenstreet,
Linden Blvd Bet. Linwood St & Essex St,Greenstreet,
Seabreeze Ave To W 2nd St,Zone,Beach Zone
Scholes St. bet. Manhattan Ave. and Graham Ave.,Property,Neighborhood Plgd
Avenue H bet. Kings Hwy. and E. 49 St.,Property,Neighborhood Plgd
W 2nd St To W 6th St,Zone,Beach Zone
"The Narrows, Belt Pkwy, Bay 8 St, 21 Ave",Zone,Large Park Zone
N/B Gowanus Exwy. bet. 63 St. and 64 St.,Property,EXWY
"The Narrows, Belt Pkwy, 4 Ave, Bay Ridge Ave",Zone,Large Park Zone
"Gravesend Bay, Bay 44 St. to Bay 49 St., Shore Pkwy.",Property,Large Park
Brighton 2 St. bet. Brightwater Ct. and Boardwalk E.,Property,Neighborhood Plgd
W 32nd St To W 37th St,Zone,Beach Zone
"41 St., 44 St., bet. 5 Ave. and 7 Ave.",Property,Large Park
