prop_id,propnum,jurisdiction,zipcode,category,prop_name,precinct,council_district
B169-ZN02A,B169,DPR,11224,Large Park,Coney Island Beach & Boardwalk,60.0,47
B161,B161,DPR,11238,Small Park,James Forten Playground,77.0,35
B165,B165,DPR,"11208, 11414",Large Park,Spring Creek Park,75.0,42
B169-ZN07A,B169,DPR,11224,Large Park,Coney Island Beach & Boardwalk,60.0,47
B193,B193,DPR,11203,Small Park,Hamilton Metz Field,71.0,40
B129-ZN02,B129,DPR,11224,Large Park,Kaiser Park,60.0,47
B217,B217,DPR,11206,Small Park,Marcy Playground,79.0,36
B129,B129,DPR,11224,Large Park,Kaiser Park,60.0,47
B125-01,B125,DPR,11214,Small Park,Calvert Vaux Park,60.0,47
B085,B085,DPR,11211,,Metropolitan Recreation Center,90.0,34
B216,B216,DPR/DOE,11221,Small Park,Raymond Bush Playground,79.0,36
B210W,B210W,DPR,11209,Large Park,John J Carty Park,68.0,47
B139,B139,DPR,11221,Small Park,Heckscher Playground,83.0,37
B176,B176,DPR,11234,Greenstreet,Trust Triangle,63.0,46
B148,B148,DPR,11226,Small Park,Rolph Henry Playground,71.0,40
B214,B214,DPR,11207,Large Park,Linden Park,75.0,42
B154,B154,DPR,11211,Small Park,Berry Playground,90.0,34
B169-ZN06B,B169,DPR,11224,Large Park,Coney Island Beach & Boardwalk,60.0,47
B126-ZN06,B126,DPR,11231,Large Park,Red Hook Recreation Area,76.0,38
B126-ZN03,B126,DPR,11231,Large Park,Red Hook Recreation Area,76.0,38
B166C-ZN01,B166C,DPR,11214,Large Park,Coney Island Boat Basin,60.0,47
B116,B116,DPR,11212,Small Park,Zion Triangle,73.0,41
B198,B198,-,"11203, 11210, 11212, 11229, 11234",Small Park,Kings Highway Malls,70.0,
B210D,B210D,DPR,"11215, 11232",Small Park,Park,72.0,38
B082-ZN01,B082,DPR,11209,Large Park,Shore Park and Parkway,68.0,47
B172,B172,DPR,11219,Small Park,Heffernan Triangle,66.0,38
B220,B220,DPR,11205,Small Park,Washington Hall Park,88.0,35
B082-02,B082,DPR,11209,Small Park,Shore Park and Parkway,68.0,47
BZ503,BZ503,DOT,11228,Greenstreet,Greenstreet,68.0,50
B113C,B113C,DPR,11201,Small Park,Columbus Park,84.0,33
B169-ZN05A,B169,DPR,11224,Large Park,Coney Island Beach & Boardwalk,60.0,47
B142,B142,DPR,11211,Small Park,Bedford Playground,90.0,34
B088,B088,DPR,11216,Large Park,Herbert Von King Park,79.0,36
B082-ZN05,B082,DPR,11209,Large Park,Shore Park and Parkway,68.0,47
B130,B130,DPR,11218,Small Park,Greenwood Playground,72.0,39
B155,B155,DPR,11208,Small Park,Triangle,75.0,42
B192,B192,DPR/DOE,11209,Small Park,Russell Pedersen Playground,68.0,47
B149A,B149A,DPR,11208,Small Park,Elton Playground,75.0,42
B209,B209,DPR,11229,Small Park,Galapo Playground,61.0,48
B082-ZN03,B082,DPR,11209,Large Park,Shore Park and Parkway,68.0,47
B166,B166,DPR,"11208, 11209, 11214, 11223, 11228, 11234, 11235, 1",Large Park,Belt Parkway/Shore Parkway,75.0,"32, 42, 44, 46, 48, 50"
B169-ZN07B,B169,DPR,11224,Large Park,Coney Island Beach & Boardwalk,60.0,47
B090,B090,DPR,11211,Small Park,Sobel Playground,90.0,34
B156,B156,DPR,11212,Small Park,Powell Playground,73.0,37
B128,B128,DPR,11230,Small Park,Colonel David Marcus Playground,66.0,44
B197,B197,DPR,11229,Small Park,Mellett Playground,61.0,48
B210F,B210F,DPR,11231,Small Park,Admiral Triangle,76.0,39
B190,B190,DPR,11234,Small Park,Barone Triangle,63.0,46
B171,B171,DPR,11236,Small Park,Linden Sitting Area,67.0,41
B169-ZN01A,B169,DPR,11235,Large Park,Coney Island Beach & Boardwalk,60.0,48
B221,B221,DPR,11205,Small Park,Steuben Playground,88.0,33
B126-ZN01,B126,DPR,11231,Large Park,Red Hook Recreation Area,76.0,38
B092,B092,SDOT,,Small Park,McDonald Square,,
B126,B126,DPR,11231,Large Park,Red Hook Recreation Area,76.0,38
B180,B180,DPR,11230,Small Park,Flatbush Mall,70.0,45
B166C-ZN02,B166C,DPR,11214,Large Park,Coney Island Boat Basin,60.0,47
B158,B158,DPR,11214,Small Park,Garibaldi Playground,62.0,38
B144,B144,DPR/DOE,11233,Small Park,Ocean Hill Playground,73.0,41
BZ484,BZ484,DOT,11208,Greenstreet,GREENSTREET,75.0,42
BZ485,BZ485,DOT,11208,Greenstreet,GREENSTREET,75.0,42
B169-ZN03B,B169,DPR,11224,Large Park,Coney Island Beach & Boardwalk,60.0,47
B127,B127,DPR/NYCHA,11206,Small Park,Martinez Playground,90.0,34
B206,B206,DPR,11234,Small Park,Sunners Playground,63.0,45
B169-ZN04A,B169,DPR,11224,Large Park,Coney Island Beach & Boardwalk,60.0,47
B166-ZN02,B166,DPR,,Large Park,Belt Parkway/Shore Parkway,,47
B210L,B210L,DPR,11220,Other,64th Street Community Garden,72.0,38
B082-ZN07,B082,DPR,11209,Large Park,Shore Park and Parkway,68.0,47
B125,B125,DPR,11214,Large Park,Calvert Vaux Park,60.0,47
B169A,B169A,DPR,11235,Small Park,Brighton Playground,60.0,48
B169-ZN07C,B169,DPR,11224,Large Park,Coney Island Beach & Boardwalk,60.0,47
B087,B087,DPR,11232,Large Park,Sunset Park,72.0,38
