multipolygon,communityboard,site_name,nyssenate
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91846674587376, 40.65388237392735], [-73.91813861019304, 40.654098983664696], [-73.91873001102361, 40.65411889476311], [-73.91846674587376, 40.65388237392735]]]]}",317,Linden Sitting Area,19
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9193215298684, 40.67709959137618], [-73.91930828208577, 40.67724843091749], [-73.91929174979431, 40.67743128780669], [-73.91962165884864, 40.67744589727381], [-73.91963927983014, 40.677263839855335], [-73.91965673199101, 40.67706670859113], [-73.91932692834813, 40.67704863771669], [-73.9193215298684, 40.67709959137618]]]]}",303,Weeksville Playground,25
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94518639407613, 40.689176981015734], [-73.94544534514134, 40.69046686261431], [-73.94805128763845, 40.6901671925526], [-73.94779588851904, 40.68887721304365], [-73.94518639407613, 40.689176981015734]]]]}",303,Herbert Von King Park,25
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99033676948099, 40.695139653873504], [-73.99032797973005, 40.69514154331119], [-73.99032220937443, 40.69514311241963], [-73.99031527353516, 40.69514536762039], [-73.99030907121741, 40.69514775435734], [-73.9903023766261, 40.69515076420721], [-73.99029679656066, 40.695153656183514], [-73.99029104013381, 40.69515705873533], [-73.99028559364733, 40.695160731466835], [-73.99028076593528, 40.69516442136008], [-73.99027599969479, 40.69516845885618], [-73.99027146533972, 40.69517254950191], [-73.99026732729838, 40.69517687701582], [-73.99026360687036, 40.695181420687966], [-73.99026032535573, 40.69518615440527], [-73.99025749695572, 40.695191054755675], [-73.99025513705453, 40.69519609742669], [-73.99025325985382, 40.69520125540413], [-73.99025187245624, 40.69520650347429], [-73.99025098196486, 40.695211812821405], [-73.99025059666546, 40.69521715733129], [-73.9902095737291, 40.695975907753144], [-73.99020908664633, 40.69598142335113], [-73.9902091745707, 40.69598694980415], [-73.99020983869015, 40.695992454693865], [-73.99021107309444, 40.69599790199929], [-73.99021287068989, 40.69600325750032], [-73.99021521964995, 40.69600848787693], [-73.9902181045989, 40.69601355980883], [-73.99022151134336, 40.69601844267739], [-73.9902254138591, 40.69602310406187], [-73.99022978848733, 40.69602751604426], [-73.9902346103862, 40.69603164980609], [-73.99023984524804, 40.696035481030556], [-73.99024546349808, 40.69603898360016], [-73.99025142964501, 40.69604213589958], [-73.99025770464772, 40.69604491901467], [-73.99026424946476, 40.6960473158324], [-73.99027102150535, 40.6960493092393], [-73.99027798172695, 40.696050889326486], [-73.99028508517169, 40.696052043482865], [-73.99029228451434, 40.69605276630144], [-73.9902995371622, 40.69605305327593], [-73.99076812390034, 40.69606811236637], [-73.99077539671288, 40.69606805621721], [-73.99078265773427, 40.69606770830062], [-73.99078988330156, 40.69606706771413], [-73.9907970533009, 40.6960661371577], [-73.99080414998437, 40.696064920232004], [-73.99081115087206, 40.69606341783575], [-73.99081803821576, 40.69606163627109], [-73.99082479190135, 40.696059580039076], [-73.99083139299752, 40.696057254541216], [-73.9908378237563, 40.69605466607976], [-73.99084406524607, 40.69605182275788], [-73.99085010090161, 40.69604873267882], [-73.99085591179167, 40.696045403045254], [-73.99086148371681, 40.696041844662226], [-73.99086680129517, 40.696038065633196], [-73.99087184796069, 40.696034079464525], [-73.99087661069764, 40.69602989516037], [-73.99088107648984, 40.696025523525876], [-73.9908852311376, 40.696020979868656], [-73.99088906517416, 40.69601627499418], [-73.99089256676648, 40.696011421508686], [-73.99089572526422, 40.69600643472009], [-73.99089853238345, 40.69600132813545], [-73.99090098220687, 40.695996114361485], [-73.9909030652672, 40.69599080960673], [-73.99090477682978, 40.69598542917946], [-73.99090611216037, 40.69597998658711], [-73.99090706652413, 40.695974498038524], [-73.99090763873603, 40.6959689788423], [-73.9909078276109, 40.695963444307054], [-73.99090762959725, 40.695957909741274], [-73.99090704824266, 40.695952390453876], [-73.99065418682825, 40.69512288372522], [-73.99033676948099, 40.695139653873504]]]]}",302,Korean War Veterans Plaza,26
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.01556481352956, 40.63376064664447], [-74.01557628900359, 40.63380711097813], [-74.01559353647083, 40.63387405053205], [-74.01561530141996, 40.63394967947913], [-74.01562959100156, 40.6339994276176], [-74.01565760203565, 40.63408539636753], [-74.01567892424681, 40.63414758781495], [-74.01570189181386, 40.634214386989576], [-74.01573147435761, 40.63429193565136], [-74.01575977596414, 40.63436591752432], [-74.0157886423007, 40.63443340386802], [-74.01579398832902, 40.634436694531054], [-74.01579113800126, 40.634430031081315], [-74.01576347802391, 40.63436536499865], [-74.0157352083474, 40.63429146146736], [-74.0157056518216, 40.63421398484455], [-74.01568270672553, 40.63414725230599], [-74.01566139042498, 40.634085077067816], [-74.01563260924199, 40.63399641136875], [-74.01561914894806, 40.63394954838129], [-74.01559740055653, 40.63387397616535], [-74.01558017201582, 40.633807112253095], [-74.01556869653928, 40.63376064882033], [-74.015556072712, 40.6337115929469], [-74.0155514597243, 40.633708753333465], [-74.01556481352956, 40.63376064664447]]]]}",310,Park,17
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87748842605443, 40.668701472698444], [-73.8774866496902, 40.66869825596302], [-73.87748422712552, 40.668695293385525], [-73.87748121853714, 40.668692660673464], [-73.87747770067561, 40.66869042454666], [-73.87747376095518, 40.6686886409302], [-73.8774695010036, 40.668687354057624], [-73.87746502601459, 40.66868659826057], [-73.87746045067306, 40.668686391671486], [-73.87745589086965, 40.668686739816934], [-73.87745146015612, 40.66868763381263], [-73.87744727211081, 40.66868905036621], [-73.87736016190729, 40.66872507725131], [-73.87735605190544, 40.66872714135606], [-73.87735246253278, 40.66872970850395], [-73.8773494991869, 40.668732702263405], [-73.87734724835944, 40.66873603717766], [-73.87734577527898, 40.66873961425948], [-73.87734512271177, 40.66874332999514], [-73.87734530977768, 40.66874707724351], [-73.87734633076889, 40.66875074433451], [-73.87734815749529, 40.668754225877585], [-73.87735073455751, 40.66875742095588], [-73.87735398762176, 40.66876023493583], [-73.87735782222414, 40.66876258667013], [-73.87736212613768, 40.66876440759995], [-73.87736677528049, 40.66876564446242], [-73.87737163134896, 40.668766260188924], [-73.87737655599976, 40.66876623932321], [-73.87738140258594, 40.6687655799079], [-73.877477660609, 40.668753440843865], [-73.87748271382823, 40.668751674009144], [-73.87748729632486, 40.6687492754109], [-73.87749127432575, 40.66874631694799], [-73.87749452940757, 40.66874288404353], [-73.87749696795176, 40.66873907925672], [-73.87749851643147, 40.6687350123723], [-73.87749912968427, 40.66873080401145], [-73.87749879092473, 40.668726578427545], [-73.87749750938941, 40.66872245810072], [-73.87748842605443, 40.668701472698444]]]]}",305,Triangle,19
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90454212975825, 40.67161940409403], [-73.90468785353181, 40.671597608158876], [-73.90470129321537, 40.67159559673382], [-73.90470052986582, 40.671592635205585], [-73.90475783393235, 40.67158406382229], [-73.90483211827389, 40.67157295259509], [-73.90490286434154, 40.671562370600086], [-73.90490633887431, 40.67157583798416], [-73.90526183747316, 40.67152266405064], [-73.9052216149505, 40.671366787657234], [-73.90526406195289, 40.671360437961], [-73.9051493892244, 40.670916046974234], [-73.90510694249392, 40.67092239662851], [-73.90501957190554, 40.67093546485754], [-73.90495236355487, 40.67094551764244], [-73.90488551006995, 40.670955517550986], [-73.90481865538229, 40.67096551741975], [-73.90475180067459, 40.670975517249616], [-73.90469202830228, 40.670984457597825], [-73.90463896800564, 40.670992394000486], [-73.90457564436872, 40.671001865350476], [-73.90439239372928, 40.67102927439748], [-73.90454212975825, 40.67161940409403]]]]}",316,Powell Playground,25
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98738300260499, 40.60734033271525], [-73.98738380931056, 40.60734822497531], [-73.98738791596236, 40.60738840940245], [-73.98739349582141, 40.60744229002413], [-73.98739907568952, 40.60749617064527], [-73.98740465792962, 40.60755005216663], [-73.98740933610782, 40.60759853135929], [-73.9874140178379, 40.60764700875087], [-73.98741869721133, 40.607695487942784], [-73.98742337895435, 40.60774396893562], [-73.98742805834169, 40.607792446325625], [-73.98743249880415, 40.60782970769283], [-73.98743740565004, 40.6078688142794], [-73.9874391819078, 40.60787330267306], [-73.98744300923565, 40.60787864228372], [-73.9874481907932, 40.6078832715306], [-73.98745253498615, 40.60788588982114], [-73.987457374369, 40.60788794533957], [-73.98746497042214, 40.607889821054215], [-73.98747352261275, 40.60789044244593], [-73.98747963740973, 40.60788991900865], [-73.98748495476015, 40.607888739904475], [-73.98749153902247, 40.607886206553495], [-73.98749818857327, 40.60788206127564], [-73.9875422141206, 40.607839230945956], [-73.98758522569815, 40.60779702094908], [-73.98762823367674, 40.60775481003502], [-73.98767124514575, 40.60771259910503], [-73.987714012673, 40.60767300594903], [-73.9877567801495, 40.607633412776934], [-73.98779954875705, 40.60759381868836], [-73.98782081722743, 40.6075741292381], [-73.98784231731389, 40.60755422458375], [-73.9878850881831, 40.607514630463285], [-73.98792785545655, 40.60747503812746], [-73.98795074676165, 40.60745199257933], [-73.98796694557053, 40.60743568673041], [-73.98800603563822, 40.60739633622043], [-73.98804512565984, 40.60735698569701], [-73.98808421563558, 40.60731763425964], [-73.9880970971091, 40.6073046500725], [-73.9881242841555, 40.60727689160401], [-73.9881274717663, 40.60727179047824], [-73.9881290618785, 40.607266751323465], [-73.98812940781795, 40.60726157696188], [-73.98812824850526, 40.607255997210125], [-73.98812567952629, 40.60725069827546], [-73.98812124835332, 40.60724559906408], [-73.98811450952077, 40.607240772472], [-73.98810865766067, 40.60723813333829], [-73.98810282451427, 40.6072365712301], [-73.98809673601696, 40.607235746622464], [-73.988091166085, 40.607235736139735], [-73.98803245614243, 40.607242086823895], [-73.98797346967089, 40.60724860224453], [-73.98791448318791, 40.60725511763491], [-73.9878554978748, 40.6072616338957], [-73.98779651136896, 40.60726814832498], [-73.98772571591205, 40.60727626619312], [-73.98765491925681, 40.60728438131589], [-73.98758412022059, 40.60729249999687], [-73.98751332471238, 40.6073006159331], [-73.98746398506032, 40.60730419283727], [-73.98745774153745, 40.60730465142216], [-73.9874127252999, 40.6073080099493], [-73.98740739031449, 40.60730895761416], [-73.98740071281969, 40.607311182971884], [-73.9873947251852, 40.607314353952496], [-73.98739087387465, 40.60731732164937], [-73.98738740169081, 40.60732112687282], [-73.98738423521188, 40.607326638618176], [-73.9873826813325, 40.6073334680036], [-73.98738300260499, 40.60734033271525]]]]}",311,Bealin Square,17
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99441233975762, 40.642690879972335], [-73.99461160071614, 40.64280957508593], [-73.99506131407803, 40.64237935196384], [-73.99442957102858, 40.64198863142781], [-73.99441233975762, 40.642690879972335]]]]}",312,Brizzi Playground,22
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.00379151031103, 40.67090945892432], [-74.00376781294901, 40.67095863234238], [-74.00374411555221, 40.67100780755632], [-74.00372041812047, 40.671056983665636], [-74.00369671828828, 40.67110615796876], [-74.00367302196929, 40.671155332266636], [-74.00364932443266, 40.67120450745989], [-74.00362562686114, 40.67125368354847], [-74.00360266362314, 40.67130113692316], [-74.00357969798682, 40.671348586691025], [-74.00355673350079, 40.671396040956544], [-74.00353377016471, 40.67144349341616], [-74.00351080561326, 40.671490946771456], [-74.00348784339457, 40.67153840012185], [-74.00346487877772, 40.67158585256694], [-74.00344191412819, 40.67163330500718], [-74.00341895062878, 40.671680758343044], [-74.00339598709658, 40.67172821077355], [-74.00338026098575, 40.67176050101166], [-74.00337036386411, 40.67178082503049], [-74.00336988846409, 40.671781851631756], [-74.00336945209418, 40.671782888137564], [-74.00336906185103, 40.67178394175184], [-74.00336871891695, 40.67178500346936], [-74.0033684339361, 40.67178606788671], [-74.00336818562022, 40.67178714761173], [-74.00336798697846, 40.67178822823584], [-74.00336784392442, 40.67178930975881], [-74.00336774817939, 40.671790399385074], [-74.00336769146404, 40.67179148901017], [-74.00336769151941, 40.67179258583772], [-74.0033677483448, 40.67179367545949], [-74.00336784419989, 40.6717947650801], [-74.0033679873632, 40.671795847495254], [-74.00336818611413, 40.67179692810773], [-74.00336843453907, 40.6717980069177], [-74.00336871962749, 40.67179907131835], [-74.00336906266891, 40.671800133015786], [-74.0033694518359, 40.67180118660719], [-74.00336988949338, 40.67180222308739], [-74.0033703649973, 40.67180324966084], [-74.0033708960885, 40.6718042672275], [-74.00337146502568, 40.67180526678277], [-74.00337208955008, 40.671806255530186], [-74.00337275192011, 40.671807219962574], [-74.00337345095399, 40.67180817448824], [-74.00337419611235, 40.67180910199704], [-74.0033749885786, 40.67181001239473], [-74.00337581652542, 40.6718109038805], [-74.00337668113546, 40.6718117755539], [-74.0033775906875, 40.671812622011494], [-74.00337853690243, 40.671813441452585], [-74.00337951859758, 40.67181423567819], [-74.00338053577313, 40.671815008290395], [-74.00338158724585, 40.67181574758249], [-74.00338266591969, 40.67181645985832], [-74.00338378717035, 40.67181715142103], [-74.00338492497727, 40.6718178087637], [-74.00338610536029, 40.67181843188553], [-74.0033873011172, 40.67181902619037], [-74.00338852998881, 40.67181959257826], [-74.00338978369571, 40.67182012384531], [-74.00339106105513, 40.671820619991536], [-74.003392351423, 40.67182108732095], [-74.00339367490523, 40.67182151952921], [-74.00339500193374, 40.67182191571677], [-74.00342616578797, 40.67183060566541], [-74.00345552124986, 40.67183879767503], [-74.00352089335607, 40.67185699780734], [-74.00358627022908, 40.671875201504356], [-74.00365164240665, 40.6718934015623], [-74.00371701462007, 40.6719116042846], [-74.00373548897106, 40.67191674742918], [-74.00378239159997, 40.67192980516852], [-74.00384776388478, 40.67194800871694], [-74.00391313620509, 40.67196620772561], [-74.00397851329213, 40.671984411199496], [-74.00404388568384, 40.67200261103432], [-74.0041092581114, 40.672020814434006], [-74.00417463530533, 40.6720390141943], [-74.00424000780426, 40.6720572175196], [-74.00428908214582, 40.672070878317314], [-74.00430538033862, 40.67207541630519], [-74.00436711479527, 40.67209267865585], [-74.00442884691836, 40.672109940073], [-74.00449058025642, 40.67212720505898], [-74.00455231126081, 40.67214446731035], [-74.00461404111428, 40.672161727727584], [-74.00467577691349, 40.672178990812945], [-74.00473750683088, 40.672196251163854], [-74.0047992415114, 40.67221351598399], [-74.00486097149283, 40.67223077806963], [-74.00492270268889, 40.67224803922151], [-74.00495978305439, 40.67225840435978], [-74.00498635351897, 40.67226583246158], [-74.00500930595804, 40.672272250336746], [-74.00502032208959, 40.67227533051899], [-74.0050499996524, 40.67228363016913], [-74.0051136446368, 40.672301423338894], [-74.00517728965546, 40.67231922097602], [-74.00524094062139, 40.672337014075076], [-74.00526532897062, 40.67234383166242], [-74.00530458689038, 40.6723548071391], [-74.005368232011, 40.67237260557096], [-74.0054318783479, 40.672390398564495], [-74.00549552826722, 40.6724081951246], [-74.00555917467213, 40.672425988948135], [-74.00561391969127, 40.67244129684872], [-74.00562471048168, 40.672422305357294], [-74.00562834564634, 40.67241590791974], [-74.00563699601089, 40.67240068428726], [-74.00563786991624, 40.67239914616454], [-74.0056482243317, 40.672380921030594], [-74.00565171049038, 40.672374784748975], [-74.00565696810853, 40.67236553169718], [-74.00565966313991, 40.67236078945171], [-74.00566224701099, 40.67235623992187], [-74.0056655191258, 40.672350481866744], [-74.00566629369565, 40.672349118448615], [-74.0056689981861, 40.67234435909269], [-74.00567232587937, 40.67233850197794], [-74.00567295972559, 40.67233738530786], [-74.00567558261915, 40.67233276913772], [-74.00567771113953, 40.672328230436186], [-74.00567920228657, 40.672325056046574], [-74.00569362891973, 40.672294342362726], [-74.00569857777424, 40.672284384220816], [-74.0057598724944, 40.67216102679652], [-74.005815581853, 40.67204747803191], [-74.0058252428102, 40.672026037176494], [-74.00583250299277, 40.67200635154607], [-74.00583759889142, 40.671987781763356], [-74.00584060145101, 40.671970095492085], [-74.00584214865705, 40.67194547532741], [-74.00584256887451, 40.67188198898275], [-74.00584652660265, 40.67183205611266], [-74.00585305068854, 40.67178063636096], [-74.00585951738019, 40.67174915401898], [-74.00586976742616, 40.671716023540625], [-74.0058839580758, 40.67168073162318], [-74.0059027349396, 40.671641656404056], [-74.0059172811609, 40.67161528046549], [-74.00593373037383, 40.671589109744374], [-74.00595204828517, 40.67156322889005], [-74.0059730520607, 40.67153667520842], [-74.00603148243214, 40.67146769088937], [-74.00608053636721, 40.67141392394316], [-74.00611743233989, 40.67137700266176], [-74.00615599243295, 40.67134106194042], [-74.00607028897537, 40.671149683580374], [-74.0060545160247, 40.671145311509235], [-74.00592031829291, 40.671108114603804], [-74.00541577949606, 40.67096826601862], [-74.00522170929898, 40.67091447190135], [-74.00513237208727, 40.67088970904828], [-74.00473172800376, 40.67077865396029], [-74.00472993175511, 40.67078246501511], [-74.00471228972133, 40.67081989836087], [-74.00470423329185, 40.67083832683652], [-74.00469446340178, 40.67086067442425], [-74.00467491532437, 40.67090538760762], [-74.0046427275024, 40.67089642878351], [-74.0046083055252, 40.67088684778381], [-74.0045416957631, 40.67086830882187], [-74.00447508603797, 40.67084976892082], [-74.00440847753269, 40.6708312307822], [-74.00434186788152, 40.6708126899034], [-74.00427525826748, 40.67079414988654], [-74.00420864869051, 40.67077560983109], [-74.00414203915047, 40.670757069737014], [-74.00407543201295, 40.67073852960424], [-74.00400882254701, 40.670719989432975], [-74.00395076415327, 40.670703737139235], [-74.00393500918521, 40.67069932605449], [-74.00393373421767, 40.67069898390226], [-74.00393245570413, 40.670698676870195], [-74.00393115590414, 40.67069840585951], [-74.00392985374043, 40.670698162764864], [-74.00392853029034, 40.67069795569151], [-74.00392720565964, 40.67069778463883], [-74.00392587866529, 40.670697642402715], [-74.00392453275016, 40.670697541590876], [-74.0039231951157, 40.670697470495824], [-74.00392184802182, 40.67069743542165], [-74.00392049974727, 40.670697435467616], [-74.00391916093649, 40.67069747243434], [-74.00391781503153, 40.670697543620896], [-74.0039164785903, 40.670697651728254], [-74.00391514215106, 40.67069779405515], [-74.00391381754058, 40.67069796699918], [-74.00391250357681, 40.670698181366525], [-74.00391120025903, 40.67069842454999], [-74.00390990167374, 40.67069869745029], [-74.00390862319668, 40.670699010873065], [-74.0039073565483, 40.67069935401247], [-74.00390610409424, 40.67069973137091], [-74.00390487293086, 40.67070014474926], [-74.00390365596142, 40.67070058604308], [-74.00390246264762, 40.67070105525207], [-74.00390129062441, 40.670701560480914], [-74.00390014343934, 40.67070209182386], [-74.00389901991026, 40.67070265828611], [-74.00389792003666, 40.670703251762994], [-74.00389684618405, 40.67070387315498], [-74.00389580544805, 40.67070451435713], [-74.00389479782959, 40.670705189777784], [-74.00389381504927, 40.67070589131252], [-74.00389286065521, 40.670706619861726], [-74.00389194765665, 40.67070736822085], [-74.00389106186171, 40.67070814269404], [-74.00389021154871, 40.67070893607682], [-74.00388940617968, 40.67070975467252], [-74.00388862683114, 40.67071059307865], [-74.00388789360873, 40.67071144859304], [-74.0038871958687, 40.67071232932061], [-74.00388654307181, 40.670713221753374], [-74.00388592812223, 40.67071413129465], [-74.00388534983733, 40.67071505884502], [-74.00388481649547, 40.670715996299506], [-74.00388432218355, 40.670716950862484], [-74.00386996596302, 40.67074667735801], [-74.00386260218711, 40.67076193413652], [-74.00383890611276, 40.670811109371066], [-74.00381520763806, 40.670860284600565], [-74.00379151031103, 40.67090945892432]]]]}",306,Red Hook Park Zone 5,26
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95255596792327, 40.66469396736157], [-73.95242248354327, 40.664701493676674], [-73.95218818035318, 40.664714716067], [-73.95218659180702, 40.66473331916939], [-73.95216114271727, 40.66503303727097], [-73.95218275620711, 40.66503584506109], [-73.95222427735624, 40.665037249107485], [-73.95227285843977, 40.66503889110289], [-73.95231454424268, 40.66504157301734], [-73.95236293152071, 40.66504468183507], [-73.95240432051648, 40.66504733928016], [-73.9524530199956, 40.665050466199496], [-73.95248779555229, 40.665051973623385], [-73.95252148551626, 40.66505343916494], [-73.95252688032912, 40.66499721766923], [-73.95255021453848, 40.66475392945668], [-73.95255596792327, 40.66469396736157]]]]}",309,Dodger Playground,20
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.86240245724471, 40.65696533366532], [-73.86338830349935, 40.65829030420704], [-73.86189369151438, 40.658934310383444], [-73.86196103135529, 40.65902431511342], [-73.86195909273589, 40.65902513586013], [-73.86196102431347, 40.6590277181614], [-73.86244614067296, 40.659676121814414], [-73.86275422520528, 40.66094004563408], [-73.86687846915146, 40.66033867133999], [-73.86397404068082, 40.656421815993035], [-73.86389999585052, 40.65632565484397], [-73.86381823119407, 40.65623696330779], [-73.86372898379092, 40.656152559218704], [-73.86363263956146, 40.6560728086272], [-73.86352961638747, 40.65599805690976], [-73.86342036056628, 40.65592862786452], [-73.86330534444791, 40.65586482280821], [-73.86318506644275, 40.655806916974534], [-73.8630600486529, 40.65575516131275], [-73.86257635643523, 40.65557035464192], [-73.86248447830484, 40.65553868527502], [-73.86238957214537, 40.65551270708809], [-73.8622922441805, 40.65549258559426], [-73.86219311607849, 40.65547844940586], [-73.8620928225902, 40.65547038933118], [-73.86199200445711, 40.65546845746551], [-73.86145145762367, 40.65547455879704], [-73.861369800445, 40.65547391469292], [-73.86128828930255, 40.655470140506026], [-73.86128549342969, 40.65547327814133], [-73.86128828222678, 40.65547354355535], [-73.86240245724471, 40.65696533366532]]], [[[-73.85841762782009, 40.66345547940945], [-73.85913129194584, 40.66335262137785], [-73.85926288770585, 40.663390381751945], [-73.8591111788123, 40.662786574776625], [-73.85886233663133, 40.661801780867656], [-73.85831106364967, 40.66188123570639], [-73.85823790692102, 40.66189177888285], [-73.8582062677649, 40.66189633973017], [-73.85820465414689, 40.661899974030675], [-73.8582062605312, 40.66189974277678], [-73.85817367731339, 40.66197234104854], [-73.85813775562536, 40.66205720744526], [-73.8581369105882, 40.66205920465132], [-73.85813774838816, 40.6620606104918], [-73.85809284852913, 40.66216668559414], [-73.8581232407139, 40.6622869979928], [-73.85813469661693, 40.66233233606421], [-73.85833382356175, 40.66312038829275], [-73.85841762782009, 40.66345547940945]]], [[[-73.85908283173315, 40.66177000087695], [-73.85946955715079, 40.66330386687193], [-73.86019453387199, 40.663199371721056], [-73.85980779357234, 40.661665508146086], [-73.85908283173315, 40.66177000087695]]], [[[-73.8588425485649, 40.659962407136234], [-73.85883977372787, 40.65996384275827], [-73.85875057081186, 40.659976322492014], [-73.8585387680125, 40.66000595579574], [-73.85843456986323, 40.66002053305883], [-73.85772887312369, 40.6601192578408], [-73.85793008409377, 40.660910646378845], [-73.85794408733054, 40.66096572582011], [-73.8580057506606, 40.66120825370002], [-73.85801694655461, 40.66125228661836], [-73.85803190805183, 40.66131113049213], [-73.85804686957738, 40.66136997346307], [-73.85804676921005, 40.661370459618695], [-73.85806690815464, 40.66145085655884], [-73.85809001611379, 40.6615431061669], [-73.85810863432573, 40.66161743173394], [-73.86246507230209, 40.660982207398796], [-73.86237893683878, 40.660630967385046], [-73.8621592892412, 40.659732131021094], [-73.86171480620503, 40.659131972525046], [-73.86149020579164, 40.65922707251713], [-73.86149074470143, 40.65922722085096], [-73.86131676416969, 40.659301178757964], [-73.86111635113747, 40.65938637266771], [-73.86045306109712, 40.65966833064611], [-73.86024815067003, 40.65972327640197], [-73.8602092403898, 40.659735121357755], [-73.86004892169673, 40.65978392718127], [-73.85984084478565, 40.659823784688214], [-73.85956152443453, 40.65986286416185], [-73.85945585171012, 40.65987764946957], [-73.85924647084727, 40.659906943937884], [-73.85924537655083, 40.65990604928535], [-73.8588425485649, 40.659962407136234]]]]}","305, 410",Spring Creek Park,19
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98881972964085, 40.58300744600459], [-73.98865255817958, 40.583275118398355], [-73.9885990107653, 40.583427528536326], [-73.98858244873065, 40.583544560752614], [-73.98859159043825, 40.58369914465635], [-73.98862793418932, 40.58382652102954], [-73.98868644012921, 40.58394036650459], [-73.98875255989086, 40.58404108666143], [-73.9888619283498, 40.584190346502645], [-73.98902163910734, 40.58438001125025], [-73.98920354385375, 40.584547469146884], [-73.98940796288309, 40.584691392745796], [-73.98965317396032, 40.584847847743774], [-73.98980495809079, 40.58494469010993], [-73.99281002856469, 40.58350362307961], [-73.99356938309293, 40.583139455778834], [-73.99500710124309, 40.58244993768251], [-73.99510993742112, 40.582472258885716], [-73.99538622032043, 40.58233316010019], [-73.99529872048429, 40.581935939104724], [-73.9899093075986, 40.580726656876905], [-73.98988880803343, 40.58077563727249], [-73.98945269567825, 40.58203279962885], [-73.98881972964085, 40.58300744600459]]]]}",313,Coney Island Boat Basin,23
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97493871387397, 40.61298877568354], [-73.97494255479768, 40.612993789722076], [-73.97494649428117, 40.61299752414143], [-73.97495083591808, 40.613000236556765], [-73.9749528643785, 40.61300150313153], [-73.97495936380538, 40.613004079137525], [-73.97495962137195, 40.61300418185305], [-73.97496489238478, 40.61300535187761], [-73.97496848450088, 40.6130058200304], [-73.97497028764886, 40.613006054558554], [-73.97497737422489, 40.61300586338992], [-73.97498351696971, 40.61300479941045], [-73.9749841551156, 40.61300468878524], [-73.9749903809931, 40.61300251538146], [-73.97499300244525, 40.61300118768313], [-73.97499683889026, 40.6129992424915], [-73.97500147242484, 40.612995585582425], [-73.97504205790511, 40.61295219108388], [-73.97504648386564, 40.61294744719888], [-73.97505742700262, 40.61293571938556], [-73.9750693063963, 40.61292298679267], [-73.97508525477339, 40.612905783092565], [-73.97508927584951, 40.612899872042696], [-73.97509126639899, 40.61289506459168], [-73.97509130901786, 40.612894853879], [-73.97509221584045, 40.612890401898895], [-73.9750922402185, 40.61288523921646], [-73.97509121884326, 40.612880004265676], [-73.975090868198, 40.61287916940659], [-73.97508920115456, 40.612875207652785], [-73.97508537698589, 40.612869615488144], [-73.975079163542, 40.61286384720375], [-73.97506874600886, 40.612857276543416], [-73.97505234215939, 40.61284745640327], [-73.97504123101973, 40.61284080634403], [-73.97504100182657, 40.612840669415014], [-73.97502931415391, 40.612833696842905], [-73.974998892897, 40.61281555823676], [-73.97497038789868, 40.612798562801146], [-73.9749647738528, 40.612795214341375], [-73.97496021833271, 40.61279253790072], [-73.97495894831569, 40.6127917928931], [-73.97495283441569, 40.612788466836896], [-73.97494954987735, 40.61278711533937], [-73.97494747282019, 40.61278626119266], [-73.97494491353564, 40.61278568880387], [-73.97494181190946, 40.612784995626996], [-73.97493609406638, 40.612784295575935], [-73.97493286579362, 40.61278415619171], [-73.97493081090113, 40.612784067492505], [-73.97492329869056, 40.61278494116043], [-73.97491697613648, 40.61278657602788], [-73.97491022650577, 40.61278952286104], [-73.97490593471127, 40.61279257379038], [-73.9749037007565, 40.612794160020975], [-73.97490100434739, 40.61279686549832], [-73.97489905621931, 40.61279881740274], [-73.97489660043762, 40.61280267469911], [-73.97489496590907, 40.612806553787266], [-73.97489404860336, 40.61281056991127], [-73.97489393107703, 40.612815149936196], [-73.97490257903773, 40.61285785363734], [-73.97491233289354, 40.612904132648005], [-73.97491321525767, 40.61290819689251], [-73.9749227455174, 40.61295206065551], [-73.9749236244257, 40.61295589076366], [-73.97492458605575, 40.61295970918309], [-73.97492510301363, 40.6129613473438], [-73.9749262585009, 40.612964999209126], [-73.97492640131303, 40.612965453102916], [-73.97492861252583, 40.6129709458637], [-73.97493032221396, 40.6129746104571], [-73.97493219144592, 40.612978228258214], [-73.97493421076894, 40.61298179746385], [-73.97493638845619, 40.61298531447377], [-73.97493871387397, 40.61298877568354]]]]}",311,Dahill Triangle,22
