shape_leng,shape_area,zoned_dist,boro_num,x_centroid
11859.1484033,4860823.38055,17,3,0.0
15299.5800525,8187145.40188,21,3,0.0
13099.588418,8003233.5866,15,3,0.0
9657.99421451,4627641.62376,16,3,0.0
16403.361532,9130096.42969,22,3,0.0
14150.4441811,9579792.80902,21,3,0.0
17306.9540984,10480626.2499,21,3,0.0
19361.8108868,13297650.0404,20,3,0.0
10484.7741062,5335759.93964,19,3,0.0
3265.44817312,666387.078922,16,3,0.0
18657.5174446,20958531.5908,15,3,0.0
6884.01154674,1885953.14902,19,3,0.0
5643.4577474,1620627.6637,14,3,0.0
7172.9193513,2568337.42787,16,3,0.0
19347.7399239,13238145.7794,22,3,0.0
12764.5335467,7912524.6635,22,3,0.0
14158.8473798,9570695.20471,22,3,0.0
12248.435633,4597222.43828,15,3,0.0
11788.6723285,4372796.36226,17,3,0.0
15409.7577778,8109696.19146,17,3,0.0
25789.6646911,12798958.6005,15,3,0.0
8161.97549663,3416510.46124,13,3,0.0
20314.9241837,12888898.7446,22,3,0.0
9549.40477371,3703004.40459,32,3,0.0
9699.88041839,2472698.28473,14,3,0.0
15288.8129304,7394241.79668,20,3,0.0
7212.502791,3185840.50179,32,3,0.0
13756.7496699,5968713.47026,15,3,0.0
25877.0668475,15907345.8421,19,3,0.0
26410.3815858,9456957.99082,20,3,0.0
11408.6726675,4315079.43429,13,3,0.0
9163.42790919,2781628.17105,17,3,0.0
15778.4350214,7190592.87202,19,3,0.0
12207.5195825,3788932.08337,16,3,0.0
28618.1324204,22167941.3875,18,3,0.0
11212.1961768,4316869.35872,19,3,0.0
19512.2966006,6613407.70193,20,3,0.0
11939.272724,6988907.68767,21,3,0.0
14298.8180844,5669663.49897,13,3,0.0
16670.7845054,9925246.0037,22,3,0.0
8053.68319947,3791473.76874,20,3,0.0
8210.53469386,3608729.73713,17,3,0.0
6782.79094401,1833886.20521,21,3,0.0
12294.8070889,6053773.3646,20,3,0.0
14369.0275747,8756277.65591,21,3,0.0
13454.4851151,6969508.32985,20,3,0.0
