job_number,location,community_board,ex_dwelling_unit,:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,pr_dwelling_unit
421364785,"{'latitude': '40.744965', 'longitude': '-73.785441'}",11.0,1.0,3.0,14507.0,1.0
420659898,"{'latitude': '40.602423', 'longitude': '-73.821205'}",14.0,,41.0,20531.0,1.0
120234816,"{'latitude': '40.769479', 'longitude': '-73.962111'}",8.0,1.0,51.0,12083.0,1.0
121186670,"{'latitude': '40.725438', 'longitude': '-73.997893'}",2.0,9.0,32.0,12075.0,9.0
421222484,"{'latitude': '40.695446', 'longitude': '-73.815625'}",9.0,1.0,46.0,24015.0,2.0
520328146,"{'latitude': '40.548537', 'longitude': '-74.150494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3.0,,9.0,10695.0,2.0
520373532,"{'latitude': '40.585827', 'longitude': '-74.090551'}",2.0,,14.0,10692.0,
421522098,"{'latitude': '40.769912', 'longitude': '-73.732878'}",11.0,,20.0,14197.0,
320458768,"{'latitude': '40.68922', 'longitude': '-73.955089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3.0,,49.0,17212.0,24.0
103693068,"{'latitude': '40.798406', 'longitude': '-73.936761'}",11.0,,35.0,13093.0,28.0
321761857,"{'latitude': '40.638445', 'longitude': '-74.00534', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12.0,2.0,7.0,18180.0,4.0
321383560,"{'latitude': '40.630684', 'longitude': '-73.970144', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14.0,,11.0,13513.0,22.0
123165733,"{'latitude': '40.803171', 'longitude': '-73.932502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11.0,,35.0,13093.0,0.0
402016652,"{'latitude': '40.595679', 'longitude': '-73.740352'}",14.0,,47.0,20529.0,2.0
103276410,"{'latitude': '40.757103', 'longitude': '-73.986193'}",5.0,,10.0,13094.0,
320591178,"{'latitude': '40.714613', 'longitude': '-73.951035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,,30.0,17613.0,6.0
321917725,"{'latitude': '40.638315', 'longitude': '-73.983955', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12.0,2.0,27.0,17620.0,2.0
104145211,"{'latitude': '40.783424', 'longitude': '-73.950634'}",8.0,,1.0,10099.0,8.0
520313367,"{'latitude': '40.569895', 'longitude': '-74.095788'}",2.0,,14.0,10693.0,2.0
121327162,"{'latitude': '40.74643', 'longitude': '-74.005193'}",4.0,,10.0,12074.0,32.0
110379518,"{'latitude': '40.764081', 'longitude': '-73.994271', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4.0,0.0,10.0,13094.0,177.0
421694919,"{'latitude': '40.679415', 'longitude': '-73.781855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12.0,1.0,46.0,24669.0,2.0
220246197,"{'latitude': '40.842742', 'longitude': '-73.838399'}",11.0,,12.0,11270.0,
123372769,"{'latitude': '40.708115', 'longitude': '-74.008768', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,,32.0,11726.0,
121450312,"{'latitude': '40.743218', 'longitude': '-73.993562'}",4.0,,10.0,12074.0,
421360333,"{'latitude': '40.671953', 'longitude': '-73.785149'}",12.0,,46.0,24669.0,
421550066,"{'latitude': '40.749201', 'longitude': '-73.710924'}",13.0,1.0,16.0,16098.0,2.0
110148652,"{'latitude': '40.731458', 'longitude': '-73.976796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6.0,315.0,51.0,11729.0,315.0
301210437,"{'latitude': '40.636455', 'longitude': '-73.933582'}",17.0,,26.0,16866.0,
220462381,"{'latitude': '40.817371', 'longitude': '-73.914557'}",1.0,,43.0,10933.0,161.0
421434139,"{'latitude': '40.734821', 'longitude': '-73.758497'}",11.0,1.0,16.0,14506.0,1.0
420662740,"{'latitude': '40.598584', 'longitude': '-73.820016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14.0,,41.0,20531.0,2.0
320100234,"{'latitude': '40.683454', 'longitude': '-73.975691'}",2.0,,48.0,17619.0,
210178387,"{'latitude': '40.82798', 'longitude': '-73.91515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4.0,3.0,42.0,10934.0,7.0
301556144,"{'latitude': '40.605257', 'longitude': '-73.947633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",15.0,1.0,15.0,13512.0,1.0
102690571,"{'latitude': '40.750934', 'longitude': '-74.005955', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4.0,0.0,10.0,11722.0,0.0
121329268,"{'latitude': '40.711393', 'longitude': '-74.006666'}",1.0,0.0,32.0,13096.0,354.0
310231736,"{'latitude': '40.70856', 'longitude': '-73.938091'}",1.0,,30.0,17213.0,
103247194,"{'latitude': '40.774267', 'longitude': '-73.963285'}",8.0,,51.0,10092.0,63.0
123132109,"{'latitude': '40.705308', 'longitude': '-74.004873'}",1.0,0.0,32.0,13096.0,
520202986,"{'latitude': '40.615146', 'longitude': '-74.088999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,,13.0,10691.0,1.0
120941428,"{'latitude': '40.806028', 'longitude': '-73.946749'}",10.0,2.0,36.0,12424.0,5.0
122013935,"{'latitude': '40.731726', 'longitude': '-74.004366', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,1.0,10.0,12077.0,1.0
220524136,"{'latitude': '40.824325', 'longitude': '-73.898852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,,43.0,10937.0,10.0
421261501,"{'latitude': '40.699702', 'longitude': '-73.904354'}",5.0,,30.0,15310.0,9.0
220240727,"{'latitude': '40.847152', 'longitude': '-73.782845'}",10.0,,12.0,11273.0,2.0
123334784,"{'latitude': '40.706449', 'longitude': '-74.012761'}",1.0,,32.0,11725.0,
123519978,"{'latitude': '40.739203', 'longitude': '-74.001198'}",4.0,46.0,10.0,12074.0,46.0
520327432,"{'latitude': '40.594379', 'longitude': '-74.06916'}",2.0,,14.0,10692.0,1.0
520294985,"{'latitude': '40.557818', 'longitude': '-74.16536'}",3.0,1.0,9.0,10699.0,1.0
402146487,"{'latitude': '40.595643', 'longitude': '-73.740341'}",14.0,,47.0,20529.0,2.0
321206976,"{'latitude': '40.684914', 'longitude': '-73.996921'}",6.0,4.0,27.0,13514.0,1.0
421534067,"{'latitude': '40.762306', 'longitude': '-73.831583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7.0,,3.0,13832.0,
121733446,"{'latitude': '40.755685', 'longitude': '-73.972943'}",6.0,,51.0,12079.0,656.0
321552271,"{'latitude': '40.62751', 'longitude': '-74.005696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10.0,,7.0,17621.0,
520318656,"{'latitude': '40.569895', 'longitude': '-74.095788'}",2.0,,14.0,10693.0,
220615047,"{'latitude': '40.871303', 'longitude': '-73.838449', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12.0,1.0,2.0,11607.0,2.0
421341248,"{'latitude': '40.760168', 'longitude': '-73.808714'}",7.0,,3.0,14190.0,
420663017,"{'latitude': '40.5958', 'longitude': '-73.793529'}",14.0,,47.0,20530.0,2.0
421188752,"{'latitude': '40.668348', 'longitude': '-73.819384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10.0,,41.0,24016.0,1.0
420656365,"{'latitude': '40.573925', 'longitude': '-73.854693'}",14.0,1.0,41.0,20532.0,1.0
121186028,"{'latitude': '40.75631', 'longitude': '-73.97194', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6.0,,51.0,12079.0,124.0
402146995,"{'latitude': '40.595653', 'longitude': '-73.741105'}",14.0,,47.0,20529.0,2.0
421557648,"{'latitude': '40.741492', 'longitude': '-73.896665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,1.0,33.0,14787.0,2.0
402146940,"{'latitude': '40.595612', 'longitude': '-73.74109'}",14.0,,47.0,20529.0,2.0
210060039,"{'latitude': '40.812915', 'longitude': '-73.889889'}",2.0,0.0,43.0,12343.0,0.0
104618567,"{'latitude': '40.776872', 'longitude': '-73.977491'}",7.0,,19.0,12420.0,211.0
100333970,"{'latitude': '40.78476', 'longitude': '-73.955952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8.0,90.0,51.0,10099.0,90.0
220402348,"{'latitude': '40.847526', 'longitude': '-73.783592'}",10.0,,12.0,11273.0,1.0
310305577,"{'latitude': '40.703921', 'longitude': '-73.927362'}",4.0,,30.0,13828.0,8.0
121183744,"{'latitude': '40.756023', 'longitude': '-73.974831'}",5.0,,51.0,10358.0,
321631702,"{'latitude': '40.637882', 'longitude': '-74.011962'}",7.0,2.0,7.0,18180.0,3.0
321033029,"{'latitude': '40.639945', 'longitude': '-73.985184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12.0,,27.0,17620.0,
110124767,"{'latitude': '40.746089', 'longitude': '-73.992576'}",5.0,1.0,10.0,11722.0,1.0
120640510,"{'latitude': '40.729135', 'longitude': '-74.007043'}",2.0,,10.0,12077.0,
123137300,"{'latitude': '40.741111', 'longitude': '-73.978539'}",6.0,353.0,50.0,12078.0,353.0
320863213,"{'latitude': '40.698939', 'longitude': '-73.915123'}",4.0,,37.0,13828.0,6.0
