bin_number,filing_status_raw,borough,:@computed_region_yeji_bk3q
1053387,New,Manhattan,4.0
1009973,New,Manhattan,4.0
2129273,New,Bronx,5.0
4607513,New,Queens,3.0
2119449,New,Bronx,5.0
1000813,New,Manhattan,4.0
1013712,New,Manhattan,4.0
5169699,New,Staten Island,1.0
5095564,New,Staten Island,1.0
4616909,New,Queens,3.0
3003938,New,Brooklyn,2.0
4540141,New,Queens,3.0
1036232,New,Manhattan,4.0
3360044,New,Brooklyn,2.0
5170434,New,Staten Island,1.0
2062171,New,Bronx,5.0
4617551,New,Queens,3.0
4302545,New,Queens,3.0
4601802,New,Queens,3.0
4305996,New,Queens,3.0
1090524,New,Manhattan,4.0
4616958,New,Queens,3.0
4031824,New,Queens,3.0
4616962,New,Queens,3.0
2129266,New,Bronx,5.0
1087511,New,Manhattan,4.0
1047067,New,Manhattan,4.0
2119459,New,Bronx,5.0
3414343,New,Brooklyn,2.0
1035441,New,Manhattan,4.0
3016344,New,Brooklyn,2.0
3123308,New,Brooklyn,2.0
1015055,New,Manhattan,4.0
1010382,New,Manhattan,4.0
1082734,New,Manhattan,4.0
3413752,New,Brooklyn,2.0
4616927,New,Queens,3.0
5174595,New,Staten Island,1.0
1002602,New,Manhattan,4.0
5141308,New,Staten Island,1.0
5063300,New,Staten Island,1.0
1024838,New,Manhattan,4.0
4617594,New,Queens,3.0
1002012,New,Manhattan,4.0
4101228,New,Queens,3.0
3114866,New,Brooklyn,2.0
4041163,New,Queens,3.0
1034506,New,Manhattan,4.0
4618887,New,Queens,3.0
4032003,New,Queens,3.0
1090584,New,Manhattan,4.0
5134380,New,Staten Island,1.0
3425883,New,Brooklyn,2.0
5068200,New,Staten Island,1.0
1017595,New,Manhattan,4.0
4005015,New,Queens,3.0
3426640,New,Brooklyn,2.0
3023331,New,Brooklyn,2.0
4297496,New,Queens,3.0
3018918,New,Brooklyn,2.0
1022689,New,Manhattan,4.0
2117663,New,Bronx,5.0
3095121,New,Brooklyn,2.0
4616960,New,Queens,3.0
4284788,New,Queens,3.0
1005359,New,Manhattan,4.0
1088185,New,Manhattan,4.0
1031154,New,Manhattan,4.0
2080263,New,Bronx,5.0
4186800,New,Queens,3.0
3022265,New,Brooklyn,2.0
1036232,New,Manhattan,4.0
1014802,New,Manhattan,4.0
2127429,New,Bronx,5.0
1080953,New,Manhattan,4.0
4141909,New,Queens,3.0
2005883,New,Bronx,5.0
4149598,New,Queens,3.0
1022689,New,Manhattan,4.0
5061795,New,Staten Island,1.0
2008196,New,Bronx,5.0
4189324,New,Queens,3.0
1087263,New,Manhattan,4.0
2102454,New,Bronx,5.0
4130070,New,Queens,3.0
1090158,New,Manhattan,4.0
2129115,New,Bronx,5.0
1024665,New,Manhattan,4.0
1089304,New,Manhattan,4.0
2119447,New,Bronx,5.0
1087268,New,Manhattan,4.0
3428871,New,Brooklyn,2.0
1041339,New,Manhattan,4.0
3425614,New,Brooklyn,2.0
2001143,New,Bronx,5.0
2119435,New,Bronx,5.0
3036341,New,Brooklyn,2.0
4036745,New,Queens,3.0
1087721,New,Manhattan,4.0
1041033,New,Manhattan,4.0
1090608,New,Manhattan,4.0
5018151,New,Staten Island,1.0
4001352,New,Queens,3.0
3056840,New,Brooklyn,2.0
2006838,New,Bronx,5.0
1018087,New,Manhattan,4.0
2048104,New,Bronx,5.0
3014119,New,Brooklyn,2.0
2119466,New,Bronx,5.0
1002323,New,Manhattan,4.0
3000141,New,Brooklyn,2.0
4139103,New,Queens,3.0
2129003,New,Bronx,5.0
1001102,New,Manhattan,4.0
3065007,New,Brooklyn,2.0
3391442,New,Brooklyn,2.0
1015523,New,Manhattan,4.0
1037546,New,Manhattan,4.0
5127497,New,Staten Island,1.0
2128509,New,Bronx,5.0
