court_index_number,docket_number,eviction_address,latitude,longitude,bin,bbl,executed_date,census_tract
90445/18C,89696,335 54TH STREET,40.644919,-74.016039,3014220.0,3008140063.0,2019-04-17T00:00:00.000,76.0
349801/23,5531,2332 TIEBOUT AVENUE,40.857408,-73.89677,2013340.0,2031430285.0,2025-04-23T00:00:00.000,38302.0
K69131/17A,99244,262 VERNON AVENUE,40.695521,-73.941309,3048910.0,3017610033.0,2017-11-21T00:00:00.000,283.0
349153/23,38773,1560 UNION PORT ROAD,40.839135,-73.861223,2096675.0,2039447501.0,2025-08-27T00:00:00.000,21001.0
0308708/25,38236,97-07 HORACE HARDING  EXPWY. LOT W- SPACE #31 OF THBRAZILIA BUILDING,,,,,2025-11-12T00:00:00.000,
51955/16,329258,662 SAGAMORE STREET,40.849082,-73.868753,2047838.0,2042530073.0,2017-05-31T00:00:00.000,220.0
72611/19,35854,20 ST. PAULS COURT,40.650826,-73.96194,3116540.0,3050800054.0,2025-06-03T00:00:00.000,50801.0
250703/18,114085,40 WEST 135TH STREET,40.813586,-73.939644,1053895.0,1017300064.0,2018-09-14T00:00:00.000,212.0
N084012/16,376305,167 WEST 133 STREET,40.813725,-73.94395,1058211.0,1019180007.0,2017-07-31T00:00:00.000,226.0
315961/24,8102,3150 ROBERTS AVE,40.846711,-73.827379,2046192.0,2041740005.0,2025-09-02T00:00:00.000,26602.0
77441/17,16117,46-01 67TH STREET,40.739553,-73.897653,4056316.0,4024310023.0,2018-04-18T00:00:00.000,243.0
N067061/19,408408,200 WEST 147TH STREET,40.823167,-73.9387,1084142.0,1020320034.0,2020-01-06T00:00:00.000,234.0
69610/18,206640,515 WEST 38TH STREET,40.757461,-73.998105,1090727.0,1007107501.0,2018-12-11T00:00:00.000,117.0
316303/23,40106,118-10 ROCKAWAY BLVD,40.676237,-73.819907,4253498.0,4117110040.0,2024-12-12T00:00:00.000,840.0
50292/18,9919,602 WEST 184TH STREET A/K/A 1471 ST. NICHOLAS AVENUE - APT #41,40.851187,-73.93267,1063957.0,1021650063.0,2019-09-04T00:00:00.000,271.0
305468/23,18168,2250 84TH STREET APARTMENT #2,40.6024,-73.991494,3165456.0,3063360028.0,2024-01-04T00:00:00.000,296.0
329036/22,10034,1084 HOME STREET,40.827849,-73.88689,2006310.0,2027580029.0,2024-03-14T00:00:00.000,12101.0
329332/22,298,324 VAN BRUNT STREET  GROUND FLOOR,40.678798,-74.01122,3008474.0,3005450019.0,2025-04-02T00:00:00.000,53.0
901298/16,321018,"1285 BEACH AV-BKA WHSE UNIT 102-15, ST VAULT",,,,,2017-01-11T00:00:00.000,
28808/18A,484858,2505 OLINVILLE AVENU E,40.863587,-73.868435,2051281.0,2044280001.0,2019-03-07T00:00:00.000,33202.0
1780/16,459639,1735 LAFAYETTE AVE.,40.820848,-73.866991,2022545.0,2036360001.0,2017-01-27T00:00:00.000,46.0
K74943/19,100567,38 SIXTH AVENUE,40.681782,-73.974142,3418421.0,3011187501.0,2020-03-02T00:00:00.000,12902.0
B304865/21,105379,2507 CRUGER AVE,40.863582,-73.86641,2051319.0,2044330001.0,2023-02-15T00:00:00.000,330.0
304173/21,16042,917 EAGLE AVENUE APT. 1C,40.823122,-73.908039,2004381.0,2026200034.0,2023-08-04T00:00:00.000,141.0
74513/17,69212,193 VAN BUREN STREET,40.690621,-73.938428,3043562.0,3016090070.0,2017-12-13T00:00:00.000,279.0
55351/20,31753,22-62 MOTT AVENUE,40.605765,-73.757358,4299549.0,4156610018.0,2023-09-29T00:00:00.000,103201.0
319172/24,213185,31-81 45TH STREET,40.757646,-73.914547,4012534.0,4007110010.0,2025-11-18T00:00:00.000,153.0
39891/18,486244,725 SOUTHERN BOULEVA RD,,,,,2019-01-17T00:00:00.000,
B56553/17B,101950,3017 PAULDING AVENUE,40.86991,-73.858541,2101646.0,2045760046.0,2018-05-23T00:00:00.000,342.0
74394/17,8873,20 WEST 46 STREET,40.756405,-73.979938,1034257.0,1012610050.0,2018-01-23T00:00:00.000,96.0
64497/19,25165,69-10 YELLOWSTONE BLVD.,40.724274,-73.846688,4051288.0,4021400021.0,2019-10-17T00:00:00.000,71303.0
B61244/18,113324,1523 LELAND AVENUE,40.838601,-73.864682,2028657.0,2039220025.0,2019-12-04T00:00:00.000,21601.0
13991/19,96564,1245 STRATFORD AVE,40.830623,-73.875843,2025350.0,2037760056.0,2019-07-25T00:00:00.000,54.0
50762/17,73010,150 TRANTOR PLACE,40.629838,-74.144207,5146053.0,5011330078.0,2018-08-20T00:00:00.000,247.0
78623/17,14225,512 SEVENTH AVENUE,40.753283,-73.98897,1014460.0,1007870044.0,2018-01-10T00:00:00.000,109.0
72008/17,8121,147-64 259TH STREET,40.65559,-73.72962,4531668.0,4136710063.0,2018-03-19T00:00:00.000,664.0
61547/17,6107,401 EAST 82ND STREET - APARTMENT 4A,40.774158,-73.950919,1050401.0,1015620001.0,2017-08-28T00:00:00.000,136.0
321358/23,32629,2301 WEST 7TH STREET,40.591795,-73.977611,3389671.0,3071670001.0,2024-01-04T00:00:00.000,386.0
327449/23B,119994,2058 POWELL AVENUE,40.830678,-73.854758,2026158.0,2038010032.0,2025-11-06T00:00:00.000,78.0
64697/18,483271,20 AVENUE A,40.722854,-73.985854,1077494.0,1003970007.0,2018-08-28T00:00:00.000,3002.0
72786/10,2960,234-32 MERRICK BLVD.,40.674315,-73.735702,4539017.0,4131980039.0,2017-05-15T00:00:00.000,632.0
306966/23,37119,325 BEACH 57 STREET,40.593283,-73.787095,4436429.0,4158950050.0,2024-08-01T00:00:00.000,97204.0
321004/23,9696,320 E. 159TH STREET,40.823694,-73.916973,2113089.0,2024180033.0,2024-01-18T00:00:00.000,69.0
75156/16,7248,114-14 SPRINGFIELD BLVD,40.701526,-73.741307,4237288.0,4110310029.0,2017-03-17T00:00:00.000,53401.0
312644/23-,25567,8754 17TH AVENUE,40.605601,-74.007984,3167633.0,3063990072.0,2024-11-08T00:00:00.000,180.0
305510/22,29109,1663 PARK AVENUE IN THE BUILDING KNOWN AS 1661 PARK AVENUE AKA 101-105 EAST 117TH STREET,,,,,2023-02-14T00:00:00.000,
B318312/23,415726,2138 WALLACE AVENUE,40.85413,-73.864813,2048825.0,2042920024.0,2024-02-28T00:00:00.000,228.0
B053658/17,386335,2045 STORY AVENUE,40.824831,-73.854232,2092769.0,2036810001.0,2018-10-24T00:00:00.000,98.0
310114/23,6860,2610 UNIVERSITY AVE,40.86729,-73.901835,2092425.0,2032150008.0,2024-05-23T00:00:00.000,265.0
318883/22,11602,72-10 37TH AVENUE,40.748777,-73.89347,4029767.0,4012830001.0,2024-12-19T00:00:00.000,291.0
64758/17,78477,1025 GERARD AVENUE,40.830975,-73.922916,2002993.0,2024860025.0,2018-05-10T00:00:00.000,195.0
300588/24,22668,6441 CENTRAL AVENUE APT 2,40.702191,-73.891388,4088414.0,4036420027.0,2025-06-03T00:00:00.000,579.0
50315/23,64524,785 BARBEY STREET,40.663016,-73.884214,3390973.0,3043320001.0,2024-02-26T00:00:00.000,1104.0
313374/22,118211,40 EAST 43RD STREET,40.655256,-73.93756,3323148.0,3048470004.0,2023-07-31T00:00:00.000,872.0
306534/23-,25805,132-18 ROCKAWAY BLVD  2ND FLOOR BACK REAR,,,,,2025-03-19T00:00:00.000,
305374/21,105797,53 WESTCHESTER SQUARE,40.841631,-73.843472,2093112.0,2040730001.0,2022-12-14T00:00:00.000,200.0
11717/18,344287,1212 DR. MARTIN LUTHER KING JR. BLVD.,40.838281,-73.927269,2116375.0,2025280011.0,2018-05-25T00:00:00.000,199.0
310931/24,143737,148-37 88TH AVENUE,40.705271,-73.807739,4000000.0,4096940049.0,2025-06-04T00:00:00.000,238.0
311537/23,211534,68-13 60TH STREET,40.703672,-73.899905,4084243.0,4035130004.0,2025-07-08T00:00:00.000,585.0
306483/23A,118629,1269 GRAND CONCOURSE,40.835963,-73.916307,2002862.0,2024660032.0,2025-03-20T00:00:00.000,22102.0
51565/17,9170,78-09 101ST AVENUE,40.680516,-73.859224,4188072.0,4090500037.0,2017-05-18T00:00:00.000,42.0
329083/23A,1829,2245 WEBSTER AVENUE,40.855288,-73.896213,2013324.0,2031430172.0,2025-01-31T00:00:00.000,38302.0
316099/23,24263,592 WALES AVENUE       UNIT 2H,40.813956,-73.906845,2127500.0,2026530028.0,2023-12-14T00:00:00.000,79.0
7557/19,94985,390 EAST 158TH ST,40.822406,-73.915197,2117805.0,2024047501.0,2019-05-09T00:00:00.000,69.0
82092/19A,107980,1281 ST. JOHNS PLACE,40.670848,-73.935649,3036781.0,3013770054.0,2022-05-31T00:00:00.000,353.0
0000178/24,64910,1700 CARROLL STREET,40.666067,-73.930453,3038166.0,3014150015.0,2025-02-03T00:00:00.000,349.0
352131/23A,135242,1632 HUTCHINSON  RIV ER PARKWAY,,,,,2025-03-18T00:00:00.000,
B348739/23,114970,2979 MARION AVE,40.869431,-73.883551,2016744.0,2032920045.0,2025-05-29T00:00:00.000,415.0
99298/17,78197,957 UTICA AVENUE,40.649491,-73.930127,3103804.0,3047220064.0,2018-05-09T00:00:00.000,862.0
305843/23,23999,2685 CRESTON AVENUE,40.867449,-73.894842,2017481.0,2033160050.0,2023-06-27T00:00:00.000,40304.0
69263/19,105849,439 WEST 53RD ST THE SECOND BEDROOM CONTAINED IN APFURTHEST BEDROOM FRO,,,,,2022-04-22T00:00:00.000,
N309103/22,412871,125 WEST 112TH STREET,40.800121,-73.9531,1054980.0,1018220014.0,2023-02-06T00:00:00.000,216.0
58808/18-2,15399,3030 HEATH AVENUE,40.876809,-73.902428,2015749.0,2032570001.0,2019-09-03T00:00:00.000,277.0
B021984/17,380947,1474 WATSON AVENUE,40.825727,-73.880777,2023352.0,2037110040.0,2017-06-07T00:00:00.000,52.0
74095/16,461613,532 W. 207TH ST. IN THE BLDG K/A 221 *,,,,,2017-01-20T00:00:00.000,
308326/21,106039,105 WEST 168TH ST,40.838398,-73.925141,2003313.0,2025180001.0,2022-05-20T00:00:00.000,211.0
50378/18,9976,330 WADSWORTH AVE,40.855188,-73.931061,1064084.0,1021700287.0,2018-05-01T00:00:00.000,279.0
B320760/23,125326,2519 CRESTON AVENUE,40.8634,-73.897679,2130480.0,2031750026.0,2024-10-28T00:00:00.000,401.0
310219/22,110523,109-59 198TH STREET,40.705786,-73.759259,4234130.0,4109380101.0,2024-06-05T00:00:00.000,506.0
305554/24,33565,83 WINTHROP STREET,40.65666,-73.957425,3115680.0,3050450070.0,2024-06-14T00:00:00.000,79601.0
74669/16,329271,1920 AMSTERDAM AVENUE,40.831818,-73.942815,1062692.0,1021140035.0,2017-03-17T00:00:00.000,241.0
301228/23N,116927,30 FAIRVIEW AVENUE,40.857416,-73.929193,1064095.0,1021700361.0,2023-06-14T00:00:00.000,279.0
0307055/22,13472,12-21 31ST AVENUE,40.768733,-73.933208,4005720.0,4005170015.0,2024-03-01T00:00:00.000,79.0
22066/18,482188,2420 MORRIS AVENUE,40.860979,-73.900264,2013904.0,2031730013.0,2018-07-13T00:00:00.000,23703.0
B804549/15,354750,1165 EAST 229TH  STREET,40.885979,-73.844608,2094153.0,2049050001.0,2018-05-04T00:00:00.000,458.0
K50265/17,94392,1563 DEKALB AVENUE,40.703156,-73.92038,3073658.0,3032370057.0,2019-02-04T00:00:00.000,445.0
302002/23,80590,53 MARINERS LANE,40.635841,-74.152323,5136078.0,5011860176.0,2025-04-10T00:00:00.000,223.0
K67552/18,89840,1573 REMSEN AVENUE,40.632995,-73.897899,3233403.0,3082740026.0,2018-08-28T00:00:00.000,1008.0
50919/18,76698,201 HAMILTON AVE.,40.645161,-74.083968,5112216.0,5000220070.0,2018-06-05T00:00:00.000,7.0
304248/23,35448,137-23A 68TH DRIVE,40.730732,-73.828914,,,2025-03-10T00:00:00.000,809.0
300144/24,137178,123 EAST 96TH STREET,40.663123,-73.923708,3100136.0,3046150060.0,2024-11-25T00:00:00.000,892.0
B319823/22,121969,140 WEST 238TH ST,40.884076,-73.898053,2016181.0,2032700113.0,2023-05-23T00:00:00.000,279.0
67974/19,12115,197 HESTER STREET - BASEMENT (ALL ROOMS IN THE BASEMENT FL),,,,,2020-03-12T00:00:00.000,
302199/24B,146629,30 KENILWORTH AVENUE,40.564928,-74.18332,5134130.0,5057270011.0,2025-05-12T00:00:00.000,17007.0
B037531/17,384087,575 JACKSON AVE,40.813931,-73.908835,2116203.0,2026230272.0,2017-11-30T00:00:00.000,73.0
17123/16,31716,1780 FIRST AVENUE,40.780878,-73.946441,1076333.0,1015730020.0,2017-01-26T00:00:00.000,152.0
Q50618/17B,77318,116-32 SPRINGFIELD B LVD,,,,,2018-09-21T00:00:00.000,
K077963/19,408575,735 LINCOLN AVENUE,40.671074,-73.866042,3343256.0,3042719001.0,2020-01-07T00:00:00.000,1208.0
Q66326/17,83478,97-33 83RD STREET,40.682778,-73.856886,4188257.0,4090540107.0,2017-12-15T00:00:00.000,42.0
338676/24,27428,362 EAST 198TH STREET 3RD FLOOR,40.866909,-73.886679,2016540.0,2032830139.0,2025-08-15T00:00:00.000,40502.0
78191/18,351119,528 WEST 123RD STREET,40.811816,-73.959146,1059686.0,1019770046.0,2019-01-28T00:00:00.000,211.0
30009/17,335342,2904 ELY AVENUE,40.869946,-73.835849,2112929.0,2047960139.0,2018-01-10T00:00:00.000,46202.0
77926/17,114035,"754 ONDERDONK AVE.,",40.703205,-73.905918,4082679.0,4034590031.0,2018-10-01T00:00:00.000,549.0
53365/19,23976,35-64 84TH STREET,40.751593,-73.882764,4035828.0,4014570034.0,2019-07-11T00:00:00.000,281.0
B046953/17,384990,1100 FRANKLIN AVENUE,40.82782,-73.906298,2113109.0,2026070049.0,2017-10-31T00:00:00.000,185.0
56928/19,23701,133-42 37TH AVENUE,40.760667,-73.833483,4532158.0,4049720036.0,2019-06-27T00:00:00.000,871.0
K55792/19A,116234,322 EAST 31ST STREET,40.642597,-73.947726,3111264.0,3049470016.0,2019-09-17T00:00:00.000,828.0
B015860/19,404637,3054 GODWIN TERRACE,40.87889,-73.906154,2083139.0,2057010113.0,2019-05-24T00:00:00.000,289.0
B304837/20,414770,1546 SELWYN AVENUE,40.841525,-73.910456,2007824.0,2028200016.0,2023-08-15T00:00:00.000,225.0
330250/24,7254,780 GRAND CONCOURSE,40.824405,-73.924047,2002789.0,2024580080.0,2025-10-24T00:00:00.000,5902.0
900262/18,482260,1526 SEDGWICK AVENUE,40.84684,-73.9249,2009172.0,2028800027.0,2018-08-03T00:00:00.000,20501.0
K84122/18,92580,120 VAN SICLEN AVENU E,40.677392,-73.891522,3087756.0,3039460027.0,2019-01-03T00:00:00.000,1198.0
71540/19,103339,1701 AVENUE Z,40.588197,-73.952313,3204045.0,3074380044.0,2020-11-30T00:00:00.000,592.0
97206/16,59620,73 EAST 96TH STREET,40.664279,-73.925001,3099544.0,3045990043.0,2017-03-20T00:00:00.000,892.0
084492/17,79491,571 VAN SICLEN AVE,40.665361,-73.888431,3090679.0,3040880018.0,2018-02-07T00:00:00.000,1124.0
55914/17,292775,711B SEAGIRT AVE,40.595996,-73.742187,4298968.0,4156100001.0,2017-09-11T00:00:00.000,101002.0
311721/21,108049,3513 EAST TREMONT AV ENUE,40.830872,-73.826387,2076559.0,2054230061.0,2022-08-08T00:00:00.000,164.0
326273/24,36989,1833 EAST 12TH ST,40.604581,-73.960652,3183927.0,3068180082.0,2025-04-11T00:00:00.000,556.0
15235/18,114819,466 WEST 26TH STREET,40.74943,-74.002422,1083578.0,1007230001.0,2019-02-04T00:00:00.000,93.0
250701/17,110019,45 WEST 132ND ST,40.811476,-73.940481,1053887.0,1017300009.0,2017-06-19T00:00:00.000,212.0
331528/22,15619,2701 KINGSBRIDGE TERR,40.870731,-73.90397,2015674.0,2032560005.0,2023-10-12T00:00:00.000,273.0
334518/22,364789,958 EAST 214TH STREET,40.87791,-73.857522,2058806.0,2046840061.0,2024-03-05T00:00:00.000,382.0
303820/23,200,784 BUSHWICK AVENUE 2ND FLOOR APARTMENT,,,,,2024-02-20T00:00:00.000,
87248/16A,71244,1675 STERLING PLACE,40.671063,-73.923227,3388664.0,3013750057.0,2018-01-19T00:00:00.000,359.0
351976/23,147244,1906 ARNOW AVENUE,40.869669,-73.835545,2114015.0,2047990136.0,2025-12-11T00:00:00.000,46202.0
321982/23,18093,371 GRANT AVENUE ENTIRE HOUSE,,,,,2024-05-22T00:00:00.000,
B054504/16,373493,173 FATHER ZEISER PLACE,40.863435,-73.906866,2101734.0,2032190232.0,2017-09-28T00:00:00.000,263.0
79890/17-2,204651,220 EAST 18TH STREET,40.645831,-73.962401,3117582.0,3051210018.0,2018-09-05T00:00:00.000,512.0
51900/18,82306,1417 NEW YORK AVENUE,40.638138,-73.945294,3327551.0,3049810001.0,2018-05-23T00:00:00.000,782.0
62350/18,86788,144-16 ROCKAWAY BLVD,40.67373,-73.79447,4261927.0,4120620058.0,2018-10-12T00:00:00.000,790.0
52040/16,461943,369 EAST 162ND ST.,40.825021,-73.914161,2001803.0,2024080033.0,2017-05-26T00:00:00.000,143.0
67426/18,347290,141 WEST 117TH STREET,40.80346,-73.950974,1057422.0,1019020013.0,2019-01-03T00:00:00.000,218.0
300724/23,32071,10 EAST 138TH STREET,40.814275,-73.935337,1081107.0,1017600001.0,2023-09-05T00:00:00.000,210.0
K80842/19,101543,1095 BUSHWICK AVENUE (A/K/A 53 WOODBINE STREET),,,,,2020-01-27T00:00:00.000,
43116/19,16076,2708 SCHURZ AVE  - APT 2ND FL (ALL ROOMS ON THE 2ND FL),,,,,2023-08-02T00:00:00.000,
302424/22B,108580,185 MOSELY AVENUE,40.540571,-74.171966,5079912.0,5062090074.0,2023-07-06T00:00:00.000,17005.0
K76368/16,73879,110 NEW LOTS AVENUE,40.658149,-73.901353,3000000.0,3038620001.0,2017-03-16T00:00:00.000,920.0
64955/18,81992,405 60TH STREET  A/K /A 5923 4TH AVENUE,40.640565,-74.017962,3016259.0,3008630001.0,2018-07-30T00:00:00.000,74.0
66401/19,117321,25-41 30TH ROAD,40.767529,-73.924578,4006909.0,4005760001.0,2019-11-04T00:00:00.000,73.0
11940/18,20628,40-05 COLLEGE POINT BLVD,40.75805,-73.834215,4443443.0,4050370008.0,2019-01-24T00:00:00.000,871.0
309529/25,56574,131 WEST 135 STREET,40.814649,-73.942121,1058268.0,1019200015.0,2025-11-25T00:00:00.000,228.0
52802/18,490972,355 EAST 87TH STREET,40.778025,-73.949974,1050064.0,1015500122.0,2019-09-19T00:00:00.000,14602.0
12755/17A,65602,3030 VALENTINE AVE,40.873289,-73.885171,2017248.0,2033080045.0,2017-09-05T00:00:00.000,413.0
310420/23,25087,4-75 48TH AVE,40.744596,-73.956445,4439033.0,4000190019.0,2024-02-21T00:00:00.000,1.0
Q71265/16,74106,70-34 67TH STREET,40.704034,-73.887544,4088638.0,4036490020.0,2017-10-20T00:00:00.000,627.0
Q304065/23,15942,72-34 45TH AVE,40.740647,-73.891163,4544541.0,4013520075.0,2024-07-24T00:00:00.000,485.0
K73439/17,98806,611 PENNSYLVANIA AVENUE,40.662212,-73.893349,3085552.0,3038400003.0,2018-08-28T00:00:00.000,1128.0
N314276/23,126348,40 ST.NICHOLAS PLACE,40.828578,-73.941434,1061192.0,1020540096.0,2024-03-13T00:00:00.000,23501.0
45084/18,349418,633 EAST 233RD STREET,40.894112,-73.859592,2068047.0,2049940037.0,2018-12-17T00:00:00.000,420.0
K326827/22,414110,8635 21ST AVENUE,40.602524,-73.996827,3166996.0,3063780019.0,2023-10-12T00:00:00.000,290.0
K90318/16A,93521,655 WARWICK STREET,40.666891,-73.884171,3090478.0,3040790011.0,2017-03-07T00:00:00.000,1124.0
Q075911/17,388166,43-32 KISSENA BOULEVARD,40.75479,-73.8239,4115904.0,4051370084.0,2018-01-24T00:00:00.000,79701.0
901511/16,320515,865-B WALTON AV-STORE #2 ATTORNEYS AT LAW,,,,,2017-02-27T00:00:00.000,
303757/23,33437,108-53 SUTPHIN BLVD,40.692022,-73.798351,4216038.0,4101410005.0,2024-03-22T00:00:00.000,254.0
300274/22,107690,110 GREENE STREET,40.724524,-73.99974,1007605.0,1004990007.0,2022-03-25T00:00:00.000,49.0
309257/23B,121375,27 WEST 181ST STREET,40.856197,-73.906684,2014202.0,2031950104.0,2024-01-02T00:00:00.000,251.0
K307511/22,415477,8700 25TH AVENUE,40.5959,-73.989313,3186146.0,3068780048.0,2023-10-17T00:00:00.000,302.0
51067/22,64138,23 CORNELIA STREET,40.687986,-73.917694,3077157.0,3033730051.0,2023-06-21T00:00:00.000,397.0
5605/18,480586,375 EAST MOSHOLU PKW Y N.,,,,,2018-05-03T00:00:00.000,
K99396/15,95547,510 RIVERDALE AVENUE,40.662633,-73.897584,3085401.0,3038350026.0,2023-10-23T00:00:00.000,1130.0
68873/19,100829,60 EAST 55TH STREET,40.760691,-73.97262,1087101.0,1012907501.0,2020-01-09T00:00:00.000,102.0
313055/24,25599,955 AMSTERDAM AVENUE AKA 174 W. 107TH ST,40.800979,-73.9653,1055978.0,1018610061.0,2025-04-08T00:00:00.000,193.0
34815/17A,472547,2474 VALENTINE AVE,40.861516,-73.896193,2013473.0,2031480006.0,2018-01-03T00:00:00.000,39902.0
343085/24,146234,127 EAST 183RD  STRE ET AKA 2301 CRESTON AVENUE,40.857834,-73.901129,2013896.0,2031720040.0,2025-06-11T00:00:00.000,23703.0
0313652/23,8983,938 54TH STREET,40.636952,-74.002868,3139194.0,3056730020.0,2023-09-22T00:00:00.000,116.0
324856/23,33980,145 SEAMAN AVENUE,40.869024,-73.922459,1064974.0,1022400017.0,2024-11-06T00:00:00.000,295.0
300046/20,40431,140-33 34TH AVENUE,40.766537,-73.826974,4112570.0,4049810078.0,2024-12-06T00:00:00.000,1161.0
57718/18,61814,478 HERZL STREET,40.658034,-73.912635,3082467.0,3036090041.0,2018-12-19T00:00:00.000,896.0
86877/17,74352,493 CHESTNUT STREET,40.674766,-73.873314,3095033.0,3042310010.0,2018-01-26T00:00:00.000,1196.0
R 50141/17,68372,664-666 BAY STREET,40.625803,-74.075147,5013765.0,5005250027.0,2017-03-02T00:00:00.000,27.0
K304869/20,412729,765 LINCOLN AVENUE,40.670118,-73.865814,3343260.0,3042719001.0,2022-08-18T00:00:00.000,1208.0
61068/17,293488,41-45 52ND STREET,40.745578,-73.912181,4030805.0,4013150078.0,2017-07-07T00:00:00.000,25302.0
54110/17,23028,175 E 54TH ST,40.654696,-73.926781,3101546.0,3046600040.0,2017-09-14T00:00:00.000,866.0
K311250/22,413314,1600 EAST 19TH STREET,40.611348,-73.954907,3000000.0,3067650046.0,2023-01-06T00:00:00.000,544.0
51693/18,76885,260 PARKHILL AVE.,40.612677,-74.083078,5106237.0,5029220001.0,2018-08-03T00:00:00.000,40.0
075040/17,204148,584 ACADEMY STREET,40.863906,-73.92346,1064752.0,1022200023.0,2018-02-13T00:00:00.000,291.0
316102/23,24261,592 WALES AVENUE        UNIT 5J,40.813956,-73.906845,2127500.0,2026530028.0,2023-12-14T00:00:00.000,79.0
