eviction_address,residential_commercial_ind,eviction_possession
97-07 HORACE HARDING  EXPWY. LOT W- SPACE #31 OF THBRAZILIA BUILDING,Commercial,Possession
765 LINCOLN AVENUE,Residential,Possession
2250 84TH STREET APARTMENT #2,Residential,Possession
200 WEST 147TH STREET,Residential,Possession
1780 FIRST AVENUE,Residential,Eviction
27 WEST 181ST STREET,Residential,Possession
785 BARBEY STREET,Residential,Possession
371 GRANT AVENUE ENTIRE HOUSE,Residential,Possession
43-32 KISSENA BOULEVARD,Residential,Possession
23 CORNELIA STREET,Residential,Possession
144-16 ROCKAWAY BLVD,Residential,Possession
330 WADSWORTH AVE,Residential,Possession
141 WEST 117TH STREET,Residential,Possession
666 EAST 181ST STREET,Residential,Possession
31-81 45TH STREET,Residential,Possession
1088 ANDERSON AVE,Residential,Possession
1490 DUMONT AVENUE,Residential,Possession
322 EAST 31ST STREET,Residential,Possession
2979 MARION AVE,Residential,Possession
478 HERZL STREET,Residential,Possession
510 RIVERDALE AVENUE,Residential,Possession
4-75 48TH AVE,Residential,Possession
917 EAGLE AVENUE APT. 1C,Residential,Possession
3030 VALENTINE AVE,Residential,Possession
2685 CRESTON AVENUE,Residential,Possession
1663 PARK AVENUE IN THE BUILDING KNOWN AS 1661 PARK AVENUE AKA 101-105 EAST 117TH STREET,Commercial,Possession
53 MARINERS LANE,Residential,Possession
515 WEST 38TH STREET,Residential,Possession
140 WEST 238TH ST,Residential,Possession
958 EAST 214TH STREET,Residential,Possession
120-20 MERRICK BLVD,Commercial,Possession
201 HAMILTON AVE.,Residential,Possession
20 AVENUE A,Residential,Possession
40 ST.NICHOLAS PLACE,Residential,Possession
369 EAST 162ND ST.,Residential,Possession
2505 BEDFORD AVENUE,Residential,Possession
633 EAST 233RD STREET,Residential,Possession
2610 UNIVERSITY AVE,Residential,Possession
185 MOSELY AVENUE,Residential,Possession
1546 SELWYN AVENUE,Residential,Possession
40 EAST 43RD STREET,Residential,Possession
167 WEST 133 STREET,Residential,Possession
2058 POWELL AVENUE,Residential,Possession
110 NEW LOTS AVENUE,Commercial,Possession
1920 AMSTERDAM AVENUE,Residential,Possession
3054 GODWIN TERRACE,Residential,Possession
114-14 SPRINGFIELD BLVD,Residential,Possession
105 WEST 168TH ST,Residential,Possession
325 BEACH 57 STREET,Residential,Possession
1212 DR. MARTIN LUTHER KING JR. BLVD.,Residential,Possession
60 EAST 55TH STREET,Residential,Possession
4720 40TH STREET,Residential,Possession
938 54TH STREET,Residential,Possession
2541 7TH AVENUE,Residential,Possession
335 54TH STREET,Residential,Possession
41-45 52ND STREET,Residential,Possession
262 VERNON AVENUE,Residential,Possession
1025 GERARD AVENUE,Residential,Possession
40-11 25 AVE.,Residential,Possession
865-B WALTON AV-STORE #2 ATTORNEYS AT LAW,Commercial,Possession
611 PENNSYLVANIA AVENUE,Residential,Possession
147-64 259TH STREET,Residential,Possession
234-32 MERRICK BLVD.,Residential,Possession
439 WEST 53RD ST THE SECOND BEDROOM CONTAINED IN APFURTHEST BEDROOM FRO,Residential,Possession
3513 EAST TREMONT AV ENUE,Residential,Possession
20 WEST 46 STREET,Residential,Possession
1474 WATSON AVENUE,Residential,Possession
2245 WEBSTER AVENUE,Residential,Possession
10 EAST 138TH STREET,Residential,Possession
145 SEAMAN AVENUE,Residential,Possession
68-13 60TH STREET,Residential,Possession
405 60TH STREET  A/K /A 5923 4TH AVENUE,Residential,Possession
362 EAST 198TH STREET 3RD FLOOR,Residential,Possession
101-43 102ND STREET,Residential,Possession
148-37 88TH AVENUE,Residential,Possession
46-01 67TH STREET,Residential,Possession
1526 SEDGWICK AVENUE,Commercial,Possession
30 KENILWORTH AVENUE,Residential,Possession
1342 FTELEY AVENUE,Residential,Possession
6441 CENTRAL AVENUE APT 2,Residential,Possession
655 WARWICK STREET,Residential,Possession
2708 SCHURZ AVE  - APT 2ND FL (ALL ROOMS ON THE 2ND FL),Residential,Possession
1281 ST. JOHNS PLACE,Residential,Possession
2045 STORY AVENUE,Residential,Possession
320 EAST 11TH STREET,Residential,Possession
780 GRAND CONCOURSE,Residential,Possession
83 WINTHROP STREET,Residential,Possession
1100 FRANKLIN AVENUE,Residential,Possession
78-09 101ST AVENUE,Residential,Possession
1701 AVENUE Z,Commercial,Possession
584 ACADEMY STREET,Residential,Possession
1735 LAFAYETTE AVE.,Residential,Possession
53 WESTCHESTER SQUARE,Residential,Possession
40-05 COLLEGE POINT BLVD,Residential,Eviction
683 E 59TH ST  APT 3,Residential,Possession
1600 EAST 19TH STREET,Residential,Possession
220 EAST 18TH STREET,Residential,Possession
175 E 54TH ST,Residential,Possession
2301 WEST 7TH STREET,Residential,Possession
118-10 ROCKAWAY BLVD,Residential,Possession
324 VAN BRUNT STREET  GROUND FLOOR,Commercial,Possession
2701 KINGSBRIDGE TERR,Residential,Possession
2420 MORRIS AVENUE,Residential,Possession
8635 21ST AVENUE,Residential,Possession
592 WALES AVENUE       UNIT 2H,Residential,Possession
957 UTICA AVENUE,Commercial,Possession
61-20 GRAND CENTRAL PARKWAY,Residential,Possession
528 WEST 123RD STREET,Residential,Possession
1245 STRATFORD AVE,Residential,Possession
116-32 SPRINGFIELD B LVD,Commercial,Possession
2620 BEVERLY ROAD,Residential,Possession
89-15 144TH STREET,Residential,Possession
2505 OLINVILLE AVENU E,Residential,Possession
390 EAST 158TH ST,Residential,Possession
711B SEAGIRT AVE,Residential,Possession
592 WALES AVENUE        UNIT 5J,Residential,Possession
8700 25TH AVENUE,Residential,Possession
1417 NEW YORK AVENUE,Residential,Possession
320 E. 159TH STREET,Residential,Possession
133-42 37TH AVENUE,Residential,Possession
355 EAST 87TH STREET,Residential,Possession
131 WEST 135 STREET,Residential,Possession
12 PILLING STREET 3RD FLOOR-FRONT ENTRANCE,Residential,Possession
784 BUSHWICK AVENUE 2ND FLOOR APARTMENT,Residential,Possession
602 WEST 184TH STREET A/K/A 1471 ST. NICHOLAS AVENUE - APT #41,Residential,Possession
120 VAN SICLEN AVENU E,Residential,Possession
1084 HOME STREET,Residential,Possession
22-62 MOTT AVENUE,Residential,Possession
3150 ROBERTS AVE,Residential,Possession
2507 CRUGER AVE,Residential,Possession
137-23A 68TH DRIVE,Residential,Possession
532 W. 207TH ST. IN THE BLDG K/A 221 *,Commercial,Possession
2519 CRESTON AVENUE,Residential,Possession
1906 ARNOW AVENUE,Commercial,Possession
1165 EAST 229TH  STREET,Residential,Possession
132-18 ROCKAWAY BLVD  2ND FLOOR BACK REAR,Residential,Possession
1632 HUTCHINSON  RIV ER PARKWAY,Residential,Possession
150 TRANTOR PLACE,Residential,Possession
1163 BEACH AVENUE,Residential,Possession
401 EAST 82ND STREET - APARTMENT 4A,Residential,Possession
108-53 SUTPHIN BLVD,Residential,Possession
575 JACKSON AVE,Residential,Possession
466 WEST 26TH STREET,Residential,Eviction
662 SAGAMORE STREET,Residential,Possession
89-53 241ST STREET,Residential,Possession
73 EAST 96TH STREET,Residential,Possession
1563 DEKALB AVENUE,Residential,Possession
512 SEVENTH AVENUE,Commercial,Possession
193 VAN BUREN STREET,Residential,Possession
2904 ELY AVENUE,Residential,Possession
1275 LAFAYETTE AVE,Residential,Possession
197 HESTER STREET - BASEMENT (ALL ROOMS IN THE BASEMENT FL),Residential,Possession
