issuedworkenddate,issuedworkstartdate,permitseriesid,onstreetname,modifiedon,permitlocationcomments,permittypedesc,permitlinearfeet
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
1995-09-14T00:00:00.000,1995-08-15T00:00:00.000,1,NORTHERN BOULEVARD,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",30.0
,,0,,2013-12-14T21:03:08.000,D ON 04/02/03 ($120 + $15.00),MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1992-06-29T00:00:00.000,1992-03-30T00:00:00.000,2,WEST   30 STREET,2013-12-14T21:03:08.000,,PLACE MATERIAL ON STREET,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1995-01-17T00:00:00.000,1994-12-23T00:00:00.000,1,168 STREET,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",200.0
1995-05-02T00:00:00.000,1995-04-03T00:00:00.000,1,BKLYN QNS EXPRESSWAY WEST,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,200.0
1996-07-06T00:00:00.000,1996-06-07T00:00:00.000,1,BEDELL STREET,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,217.0
1992-05-26T00:00:00.000,1992-04-27T00:00:00.000,1,CENTRE STREET,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,53.0
1994-01-07T00:00:00.000,1993-12-09T00:00:00.000,1,20 AVENUE,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,108.0
1992-04-29T00:00:00.000,1992-03-30T00:00:00.000,2,WEST   30 STREET,2013-12-14T21:03:08.000,,OCCUPANCY OF ROADWAY AS STIPULATED,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1992-07-03T00:00:00.000,1992-06-03T00:00:00.000,2,SOUTH STREET,2013-12-14T21:03:08.000,,OCCUPANCY OF ROADWAY AS STIPULATED,
1995-07-29T00:00:00.000,1995-06-30T00:00:00.000,1,99 STREET,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",300.0
,,0,,2013-12-14T21:03:08.000,"3-($185.00 + 15.00) DOC#3618192-MO12003083068 &amp; M0 42003083008 DEPOSITED 03/24/03-DOC#3618193 ($205.0 0 + $15.00) M022003085051,058,060,052,050-DOC#3618 195-DEPOSITED ON 03/26/03-($290 + $15.00)",MISCELLANEOUS - MINOR SALES,
,2006-12-18T00:00:00.000,0,,2013-12-14T21:03:08.000,ICH BANK FEES,MISCELLANEOUS - MINOR SALES,
1995-05-02T00:00:00.000,1995-04-03T00:00:00.000,1,BKLYN QNS EXPRESSWAY WEST,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,200.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1993-02-01T00:00:00.000,1993-01-26T00:00:00.000,2,5 AVENUE,2013-12-14T21:03:08.000,,OCCUPANCY OF ROADWAY AS STIPULATED,
1994-02-19T00:00:00.000,1994-01-06T00:00:00.000,1,BROADWAY,2013-12-14T21:03:08.000,,MAJOR INSTALLATIONS - STEAM,95.0
1995-11-18T00:00:00.000,1995-10-18T00:00:00.000,4,EAST   21 STREET,2013-12-14T21:03:08.000,LEXINGTON AVE,REPAIR SIDEWALK,100.0
1995-12-28T00:00:00.000,1995-09-01T00:00:00.000,1,BATCHELDER STREET,2013-12-14T21:03:08.000,,MAJOR INSTALLATIONS - SEWER,5.0
1995-05-02T00:00:00.000,1995-04-03T00:00:00.000,1,BKLYN QNS EXPRESSWAY WEST,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",70.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1992-11-30T00:00:00.000,1992-08-20T00:00:00.000,2,BAY   44 STREET,2013-12-14T21:03:08.000,,CROSSING SIDEWALK,
1994-01-06T00:00:00.000,1993-12-08T00:00:00.000,1,BROADWAY,2013-12-14T21:03:08.000,,MAJOR INSTALLATIONS - STEAM,95.0
1996-07-06T00:00:00.000,1996-06-07T00:00:00.000,1,BEDELL STREET,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",217.0
1994-01-07T00:00:00.000,1993-12-09T00:00:00.000,1,20 AVENUE,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",300.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,"3-($185.00 + 15.00) DOC#3618192-MO12003083068 &amp; M0 42003083008 DEPOSITED 03/24/03-DOC#3618193 ($205.0 0 + $15.00) M022003085051,058,060,052,050-DOC#3618 195-DEPOSITED ON 03/26/03-($290 + $15.00)",MISCELLANEOUS - MINOR SALES,
1994-09-03T00:00:00.000,1994-08-04T00:00:00.000,1,135 AVENUE,2013-12-14T21:03:08.000,,REPAIR SEWER,50.0
1995-11-18T00:00:00.000,1995-10-18T00:00:00.000,2,EAST   21 STREET,2013-12-14T21:03:08.000,,OCCUPANCY OF SIDEWALK AS STIPULATED,
1995-01-17T00:00:00.000,1994-12-23T00:00:00.000,1,168 STREET,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,10.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
1992-05-30T00:00:00.000,1992-05-01T00:00:00.000,1,FORBELL STREET,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,1140.0
1994-12-02T00:00:00.000,1994-11-03T00:00:00.000,1,176 STREET,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",40.0
1996-04-17T00:00:00.000,1996-03-18T00:00:00.000,1,167 PLACE,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,10.0
1992-05-30T00:00:00.000,1992-05-01T00:00:00.000,1,STANLEY AVENUE,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,840.0
1995-07-22T00:00:00.000,1995-06-23T00:00:00.000,1,20 AVENUE,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,300.0
1994-06-26T00:00:00.000,1994-06-06T00:00:00.000,2,12 AVENUE,2013-12-14T21:03:08.000,,OCCUPANCY OF ROADWAY AS STIPULATED,
1992-12-21T00:00:00.000,1992-09-21T00:00:00.000,2,WEST   50 STREET,2013-12-14T21:03:08.000,,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV,
1994-02-05T00:00:00.000,1994-01-06T00:00:00.000,1,BROADWAY,2013-12-14T21:03:08.000,,MAJOR INSTALLATIONS - STEAM,95.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
1995-08-13T00:00:00.000,1995-08-09T00:00:00.000,1,146 AVENUE,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,279.0
1995-09-27T00:00:00.000,1995-08-28T00:00:00.000,1,POWER ROAD,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",220.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1995-01-17T00:00:00.000,1994-12-23T00:00:00.000,1,168 STREET,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",10.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1995-04-26T00:00:00.000,1995-03-27T00:00:00.000,1,BAISLEY BOULEVARD,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",60.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - BUILDER'S PAVEMENT,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SUBPOENAS,
1993-03-29T00:00:00.000,1992-12-21T00:00:00.000,2,ST NICHOLAS TERRACE,2013-12-14T21:03:08.000,,PLACE CONTAINER ON THE STREET,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1996-10-31T00:00:00.000,1996-08-13T00:00:00.000,2,FURMAN STREET,2013-12-14T21:03:08.000,,OCCUPANCY OF SIDEWALK AS STIPULATED,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1994-12-01T00:00:00.000,1994-11-02T00:00:00.000,1,176 STREET,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",40.0
1994-12-02T00:00:00.000,1994-11-03T00:00:00.000,1,176 STREET,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",80.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1992-06-27T00:00:00.000,1992-06-17T00:00:00.000,2,8 AVENUE,2013-12-14T21:03:08.000,,PLACE CONTAINER ON THE STREET,
1992-05-26T00:00:00.000,1992-04-27T00:00:00.000,1,CENTRE STREET,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,53.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - BUILDER'S PAVEMENT,
1995-07-01T00:00:00.000,1995-03-31T00:00:00.000,2,ROCKEFELLER PLAZA,2013-12-14T21:03:08.000,,PLACE CONTAINER ON THE STREET,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1993-03-29T00:00:00.000,1992-12-21T00:00:00.000,2,ST NICHOLAS TERRACE,2013-12-14T21:03:08.000,,CROSSING SIDEWALK,
1993-02-01T00:00:00.000,1993-01-26T00:00:00.000,2,5 AVENUE,2013-12-14T21:03:08.000,,PLACE CRANE OR SHOVEL ON STREET,
1993-02-01T00:00:00.000,1993-01-26T00:00:00.000,2,5 AVENUE,2013-12-14T21:03:08.000,,TEMPORARY PEDESTRIAN WALK,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
1993-05-28T00:00:00.000,1993-04-29T00:00:00.000,1,43 AVENUE,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,100.0
1992-04-29T00:00:00.000,1992-03-30T00:00:00.000,2,WEST   30 STREET,2013-12-14T21:03:08.000,,OCCUPANCY OF ROADWAY AS STIPULATED,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1995-07-29T00:00:00.000,1995-06-30T00:00:00.000,1,99 STREET,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,300.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SUBPOENAS,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1992-05-22T00:00:00.000,1992-04-22T00:00:00.000,1,,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,236.0
1993-11-20T00:00:00.000,1993-10-21T00:00:00.000,1,BROADWAY,2013-12-14T21:03:08.000,,MAJOR INSTALLATIONS - STEAM,95.0
1995-12-28T00:00:00.000,1995-09-01T00:00:00.000,1,BATCHELDER STREET,2013-12-14T21:03:08.000,,CONSTRUCT OR ALTER MANHOLE &/OR CASTING,5.0
1993-05-28T00:00:00.000,1993-04-29T00:00:00.000,1,43 AVENUE,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",100.0
1993-12-12T00:00:00.000,1993-11-13T00:00:00.000,2,PARK AVENUE,2013-12-14T21:03:08.000,NORTH BLDG. ROAD AT GRAND CENTRAL STATION,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1992-06-18T00:00:00.000,1992-05-18T00:00:00.000,4,WATTS STREET,2013-12-14T21:03:08.000,,REPAIR SIDEWALK,163.0
1993-03-29T00:00:00.000,1992-12-30T00:00:00.000,2,ST NICHOLAS TERRACE,2013-12-14T21:03:08.000,,CROSSING SIDEWALK,
1992-09-13T00:00:00.000,1992-08-22T00:00:00.000,2,LIBERTY PLAZA,2013-12-14T21:03:08.000,,OCCUPANCY OF ROADWAY AS STIPULATED,
1992-05-18T00:00:00.000,1992-05-05T00:00:00.000,2,RIVERSIDE DRIVE,2013-12-14T21:03:08.000,,PLACE CRANE OR SHOVEL ON STREET,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - BUILDER'S PAVEMENT,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1994-03-18T00:00:00.000,1994-02-18T00:00:00.000,1,BROADWAY,2013-12-14T21:03:08.000,,MAJOR INSTALLATIONS - STEAM,95.0
1992-05-30T00:00:00.000,1992-05-01T00:00:00.000,1,STANLEY AVENUE,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",840.0
1995-07-22T00:00:00.000,1995-06-23T00:00:00.000,1,20 AVENUE,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,300.0
1995-07-22T00:00:00.000,1995-06-23T00:00:00.000,1,20 AVENUE,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",300.0
1995-09-27T00:00:00.000,1995-08-28T00:00:00.000,1,POWER ROAD,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,300.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1993-03-29T00:00:00.000,1992-12-21T00:00:00.000,2,ST NICHOLAS TERRACE,2013-12-14T21:03:08.000,,CROSSING SIDEWALK,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
1996-07-06T00:00:00.000,1996-06-07T00:00:00.000,1,144 DRIVE,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",100.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - BUILDER'S PAVEMENT,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1992-05-18T00:00:00.000,1992-05-05T00:00:00.000,2,RIVERSIDE DRIVE,2013-12-14T21:03:08.000,,OCCUPANCY OF ROADWAY AS STIPULATED,
1993-05-28T00:00:00.000,1993-04-29T00:00:00.000,1,43 AVENUE,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,50.0
1993-03-29T00:00:00.000,1992-12-21T00:00:00.000,2,ST NICHOLAS TERRACE,2013-12-14T21:03:08.000,,PLACE MATERIAL ON STREET,
1994-12-02T00:00:00.000,1994-11-03T00:00:00.000,1,176 STREET,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,80.0
1996-04-17T00:00:00.000,1996-03-18T00:00:00.000,1,167 PLACE,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",10.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1996-07-06T00:00:00.000,1996-06-07T00:00:00.000,1,144 DRIVE,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,200.0
1992-09-05T00:00:00.000,1992-08-24T00:00:00.000,2,WASHINGTON SQUARE PARK,2013-12-14T21:03:08.000,,OCCUPANCY OF ROADWAY AS STIPULATED,
1994-05-23T00:00:00.000,1994-04-25T00:00:00.000,1,40 AVENUE,2013-12-14T21:03:08.000,,"TEST PITS, CORES OR BORING",1.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - BUILDER'S PAVEMENT,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1994-06-30T00:00:00.000,1994-05-31T00:00:00.000,1,EAST   52 STREET,2013-12-14T21:03:08.000,,REPAIR WATER,5.0
1995-05-02T00:00:00.000,1995-04-03T00:00:00.000,1,BKLYN QNS EXPRESSWAY WEST,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",110.0
1992-07-17T00:00:00.000,1992-06-17T00:00:00.000,4,BRIGHTON    6 STREET,2013-12-14T21:03:08.000,,REPAIR SIDEWALK,107.0
1992-06-29T00:00:00.000,1992-03-30T00:00:00.000,2,WEST   30 STREET,2013-12-14T21:03:08.000,,PLACE MATERIAL ON STREET,
1992-07-08T00:00:00.000,1992-04-10T00:00:00.000,2,BOWLING GREEN,2013-12-14T21:03:08.000,,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
1994-12-02T00:00:00.000,1994-11-03T00:00:00.000,1,176 STREET,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,40.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
1992-07-11T00:00:00.000,1992-06-11T00:00:00.000,2,RIVERSIDE DRIVE,2013-12-14T21:03:08.000,,OCCUPANCY OF ROADWAY AS STIPULATED,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - BUILDER'S PAVEMENT,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - BUILDER'S PAVEMENT,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - BUILDER'S PAVEMENT,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SUBPOENAS,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1994-01-07T00:00:00.000,1993-12-09T00:00:00.000,1,20 AVENUE,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",300.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
1992-07-11T00:00:00.000,1992-06-11T00:00:00.000,2,1 AVENUE,2013-12-14T21:03:08.000,,OCCUPANCY OF ROADWAY AS STIPULATED,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1993-03-29T00:00:00.000,1992-12-30T00:00:00.000,2,ST NICHOLAS TERRACE,2013-12-14T21:03:08.000,,CROSSING SIDEWALK,
1993-05-28T00:00:00.000,1993-04-29T00:00:00.000,1,43 AVENUE,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",50.0
1992-06-29T00:00:00.000,1992-03-30T00:00:00.000,2,WEST   30 STREET,2013-12-14T21:03:08.000,,PLACE SHANTY OR TRAILER ON STREET,
1992-07-08T00:00:00.000,1992-04-10T00:00:00.000,2,WHITEHALL STREET,2013-12-14T21:03:08.000,,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1994-01-07T00:00:00.000,1993-12-09T00:00:00.000,1,20 AVENUE,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,400.0
1992-06-29T00:00:00.000,1992-03-30T00:00:00.000,2,WEST   30 STREET,2013-12-14T21:03:08.000,,CROSSING SIDEWALK,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - BUILDER'S PAVEMENT,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1992-05-30T00:00:00.000,1992-05-01T00:00:00.000,1,STANLEY AVENUE,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",240.0
1992-06-29T00:00:00.000,1992-05-29T00:00:00.000,4,BAY RIDGE AVENUE,2013-12-14T21:03:08.000,,REPLACE SIDEWALK,60.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
