nextpermitnumber,specificstipulations,permittypeid,permitpurposecomments,oftcode,createdon,tostreetname
,,0118,,457790497053497063,2013-12-14T21:03:08.000,X ISLE PARKWAY EXIT NB
,,0041,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,,0201,,M34370M10910M11010,2013-12-14T21:03:08.000,10 AVENUE
,,0031,,,2013-12-14T21:03:08.000,
,,0118,,424490422390422670,2013-12-14T21:03:08.000,140 AVENUE
,,0119,,497440437395497417,2013-12-14T21:03:08.000,BKLYN QNS EXPRESSWAY EXIT NB
,,0119,MOS31841,Q35490Q24490Q41700,2013-12-14T21:03:08.000,DEAD END
,,0119,,M14590M22995M45290,2013-12-14T21:03:08.000,WHITE STREET
,,0119,,406440422040467656,2013-12-14T21:03:08.000,WHITESTONE EXPRESSWAY
,,0211,,M34370M10910M11010,2013-12-14T21:03:08.000,10 AVENUE
,,0031,,,2013-12-14T21:03:08.000,
M021992167029,"WORKDAYS FROM 10AM TO 4PM, ALSO SEE MEC-92-901",0211,,M30640M16650M23532,2013-12-14T21:03:08.000,JACKSON STREET
,,0118,,Q19190Q05545Q41700,2013-12-14T21:03:08.000,DEAD END
,,0041,,,2013-12-14T21:03:08.000,
,EAST PORT EXCAVATION & UTILIES CONTRACTORS INC.,0041,,,2013-12-14T21:03:08.000,
,,0119,,497440437395497417,2013-12-14T21:03:08.000,BKLYN QNS EXPRESSWAY EXIT NB
,AKA GTI HARBOR TKG & RIGGING CO.,0041,,,2013-12-14T21:03:08.000,
,,0041,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
M021993029014,SEE M.P.125,0211,,110410118970118990,2013-12-14T21:03:08.000,EAST  101 STREET
,,0104,,Q37290Q10740Q10940,2013-12-14T21:03:08.000,51 STREET
,,0401,,117410121602000000,2013-12-14T21:03:08.000,
B011995334043,,0111,,B15680B39350B88830,2013-12-14T21:03:08.000,VOORHIES AVENUE
,,0118,,497440437395497417,2013-12-14T21:03:08.000,BKLYN QNS EXPRESSWAY EXIT NB
,,0031,,,2013-12-14T21:03:08.000,
B021992233003,,0202,,317150332600377030,2013-12-14T21:03:08.000,SHORE PARKWAY
,,0104,,Q37290Q10740Q10940,2013-12-14T21:03:08.000,51 STREET
,,0118,MOS31841,Q35490Q24490Q41700,2013-12-14T21:03:08.000,DEAD END
,,0118,,406440422040467656,2013-12-14T21:03:08.000,WHITESTONE EXPRESSWAY
,,0031,,,2013-12-14T21:03:08.000,
M002003132003,,0041,,,2013-12-14T21:03:08.000,
,,0114,,Q22190Q21940Q22120,2013-12-14T21:03:08.000,133 STREET
,,0215,,117410121602000000,2013-12-14T21:03:08.000,
,,0119,,424490422390422670,2013-12-14T21:03:08.000,140 AVENUE
,,0041,,,2013-12-14T21:03:08.000,
,SEE MP125,0119,,B41430B30150B81050,2013-12-14T21:03:08.000,STANLEY AVENUE
,,0118,,424890422970441700,2013-12-14T21:03:08.000,DEAD END
,,0119,MOS31841,424395423030423037,2013-12-14T21:03:08.000,146 ROAD
,SEE MP125,0119,,B81050B41430B76630,2013-12-14T21:03:08.000,SHERIDAN AVENUE
,,0119,,406440422040467656,2013-12-14T21:03:08.000,WHITESTONE EXPRESSWAY
M021994178003,"SEE VARIANCE# 929, MP125",0211,,111115197845197860,2013-12-14T21:03:08.000,H HUDSON PARKWAY ENTRANCE SB
,,0204,,M34770M10410M10510,2013-12-14T21:03:08.000,6 AVENUE
Q011994027050,,0104,,Q37290Q10740Q10940,2013-12-14T21:03:08.000,51 STREET
,,0041,,,2013-12-14T21:03:08.000,
,,0119,,423030424390424395,2013-12-14T21:03:08.000,167 PLACE
,,0118,,Q59450Q08440Q57790,2013-12-14T21:03:08.000,NORTHERN BOULEVARD
,,0031,,,2013-12-14T21:03:08.000,
,,0118,,424490422390422670,2013-12-14T21:03:08.000,140 AVENUE
,,0031,,,2013-12-14T21:03:08.000,
,,0041,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,,0118,,Q29090Q24930Q24970,2013-12-14T21:03:08.000,178 STREET
,,0051,,,2013-12-14T21:03:08.000,
,,0041,,,2013-12-14T21:03:08.000,
,,0021,,,2013-12-14T21:03:08.000,
M021992353016,,0214,,131390115910122290,2013-12-14T21:03:08.000,HAMILTON TERRACE
,,0031,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
B021996228010,,0215,,B42850B23230B23930,2013-12-14T21:03:08.000,BUSHWICK AVENUE
,,0031,,,2013-12-14T21:03:08.000,
,,0118,,Q24890Q22880Q22970,2013-12-14T21:03:08.000,145 AVENUE
,,0118,,Q24890Q22880Q22970,2013-12-14T21:03:08.000,145 AVENUE
,,0031,,,2013-12-14T21:03:08.000,
M021992191020,,0214,,M10810M14210M35990,2013-12-14T21:03:08.000,WEST  111 STREET
,,0119,,M14590M22995M45290,2013-12-14T21:03:08.000,WHITE STREET
,,0051,,,2013-12-14T21:03:08.000,
M021995094001,MUST CALL BILL STODDARD BEFORE WORK IS COMMERCE,0214,,129900110410134790,2013-12-14T21:03:08.000,WEST   51 STREET
,,0031,,,2013-12-14T21:03:08.000,
,,0202,,M31390M15910M36470,2013-12-14T21:03:08.000,WEST  135 STREET
M021993032004,,0203,,110410118970118990,2013-12-14T21:03:08.000,EAST  101 STREET
M021993029017,SEE M.P.125,0208,,110410118970118990,2013-12-14T21:03:08.000,EAST  101 STREET
,,0031,,,2013-12-14T21:03:08.000,
,,0041,NUMBER B01-921560345,,2013-12-14T21:03:08.000,
,,0031,COLUMBIA ST,,2013-12-14T21:03:08.000,
,,0041,,,2013-12-14T21:03:08.000,
,,0119,,409840414440437395,2013-12-14T21:03:08.000,BROOKLYN QNS EXPRESSWAY
,,0211,,M34370M10910M11010,2013-12-14T21:03:08.000,10 AVENUE
,,0031,,,2013-12-14T21:03:08.000,
,,0119,,Q19190Q05545Q41700,2013-12-14T21:03:08.000,DEAD END
,,0021,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
B011992142040,,0119,,B41030B48430B76630,2013-12-14T21:03:08.000,
,,0104,,Q37290Q10740Q10940,2013-12-14T21:03:08.000,51 STREET
B011995334057,,0121,,B15680B39350B88830,2013-12-14T21:03:08.000,VOORHIES AVENUE
,,0118,,409840414440437395,2013-12-14T21:03:08.000,BROOKLYN QNS EXPRESSWAY
M021993312007,SEE VARIANCE# 2141,0204,,M27790M17830M17910,2013-12-14T21:03:08.000,EAST   46 STREET
,,0031,,,2013-12-14T21:03:08.000,
,J LAWRENCE CONSTRUCTION CORP (718) 788-2828,0401,,133590123190132685,2013-12-14T21:03:08.000,VARICK STREET
,,0202,,M31390M15910M36470,2013-12-14T21:03:08.000,WEST  135 STREET
M021992232005,VAR.#1566,0211,,124980113610115350,2013-12-14T21:03:08.000,CHURCH STREET
,UNITED HOISTING CO.INC.,0203,,M29690M37070M37290,2013-12-14T21:03:08.000,WEST  177 STREET
,,0051,,,2013-12-14T21:03:08.000,
,,0031,3819 AV D(A/K/A 3823 AV D),,2013-12-14T21:03:08.000,
,,0104,,Q37290Q10740Q10940,2013-12-14T21:03:08.000,51 STREET
,,0118,,B81050B41430B76630,2013-12-14T21:03:08.000,SHERIDAN AVENUE
,,0119,,406440422040467656,2013-12-14T21:03:08.000,WHITESTONE EXPRESSWAY
,,0118,,406440422040467656,2013-12-14T21:03:08.000,WHITESTONE EXPRESSWAY
,,0119,,Q59450Q08440Q57790,2013-12-14T21:03:08.000,NORTHERN BOULEVARD
,,0031,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
M021992353014,,0202,,131390115910122290,2013-12-14T21:03:08.000,HAMILTON TERRACE
,,0041,,,2013-12-14T21:03:08.000,
,,0118,MOS31841,Q22880Q24840Q24890,2013-12-14T21:03:08.000,176 STREET
,,0051,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,SEE MP E/S RIVER SIDE UNITED HOISTING CO.INC.,0211,,M29690M37070M37290,2013-12-14T21:03:08.000,WEST  177 STREET
,,0119,,409840414440437395,2013-12-14T21:03:08.000,BROOKLYN QNS EXPRESSWAY
M021992353015,PREVIOUS M02-92255-006,0201,,131390115910122290,2013-12-14T21:03:08.000,HAMILTON TERRACE
,,0119,,Q24890Q22880Q22970,2013-12-14T21:03:08.000,145 AVENUE
,,0118,MOS31841,424395423030423037,2013-12-14T21:03:08.000,146 ROAD
,,0041,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,,0119,MOS31841,Q22880Q24890 00000,2013-12-14T21:03:08.000,
M021992274001,,0211,,133130125190131990,2013-12-14T21:03:08.000,SULLIVAN STREET
,,0126,,Q09340Q07740Q08140,2013-12-14T21:03:08.000,31 STREET
,,0051,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,,0113,,B37080B14580B14630,2013-12-14T21:03:08.000,AVENUE U
,,0118,,497440437395497417,2013-12-14T21:03:08.000,BKLYN QNS EXPRESSWAY EXIT NB
B041992177021,,0401,,B22030B64230B67830,2013-12-14T21:03:08.000,OCEAN VIEW AVENUE
M021992114003,AKA 365 9TH AVENUE,0201,,M34370M10910M11010,2013-12-14T21:03:08.000,10 AVENUE
M021992176021,,0204,,M13465M31590M45340,2013-12-14T21:03:08.000,WHITEHALL STREET
,,0031,"2260 E 14 ST(AKA 2262 E 14 ST),717 E 78 ST, 140 NEPTUNE AV, 229 SHERIDAN AV",,2013-12-14T21:03:08.000,
,,0041,,,2013-12-14T21:03:08.000,
,,0119,,Q24890Q22880Q22970,2013-12-14T21:03:08.000,145 AVENUE
,,0031,,,2013-12-14T21:03:08.000,
,,0041,,,2013-12-14T21:03:08.000,
,LOC; 1409 73 ST-LONG WATER/TUNN,0041,,,2013-12-14T21:03:08.000,
M021992231005,,0211,,M29690M37150M37170,2013-12-14T21:03:08.000,WEST  170 STREET
,,0051,,,2013-12-14T21:03:08.000,
,,0051,,,2013-12-14T21:03:08.000,
,,0051,,,2013-12-14T21:03:08.000,
,,0041,,,2013-12-14T21:03:08.000,
,,0021,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,,0118,,406440422040467656,2013-12-14T21:03:08.000,WHITESTONE EXPRESSWAY
,AMOUNT OF FEES-30.00 FOR 2 NG CHECKS,0041,,,2013-12-14T21:03:08.000,
M021992231015,SEE M.P.125,0211,,M10010M18170M18190,2013-12-14T21:03:08.000,EAST   60 STREET
,,0031,,,2013-12-14T21:03:08.000,
M021992353017,,0202,,131390122290136470,2013-12-14T21:03:08.000,WEST  135 STREET
,,0118,,409840414440437395,2013-12-14T21:03:08.000,BROOKLYN QNS EXPRESSWAY
M021992114005,AKA 365 9TH AVE,0205,,M34370M10910M11010,2013-12-14T21:03:08.000,10 AVENUE
M021992176019,,0204,,M45340M13465M13550,2013-12-14T21:03:08.000,BRIDGE STREET
,,0031,,,2013-12-14T21:03:08.000,
,,0119,,406440422040467656,2013-12-14T21:03:08.000,WHITESTONE EXPRESSWAY
M021992114006,AKA 365 9TH AVENUE,0202,,M34370M10910M11010,2013-12-14T21:03:08.000,10 AVENUE
,SEARCH OF RECORDS,0041,,,2013-12-14T21:03:08.000,
,,0051,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,,0118,,B81050B41430B76630,2013-12-14T21:03:08.000,SHERIDAN AVENUE
,,0403,,B17380B05880B42630,2013-12-14T21:03:08.000,FT HAMILTON PARKWAY
M001996325003,,0031,,,2013-12-14T21:03:08.000,
,,0041,,,2013-12-14T21:03:08.000,
