permitseriesshortdesc,permitissuedate,sidewalkshortdesc,previouspermitnumber,permitstatusid
STREET OPENING PERMIT,1992-08-03T00:00:00.000,CONCRETE,,906
BUILDING OPERATION PERMIT,1992-06-10T00:00:00.000,,,906
BUILDING OPERATION PERMIT,1992-05-21T00:00:00.000,,,906
MISCELLANEOUS CASH RECEIPTS,1992-09-16T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-09-22T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1999-04-20T00:00:00.000,,,6
STREET OPENING PERMIT,1995-08-15T00:00:00.000,CONCRETE,,15
MISCELLANEOUS CASH RECEIPTS,2003-05-12T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-06-30T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
BUILDING OPERATION PERMIT,1992-03-30T00:00:00.000,,,902
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
STREET OPENING PERMIT,1994-12-23T00:00:00.000,CONCRETE,,15
STREET OPENING PERMIT,1995-04-03T00:00:00.000,,,15
STREET OPENING PERMIT,1996-06-07T00:00:00.000,,,15
STREET OPENING PERMIT,1992-04-27T00:00:00.000,,,15
STREET OPENING PERMIT,1993-12-08T00:00:00.000,,,15
BUILDING OPERATION PERMIT,1992-03-30T00:00:00.000,CONCRETE,,902
MISCELLANEOUS CASH RECEIPTS,1992-05-28T00:00:00.000,,,6
BUILDING OPERATION PERMIT,1992-06-02T00:00:00.000,,,906
STREET OPENING PERMIT,1995-06-29T00:00:00.000,CONCRETE,,15
MISCELLANEOUS CASH RECEIPTS,2003-05-12T00:00:00.000,,M002003132002,6
MISCELLANEOUS CASH RECEIPTS,2006-12-18T00:00:00.000,,,6
STREET OPENING PERMIT,1995-04-03T00:00:00.000,,,15
MISCELLANEOUS CASH RECEIPTS,1992-08-28T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-09-04T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-05-28T00:00:00.000,,,6
BUILDING OPERATION PERMIT,1993-01-22T00:00:00.000,CONCRETE,,906
STREET OPENING PERMIT,1994-01-27T00:00:00.000,,Q011994005043,30
SIDEWALK CONSTRUCTION PERMIT,1995-10-10T00:00:00.000,CONCRETE,,30
STREET OPENING PERMIT,1995-09-01T00:00:00.000,,,906
STREET OPENING PERMIT,1995-04-03T00:00:00.000,CONCRETE,,15
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
BUILDING OPERATION PERMIT,1992-08-03T00:00:00.000,CONCRETE,,906
STREET OPENING PERMIT,1993-12-08T00:00:00.000,CONCRETE,,15
STREET OPENING PERMIT,1996-06-07T00:00:00.000,CONCRETE,,15
STREET OPENING PERMIT,1993-12-08T00:00:00.000,CONCRETE,,15
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,2003-05-12T00:00:00.000,,,906
STREET OPENING PERMIT,1994-08-04T00:00:00.000,,,15
BUILDING OPERATION PERMIT,1995-10-10T00:00:00.000,CONCRETE,,30
STREET OPENING PERMIT,1994-12-23T00:00:00.000,,,15
MISCELLANEOUS CASH RECEIPTS,1992-07-14T00:00:00.000,,,6
STREET OPENING PERMIT,1992-04-30T00:00:00.000,,,15
STREET OPENING PERMIT,1994-11-03T00:00:00.000,CONCRETE,,15
STREET OPENING PERMIT,1996-03-15T00:00:00.000,,,15
STREET OPENING PERMIT,1992-04-30T00:00:00.000,,,15
STREET OPENING PERMIT,1995-06-23T00:00:00.000,,,15
BUILDING OPERATION PERMIT,1994-06-06T00:00:00.000,,,906
BUILDING OPERATION PERMIT,1992-09-21T00:00:00.000,,,30
STREET OPENING PERMIT,1994-01-05T00:00:00.000,,,32
MISCELLANEOUS CASH RECEIPTS,1992-12-23T00:00:00.000,,,6
STREET OPENING PERMIT,1995-08-09T00:00:00.000,,,15
STREET OPENING PERMIT,1995-08-28T00:00:00.000,CONCRETE,,15
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
STREET OPENING PERMIT,1994-12-23T00:00:00.000,CONCRETE,,15
MISCELLANEOUS CASH RECEIPTS,1992-06-26T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-12-23T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-05-28T00:00:00.000,,,6
STREET OPENING PERMIT,1995-03-27T00:00:00.000,CONCRETE,,15
MISCELLANEOUS CASH RECEIPTS,1992-05-15T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-07-09T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,2000-03-01T00:00:00.000,,,6
BUILDING OPERATION PERMIT,1992-12-18T00:00:00.000,,,906
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
BUILDING OPERATION PERMIT,1996-08-12T00:00:00.000,CONCRETE,,906
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
STREET OPENING PERMIT,1994-11-03T00:00:00.000,,,15
STREET OPENING PERMIT,1994-11-03T00:00:00.000,CONCRETE,,15
MISCELLANEOUS CASH RECEIPTS,1992-05-28T00:00:00.000,,,2
BUILDING OPERATION PERMIT,1992-06-17T00:00:00.000,,,30
STREET OPENING PERMIT,1992-04-27T00:00:00.000,,,15
MISCELLANEOUS CASH RECEIPTS,1992-05-28T00:00:00.000,,,6
BUILDING OPERATION PERMIT,1995-03-31T00:00:00.000,,,906
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
BUILDING OPERATION PERMIT,1992-12-18T00:00:00.000,CONCRETE,M021992353007,30
BUILDING OPERATION PERMIT,1993-01-22T00:00:00.000,CONCRETE,,906
BUILDING OPERATION PERMIT,1993-01-22T00:00:00.000,,,906
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-06-04T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-07-17T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-12-23T00:00:00.000,,,6
STREET OPENING PERMIT,1993-04-28T00:00:00.000,,,15
BUILDING OPERATION PERMIT,1992-03-30T00:00:00.000,CONCRETE,,902
MISCELLANEOUS CASH RECEIPTS,1992-05-28T00:00:00.000,,,6
STREET OPENING PERMIT,1995-06-29T00:00:00.000,,,15
MISCELLANEOUS CASH RECEIPTS,1992-06-29T00:00:00.000,,,906
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
STREET OPENING PERMIT,1992-04-21T00:00:00.000,,,906
STREET OPENING PERMIT,1993-10-21T00:00:00.000,CONCRETE,,15
STREET OPENING PERMIT,1995-09-01T00:00:00.000,,,906
STREET OPENING PERMIT,1993-04-28T00:00:00.000,CONCRETE,,15
BUILDING OPERATION PERMIT,1993-11-05T00:00:00.000,,,906
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
SIDEWALK CONSTRUCTION PERMIT,1992-05-14T00:00:00.000,CONCRETE,,30
BUILDING OPERATION PERMIT,1992-12-18T00:00:00.000,CONCRETE,M021992353013,30
BUILDING OPERATION PERMIT,1992-08-19T00:00:00.000,CONCRETE,,906
BUILDING OPERATION PERMIT,1992-05-04T00:00:00.000,,,30
MISCELLANEOUS CASH RECEIPTS,1997-02-10T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-06-25T00:00:00.000,,,6
STREET OPENING PERMIT,1994-02-18T00:00:00.000,,,15
STREET OPENING PERMIT,1992-04-30T00:00:00.000,,,15
STREET OPENING PERMIT,1995-06-23T00:00:00.000,,,15
STREET OPENING PERMIT,1995-06-23T00:00:00.000,CONCRETE,,15
STREET OPENING PERMIT,1995-08-28T00:00:00.000,,,15
MISCELLANEOUS CASH RECEIPTS,1992-06-10T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-05-14T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-06-02T00:00:00.000,,,6
BUILDING OPERATION PERMIT,1992-12-18T00:00:00.000,CONCRETE,,906
MISCELLANEOUS CASH RECEIPTS,1992-07-31T00:00:00.000,,,6
STREET OPENING PERMIT,1996-06-07T00:00:00.000,CONCRETE,,15
MISCELLANEOUS CASH RECEIPTS,2013-01-02T00:00:00.000,,,2
MISCELLANEOUS CASH RECEIPTS,1992-06-29T00:00:00.000,,,6
BUILDING OPERATION PERMIT,1992-05-04T00:00:00.000,,,30
STREET OPENING PERMIT,1993-04-28T00:00:00.000,,,15
BUILDING OPERATION PERMIT,1992-12-18T00:00:00.000,,,906
STREET OPENING PERMIT,1994-11-03T00:00:00.000,,,15
STREET OPENING PERMIT,1996-03-15T00:00:00.000,CONCRETE,,15
MISCELLANEOUS CASH RECEIPTS,1992-07-10T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-06-08T00:00:00.000,,,6
STREET OPENING PERMIT,1996-06-07T00:00:00.000,,,15
BUILDING OPERATION PERMIT,1992-08-24T00:00:00.000,CONCRETE,,930
STREET OPENING PERMIT,1994-04-20T00:00:00.000,CONCRETE,,15
MISCELLANEOUS CASH RECEIPTS,1992-05-14T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-07-17T00:00:00.000,,,6
STREET OPENING PERMIT,1994-05-31T00:00:00.000,CONCRETE,,903
STREET OPENING PERMIT,1995-04-03T00:00:00.000,CONCRETE,,15
SIDEWALK CONSTRUCTION PERMIT,1992-06-17T00:00:00.000,CONCRETE,,906
BUILDING OPERATION PERMIT,1992-03-30T00:00:00.000,,,30
BUILDING OPERATION PERMIT,1992-04-10T00:00:00.000,CONCRETE,,30
MISCELLANEOUS CASH RECEIPTS,1992-06-15T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1997-03-03T00:00:00.000,,,6
STREET OPENING PERMIT,1994-11-03T00:00:00.000,,,15
MISCELLANEOUS CASH RECEIPTS,1992-06-03T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-12-22T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-07-13T00:00:00.000,,,6
BUILDING OPERATION PERMIT,1992-06-10T00:00:00.000,,,906
MISCELLANEOUS CASH RECEIPTS,1992-05-28T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-05-18T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-05-28T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-06-18T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-06-29T00:00:00.000,,,906
MISCELLANEOUS CASH RECEIPTS,1992-06-30T00:00:00.000,,,6
STREET OPENING PERMIT,1993-12-08T00:00:00.000,CONCRETE,,15
MISCELLANEOUS CASH RECEIPTS,1992-06-08T00:00:00.000,,,6
BUILDING OPERATION PERMIT,1992-06-10T00:00:00.000,,,906
MISCELLANEOUS CASH RECEIPTS,1992-05-14T00:00:00.000,,,6
BUILDING OPERATION PERMIT,1992-12-18T00:00:00.000,CONCRETE,M021992353005,906
STREET OPENING PERMIT,1993-04-28T00:00:00.000,CONCRETE,,15
BUILDING OPERATION PERMIT,1992-03-30T00:00:00.000,,,906
BUILDING OPERATION PERMIT,1992-04-10T00:00:00.000,CONCRETE,,30
MISCELLANEOUS CASH RECEIPTS,1992-05-29T00:00:00.000,,,6
STREET OPENING PERMIT,1993-12-08T00:00:00.000,CONCRETE,,15
BUILDING OPERATION PERMIT,1992-03-30T00:00:00.000,CONCRETE,,906
MISCELLANEOUS CASH RECEIPTS,1996-11-14T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-05-20T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
STREET OPENING PERMIT,1992-04-30T00:00:00.000,,,15
SIDEWALK CONSTRUCTION PERMIT,1992-05-29T00:00:00.000,CONCRETE,,30
MISCELLANEOUS CASH RECEIPTS,1996-11-19T00:00:00.000,,M001996323004,906
MISCELLANEOUS CASH RECEIPTS,1992-10-08T00:00:00.000,,,6
