id,title,fiscal_year,council_district,award,sponsor
E  CN086,DOE X186 - WALTER J. DAMROSCH SCHOOL,FY19,16,500000,Gibson
E  CN038,BARD HIGH SCHOOL EARLY COLLEGE QUEENS,FY19,26,35000,Van Bramer
E  CN091,DOE X443 - THE FAMILY SCHOOL,FY19,16,50000,Gibson
E  CN078,CRESTON ACADEMY - 125 E. 181ST STREET (MS 447),FY19,14,100000,Cabrera
E  CN102,DOE:P.S. 721R: HUNGERFORD SCHOOL,FY19,49,68000,Rose
E  CN167,I.S. 73 THE FRANK SANSIVIERI INTERMEDIATE (24Q073),FY19,30,130000,Holden
E  CN044,BRONX HIGH SCHOOL FOR THE VISUAL ARTS: UPGRADE,FY19,13,100000,Gjonaj
E  CN194,JOHN BOWNE HIGH SCHOOL - AUDITORIUM UPGRADES,FY19,24,107000,Lancman
E  CN036,AUDITORIUM UPGRADE FOR PS 37,FY19,27,125000,Miller
E  CN089,DOE X294 - THE WALTON AVENUE SCHOOL,FY19,16,150000,Gibson
E  CN195,JOHN DEWEY HIGH SCHOOL (21K540) - CULINARY ARTS KITCHEN UPGRADES,FY19,47,300000,Treyger
E  CN077,CONFIGURATION #9 FOR 29Q116,FY19,27,80000,Miller
E  CN175,IS 291 (32K291)-- WEIGHT/EXCERSIE ROOM UPGRADE,FY19,37,400000,Espinal
E  CN082,DOE X053 - BASHEER QUISIM,FY19,16,150000,Gibson
E  CN139,HS FOR TEACHING & PROFESSIONS TECHNOLOGY,FY19,11,40000,Cohen
E  CN042,BEACON HS (P35M),FY19,3,50000,Johnson
E  CN018,[SCA] [10X445] BRONX HIGH SCHOOL OF SCIENCE,FY19,5,35000,Kallos
E  CN087,DOE X215 - KAPPA,FY19,16,75000,Gibson
E  CN096,DOE: P.S. 35R: CLOVE VALLEY SCHOOL,FY19,49,68000,Rose
E  CN045,BRONX RIVER HIGH SCHOOL: UPGRADE,FY19,13,100000,Gjonaj
E  CN072,CONFIGURATION #1A FOR 29Q192,FY19,27,75000,Miller
E  CN054,BROOKLYN URBAN GARDEN CHARTER SCHOOL- TECHNOLOGY,FY19,39,35000,Lander
E  CN013,[SCA] [02M459] MANHATTAN INTERNATIONAL HIGH SCHOOL,FY19,5,35000,Kallos
E  CN019,11X287/11X370,FY19,12,350000,King
E  CN049,BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (23K664),FY19,37,86000,Espinal
E  CN153,I.S. 227 - 30Q227- LOUIS ARMSTRONG - SOUND SYSTEM,FY19,21,250000,Moya
E  CN051,BROOKLYN PROSPECT CHARTER SCHOOL- TECHNOLOGY,FY19,39,35000,Lander
E  CN137,HIGH SCHOOL OF LANGUAGE AND INNOVATION: UPGRADE,FY19,13,100000,Gjonaj
E  CN130,HAMILTON GRANGE MIDDLE SCHOOL,FY19,7,70000,Levine
E  CN121,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL - TECHNOLOGY,FY19,50,50000,Matteo
E  CN074,CONFIGURATION #5 FOR 29Q360,FY19,27,70000,Miller
