dbn,school_name,asian,english_language_learners,special_class
02M003,P.S. 003 Charrette School,0.0642768815159797,0.0444993823766708,0.02472188
02M150,P.S. 150,0.125,0.0326086953282356,0.0054347827
01M315,The East Village Community School,0.1003460213541984,0.0138408308848738,0.0
01M539,"New Explorations into Science, Technology and Math",0.3325648307800293,0.0011527377646416,0.00057636888
02M042,P.S. 042 Benjamin Altman,0.92268043756485,0.2822164893150329,0.011597938
02M422,Quest to Learn,0.0957446843385696,0.0248226951807737,0.0070921984
02M104,J.H.S. 104 Simon Baruch,0.4464119374752044,0.0643056854605674,0.027027028
03M243,M.S. 243 Center School,0.0826086923480033,0.0086956517770886,0.0
02M418,Millennium High School,0.3823975622653961,0.0030349013395607,0.0015174507
02M158,P.S. 158 Bayard Taylor,0.1090670153498649,0.0420499332249164,0.015768725
02M397,SPRUCE STREET SCHOOL,0.1418604701757431,0.0162790697067976,0.0
01M301,"Technology, Arts, and Sciences Studio",0.0805369094014167,0.0604026839137077,0.053691275
02M655,Life Sciences Secondary School,0.0373027250170707,0.0674318522214889,0.06456241
02M570,Satellite Academy High School,0.0187969915568828,0.0451127812266349,0.015037594
01M448,University Neighborhood High School,0.3026315867900848,0.2171052694320678,0.013157895
04M057,James Weldon Johnson,0.0397196263074874,0.1343457996845245,0.063084111
02M135,The Urban Assembly School for Emergency Management,0.0569948181509971,0.0673575103282928,0.0
03M054,J.H.S. 054 Booker T. Washington,0.0553505532443523,0.0123001234605908,0.049200494
03M334,The Anderson School,0.2804878056049347,0.0017421602969989,0.0
03M241,STEM Institute of Manhattan,0.0199999995529651,0.1500000059604644,0.16
02M059,P.S. 059 Beekman Hill International,0.1308724880218505,0.0503355711698532,0.0016778524
02M151,Yorkville Community School,0.0699300691485405,0.0734265744686126,0.022727273
02M407,Institute for Collaborative Education,0.0663900449872016,0.0,0.0
02M413,School of the Future High School,0.1458625495433807,0.0070126228965818,0.0
02M006,P.S. 006 Lillie D. Blake,0.1129476577043533,0.0289256200194358,0.0013774105
03M485,Fiorello H. LaGuardia High School of Music & Art a,0.1943074017763137,0.0003795066440943,0.0
03M087,P.S. 087 William Sherman,0.0697142854332923,0.0365714281797409,0.0
03M860,Frederick Douglass Academy II Secondary School,0.0243309009820222,0.0900243297219276,0.017031631
02M419,Landmark High School,0.0394366197288036,0.1070422530174255,0.0028169013
02M546,Academy for Software Engineering,0.1075581386685371,0.0261627901345491,0.0058139535
02M313,"James Baldwin School, The: A School for Expedition",0.0154440151527524,0.0772200748324394,0.0
01M458,Forsyth Satellite Academy,0.0111731840297579,0.0893854722380638,0.0
02M412,N.Y.C. Lab School for Collaborative Studies,0.2759795486927032,0.0034071549307554,0.0
02M408,Professional Performing Arts High School,0.0317164175212383,0.0018656715983524,0.0055970149
03M208,P.S. 208 Alain L. Locke,0.0191082805395126,0.1019108295440673,0.070063695
02M394,EMMA LAZARUS HIGH SCHOOL,0.640350878238678,0.8464912176132202,0.0
03M859,Special Music School,0.1731601804494857,0.0043290043249726,0.0
02M041,P.S. 041 Greenwich Village,0.0937912836670875,0.0145310433581471,0.0
02M002,P.S. 002 Meyer London,0.8565789461135864,0.4355263113975525,0.042105265
02M425,Leadership and Public Service High School,0.0386266112327575,0.067238911986351,0.05007153
03M166,P.S. 166 The Richard Rodgers School of The Arts an,0.1121951192617416,0.0536585375666618,0.011382114
02M542,Manhattan Bridges High School,0.0,0.5557655692100525,0.0
02M282,Urban Assembly Maker Academy,0.1067961156368255,0.0388349518179893,0.009708738
02M416,Eleanor Roosevelt High School,0.2014787495136261,0.0,0.0
02M276,BATTERY PARK CITY SCHOOL,0.2228704839944839,0.023337222635746,0.0011668612
01M142,P.S. 142 Amalia Castro,0.054404143244028,0.1036269441246986,0.075129531
03M009,P.S. 009 Sarah Anderson,0.0820668712258338,0.0349544063210487,0.0
02M519,Talent Unlimited High School,0.0494071133434772,0.0019762846641242,0.0
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,0.0362694300711154,0.0829015523195266,0.088082902
03M165,P.S. 165 Robert E. Simon,0.0433213002979755,0.175691932439804,0.045728039
02M449,Vanguard High School,0.0740740746259689,0.0802469104528427,0.0082304524
04M038,P.S. 38 Roberto Clemente,0.0528301894664764,0.1245283037424087,0.041509435
02M312,New York City Lab Middle School for Collaborative,0.4462365508079529,0.0035842293873429,0.0017921147
02M560,High School M560 - City As School,0.0638297870755195,0.0227963533252477,0.0091185411
02M288,Food and Finance High School,0.0468384064733982,0.0304449647665023,0.0023419203
02M630,Art and Design High School,0.0846883505582809,0.0121951214969158,0.02506775
04M037,River East Elementary,0.0,0.045248869806528,0.0090497741
02M131,M.S. 131,0.8004925847053528,0.4211822748184204,0.071428575
02M374,Gramercy Arts High School,0.0377358496189117,0.0188679248094558,0.0094339624
02M305,"Urban Assembly Academy of Government and Law, The",0.0577507615089416,0.0303951371461153,0.0030395137
02M116,P.S. 116 Mary Lindley Murray,0.1882183849811554,0.0862068980932235,0.0057471264
02M432,Murray Hill Academy,0.0671378076076507,0.0388692580163478,0.0
01M137,P.S. 137 John L. Bernstein,0.1397849470376968,0.1182795688509941,0.19354838
01M020,P.S. 020 Anna Silver,0.3649289011955261,0.1848341226577758,0.056872036
03M256,M.S. 256 Academic & Athletic Excellence,0.0070422533899545,0.1549295783042907,0.0
02M290,P.S. 290 Manhattan New School,0.1160990744829177,0.046439629048109,0.0
02M212,P.S. 212 Midtown West,0.0775623247027397,0.0249307472258806,0.002770083
03M247,M.S. M247 Dual Language Middle School,0.0,0.2588832378387451,0.0
04M610,Young Women's Leadership School,0.0791666656732559,0.022916667163372,0.0
02M011,P.S. 011 William T. Harris,0.1272935718297958,0.0355504602193832,0.0022935779
02M089,P.S. 89,0.1447963863611221,0.0384615398943424,0.0022624435
02M298,Pace High School,0.1371158361434936,0.0118203312158584,0.0023640662
01M361,The Children's Workshop School,0.1137254908680915,0.0509803928434848,0.0078431377
02M294,Essex Street Academy,0.0586592182517051,0.036312848329544,0.0083798887
02M281,The River School,0.4038461446762085,0.1826923042535781,0.009615385
03M076,P.S. 076 A. Philip Randolph,0.0038461538497358,0.090384617447853,0.053846154
02M580,Richard R. Green High School of Teaching,0.0600706711411476,0.0494699664413929,0.03533569
02M234,P.S. 234 Independence School,0.1152263358235359,0.0164609048515558,0.0
02M001,P.S. 001 Alfred E. Smith,0.6666666865348816,0.3139784932136535,0.045161292
02M267,"East Side Elementary School, PS 267",0.0906250029802322,0.0218749996274709,0.0
01M110,P.S. 110 Florence Nightingale,0.1288782805204391,0.0214797127991914,0.045346063
02M529,Jacqueline Kennedy Onassis High School,0.0399408265948295,0.0576923079788684,0.032544378
02M531,Repertory Company High School for Theatre Arts,0.0162601619958877,0.0365853644907474,0.008130081
