school_name,poverty
James Weldon Johnson,1.0
Food and Finance High School,0.7845433354377747
Manhattan International High School,1.0
P.S. 064 Robert Simon,0.932624101638794
STEM Institute of Manhattan,0.8899999856948853
High School for Environmental Studies,0.732513427734375
P.S. 130 Hernando De Soto,1.0
P.S. 126 Jacob August Riis,0.7854500412940979
P.S. 059 Beekman Hill International,0.1090603992342948
M.S. 243 Center School,1.0
"Collaborative Academy of Science, Technology, & La",0.9166666865348816
Baruch College Campus High School,0.5920177102088928
P.S. 38 Roberto Clemente,0.9622641801834106
Independence High School,0.8706624507904053
P.S. 89,0.0384615398943424
P.S. 015 Roberto Clemente,1.0
Young Women's Leadership School,0.8062499761581421
High School of Arts and Technology,0.9040403962135316
Urban Academy Laboratory High School,0.432098776102066
High School of Graphic Communication Arts,1.0
N.Y.C. Lab School for Collaborative Studies,0.339011937379837
47 The American Sign Language and English Secondar,0.834319531917572
P.S. 033 Chelsea Prep,0.4952681362628937
P.S. 124 Yung Wing,1.0
P.S. 009 Sarah Anderson,0.2112462073564529
Chelsea Career and Technical Education High School,0.874715268611908
M.S. 260 Clinton School Writers & Artists,0.2000000029802322
Marta Valle High School,0.8457300066947937
P.S. 034 Franklin D. Roosevelt,0.9645569324493408
M.S. 255 Salk School of Science,0.1068493127822876
"High School for Law, Advocacy and Community Justic",0.8941176533699036
Harvest Collegiate High School,0.6216216087341309
Richard R. Green High School of Teaching,0.8480565547943115
P.S. 242 - The Young Diplomats Magnet Academy,0.9230769276618958
M.S. M247 Dual Language Middle School,0.9746192693710328
High School of Economics and Finance,0.7914572954177856
University Neighborhood High School,0.8914473652839661
"East Side Elementary School, PS 267",0.0750000029802322
P.S. 166 The Richard Rodgers School of The Arts an,0.2520325183868408
Urban Assembly Maker Academy,0.8058252334594727
P.S. 142 Amalia Castro,0.9611399173736572
FRANK McCOURT HIGH SCHOOL,0.4987080097198486
P.S. 158 Bayard Taylor,0.1314060389995575
P.S. 77 Lower Lab School,0.0485714301466941
P.S. 290 Manhattan New School,0.099071204662323
Murray Hill Academy,0.7738515734672546
P.S. 150,0.1576087027788162
School of the Future High School,0.3716689944267273
Sixth Avenue Elementary School,0.0602409653365612
Wadleigh Secondary School for the Performing & Vis,1.0
M.S. M245 The Computer School,0.2961165010929107
Manhattan Village Academy,0.759036123752594
P.S. 452,0.1083916053175926
Quest to Learn,0.414893627166748
New Design High School,1.0
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,0.8466818928718567
BUSINESS OF SPORTS SCHOOL,1.0
The Global Learning Collaborative,0.850806474685669
"Technology, Arts, and Sciences Studio",0.8523489832878113
Humanities Preparatory Academy,0.7368420958518982
P.S. 333 Manhattan School for Children,0.169960469007492
"P.S. 145, The Bloomingdale School",1.0
P.S. 198 Isador E. Ida Straus,0.5108225345611572
"High School for Arts, Imagination and Inquiry",0.7964205741882324
Yorkville East Middle School,0.3571428656578064
International High School at Union Square,0.8328611850738525
Union Square Academy for Health Sciences,0.7742946743965149
NYC iSchool,0.4434389173984527
P.S. 011 William T. Harris,0.2901376187801361
The Urban Assembly School for Green Careers,0.9036827087402344
Manhattan Comprehensive Night and Day High School,0.8813096880912781
Bard High School Early College,0.3394495546817779
