project_school_name,project_phase_actual_start_date
PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,1/31/2024
P.S. 15 - BROOKLYN,8/2/2023
P.S. 18 - BROOKLYN,3/13/2025
I.S. 14 - BROOKLYN,2/28/2024
P.S. 10 - BROOKLYN,3/22/2024
PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,3/25/2024
P.S. 18 - BROOKLYN,PNS
P.S. 16 - BROOKLYN,PNS
P.S. 10 - BROOKLYN,12/16/2024
P.S. 16 - BROOKLYN,PNS
P.S. 5 - BROOKLYN,8/8/2022
K004 SPED - BROOKLYN,3/20/2024
P.S. 16 - BROOKLYN,PNS
I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN,9/11/2023
PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,8/5/2025
P.S. 11 - BROOKLYN,PNS
P.S. 17 - BROOKLYN,4/25/2018
I.S. 14 - BROOKLYN,7/16/2021
P.S. 3 - BROOKLYN,12/18/2024
K004 SPED - BROOKLYN,1/11/2024
P.S. 1 - BROOKLYN,4/13/2025
P.S. 18 - BROOKLYN,PNS
P.S. 18 - BROOKLYN,PNS
I.S. 14 - BROOKLYN,2/26/2024
P.S. 12 - BROOKLYN,10/26/2023
P.S. 10 - BROOKLYN,PNS
P.S. 18 - BROOKLYN,8/31/2023
P.S. 5 - BROOKLYN,PNS
P.S. 7 - BROOKLYN,PNS
P.S. 13 - BROOKLYN,4/16/2025
P.S. 8 - BROOKLYN,3/28/2025
P.S. 5 - BROOKLYN,8/18/2020
P.S. 7 - BROOKLYN,PNS
P.S. 1 - BROOKLYN,4/13/2025
P.S. 12 - BROOKLYN,PNS
P.S. 17 - BROOKLYN,4/24/2025
P.S. 15 - BROOKLYN,8/16/2021
P.S. 15 - BROOKLYN,4/7/2025
P.S. 1 - BROOKLYN,6/16/2022
P.S. 12 - BROOKLYN,6/23/2023
P.S. 6 - BROOKLYN,3/12/2025
P.S. 11 - BROOKLYN,9/15/2025
P.S. 10 - BROOKLYN,PNS
P.S. 17 - BROOKLYN,8/28/2023
P.S. 12 - BROOKLYN,7/16/2025
P.S. 12 - BROOKLYN,PNS
P.S. 3 - BROOKLYN,3/25/2024
P.S. 10 - BROOKLYN,2/7/2022
P.S. 5 - BROOKLYN,PNS
P.S. 12 - BROOKLYN,4/2/2025
P.S. 6 - BROOKLYN,FTK
P.S. 10 - BROOKLYN,PNS
P.S. 17 - BROOKLYN,4/6/2017
P.S. 5 - BROOKLYN,12/12/2024
P.S. 8 - BROOKLYN,9/3/2025
PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,9/23/2024
P.S. 15 - BROOKLYN,11/7/2018
P.S. 13 - BROOKLYN,4/3/2024
P.S. 15 - BROOKLYN,6/12/2024
P.S. 13 - BROOKLYN,PNS
P.S. 11 - BROOKLYN,PNS
I.S. 2 - BROOKLYN,7/14/2021
P.S. 11 - BROOKLYN,PNS
P.S. 6 - BROOKLYN,2/10/2022
PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,8/7/2025
P.S. 17 - BROOKLYN,PNS
P.S. 8 - BROOKLYN,7/15/2024
P.S. 5 - BROOKLYN,6/2/2023
P.S. 5 - BROOKLYN,6/4/2025
P.S. 17 - BROOKLYN,PNS
P.S. 16 - BROOKLYN,6/26/2025
P.S. 11 - BROOKLYN,5/2/2022
P.S. 15 - BROOKLYN,11/13/2019
P.S. 15 - BROOKLYN,8/16/2021
P.S. 6 - BROOKLYN,PNS
P.S. 10 - BROOKLYN,PNS
P.S. 3 - BROOKLYN,3/5/2024
P.S. 5 - BROOKLYN,PNS
P.S. 6 - BROOKLYN,9/18/2023
P.S. 12 - BROOKLYN,10/30/2023
P.S. 8 - BROOKLYN,PNS
P.S. 5 - BROOKLYN,PNS
P.S. 16 - BROOKLYN,PNS
P.S. 414 - BROOKLYN,PNS
P.S. 16 - BROOKLYN,6/26/2025
I.S. 577 - BROOKLYN,5/1/2025
P.S. 16 - BROOKLYN,5/28/2024
PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,4/4/2017
I.S. 484 - BROOKLYN,PNS
P.S. 12 - BROOKLYN,5/9/2022
P.S. 13 - BROOKLYN,4/16/2025
P.S. 15 - BROOKLYN,PNS
I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN,9/11/2023
P.S. 10 - BROOKLYN,12/16/2024
I.S. 14 - BROOKLYN,PNS
P.S. 10 - BROOKLYN,PNS
P.S. 1 - BROOKLYN,9/22/2025
I.S. 14 - BROOKLYN,10/21/2024
P.S. 1 - BROOKLYN,8/7/2025
P.S. 6 - BROOKLYN,9/17/2018
P.S. 18 - BROOKLYN,PNS
I.S. 577 - BROOKLYN,7/27/2023
P.S. 12 - BROOKLYN,7/22/2024
PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,PNS
PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,12/16/2024
P.S. 15 - BROOKLYN,6/12/2024
P.S. 6 - BROOKLYN,9/18/2023
P.S. 8 - BROOKLYN,7/15/2024
P.S. 17 - BROOKLYN,8/28/2023
P.S. 8 - BROOKLYN,6/5/2023
I.S. 577 - BROOKLYN,8/2/2023
P.S. 18 - BROOKLYN,3/12/2025
PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,2/25/2025
PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,12/18/2024
P.S. 6 - BROOKLYN,3/13/2025
P.S. 11 - BROOKLYN,PNS
PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,12/18/2024
P.S. 8 - BROOKLYN,8/5/2025
P.S. 8 - BROOKLYN,2/14/2023
