project_phase_name,project_type_,project_status_name
Construction,DOE - RESOA,In-Progress
Scope,SCA Capacity,Complete
Construction,DOE - RESOA,PNS
Construction,DOE - RESOA,In-Progress
Construction,Fast Track Projects,In-Progress
Construction,SCA IEH,In-Progress
Construction,DOE - RESOA,PNS
Construction,DOE - RESOA,In-Progress
Scope,SCA CIP,Complete
Construction,DOE - RESOA,In-Progress
Construction,Fast Track Projects,PNS
"CM,F&E",SCA CIP,In-Progress
"CM,F&E",SCA CIP,PNS
Design,SCA CIP RESOA,PNS
Construction,SCA IEH,Complete
Construction,SCA IEH,Complete
Construction,SCA CIP,PNS
Construction,SCA CIP RESOA,PNS
Purch & Install,DIIT - RESOA,PNS
Construction,DOE - RESOA,PNS
Scope,SCA CIP,Complete
Design,SCA CIP,Complete
Design,SCA CIP,Complete
Construction,DOE - Skilled Trades,In-Progress
Design,SCA CIP,Complete
Design,SCA CIP,Complete
Construction,SCA CIP,PNS
Construction,DOE - RESOA,PNS
Construction,SCA CIP,In-Progress
Scope,SCA CIP RESOA,PNS
"CM,F&E",SCA CIP,In-Progress
Design,SCA CIP,Complete
Design,SCA CIP RESOA,PNS
Construction,SCA Capacity,In-Progress
Construction,SCA IEH,In-Progress
Construction,DOE - RESOA,PNS
Design,SCA CIP,Complete
Construction,DOE - RESOA,In-Progress
Construction,SCA CIP,In-Progress
Scope,SCA CIP,Complete
Purch & Install,DIIT - RESOA,Complete
Construction,SCA CIP,PNS
"CM,F&E",SCA CIP,PNS
Design,SCA CIP,Complete
Design,SCA CIP,Complete
"CM,F&E",SCA CIP RESOA,PNS
Design,SCA CIP,Complete
Construction,SCA CIP RESOA,PNS
Purch & Install,DIIT - RESOA,PNS
"CM,F&E",SCA CIP,In-Progress
Purch & Install,DIIT - RESOA,Complete
Construction,DOE - Skilled Trades,In-Progress
F&E,SCA Furniture & Equipment,PNS
Purch & Install,DIIT - RESOA,Complete
Construction,SCA CIP,PNS
Purch & Install,DIIT - RESOA,Complete
"CM,F&E",SCA CIP,In-Progress
Purch & Install,DIIT - RESOA,Complete
Scope,SCA CIP,Complete
Scope,SCA CIP,Complete
Scope,SCA CIP,Complete
Scope,SCA CIP,In-Progress
"CM,F&E",SCA CIP RESOA,PNS
Construction,SCA CIP,In-Progress
"CM,F&E",SCA CIP,In-Progress
Construction,DOE - RESOA,PNS
Design,SCA CIP,Complete
Construction,DOE - RESOA,In-Progress
Scope,SCA CIP RESOA,PNS
Design,SCA CIP,Complete
Construction,Fast Track Projects,PNS
Scope,SCA CIP RESOA,PNS
Scope,SCA CIP,Complete
Purch & Install,DIIT - RESOA,Complete
Scope,SCA CIP,Complete
Scope,SCA CIP,Complete
Scope,SCA CIP,Complete
Construction,DOE - RESOA,In-Progress
Construction,SCA CIP,In-Progress
Purch & Install,DIIT - RESOA,PNS
"CM,F&E",SCA CIP,PNS
"CM,F&E",SCA CIP,Complete
Design,SCA CIP,PNS
Construction,SCA Emergency Response,In-Progress
Construction,SCA IEH,In-Progress
Construction,DOE - RESOA,PNS
Construction,SCA CIP RESOA,Complete
Construction,DOE - RESOA,In-Progress
Purch & Install,DIIT - RESOA,Complete
Design,SCA CIP RESOA,PNS
Construction,SCA CIP,In-Progress
Construction,DOE - RESOA,In-Progress
Design,SCA CIP,Complete
Construction,SCA CIP,In-Progress
Construction,SCA CIP,PNS
Design,SCA CIP RESOA,PNS
Scope,SCA CIP,Complete
"CM,F&E",SCA CIP RESOA,PNS
"CM,F&E",SCA CIP,In-Progress
Design,SCA CIP,Complete
Construction,SCA CIP,PNS
Purch & Install,DIIT - RESOA,PNS
Construction,SCA CIP RESOA,PNS
Purch & Install,DIIT - RESOA,PNS
"CM,F&E",SCA CIP,In-Progress
Construction,SCA IEH,In-Progress
Scope,SCA CIP,Complete
Construction,DOE - Skilled Trades,In-Progress
Purch & Install,DIIT - RESOA,PNS
Construction,DOE - RESOA,In-Progress
Construction,SCA CIP,In-Progress
Construction,DOE - RESOA,PNS
"CM,Art,F&E",SCA Capacity,In-Progress
"CM,F&E",SCA CIP,In-Progress
Construction,DOE - RESOA,PNS
Construction,SCA CIP RESOA,PNS
Construction,SCA CIP,In-Progress
Construction,SCA CIP,In-Progress
Construction,SCA IEH,In-Progress
Construction,DOE - Skilled Trades,In-Progress
"CM,F&E",SCA CIP,PNS
Scope,SCA CIP,Complete
"CM,F&E",SCA CIP,In-Progress
Construction,SCA CIP,PNS
Design,SCA CIP,Complete
"CM,F&E",SCA CIP,In-Progress
Construction,SCA CIP,In-Progress
"CM,F&E",SCA CIP RESOA,Complete
"CM,F&E",SCA CIP,In-Progress
Design,SCA CIP RESOA,Complete
Design,SCA CIP,Complete
Scope,SCA CIP,Complete
Construction,SCA IEH,Complete
"CM,F&E",SCA CIP,In-Progress
Design,SCA CIP,Complete
Construction,DOE - RESOA,PNS
Construction,SCA CIP,In-Progress
Construction,SCA IEH,Complete
Scope,SCA CIP RESOA,Complete
