project_phase_actual_end_date,project_description
8/9/2021,ELECTRIFICATION/CLIMATE CONTROL / ELECTRIFICATION/BOILER REMOVAL / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS
,ACE BOILER CONTROLS UPGRADE
5/9/2023,PARAPETS
,FY22 RESO A ROOM CONVERSION
9/15/2022,NEW SCHOOL
PNS,FY25 RESO A ROOM CONVERSION
,FY20 RESO A ROOM RENOVATION
,GAS LEAK
,"PO18-RESPONSE ACTION NEEDED DUE TO OBSERVED DAMAGE. ABATE, TEST AS NEEDED"
PNS,FY25 RESO A HYDROPONICS LAB
,FY24 RESO A WATER FOUNTAIN UPGRADES
8/21/2023,ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND UPGRADE
,FY24 RESO A PLAYGROUND UPGRADE
FTK,FY20 RESO A PLAYGROUND UPGRADE
,IPDVS INSTALLATIONS
PNS,LOW VOLTAGE ELECTRICAL SYSTEMS
PNS,FY23 RESO A PA SYSTEM UPGRADE
7/31/2025,PO18-1. ABATE ABOUT 30 FT OF ACM PIPE INSULATION ON 2 STEAM AND 1 COLD WATER. 2. ABATE FLOOR FILL 12
6/12/2025,"PO18-ABATE PIPE INSULATION SHOWER/BATHROOM BOILER ROOM #B30  FRIABLE WHITE AIRCELL PIPE INSULATION,"
PNS,IPDVS INSTALLATIONS
PNS,PATH OF TRAVEL RESO A SUPPLEMENTAL COOLING
PNS,FY26 RESO A TECHNOLOGY UPGRADE
PNS,FY25 RESO A CAFETERIA UPGRADE
3/25/2024,IPDVS INSTALLATIONS
11/8/2023,IPDVS CAMERA INSTALLATION
8/26/2025,IPDVS INSTALLATIONS
,ELEVATOR MODERNIZATION
7/16/2024,IPDVS INSTALLATIONS
8/13/2024,IPDVS INSTALLATIONS
PNS,ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND UPGRADE
PNS,FY25 RESO A STEM LAB
,IPDVS INSTALLATIONS
PNS,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE
,ELECTRIFICATION/CLIMATE CONTROL / ELECTRIFICATION/BOILER REMOVAL / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS
7/16/2024,IPDVS INSTALLATIONS
PNS,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE
,NEW SCHOOL
,"PO18-RESPONSE ACTION DUE TO OBSERVED DAMAGE ABATE, TEST AS NEEDED LOCATIONS (2108) 108 CLASSROOM - F"
PNS,FY25 RESO A ROOM CONVERSION
9/30/2022,CERTIFICATE OF OCCUPANCY / FIRE ALARM SYSTEM REPLACEMENT
,FY15 RESO A ROOM CONVERSIONS / PARTITIONING
,IPDVS INSTALLATIONS
1/11/2024,IPDVS INSTALLATIONS
6/12/2025,FY24 RESO A TECHNOLOGY UPGRADE
PNS,PATH OF TRAVEL PLAYGROUND UPGRADE
PNS,ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND UPGRADE
5/15/2024,PARAPETS / EXTERIOR MASONRY
4/1/2024,WALK-IN REFRIGERATORS AND FREEZERS
PNS,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE
1/30/2024,ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND UPGRADE
PNS,FY23 RESO A PA SYSTEM UPGRADE
PNS,FY18 RESO A IP SECURITY CAMERAS
,IPDVS INSTALLATIONS
7/31/2025,FY25 RESO A TECHNOLOGY UPGRADE
,DEP GREEN INFRASTRUCTURE
PNS,FY24 RESO A MOBILE SCIENCE LABS
6/12/2025,FY25 RESO A TECHNOLOGY UPGRADE
PNS,LOW VOLTAGE ELECTRICAL SYSTEMS
7/8/2025,FY25 RESO A TECHNOLOGY UPGRADE
,ROOFS / WINDOWS / EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY
6/6/2025,FY25 RESO A TECHNOLOGY UPGRADE
12/28/2022,FULL PROGRAM ACCESSIBILITY / ROOFS / FIRE ALARM SYSTEM REPLACEMENT
10/24/2023,WALK-IN REFRIGERATORS AND FREEZERS
3/13/2025,IPDVS INSTALLATIONS
,IPDVS INSTALLATIONS
PNS,FY25 RESO A PLAYGROUND UPGRADE
,CERTIFICATE OF OCCUPANCY / FIRE ALARM SYSTEM REPLACEMENT
,WALK-IN REFRIGERATORS AND FREEZERS
PNS,FY23 RESO A AUDITORIUM UPGRADE
8/13/2024,IPDVS INSTALLATIONS
,FY21 RESO A WATER FOUNTAIN UPGRADES
PNS,FY23 RESO A PA SYSTEM UPGRADE
9/4/2025,LOW VOLTAGE ELECTRICAL SYSTEMS
FTK,FY25 RESO A GYMNASIUM UPGRADE
PNS,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE
12/19/2017,CERTIFICATE OF OCCUPANCY / FIRE ALARM SYSTEM REPLACEMENT
4/9/2025,FY23 RESO A TECHNOLOGY UPGRADE
9/10/2025,IPDVS INSTALLATIONS
11/12/2024,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS / ROOFS / WINDOWS / PARAPETS / LIGHTING UPGRADE
11/12/2019,ROOFS / WINDOWS / EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY
,FY24 RESO A AUDITORIUM UPGRADE
,IPDVS CAMERA INSTALLATION
PNS,FY25 RESO A TECHNOLOGY UPGRADE
PNS,IPDVS INSTALLATIONS
9/3/2024,ROOFS / PARAPETS / EXTERIOR MASONRY / CONDENSING UNITS DX COILS REPLACEMENT / VENTILATION / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM
PNS,IPDVS INSTALLATIONS
,EMERGENCY STABILIZATION
,PO18-RESPONSE ACTION NEEDED DUE TO OBSERVED DAMAGE (2110)110 CLASSROOM - 9X9 FT TAN-YELLOW (1017A) B
PNS,FY23 RESO A CAFETERIA UPGRADE
4/28/2025,FY23 RESO A PLAYGROUND UPGRADE
,FY23 RESO A STEM LAB
9/11/2025,FY25 RESO A TECHNOLOGY UPGRADE
PNS,PATH OF TRAVEL RESO A SUPPLEMENTAL COOLING
,IPDVS INSTALLATIONS
,FY16 RESO A AUDITORIUM UPGRADE
4/2/2021,ROOFS / WINDOWS / EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY
,ROOFS / WINDOWS / EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY
PNS,IPDVS INSTALLATIONS
PNS,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE
3/25/2024,IPDVS INSTALLATIONS
PNS,FY23 RESO A PA SYSTEM UPGRADE
,PARAPETS
4/26/2024,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / FENCING
PNS,IPDVS INSTALLATIONS
PNS,FY26 RESO A TECHNOLOGY UPGRADE
PNS,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE
PNS,FY 07 RESO A TECHNOLOGY
,IPDVS INSTALLATIONS
,"PO18-REPLACE 800 SQ FT OF 9X9 IN 2ND AND 4TH FLOOR STAIRWELL STAIRCASE B, D, G,"
5/31/2024,IPDVS INSTALLATIONS
,WATER HEATERS
PNS,FY26 RESO A TECHNOLOGY UPGRADE
,FY20 RESO A HYDROPONICS LAB
,IPDVS INSTALLATIONS
PNS,FY24 RESO A WATER FOUNTAIN UPGRADES
,NEW SCHOOL
,IPDVS INSTALLATIONS
PNS,FY25 RESO A STEM LAB
PNS,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE
,FULL PROGRAM ACCESSIBILITY / ROOFS / FIRE ALARM SYSTEM REPLACEMENT
,PARAPETS / EXTERIOR MASONRY
,PO18-ABATE APPROX 10LF OF PIPE INSULATION MARKED IN RED IN STORE ROOM# 115 1ST FLOOR STORE ROOM#115
,ADA SHELTER COMPLIANCE
PNS,PATH OF TRAVEL PLAYGROUND UPGRADE
8/2/2023,IPDVS INSTALLATION
,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / FENCING
PNS,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS / ROOFS / WINDOWS / PARAPETS / LIGHTING UPGRADE
6/17/2025,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS / ROOFS / WINDOWS / PARAPETS / LIGHTING UPGRADE
,IPDVS CAMERA INSTALLATION
,PARAPETS
4/28/2025,FY23 RESO A PLAYGROUND UPGRADE
,CERTIFICATE OF OCCUPANCY / FIRE ALARM SYSTEM REPLACEMENT
1/10/2024,FY23 RESO A PLAYGROUND UPGRADE
12/20/2023,IPDVS INSTALLATION
3/13/2025,IPDVS INSTALLATIONS
6/20/2025,PO18-ABATE FUEL OIL PIPE INUSLATION FOR BOILER CONVERSION LOCATION IS MARKED AT BOILER AND PUMP SET
,IPDVS INSTALLATIONS
8/26/2025,IPDVS INSTALLATIONS
PNS,FY25 RESO A GYMNASIUM UPGRADE
,IPDVS INSTALLATIONS
9/26/2025,"PO18-RESPONSE ACTION DUE TO OBSERVED DAMAGED. (2004) 1ST FL STAIRWELL EXIT #2 AND #4, WALL PLASTER A"
6/2/2023,FY23 RESO A PLAYGROUND UPGRADE
