the_geom,borough,image,number
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92499414708763, 40.852842763608656], [-73.92500188415919, 40.84598100983714], [-73.93403780326746, 40.84598653077111], [-73.9340309983726, 40.8528482851056], [-73.92499414708763, 40.852842763608656]]]]}",1,2247,2247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.80743591646335, 40.88015347019858], [-73.79839537444866, 40.88013803206172], [-73.79841617909955, 40.87327631825497], [-73.80745578817891, 40.873291754818005], [-73.80743591646335, 40.88015347019858]]]]}",2,37257,37257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92496318280065, 40.8802897224375], [-73.92497092627147, 40.87342799316649], [-73.93401057524335, 40.87343351635261], [-73.93400376472023, 40.88029524618675], [-73.92496318280065, 40.8802897224375]]]]}",1,2257,2257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.7713209888316, 40.866364042838974], [-73.77134458250761, 40.859502326239785], [-73.78038231284549, 40.859519883507474], [-73.78035965171445, 40.86638160189688], [-73.7713209888316, 40.866364042838974]]]]}",2,45252,45252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87066637510794, 40.90768850064528], [-73.87067972727013, 40.90082681134938], [-73.87972309669459, 40.900836587118945], [-73.87971067824697, 40.90769827741141], [-73.87066637510794, 40.90768850064528]]]]}",2,17267,17267
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96114153616449, 40.85286060228221], [-73.96114554452932, 40.845998846691856], [-73.97018146809882, 40.84600153637844], [-73.97017839191207, 40.85286329224305], [-73.96114153616449, 40.85286060228221]]]]}",1,992247,992247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87977274482202, 40.873389755767086], [-73.87073310832622, 40.873379983983114], [-73.87074644671385, 40.866518251082816], [-73.87978515045835, 40.866528021870586], [-73.87977274482202, 40.873389755767086]]]]}",2,17255,17255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.7893331065504, 40.8869835803109], [-73.7893548485929, 40.880121885778394], [-73.79839537444866, 40.88013803206172], [-73.7983745655303, 40.88699972824035], [-73.7893331065504, 40.8869835803109]]]]}",2,40260,40260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83454046621513, 40.887057237603294], [-73.83455754262174, 40.880195535561974], [-73.8435980998896, 40.880208141023765], [-73.84358195661444, 40.88706984435023], [-73.83454046621513, 40.887057237603294]]]]}",2,27260,27260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.7803143153603, 40.88010503130678], [-73.7803369858766, 40.87324332086436], [-73.78937658617659, 40.873260173617716], [-73.7893548485929, 40.880121885778394], [-73.7803143153603, 40.88010503130678]]]]}",2,42257,42257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93400376472023, 40.88029524618675], [-73.93401057524335, 40.87343351635261], [-73.9430502137577, 40.873438331432034], [-73.94304433618149, 40.8803000617571], [-73.93400376472023, 40.88029524618675]]]]}",1,257,257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.77134458250761, 40.859502326239785], [-73.7713209888316, 40.866364042838974], [-73.76228234268, 40.86634577578346], [-73.76230686889824, 40.859484061046665], [-73.77134458250761, 40.859502326239785]]]]}",2,47252,47252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8978730915166, 40.85968370426025], [-73.89788362730003, 40.85282195183482], [-73.906920461359, 40.85282959697209], [-73.90691085794296, 40.859691350177094], [-73.8978730915166, 40.85968370426025]]]]}",2,10250,10250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85256256645371, 40.91452849081311], [-73.84351735013253, 40.91451658747118], [-73.84353350674532, 40.907654919619276], [-73.8525777891643, 40.90766682174792], [-73.85256256645371, 40.91452849081311]]]]}",2,25270,25270
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.86162208659553, 40.907678015433184], [-73.8525777891643, 40.90766682174792], [-73.85259300875174, 40.900805134661816], [-73.8616363724702, 40.90081632720607], [-73.86162208659553, 40.907678015433184]]]]}",2,22267,22267
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88878941915445, 40.887122254406], [-73.87974792588282, 40.88711318888463], [-73.87976033662501, 40.880251481139496], [-73.88880089676188, 40.88026054573672], [-73.88878941915445, 40.887122254406]]]]}",2,15260,15260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87071976718538, 40.88024170835924], [-73.86167921236401, 40.880231227421824], [-73.86169348644661, 40.87336950411419], [-73.87073310832622, 40.873379983983114], [-73.87071976718538, 40.88024170835924]]]]}",2,20257,20257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9430678392024, 40.852853098712444], [-73.94307371192134, 40.845991343887164], [-73.95210963364482, 40.84599544919771], [-73.9521046931034, 40.85285720444162], [-73.9430678392024, 40.852853098712444]]]]}",1,997247,997247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96113351694795, 40.86658409768329], [-73.95209480895531, 40.86658069914973], [-73.952099751536, 40.859718960461656], [-73.96113752696729, 40.859722358648746], [-73.96113351694795, 40.86658409768329]]]]}",1,995252,995252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87075978233163, 40.859656518761554], [-73.8707731152154, 40.85279476910791], [-73.87980995403588, 40.85280453790337], [-73.87979755351851, 40.859666288553136], [-73.87075978233163, 40.859656518761554]]]]}",2,17250,17250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8526842602653, 40.85963485532951], [-73.85269945787807, 40.85277310788461], [-73.8617362910049, 40.85278429244402], [-73.86172202575678, 40.8596460410294], [-73.8526842602653, 40.85963485532951]]]]}",2,22250,22250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.82558900179774, 40.85273530695219], [-73.81655218236642, 40.8527212908693], [-73.8165711054955, 40.84585954948328], [-73.82560699275997, 40.845873564137065], [-73.82558900179774, 40.85273530695219]]]]}",2,32247,32247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.86167921236401, 40.880231227421824], [-73.85263864862509, 40.88022003830009], [-73.85265385564975, 40.873358316133135], [-73.86169348644661, 40.87336950411419], [-73.86167921236401, 40.880231227421824]]]]}",2,22257,22257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8255170007425, 40.88018222194824], [-73.82553500658483, 40.87332050363653], [-73.83457461552634, 40.873333815893], [-73.83455754262174, 40.880195535561974], [-73.8255170007425, 40.88018222194824]]]]}",2,30257,30257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9340446067675, 40.839124759301214], [-73.9340514088553, 40.83226298880399], [-73.94308545373296, 40.83226780093855], [-73.94307958343654, 40.839129571926485], [-73.9340446067675, 40.839124759301214]]]]}",1,242,242
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88877793916237, 40.89398396335937], [-73.88878941915445, 40.887122254406], [-73.89783092666116, 40.88713061169556], [-73.89782037999966, 40.89399232150095], [-73.88877793916237, 40.89398396335937]]]]}",2,12262,12262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90685319584416, 40.90086166407776], [-73.89780983117437, 40.9008540134825], [-73.89782037999966, 40.89399232150095], [-73.9068628111479, 40.893999971316376], [-73.90685319584416, 40.90086166407776]]]]}",2,10265,10265
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.78939831927431, 40.8663984529321], [-73.78942004785895, 40.859536732824694], [-73.79845777549508, 40.85955287417018], [-73.79843697945701, 40.86641459592339], [-73.78939831927431, 40.8663984529321]]]]}",2,40252,40252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96114955207254, 40.83913707396614], [-73.95211457317357, 40.83913367681841], [-73.95211951167701, 40.83227190541192], [-73.9611535587839, 40.83227530221324], [-73.96114955207254, 40.83913707396614]]]]}",1,995242,995242
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85259300875174, 40.900805134661816], [-73.85260822517705, 40.893943447662764], [-73.86165065537672, 40.89395463906609], [-73.8616363724702, 40.90081632720607], [-73.85259300875174, 40.900805134661816]]]]}",2,22265,22265
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.84353350674532, 40.907654919619276], [-73.84354966004332, 40.90079323374636], [-73.85259300875174, 40.900805134661816], [-73.8525777891643, 40.90766682174792], [-73.84353350674532, 40.907654919619276]]]]}",2,25267,25267
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.79845777549508, 40.85955287417018], [-73.79847856726967, 40.85269113508383], [-73.80751537869915, 40.852706566925896], [-73.8074955192825, 40.859568307585796], [-73.79845777549508, 40.85955287417018]]]]}",2,37250,37250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9430502137577, 40.873438331432034], [-73.93401057524335, 40.87343351635261], [-73.93401738436098, 40.86657177799468], [-73.94305609012096, 40.86657659258323], [-73.9430502137577, 40.873438331432034]]]]}",1,255,255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87074644671385, 40.866518251082816], [-73.86170775758347, 40.86650777228233], [-73.86172202575678, 40.8596460410294], [-73.87075978233163, 40.859656518761554], [-73.87074644671385, 40.866518251082816]]]]}",2,20252,20252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95210963364482, 40.84599544919771], [-73.94307371192134, 40.845991343887164], [-73.94307958343654, 40.839129571926485], [-73.95211457317357, 40.83913367681841], [-73.95210963364482, 40.84599544919771]]]]}",1,997245,997245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9068339592668, 40.914585031754875], [-73.89778872697437, 40.91457737959972], [-73.89779928015696, 40.90771570555141], [-73.90684357854225, 40.9077233569266], [-73.9068339592668, 40.914585031754875]]]]}",2,10270,10270
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96113752696729, 40.859722358648746], [-73.952099751536, 40.859718960461656], [-73.9521046931034, 40.85285720444162], [-73.96114153616449, 40.85286060228221], [-73.96113752696729, 40.859722358648746]]]]}",1,995250,995250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83459168490761, 40.86647208769955], [-73.83460875074425, 40.8596103600848], [-73.84364650977068, 40.8596229616916], [-73.84363037648788, 40.866484690591236], [-73.83459168490761, 40.86647208769955]]]]}",2,27252,27252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87976033662501, 40.880251481139496], [-73.87977274482202, 40.873389755767086], [-73.88881237201548, 40.873398819440176], [-73.88880089676188, 40.88026054573672], [-73.87976033662501, 40.880251481139496]]]]}",2,15257,15257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83460875074425, 40.8596103600848], [-73.8255710070995, 40.859597050542625], [-73.82558900179774, 40.85273530695219], [-73.83462581308216, 40.85274861513738], [-73.83460875074425, 40.8596103600848]]]]}",2,30250,30250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.82553500658483, 40.87332050363653], [-73.82555300871132, 40.86645877680027], [-73.83459168490761, 40.86647208769955], [-73.83457461552634, 40.873333815893], [-73.82553500658483, 40.87332050363653]]]]}",2,30255,30255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95210963364482, 40.84599544919771], [-73.95211457317357, 40.83913367681841], [-73.96114955207254, 40.83913707396614], [-73.96114554452932, 40.845998846691856], [-73.95210963364482, 40.84599544919771]]]]}",1,995245,995245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85265385564975, 40.873358316133135], [-73.84361423985415, 40.87334642006969], [-73.84363037648788, 40.866484690591236], [-73.85266905953614, 40.86649658544186], [-73.85265385564975, 40.873358316133135]]]]}",2,25255,25255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.78040496933069, 40.85265814778479], [-73.7713681713466, 40.8526405923072], [-73.77139175528815, 40.845778859149284], [-73.78042762111203, 40.845796412836876], [-73.78040496933069, 40.85265814778479]]]]}",2,45247,45247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83457461552634, 40.873333815893], [-73.83459168490761, 40.86647208769955], [-73.84363037648788, 40.866484690591236], [-73.84361423985415, 40.87334642006969], [-73.83457461552634, 40.873333815893]]]]}",2,27255,27255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83450630280194, 40.900780624428855], [-73.83452338626063, 40.89391893992826], [-73.84356580998524, 40.89393154796043], [-73.84354966004332, 40.90079323374636], [-73.83450630280194, 40.900780624428855]]]]}",2,27265,27265
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91588789078286, 40.907730299850975], [-73.90684357854225, 40.9077233569266], [-73.90685319584416, 40.90086166407776], [-73.9158965743674, 40.90086860629445], [-73.91588789078286, 40.907730299850975]]]]}",2,7267,7267
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91590525614778, 40.89400691282542], [-73.91591393614733, 40.887145201532576], [-73.92495543774149, 40.887151434081424], [-73.92494769107314, 40.89401314600965], [-73.91590525614778, 40.89400691282542]]]]}",2,5262,5262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.81651432436797, 40.86644475785891], [-73.81653325530775, 40.85958303303057], [-73.8255710070995, 40.859597050542625], [-73.82555300871132, 40.86645877680027], [-73.81651432436797, 40.86644475785891]]]]}",2,32252,32252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.86165065537672, 40.89395463906609], [-73.85260822517705, 40.893943447662764], [-73.85262343848116, 40.88708174283951], [-73.86166493535353, 40.88709293310199], [-73.86165065537672, 40.89395463906609]]]]}",2,22262,22262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.78946349160861, 40.84581325871839], [-73.78948520677639, 40.83895150491613], [-73.79852013792456, 40.838967641324736], [-73.79849935472753, 40.84582939677251], [-73.78946349160861, 40.84581325871839]]]]}",2,40245,40245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8978520134401, 40.873407175025896], [-73.89786255357274, 40.866545439353445], [-73.90690125255767, 40.866553086049905], [-73.90689164517731, 40.87341482250198], [-73.8978520134401, 40.873407175025896]]]]}",2,10255,10255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.86172202575678, 40.8596460410294], [-73.8617362910049, 40.85278429244402], [-73.8707731152154, 40.85279476910791], [-73.87075978233163, 40.859656518761554], [-73.86172202575678, 40.8596460410294]]]]}",2,20250,20250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92495543774149, 40.887151434081424], [-73.91591393614733, 40.887145201532576], [-73.91592261434383, 40.88028349052401], [-73.92496318280065, 40.8802897224375], [-73.92495543774149, 40.887151434081424]]]]}",2,5260,5260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94306196526394, 40.85971485431385], [-73.9430678392024, 40.852853098712444], [-73.9521046931034, 40.85285720444162], [-73.952099751536, 40.859718960461656], [-73.94306196526394, 40.85971485431385]]]]}",1,997250,997250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.84366263974593, 40.85276121545933], [-73.83462581308216, 40.85274861513738], [-73.83464287187762, 40.84588687096534], [-73.8436787663723, 40.84589947000254], [-73.84366263974593, 40.85276121545933]]]]}",2,27247,27247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.86165065537672, 40.89395463906609], [-73.86166493535353, 40.88709293310199], [-73.870706423308, 40.88710341510801], [-73.87069307665818, 40.893965122140706], [-73.86165065537672, 40.89395463906609]]]]}",2,20262,20262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83459168490761, 40.86647208769955], [-73.82555300871132, 40.86645877680027], [-73.8255710070995, 40.859597050542625], [-73.83460875074425, 40.8596103600848], [-73.83459168490761, 40.86647208769955]]]]}",2,30252,30252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87978515045835, 40.866528021870586], [-73.87074644671385, 40.866518251082816], [-73.87075978233163, 40.859656518761554], [-73.87979755351851, 40.859666288553136], [-73.87978515045835, 40.866528021870586]]]]}",2,17252,17252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88876645681499, 40.90084565448881], [-73.87972309669459, 40.900836587118945], [-73.87973551256209, 40.8939748969138], [-73.88877793916237, 40.89398396335937], [-73.88876645681499, 40.90084565448881]]]]}",2,15265,15265
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.84364650977068, 40.8596229616916], [-73.83460875074425, 40.8596103600848], [-73.83462581308216, 40.85274861513738], [-73.84366263974593, 40.85276121545933], [-73.84364650977068, 40.8596229616916]]]]}",2,27250,27250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.80745578817891, 40.873291754818005], [-73.80747565579355, 40.866430030912696], [-73.81651432436797, 40.86644475785891], [-73.8164953894962, 40.87330648326579], [-73.80745578817891, 40.873291754818005]]]]}",2,35255,35255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88882384490094, 40.866537084619594], [-73.88883531540394, 40.85967535037821], [-73.8978730915166, 40.85968370426025], [-73.89786255357274, 40.866545439353445], [-73.88882384490094, 40.866537084619594]]]]}",2,12252,12252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9068339592668, 40.914585031754875], [-73.90682433799198, 40.9214467064738], [-73.8977781715983, 40.921439053538634], [-73.89778872697437, 40.91457737959972], [-73.9068339592668, 40.914585031754875]]]]}",2,10272,10272
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85263864862509, 40.88022003830009], [-73.8435980998896, 40.880208141023765], [-73.84361423985415, 40.87334642006969], [-73.85265385564975, 40.873358316133135], [-73.85263864862509, 40.88022003830009]]]]}",2,25257,25257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.81643856145057, 40.893891598940264], [-73.81645750805113, 40.88702989940243], [-73.82549899120677, 40.887043922632195], [-73.82548097792927, 40.89390562359972], [-73.81643856145057, 40.893891598940264]]]]}",2,32262,32262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.82560699275997, 40.845873564137065], [-73.8165711054955, 40.84585954948328], [-73.81659002474586, 40.83899779096097], [-73.82562498003456, 40.83901180418577], [-73.82560699275997, 40.845873564137065]]]]}",2,32245,32245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.78042762111203, 40.845796412836876], [-73.77139175528815, 40.845778859149284], [-73.77141533439566, 40.83891710885456], [-73.7804502682504, 40.83893466075231], [-73.78042762111203, 40.845796412836876]]]]}",2,45245,45245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95208986534803, 40.87344243841725], [-73.9430502137577, 40.873438331432034], [-73.94305609012096, 40.86657659258323], [-73.95209480895531, 40.86658069914973], [-73.95208986534803, 40.87344243841725]]]]}",1,997255,997255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85269945787807, 40.85277310788461], [-73.84366263974593, 40.85276121545933], [-73.8436787663723, 40.84589947000254], [-73.85271465233558, 40.84591136121526], [-73.85269945787807, 40.85277310788461]]]]}",2,25247,25247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91590525614778, 40.89400691282542], [-73.9068628111479, 40.893999971316376], [-73.90687242447935, 40.88713826073114], [-73.91591393614733, 40.887145201532576], [-73.91590525614778, 40.89400691282542]]]]}",2,7262,7262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.78946349160861, 40.84581325871839], [-73.78042762111203, 40.845796412836876], [-73.7804502682504, 40.83893466075231], [-73.78948520677639, 40.83895150491613], [-73.78946349160861, 40.84581325871839]]]]}",2,42245,42245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83454046621513, 40.887057237603294], [-73.82549899120677, 40.887043922632195], [-73.8255170007425, 40.88018222194824], [-73.83455754262174, 40.880195535561974], [-73.83454046621513, 40.887057237603294]]]]}",2,30260,30260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9158965743674, 40.90086860629445], [-73.91590525614778, 40.89400691282542], [-73.92494769107314, 40.89401314600965], [-73.92493994281547, 40.900874840114135], [-73.9158965743674, 40.90086860629445]]]]}",2,5265,5265
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.81653325530775, 40.85958303303057], [-73.81655218236642, 40.8527212908693], [-73.82558900179774, 40.85273530695219], [-73.8255710070995, 40.859597050542625], [-73.81653325530775, 40.85958303303057]]]]}",2,32250,32250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.80745578817891, 40.873291754818005], [-73.79841617909955, 40.87327631825497], [-73.79843697945701, 40.86641459592339], [-73.80747565579355, 40.866430030912696], [-73.80745578817891, 40.873291754818005]]]]}",2,37255,37255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93399013946473, 40.894018670885295], [-73.93399695280013, 40.88715695839384], [-73.94303845739965, 40.88716177445516], [-73.9430325773964, 40.894023487437586], [-73.93399013946473, 40.894018670885295]]]]}",2,262,262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91588789078286, 40.907730299850975], [-73.9158965743674, 40.90086860629445], [-73.92493994281547, 40.900874840114135], [-73.92493219294764, 40.90773653430618], [-73.91588789078286, 40.907730299850975]]]]}",2,5267,5267
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96114955207254, 40.83913707396614], [-73.9611535587839, 40.83227530221324], [-73.97018761857282, 40.832277991351354], [-73.97018454365504, 40.83913976337849], [-73.96114955207254, 40.83913707396614]]]]}",1,992242,992242
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8707731152154, 40.85279476910791], [-73.8617362910049, 40.85278429244402], [-73.86175055329133, 40.845922544634305], [-73.87078644533103, 40.84593302022996], [-73.8707731152154, 40.85279476910791]]]]}",2,20247,20247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88874348499124, 40.914569018901744], [-73.88875497208149, 40.907707345705596], [-73.89779928015696, 40.90771570555141], [-73.89778872697437, 40.91457737959972], [-73.88874348499124, 40.914569018901744]]]]}",2,12270,12270
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87972309669459, 40.900836587118945], [-73.87067972727013, 40.90082681134938], [-73.87069307665818, 40.893965122140706], [-73.87973551256209, 40.8939748969138], [-73.87972309669459, 40.900836587118945]]]]}",2,17265,17265
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.80747565579355, 40.866430030912696], [-73.8074955192825, 40.859568307585796], [-73.81653325530775, 40.85958303303057], [-73.81651432436797, 40.86644475785891], [-73.80747565579355, 40.866430030912696]]]]}",2,35252,35252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91587920541639, 40.91459197538705], [-73.9068339592668, 40.914585031754875], [-73.90684357854225, 40.9077233569266], [-73.91588789078286, 40.907730299850975], [-73.91587920541639, 40.91459197538705]]]]}",2,7270,7270
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83450630280194, 40.900780624428855], [-73.82546296095612, 40.900767306742765], [-73.82548097792927, 40.89390562359972], [-73.83452338626063, 40.89391893992826], [-73.83450630280194, 40.900780624428855]]]]}",2,30265,30265
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8074955192825, 40.859568307585796], [-73.80751537869915, 40.852706566925896], [-73.81655218236642, 40.8527212908693], [-73.81653325530775, 40.85958303303057], [-73.8074955192825, 40.859568307585796]]]]}",2,35250,35250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.78038231284549, 40.859519883507474], [-73.78040496933069, 40.85265814778479], [-73.78944177198893, 40.852674995384085], [-73.78942004785895, 40.859536732824694], [-73.78038231284549, 40.859519883507474]]]]}",2,42250,42250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90690125255767, 40.866553086049905], [-73.90691085794296, 40.859691350177094], [-73.91594863821173, 40.859698288148564], [-73.91593996538687, 40.86656002472878], [-73.90690125255767, 40.866553086049905]]]]}",1,7252,7252
