job_id,salary_range_from,salary_range_to,career_level,job_category,business_title,hours_shift,process_date,number_of_positions,work_location,full_time_part_time_indicator
759262,62244.0,71581.0,Experienced (non-manager),"Public Safety, Inspections, & Enforcement",Plumbing Inspector,,2025-12-23T00:00:00.000,17,NYC - All Boroughs,F
727293,64193.0,73821.0,Experienced (non-manager),"Public Safety, Inspections, & Enforcement",Deckhand,"32 hours/variable, including nights/weekends",2025-12-23T00:00:00.000,20,"1 Bay St., S.I.,Ny",F
756972,68214.0,142395.0,Experienced (non-manager),Social Services,DIRECTOR OF HOUSING COURT OPERATIONS,,2025-12-23T00:00:00.000,1,4 World Trade Center,F
719889,74645.0,111234.0,Experienced (non-manager),Constituent Services & Community Programs,Deputy Director,35 hours per week,2025-12-23T00:00:00.000,1,"123 William Street, NY, NY",F
686163,76262.0,110444.0,Experienced (non-manager),"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",ACCOUNTABLE MANAGER,,2025-12-23T00:00:00.000,1,96-05 Horace Harding Expway,F
716202,59747.0,68709.0,Experienced (non-manager),"Engineering, Architecture, & Planning",Junior Engineer (Design),,2025-12-23T00:00:00.000,2,30-30 Thomson Ave L I City Qns,F
716013,91090.0,192833.0,Manager,"Finance, Accounting, & Procurement","Assistant Commissioner, Risk Manager",,2025-12-23T00:00:00.000,1,30-30 Thomson Ave L I City Qns,F
757211,67000.0,73000.0,Experienced (non-manager),Administration & Human Resources,Executive Assistant and Project Operations Specialist,,2025-12-23T00:00:00.000,1,"100 Church St., N.Y.",F
622517,64749.0,116000.0,Manager,"Constituent Services & Community Programs Policy, Research & Analysis Social Services",Deputy Director of Community Action Programs,35 Hours per week,2025-12-23T00:00:00.000,1,"123 William Street, NY, NY",F
754108,44545.0,51227.0,Experienced (non-manager),Health,"Outreach Assistant, Bureau of Veterinary and Pest Control Services",,2025-12-23T00:00:00.000,1,22 Cortlandt Street,F
712178,91090.0,150000.0,Manager,Constituent Services & Community Programs Social Services,Senior Director,35 Hours per week,2025-12-23T00:00:00.000,1,"2 Lafayette St., N.Y.",F
711585,46689.0,74549.0,Experienced (non-manager),Administration & Human Resources,Investigator,0900 x 1700,2025-12-23T00:00:00.000,1,"1 Police Plaza, N.Y.",F
757521,92.08,98.61,Experienced (non-manager),Health,"Pediatric Pulmonologist, Bureau of School Health",,2025-12-23T00:00:00.000,1,30-30 47TH AVE,P
761753,62868.0,72298.0,Experienced (non-manager),Constituent Services & Community Programs,HQE Inspector for the Division of Budget and Program Operations,,2025-12-23T00:00:00.000,1,100 Gold Street,F
758241,250000.0,265000.0,Executive,"Technology, Data & Innovation",SVP & Chief Information Officer,,2025-12-23T00:00:00.000,1,Information Tech-EVP,F
759980,66330.0,76279.0,Experienced (non-manager),"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",Assistant Civil Engineer,,2025-12-23T00:00:00.000,1,96-05 Horace Harding Expway,F
751347,17.0,21.4,Student,Health,"College Aide, Bureau of Operations",,2025-12-23T00:00:00.000,1,42-09 28th Street,P
757075,17.0,21.4,Student,Administration & Human Resources,Youth Engagement Intern,,2025-12-23T00:00:00.000,1,"280 Broadway, 6th Floor, N.Y.",P
761849,114930.0,159151.0,Experienced (non-manager),Administration & Human Resources,Chief of Personnel & Timekeeping,,2025-12-23T00:00:00.000,1,96-05 Horace Harding Expway,F
570432,102292.0,140000.0,Experienced (non-manager),"Finance, Accounting, & Procurement Policy, Research & Analysis",Deputy Treasurer,35 hours/week,2025-12-23T00:00:00.000,1,59-17 Junction Blvd Corona Ny,F
762339,97908.0,97908.0,Experienced (non-manager),Health,"Public Health Nurse, Bureau of School Health",,2025-12-23T00:00:00.000,1,"90-27 Sutphin Blvd, Queens Ny",F
754500,98159.0,112883.0,Experienced (non-manager),"Health Policy, Research & Analysis","Section Chief, EHS Audits & Assessments",,2025-12-23T00:00:00.000,1,96-05 Horace Harding Expway,F
762536,113690.0,261048.0,Executive,Health,"Deputy Commissioner, Division of Family and Child Health/Office of the Deputy Commissioner",,2025-12-23T00:00:00.000,1,42-09 28th Street,F
755940,75877.0,82817.0,Experienced (non-manager),"Public Safety, Inspections, & Enforcement",Senior Detective Investigator,,2025-12-23T00:00:00.000,1,"130 Stuyvesant Place, S.I.",F
714064,80387.0,120466.0,Experienced (non-manager),Administration & Human Resources Legal Affairs,"Agency Attorney, Level II","9x5, 10x6, Saturdays and Sundays RDOs",2025-12-23T00:00:00.000,2,Default,F
724671,66330.0,76279.0,Experienced (non-manager),"Engineering, Architecture, & Planning",Design Engineer,,2025-12-23T00:00:00.000,2,30-30 Thomson Ave L I City Qns,F
754172,40000.0,106912.0,Experienced (non-manager),"Public Safety, Inspections, & Enforcement",Assistant Inspector General,,2025-12-23T00:00:00.000,1,180 Maiden Lane,F
760283,72595.0,83484.0,Experienced (non-manager),"Finance, Accounting, & Procurement",Capital Payment Auditor,,2025-12-23T00:00:00.000,1,30-30 Thomson Ave L I City Qns,F
755212,44545.0,51227.0,Experienced (non-manager),Constituent Services & Community Programs,Move and Portability Specialist for the Division of Tenant and Owner Resources,,2025-12-23T00:00:00.000,1,100 Gold Street,F
761659,80000.0,80000.0,Experienced (non-manager),Green Jobs Building Operations & Maintenance,In-House Tree Planting Project Specialist,,2025-12-23T00:00:00.000,1,Flushing Meadow Pk Olmsted Ctr,F
762873,95000.0,115000.0,Experienced (non-manager),"Technology, Data & Innovation",Product Manager,,2025-12-23T00:00:00.000,1,"100 Church St., N.Y.",F
720643,62407.0,131871.0,Experienced (non-manager),"Engineering, Architecture, & Planning",Deputy Director (Technical),,2025-12-23T00:00:00.000,1,30-30 Thomson Ave L I City Qns,F
756623,98140.0,115657.0,Experienced (non-manager),"Finance, Accounting, & Procurement",Deputy Director (non-technical),,2025-12-23T00:00:00.000,1,30-30 Thomson Ave L I City Qns,F
761905,123200.0,149968.0,Manager,"Finance, Accounting, & Procurement",Investment Officer - Infrastructure,,2025-12-23T00:00:00.000,1,"1 Centre St., N.Y.",F
731819,42288.0,48631.0,Experienced (non-manager),Health,"Helpdesk Associate, Bureau of Early Intervention",,2025-12-23T00:00:00.000,1,42-09 28th Street,F
760040,66330.0,76279.0,Experienced (non-manager),"Engineering, Architecture, & Planning",Design Engineer,,2025-12-23T00:00:00.000,2,30-30 Thomson Ave L I City Qns,F
739777,83718.0,137660.0,Experienced (non-manager),"Finance, Accounting, & Procurement",IFA Director,,2025-12-23T00:00:00.000,1,30-30 Thomson Ave L I City Qns,F
759435,87743.0,100904.0,Experienced (non-manager),"Policy, Research & Analysis","Electronic Case Reporting Coordinator, Division Management & Systems Coordination",,2025-12-23T00:00:00.000,1,42-09 28th Street,F
717188,29.95,34.44,Experienced (non-manager),Health,PHADV II Screening/Optometry,,2025-12-23T00:00:00.000,1,30-30 47TH AVE,P
752634,87737.0,180791.0,Experienced (non-manager),Legal Affairs,Assistant Corporation Counsel,,2025-12-23T00:00:00.000,1,"100 Church St., N.Y.",F
762898,80000.0,95000.0,Experienced (non-manager),"Technology, Data & Innovation",Project Manager,,2025-12-23T00:00:00.000,1,"100 Church St., N.Y.",F
723671,62868.0,97593.0,Experienced (non-manager),"Finance, Accounting, & Procurement",Community Coordinator,35 hours per week,2025-12-23T00:00:00.000,1,"2 Lafayette St., N.Y.",F
760384,83718.0,186214.0,Manager,"Technology, Data & Innovation",Mainframe Systems Manager,,2025-12-23T00:00:00.000,1,5 Manhattan West,F
758040,62407.0,131871.0,Experienced (non-manager),"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",Deputy Director (technical),,2025-12-23T00:00:00.000,1,30-30 Thomson Ave L I City Qns,F
752589,32.4899,48.5517,Experienced (non-manager),Legal Affairs,"ASSOCIATE INVESTIGATOR, I (PART-TIME)",Business Hours (Part-Time),2025-12-23T00:00:00.000,2,Default,P
712178,91090.0,150000.0,Manager,Constituent Services & Community Programs Social Services,Senior Director,35 Hours per week,2025-12-23T00:00:00.000,1,"2 Lafayette St., N.Y.",F
694607,94826.0,94826.0,Experienced (non-manager),Health,"Supervising Nurse, Bureau of School Health",,2025-12-23T00:00:00.000,1,"120-34 Queens Blvd, Kew Garden",F
758595,68213.0,98317.0,Manager,Building Operations & Maintenance,"Facility Manager, Bureau of Operations",,2025-12-23T00:00:00.000,1,"1218 Prospect Place Bklyn, N.Y",F
762552,52.4377,52.4377,Experienced (non-manager),Health,AIU Medical Nurse (Part-Time),,2025-12-23T00:00:00.000,2,75-20 Astoria Blvd,P
