shape_area,shape_length
32963513.4971884,26255.4048587041
20818385.4179993,21726.5899338651
30642837.0861808,26976.6979635376
18470371.323914,17692.2566664894
12608787.9072132,15222.3100100322
53263350.7100694,39315.8183363881
56302452.1267475,48805.9014641136
98152994.3510326,136367.087517965
16353299.49231,19514.2757404167
28375302.3177396,31518.471316058
14440056.481105,19631.1297741073
17340003.0564857,20430.9518707948
19000590.122229,20586.2793486053
13969094.0710481,16798.4007555145
16313981.3981756,17550.8207281411
30451362.2773569,31857.3533196961
15410206.9482724,17602.5434394218
45104623.9165186,38247.2263808463
41930882.1585375,32110.9519012281
22159754.4439075,30504.2598037327
15974816.6816094,16773.8596308292
19974313.8311121,23516.5971024871
20995653.1491873,21558.3384164959
11287280.6449482,21233.1589472314
20247315.4353106,26224.1867352728
8610464.78538957,17526.5972174099
22142293.3303552,23427.1656934601
27908178.062193,24971.6431712541
42275847.3803801,37363.8997550783
16886037.9308019,22202.7165656355
31069645.8297015,27745.1275892685
24829534.8828339,30232.3567300757
24111088.2436294,27415.9640915905
12513556.392548,20569.7809053389
12389231.8856874,23359.9785733485
15197620.8749939,16657.1788524628
19168065.063535,19663.4236023585
49950134.0530682,38580.4862640897
21537690.7820297,21459.2258122762
16656059.1421361,18806.4452597427
13058717.5046762,22300.5367446354
78933720.3853815,41408.5589593001
12805228.9726447,16688.9137386793
30477725.3377094,26566.1644677647
43487867.5802606,60674.7229509666
34953789.9507322,32194.2637292426
31953900.9104987,35023.0521388685
24470594.5297211,24646.3373920122
34190415.2180045,31984.6242820806
29877363.1247957,27688.9973588013
53436417.4812534,42617.7073846993
30980360.5067438,31080.1605942266
41770985.7274669,37582.1244556049
20389427.8983014,24579.4649029753
50926502.1929845,43792.2430196952
40216962.9771217,38603.4028507378
36443537.095809,26321.5785350502
32902217.0633871,27821.9918637243
10365179.9312633,17847.4627107826
25338801.8984507,32401.4303474847
15409764.2049438,22423.7650604753
25801199.6471461,26091.7406269533
14359413.9864693,23519.3301612382
55780514.5741008,39846.6814815344
48127851.4505367,64456.967608061
15949958.3493645,17417.2703923623
14659372.7193356,22752.4961268821
21747275.947256,34555.9999417996
19283988.5399492,19946.7464712067
60970713.6927178,44300.948436016
39737715.7382798,29052.7766662047
34488108.7597651,38321.279891458
9612296.68894575,13044.3824208441
17015214.5183574,18506.9004650052
29830650.1182483,24247.2859010783
12497781.0897158,14819.144366112
61537240.1142158,56818.5622591074
23414639.463571,22248.4252263776
34610193.2274616,30318.3781719982
45581062.8566073,42320.9328935442
51441715.7435008,37270.7819103929
22037081.0624148,20942.9272107653
44015350.0566916,41620.700878925
14936669.0509618,29821.8801346297
42507218.7206979,36843.1657701678
16438594.6688344,18691.8104246449
36236550.6952523,39517.4153199743
35054796.6565931,54916.2839490229
123550887.810495,51627.9603661023
58876843.5003551,92354.4515044163
30962676.6531893,28668.9079578903
23535975.1210025,24884.0984813898
12124361.5256539,16358.0430844138
18540667.7724417,21186.2773258827
9684786.25495931,22235.7569191264
20588150.1531592,21126.3737816219
15260259.6717899,18894.8261591779
79200524.2924158,52683.6077955035
59361252.2164865,51290.8148074908
17316222.4303931,22463.5390549408
60952683.8111957,44138.1777632382
16654211.8675206,17510.4864771919
28246465.4117293,31608.6822087257
