the_geom,system,gispropnum
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.08426458777006, 40.57475950385457], [-74.0844572293173, 40.57464880945891], [-74.08425246352333, 40.57447104132163], [-74.0838851579053, 40.57429420659455], [-74.08362897332758, 40.574444672963374], [-74.08426458777006, 40.57475950385457]]]]}",R046-07-SKATEPARK-01,R046
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98534535168307, 40.680264359965435], [-73.98547402336833, 40.680071384352615], [-73.98516655982132, 40.679952333149416], [-73.98504023554229, 40.68014495122237], [-73.98534535168307, 40.680264359965435]]]]}",B145-SKATEPARK-01,B145
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.03034924624447, 40.6409568827828], [-74.03031977829959, 40.64102973979969], [-74.03087268055472, 40.64115408486733], [-74.03087873020283, 40.64115509362476], [-74.03088491425999, 40.641155326999346], [-74.03089106485491, 40.64115477963307], [-74.03089701176107, 40.641153465980025], [-74.0309025930377, 40.64115142300495], [-74.03090765502752, 40.64114870568085], [-74.03091205826865, 40.64114538878826], [-74.03091568222199, 40.641141564212624], [-74.03098987611894, 40.64094199925304], [-74.03099142647434, 40.6409380518627], [-74.0309921457009, 40.64093396781754], [-74.03099201611307, 40.64092984798035], [-74.0309910401231, 40.64092579500968], [-74.03098924378523, 40.640921908855994], [-74.03098666851945, 40.640918284062494], [-74.03098338056988, 40.64091501246421], [-74.03097946036094, 40.64091217328507], [-74.03097500368133, 40.64090983764013], [-74.03081234083088, 40.64087414246264], [-74.03079872406366, 40.64087294842079], [-74.03078503598651, 40.64087349239713], [-74.0307716560665, 40.64087575718021], [-74.03075895547563, 40.640879682336106], [-74.03074728526657, 40.64088515790798], [-74.03073696810068, 40.64089203162224], [-74.03069481771442, 40.64089425545484], [-74.0304033561751, 40.64082898135599], [-74.03039103598502, 40.64082458287822], [-74.0303779457405, 40.64082175960944], [-74.03036442712147, 40.6408205871027], [-74.03035083715459, 40.64082109408016], [-74.03033753521287, 40.64082326964084], [-74.03032486882546, 40.640827054258935], [-74.03031317368308, 40.640832350590145], [-74.0303027559023, 40.640839017172745], [-74.03029389084868, 40.64084687923389], [-74.0302219522877, 40.64084928093469], [-74.03022347601978, 40.64088824867095], [-74.03027189882441, 40.640888233232445], [-74.03028440860183, 40.640888383927276], [-74.03029670749898, 40.640890137599214], [-74.0303084420245, 40.64089344211143], [-74.0303192799476, 40.64089820479829], [-74.03032891029615, 40.64090428886324], [-74.03033705991079, 40.64091152147911], [-74.03034349344564, 40.640919695589034], [-74.0303480299223, 40.64092857800678], [-74.03035053800389, 40.64093791482103], [-74.03035094782078, 40.64094744039742], [-74.03034924624447, 40.6409568827828]]]]}",B066-SKATEPARK-01,B066
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.89901082103593, 40.88753319419394], [-73.89866801380255, 40.887431686305234], [-73.89850159997843, 40.88776255071339], [-73.89884377985027, 40.887864796937734], [-73.89901082103593, 40.88753319419394]]]]}",X092-SKATEPARK-01,X092
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99611855267074, 40.571627810967925], [-73.99611354930353, 40.57170405552034], [-73.99648350029906, 40.57170120827506], [-73.99646960918275, 40.571583249924295], [-73.99613730316965, 40.57157539295958], [-73.99611855267074, 40.571627810967925]]]]}",B268-SKATEPARK-01,B268
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92508518709843, 40.73171738742562], [-73.92490151717033, 40.73167684575814], [-73.92465656459994, 40.7321941702132], [-73.92474138645419, 40.732213188589036], [-73.92508518709843, 40.73171738742562]]]]}",Q510-SKATEPARK-01,Q510
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93366574845592, 40.79346626289657], [-73.93388707222232, 40.79315689348504], [-73.93372349476282, 40.79308889640801], [-73.93337717819395, 40.79330312840491], [-73.93335175365839, 40.79333456368178], [-73.93366574845592, 40.79346626289657]]]]}",M047-01-SKATEPARK-01,M047
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93676449101093, 40.72356264063737], [-73.93659616796494, 40.72360310071429], [-73.93656540532466, 40.72361049496334], [-73.9365801850763, 40.72364192098166], [-73.93665066195943, 40.7237917712424], [-73.93663127540685, 40.723798946640024], [-73.93664519495925, 40.723857518034286], [-73.93671750465555, 40.723847647692885], [-73.93672341497555, 40.72385719634168], [-73.93682368301076, 40.72382154980295], [-73.93681798920339, 40.72380834250797], [-73.93682844602435, 40.72380401949652], [-73.9368386487607, 40.72380177291962], [-73.93684824189661, 40.723798304016036], [-73.9368569732304, 40.72379370359916], [-73.93686461538958, 40.72378809131223], [-73.93687096701566, 40.72378161472859], [-73.93687586223817, 40.723774443953864], [-73.93687917304793, 40.72376676532344], [-73.93688081166424, 40.72375878140402], [-73.9368807364625, 40.723750701091056], [-73.93686457349636, 40.7237161171671], [-73.93682749563528, 40.72363037552862], [-73.93676449101093, 40.72356264063737]]]]}",B096-SKATEPARK-01,B096
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91178845626607, 40.66487853452878], [-73.91179214877623, 40.66487193387323], [-73.91179445693734, 40.66486497825308], [-73.9117953284942, 40.664857835124515], [-73.91179473957027, 40.66485067466677], [-73.91179270531117, 40.66484366979068], [-73.9117892739821, 40.66483698802913], [-73.91178680719179, 40.664832441231084], [-73.91178108388463, 40.664824950849024], [-73.91177375821032, 40.66481832013142], [-73.91176504514122, 40.66481274555555], [-73.91176375906534, 40.66480693893959], [-73.91175518222136, 40.66479940674468], [-73.91174294879978, 40.66478651367099], [-73.91173106666388, 40.664769113780736], [-73.91172301302761, 40.66475048582119], [-73.91171899538297, 40.66473111443031], [-73.91171559283991, 40.66472324400688], [-73.91176898154939, 40.664574371064], [-73.911744821643, 40.66450704342773], [-73.91173814857477, 40.66449521722827], [-73.9117297575286, 40.664484043485054], [-73.91172023547207, 40.664474110685546], [-73.91170935705705, 40.66446502152865], [-73.91169357366931, 40.66445474082429], [-73.91167606490913, 40.664446233711004], [-73.911537586462, 40.664463997153256], [-73.9115306004894, 40.66446610529298], [-73.91152403934197, 40.66446889635052], [-73.9115180189786, 40.664472320886745], [-73.9115126896533, 40.66447632948886], [-73.91150806451556, 40.66448081590618], [-73.9115042169789, 40.66448570995498], [-73.9115007437359, 40.66449193705596], [-73.91149852715267, 40.66449848840905], [-73.91149761827441, 40.664505218169964], [-73.9114980350398, 40.66451197596623], [-73.91151520239477, 40.66457904342987], [-73.91151535374206, 40.6645799530679], [-73.9115156233697, 40.66458084658764], [-73.9115163121447, 40.66458224652001], [-73.9115172931587, 40.66458354131676], [-73.91151858533196, 40.664584731892916], [-73.91152012254346, 40.664585739852654], [-73.91152481980261, 40.664590186613715], [-73.9115285667871, 40.664595127927775], [-73.91153127613828, 40.66460044846169], [-73.91153288298071, 40.66460602209331], [-73.91153334964572, 40.6646117173183], [-73.91152645803226, 40.66464609823924], [-73.91151949200687, 40.6646474184417], [-73.91156728105436, 40.66482181948745], [-73.91157074895305, 40.6648214160204], [-73.91157401104846, 40.664821036708986], [-73.91158290197453, 40.66486014936972], [-73.91158392016747, 40.664864625719005], [-73.9115931883464, 40.664870729338325], [-73.91158617287576, 40.66487989390547], [-73.91162129051573, 40.66490183135595], [-73.91162389309824, 40.66491902331351], [-73.91164470071371, 40.66491645481486], [-73.91168166998763, 40.664939549031466], [-73.91168557939255, 40.6649406353541], [-73.91169138930306, 40.66494077219018], [-73.9116971227527, 40.664941494302965], [-73.91170268160415, 40.664942788109364], [-73.91170796536679, 40.66494463101939], [-73.91171044853861, 40.664945735157325], [-73.91171552048284, 40.664948572975135], [-73.91172000516706, 40.66495193444255], [-73.91172315390365, 40.664955004918326], [-73.9117258103379, 40.664958334364975], [-73.91172854641589, 40.664963141620106], [-73.91173025801329, 40.66496821554249], [-73.91173090626987, 40.66497343093051], [-73.9117666158811, 40.66494307940397], [-73.91176094595808, 40.66493992684955], [-73.91175597340683, 40.66493615257291], [-73.9117518140048, 40.66493184491366], [-73.91174856695646, 40.66492710480581], [-73.91174630780104, 40.6649220430708], [-73.91174508723266, 40.664916778615904], [-73.91174493702027, 40.66491143303518], [-73.91174585817822, 40.664906133302175], [-73.9117450886908, 40.66490226949636], [-73.91175297674073, 40.66490126786982], [-73.91176057388346, 40.66489936370217], [-73.91176770148634, 40.664896602782754], [-73.9117741950841, 40.664893048922245], [-73.91177990437767, 40.66488878485291], [-73.91178469442158, 40.664883908627694], [-73.91178845626607, 40.66487853452878]]]]}",B008-SKATEPARK-01,B008
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9246003455497, 40.830953135807846], [-73.92442226104707, 40.830895805392345], [-73.92441147641776, 40.8308934777487], [-73.92440032619115, 40.83089258975588], [-73.92438914110265, 40.83089316864538], [-73.92437825193872, 40.83089519662425], [-73.92436798242085, 40.83089861357166], [-73.92435863734902, 40.83090331793179], [-73.92435049311243, 40.830909171209896], [-73.9243437929461, 40.830915998869884], [-73.92433873388113, 40.83092359842978], [-73.92409550735194, 40.831344498319886], [-73.9243977809991, 40.83144333527902], [-73.92451972273652, 40.83123613203618], [-73.9245021641139, 40.83123040240022], [-73.9246302488941, 40.83101774335415], [-73.92463328813363, 40.83100981468149], [-73.92463467620271, 40.83100162378613], [-73.92463437849666, 40.830993368754505], [-73.92463240308953, 40.830985248601195], [-73.92462879718342, 40.830977457863895], [-73.92462364711038, 40.8309701848023], [-73.92461707833981, 40.83096360509474], [-73.92460924837172, 40.830957875530046], [-73.9246003455497, 40.830953135807846]]]]}",X034-SKATEPARK-01,X034
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85587600637524, 40.701759026420625], [-73.85638578912176, 40.70170915204093], [-73.85634504956549, 40.70143748303297], [-73.85583026726434, 40.7014835390972], [-73.85587600637524, 40.701759026420625]]]]}",Q015-05-SKATEPARK-01,Q015
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99728246399212, 40.67644506056801], [-73.99735749853032, 40.67629222155108], [-73.99722895021256, 40.676255641418784], [-73.99715391896922, 40.67640848305418], [-73.99713599445931, 40.67644499758131], [-73.99726453717712, 40.67648157691598], [-73.99728246399212, 40.67644506056801]]]]}",B118A-SKATEPARK-01,B118A
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87144701429982, 40.867168668991475], [-73.8714141232534, 40.86710134593546], [-73.8713733641317, 40.867036549878364], [-73.87132507043479, 40.86697480977155], [-73.87126963620233, 40.86691662941905], [-73.87120751364925, 40.86686248297314], [-73.87117824701019, 40.86688322280585], [-73.8711540078492, 40.86690741261911], [-73.87113548905963, 40.86693435891207], [-73.87112322118077, 40.866963290560086], [-73.87111755694018, 40.86699337770739], [-73.87111865696404, 40.86702375966598], [-73.87112649092214, 40.86705356562794], [-73.87114083391549, 40.867081941676275], [-73.87116127591763, 40.8671080751089], [-73.87118723003339, 40.86713121696025], [-73.8712179538059, 40.8671507045379], [-73.87125256578813, 40.867165979451414], [-73.87129007635107, 40.867176604756274], [-73.87132941020273, 40.86718227488506], [-73.871369439578, 40.8671828282916], [-73.8714090186358, 40.86717824929036], [-73.87144701429982, 40.867168668991475]]]]}",X002-ZN03-SKATEPARK-01,X002
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92708768919606, 40.82560277269985], [-73.92729897986571, 40.82524842864914], [-73.92734746084474, 40.82516712462344], [-73.92702615242833, 40.825097993290726], [-73.92688575754103, 40.82527445286454], [-73.9267519097001, 40.825485939402824], [-73.92708768919606, 40.82560277269985]]]]}",X348-SKATEPARK-01,X348
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91838686935957, 40.8034090173495], [-73.9179330502795, 40.80338379456591], [-73.91785262660404, 40.803497034474454], [-73.9182423803102, 40.80365792006211], [-73.91838686935957, 40.8034090173495]]]]}",X138-SKATEPARK-01,X138
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.81413782978483, 40.584108601422116], [-73.81399522204757, 40.58373314770558], [-73.81253869319936, 40.58409616159407], [-73.8126915482384, 40.58446159026095], [-73.81413782978483, 40.584108601422116]]]]}",Q163-SKATEPARK-02,Q163
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8758548602239, 40.65447845721524], [-73.87585988356308, 40.65447503346467], [-73.87586410394161, 40.65447102981424], [-73.8758674064649, 40.65446655420214], [-73.87586970459283, 40.6544617272045], [-73.87587093305176, 40.654456678425504], [-73.87587106202542, 40.65445154561229], [-73.87587008652976, 40.65444646563816], [-73.87586803232331, 40.654441575409635], [-73.87586495591555, 40.65443700736385], [-73.8758609386648, 40.654432884058934], [-73.87585609151145, 40.65442931637818], [-73.87585054197608, 40.65442640081461], [-73.87584444126105, 40.65442421587643], [-73.87583795361009, 40.65442282117499], [-73.875608598092, 40.65443802624512], [-73.87560722318055, 40.654479755661484], [-73.87562235000104, 40.654521484913], [-73.8758548602239, 40.65447845721524]]]]}",B548-SKATEPARK-01,B548
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90074590524101, 40.62549478306927], [-73.90073115926005, 40.62550077410803], [-73.90071527930587, 40.62550473889504], [-73.90069873949783, 40.62550655807003], [-73.90068203513215, 40.6255061780294], [-73.90066566732062, 40.62550360821129], [-73.90065012643481, 40.6254989273848], [-73.90063587675296, 40.62549227553221], [-73.90062744017413, 40.62548685341052], [-73.90061791923902, 40.62548260012697], [-73.90060758796065, 40.625479641090585], [-73.90059674878013, 40.62547805941055], [-73.90058571364598, 40.62547790308398], [-73.90057480402768, 40.62547917599097], [-73.90056433554537, 40.625481841483165], [-73.90055461324418, 40.625485821479316], [-73.9005459185864, 40.62549100095641], [-73.90052620974419, 40.62549148099268], [-73.90050664624083, 40.62548960538973], [-73.90048770786059, 40.62548541958886], [-73.90046986366329, 40.62547902755636], [-73.90045355189953, 40.62547058636271], [-73.90043917410549, 40.62546030347608], [-73.90042708565143, 40.62544843405225], [-73.90041758512224, 40.625435269218684], [-73.90041090486632, 40.62542113336467], [-73.90040681493801, 40.625409634677276], [-73.90040039336435, 40.62539877243882], [-73.90039180284171, 40.62538881874705], [-73.90038125692104, 40.62538002323078], [-73.90036902238246, 40.62537260584763], [-73.90035540269257, 40.62536675416835], [-73.90034074274836, 40.62536261257476], [-73.9003254075964, 40.62536028674379], [-73.90030978362842, 40.62535983464356], [-73.90015766329657, 40.625385835742705], [-73.90017272662993, 40.6254197579238], [-73.90030222842661, 40.62539342291091], [-73.90031006873835, 40.62539209423765], [-73.90031808723833, 40.62539174278318], [-73.90032607708075, 40.62539237827376], [-73.90033382791447, 40.6253939834172], [-73.90034113887974, 40.6253965166155], [-73.90034782097077, 40.62539991286739], [-73.90035370058368, 40.62540408197054], [-73.90035862423102, 40.625408917530535], [-73.90036246327459, 40.62541429336321], [-73.90036511864479, 40.62542006890155], [-73.90037200373762, 40.62543711811962], [-73.90038202105953, 40.62545324071412], [-73.90039496427538, 40.62546810511397], [-73.90041056791819, 40.62548140401072], [-73.90042850855626, 40.625492864265425], [-73.90043504513963, 40.6254987368176], [-73.90044018477332, 40.62550536729851], [-73.90044377764245, 40.62551256376767], [-73.90044572241125, 40.62552011991831], [-73.90044596149124, 40.625527817774696], [-73.90044448812098, 40.625535435802895], [-73.9004413463578, 40.62554275431406], [-73.90043662397582, 40.62554956266217], [-73.90043045955073, 40.625555663753104], [-73.90042302944428, 40.625560883939], [-73.90041454780803, 40.62556507031651], [-73.90038970840679, 40.62557499774845], [-73.9003674043722, 40.62558795672326], [-73.90034826620251, 40.62560358037643], [-73.9003328358668, 40.62562142702391], [-73.90032154905956, 40.62564099185291], [-73.90031472572312, 40.6256617213219], [-73.90031255820581, 40.6256830284591], [-73.90031510887063, 40.62570431087064], [-73.90032230534266, 40.625724966945704], [-73.9003339440302, 40.62574441206922], [-73.90034969482593, 40.62576209573562], [-73.90036911290159, 40.62577751776891], [-73.90039164814263, 40.62579024183866], [-73.90039571891197, 40.62579241742094], [-73.90039924171839, 40.625795090516114], [-73.90040211267039, 40.62579818358961], [-73.90040424798997, 40.62580160471573], [-73.90040558518677, 40.62580525298209], [-73.90040608423472, 40.62580902209262], [-73.90040573111608, 40.62581280127123], [-73.90040453545392, 40.62581647796111], [-73.90040253286372, 40.62581994593171], [-73.90039978259487, 40.62582310167448], [-73.9003963651551, 40.625825852505415], [-73.90039238112428, 40.62582811926588], [-73.90038794643206, 40.62582983271621], [-73.9003831935242, 40.6258309443429], [-73.90033449303121, 40.62583503102146], [-73.90028687640289, 40.62584382023684], [-73.90024112035435, 40.62585716858114], [-73.90025926251181, 40.62589516827569], [-73.90027478013644, 40.62588302921305], [-73.90029264432658, 40.62587293366334], [-73.90031239375095, 40.62586514237642], [-73.9003335246251, 40.62585985302906], [-73.90035549188731, 40.625857203828275], [-73.90037773167228, 40.62585726182397], [-73.9003996754906, 40.625860024722535], [-73.9004207573175, 40.62586542269375], [-73.90044043723292, 40.625873316590315], [-73.90045821086855, 40.62588350335924], [-73.90047362003403, 40.62589572325485], [-73.90048627044395, 40.625909660754594], [-73.90051247642978, 40.625951141596396], [-73.90052177640804, 40.625964118039], [-73.90053352000406, 40.625975888096534], [-73.90054744050006, 40.625986188585514], [-73.90056322740152, 40.625994786902375], [-73.9005653132739, 40.626000468289014], [-73.9005686146594, 40.626005804927026], [-73.90057303959371, 40.6260106463498], [-73.90057846299767, 40.6260148564705], [-73.90058473376331, 40.626018317190145], [-73.90059167474837, 40.626020931999676], [-73.9005990910483, 40.62602262688785], [-73.90060677471888, 40.6260233539472], [-73.90061451068117, 40.62602309408081], [-73.9006220802745, 40.62602185250281], [-73.90062927188262, 40.62601966595162], [-73.90063588212656, 40.62601659548695], [-73.90064172768503, 40.62601272559938], [-73.90064664292497, 40.62600816781046], [-73.90065049055798, 40.6260030480745], [-73.90065316163448, 40.625997510380756], [-73.90065458028107, 40.6259917104538], [-73.90065470961501, 40.625985812156486], [-73.90066648456165, 40.6259757419046], [-73.90067592487014, 40.625964333262196], [-73.90068277478777, 40.62595189668849], [-73.90068684825164, 40.62593877151938], [-73.9006953250232, 40.625919604959684], [-73.90070729384146, 40.625901551756996], [-73.90072251186781, 40.62588497911298], [-73.90074066775706, 40.6258702253532], [-73.90076139467598, 40.625857588231895], [-73.90078609051582, 40.62584011423435], [-73.90080723492919, 40.62582011751117], [-73.90082438763167, 40.62579801372488], [-73.90083719455642, 40.62577426093683], [-73.90085301127765, 40.62574368209606], [-73.9008741696618, 40.62571504037575], [-73.90090027296957, 40.6256888730417], [-73.90091928631603, 40.625664112508304], [-73.90093260006194, 40.62563727856497], [-73.90093983724823, 40.62560912642556], [-73.90094687740194, 40.62560622200911], [-73.90095317896231, 40.62560245785937], [-73.90095856093996, 40.62559794098247], [-73.9009628706792, 40.625592800021494], [-73.90096598741007, 40.62558718075682], [-73.90096782225415, 40.625581242504126], [-73.90096832177521, 40.62557515451528], [-73.90096747271879, 40.62556908787781], [-73.9009652996473, 40.62556321641326], [-73.90096186377235, 40.62555770677065], [-73.90095726296181, 40.62555271392364], [-73.90095162701195, 40.625548381166666], [-73.90094511648017, 40.62554483020825], [-73.90093791677309, 40.62554216296674], [-73.90093023106701, 40.62554045345982], [-73.90092227675558, 40.625539752303865], [-73.90091428191768, 40.62554007770578], [-73.90090647230711, 40.625541421755536], [-73.9008976013077, 40.62552846822624], [-73.90088611527646, 40.625516767767465], [-73.90087231278157, 40.62550662501179], [-73.90085655154948, 40.62549830141776], [-73.90083924137481, 40.6254920143635], [-73.90082083113568, 40.62548792632929], [-73.90080179815939, 40.625486143087294], [-73.90078263640669, 40.62548671189059], [-73.90076384229549, 40.625489616958276], [-73.90074590524101, 40.62549478306927]], [[-73.90088674309578, 40.62557471140013], [-73.90089375965462, 40.625589287870625], [-73.90089749306384, 40.62560455130931], [-73.90089783994827, 40.62562007478066], [-73.90089478912834, 40.625635426025326], [-73.90088842633631, 40.6256501755686], [-73.90087892946465, 40.62566391292598], [-73.90086656382962, 40.625676252902736], [-73.90083635849948, 40.62570615385118], [-73.90081266179794, 40.625739285170916], [-73.90079605643612, 40.62577483329818], [-73.90079029160654, 40.62578802274984], [-73.9007816384373, 40.62580026146048], [-73.90077035512239, 40.62581118584205], [-73.90075677662261, 40.625820471095025], [-73.90074130755934, 40.62582784110817], [-73.90072440565454, 40.62583307744948], [-73.90070657463251, 40.62583602386281], [-73.90068834529993, 40.625836592555245], [-73.90067025781308, 40.62583476688336], [-73.90066312258234, 40.62583244097771], [-73.90065557107454, 40.62583107556731], [-73.9006478254292, 40.62583070956634], [-73.90064011019112, 40.62583135397512], [-73.90063265231313, 40.625832990078855], [-73.90062566933581, 40.62583557033807], [-73.9006193646599, 40.62583901838438], [-73.90061392399261, 40.62584323442075], [-73.90060950352871, 40.62584809521098], [-73.90060623585305, 40.62585345858755], [-73.9006042133876, 40.62585916793996], [-73.900603496659, 40.62586505582371], [-73.90060410719809, 40.625870950258076], [-73.9006060263495, 40.62587668012803], [-73.90060919763302, 40.62588207698732], [-73.90061353027716, 40.62588698316632], [-73.90061889448465, 40.625891256270414], [-73.90062513679602, 40.62589477009402], [-73.90063242065699, 40.62589888186255], [-73.900638686773, 40.62590387255957], [-73.9006437580745, 40.625909597048356], [-73.90064748588286, 40.625915893106956], [-73.90064976528062, 40.62592257783917], [-73.90065052918305, 40.62592946027675], [-73.90064975661176, 40.62593634138657], [-73.90064746913265, 40.62594302487382], [-73.90064373203691, 40.625949318083386], [-73.90063865433012, 40.625955039204236], [-73.90063238044833, 40.6259600244663], [-73.90062509261772, 40.62596413084422], [-73.90061699784722, 40.62596724054839], [-73.90060833028811, 40.62596926372918], [-73.900599338229, 40.625970141166704], [-73.90059028172408, 40.625969849672224], [-73.90058141960128, 40.62596839577323], [-73.9005730070878, 40.625965822915425], [-73.90056528636558, 40.62596220425053], [-73.90055847947842, 40.62595764353061], [-73.90055278006395, 40.625952271498775], [-73.90054835453837, 40.6259462440892], [-73.9005453291088, 40.62593973341061], [-73.90052006248706, 40.62589682336257], [-73.90051426834751, 40.62588840118397], [-73.90051037325824, 40.62587936739398], [-73.90050848322458, 40.625869967026155], [-73.9005086510447, 40.62586045947617], [-73.90051087160751, 40.62585110138791], [-73.90051508425138, 40.625842150257625], [-73.90052117396739, 40.62583385002664], [-73.9005289737701, 40.625826426580794], [-73.90053827179564, 40.625820083254155], [-73.90054881367641, 40.62581499362668], [-73.90058678488474, 40.625803730337765], [-73.90061785520558, 40.62579150471839], [-73.90064205775326, 40.62577830419547], [-73.90065943984439, 40.6257641035997], [-73.90067000729411, 40.62574896867719], [-73.90067396958838, 40.625732707799884], [-73.90067139193059, 40.62571519044934], [-73.90066218547739, 40.62569576096942], [-73.90064553980704, 40.62567656279749], [-73.90063489877376, 40.62566888476855], [-73.90062360594574, 40.62566317741458], [-73.90060530523704, 40.62565535768369], [-73.90058970760396, 40.625646699201035], [-73.90057676934678, 40.62563718121796], [-73.90056642199384, 40.6256267505454], [-73.90055885520738, 40.6256158251897], [-73.90055343525864, 40.62560376613416], [-73.90054729966367, 40.62557148707235], [-73.90054716730829, 40.625561164291256], [-73.90054986581418, 40.62555148963216], [-73.90055532030877, 40.62554273948993], [-73.90056331989726, 40.62553526038213], [-73.90057359229775, 40.62552935104553], [-73.90058554836966, 40.62552538468617], [-73.90059855075953, 40.62552357057375], [-73.90061198239012, 40.62552399462437], [-73.90061471676717, 40.625524352693745], [-73.90063147762557, 40.62552807102256], [-73.9006583404245, 40.62553161347149], [-73.90068558681043, 40.625532336715814], [-73.90071270858468, 40.62553022680855], [-73.90073920101555, 40.6255253229369], [-73.90075875585735, 40.625521907034276], [-73.9007787809384, 40.625520979672345], [-73.90079873491517, 40.62552256559834], [-73.90081807772513, 40.62552662292239], [-73.90081412713087, 40.625531861444045], [-73.90081138615908, 40.62553753055746], [-73.90080993305467, 40.62554346913706], [-73.90080980943335, 40.62554950972197], [-73.90081101673164, 40.625555481214505], [-73.90081352329288, 40.62556121248851], [-73.9008172572613, 40.62556654228864], [-73.90082211130932, 40.625571319234794], [-73.90082794853777, 40.62557540813064], [-73.90083460483697, 40.62557869176688], [-73.90084188887593, 40.62558107812515], [-73.90084959628804, 40.62558249858963], [-73.90085750611573, 40.62558291424724], [-73.90086539618216, 40.62558231139858], [-73.90087304071668, 40.62558070875991], [-73.90088022454675, 40.62557815117183], [-73.90088674309578, 40.62557471140013]]]]}",B018-ZN02-SKATEPARK-01,B018
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9450430141989, 40.70924841617443], [-73.94502416473318, 40.709109926562924], [-73.94471884934549, 40.70913861381334], [-73.94474162408987, 40.70927634622807], [-73.9450430141989, 40.70924841617443]]]]}",B127-SKATEPARK-01,B127
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.82910897363088, 40.826932241791695], [-73.82918700367257, 40.82677629857664], [-73.82891353999733, 40.826697864228265], [-73.82883393984417, 40.82685380493064], [-73.82910897363088, 40.826932241791695]]]]}",X183-SKATEPARK-01,X183
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.73668390680449, 40.67012502788948], [-73.736663941575, 40.67010231341411], [-73.73645002972296, 40.670136925824174], [-73.73631883151049, 40.670373804916345], [-73.73643269793818, 40.67041242616699], [-73.73644295664971, 40.67041392381943], [-73.73645339780677, 40.67041414585285], [-73.73646375059485, 40.670413086243656], [-73.736473745247, 40.67041077319066], [-73.7364831201506, 40.67040726642943], [-73.73649163249164, 40.670402657256986], [-73.73649906181353, 40.670397065838216], [-73.73650521239664, 40.67039063760915], [-73.73650992509945, 40.67038353970222], [-73.73668390680449, 40.67012502788948]]]]}",Q108-SKATEPARK-01,Q108
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99327365430604, 40.71159449084884], [-73.99321368351019, 40.711486649367316], [-73.99318752288538, 40.711439616847436], [-73.99314198621178, 40.71135774600944], [-73.99311055809225, 40.711301239784085], [-73.9930872384666, 40.71125931330626], [-73.99307983166065, 40.71124599790897], [-73.99307030457243, 40.711228867819976], [-73.99300979253084, 40.711120072553506], [-73.99300436996677, 40.71111032329431], [-73.99300001227566, 40.71110248858556], [-73.9925271134877, 40.71124581297053], [-73.99253236969409, 40.71129279115745], [-73.9925967233123, 40.71164992166659], [-73.99263594584326, 40.71164700202509], [-73.99283431170232, 40.711632238063096], [-73.99283446081498, 40.71163222546522], [-73.99284538627951, 40.711631286912066], [-73.9928584442921, 40.71163016478601], [-73.99286888928178, 40.711629266723804], [-73.99287090230308, 40.71162909485095], [-73.9928789768738, 40.71162840195744], [-73.99288641239018, 40.71162776215402], [-73.9929143000128, 40.711625365813916], [-73.99295921961354, 40.7116215062795], [-73.99296667879693, 40.71162086557183], [-73.99298194509284, 40.711619553558904], [-73.99299436878034, 40.71161848630992], [-73.99305523395572, 40.711613256229484], [-73.99311792160897, 40.71160786953702], [-73.99311991096043, 40.71160769855889], [-73.99313788967943, 40.711606153455065], [-73.99314536661095, 40.711605510935875], [-73.99318126960777, 40.7116024261173], [-73.99321696076667, 40.71159936018583], [-73.99322443888008, 40.71159871766156], [-73.99323816906981, 40.7115975378993], [-73.99324018090589, 40.711597365119374], [-73.99324537854343, 40.711596918771136], [-73.99325481760474, 40.71159610706391], [-73.99327365430604, 40.71159449084884]]]]}",M019-SKATEPARK-01,M019
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98540356502595, 40.6724834300391], [-73.98600226307371, 40.672778276368604], [-73.98614518410238, 40.672610038716435], [-73.98554648693306, 40.67231519312474], [-73.98540356502595, 40.6724834300391]]]]}",B111A-SKATEPARK-01,B111A
