budgetedunits,sponsorname
186,"Regional Aid for Interim Needs, Inc."
120,"Lenox Hill Neighborhood House, Inc."
549,VISIONS/Services for the Blind and Visually Impaired
200,"Hamilton-Madison House, Inc."
50,"Hamilton-Madison House, Inc."
250,VISIONS/Services for the Blind and Visually Impaired
1699,"Hamilton-Madison House, Inc."
150,Presbyterian Senior Services
48,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
22385,"Catholic Charities Neighborhood Services, Inc."
1131,"Regional Aid for Interim Needs, Inc."
360,"Hamilton-Madison House, Inc."
214,"Heights and Hills, Inc."
1500,"Jewish Community Center of Staten Island, Incorporated"
1400,"Community Agency for Senior Citizens, Inc."
240,"Heights and Hills, Inc."
144,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
1572,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
240,"Jewish Community Center of Staten Island, Incorporated"
15433,"Catholic Charities Neighborhood Services, Inc."
90,"Catholic Charities Neighborhood Services, Inc."
2597,"Services Now for Adult Persons, Inc."
120,Presbyterian Senior Services
600,"Sunnyside Community Services, Inc."
100,The Jewish Association For Services for the Aged
4281,"Lenox Hill Neighborhood House, Inc."
75,The Jewish Association For Services for the Aged
4,"Services Now for Adult Persons, Inc."
1226,The Jewish Association For Services for the Aged
23464,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
140,"Lenox Hill Neighborhood House, Inc."
120,"Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc."
30,Recreation Rooms and Settlement
75,The Jewish Association For Services for the Aged
19619,"Queens Community House, Inc."
28,"Heights and Hills, Inc."
150,"Hamilton-Madison House, Inc."
60,"Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc."
120,"Hamilton-Madison House, Inc."
450,"Heights and Hills, Inc."
120,"Lenox Hill Neighborhood House, Inc."
300,"Services Now for Adult Persons, Inc."
2000,"Services Now for Adult Persons, Inc."
370,"Hamilton-Madison House, Inc."
1302,Recreation Rooms and Settlement
50,"Sunnyside Community Services, Inc."
1317,"Selfhelp Community Services, Inc."
240,The Jewish Association For Services for the Aged
315,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
515,The Jewish Association For Services for the Aged
575,"Services Now for Adult Persons, Inc."
120,Presbyterian Senior Services
48,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
40,"New York Foundation for Senior Citizens, Inc."
400,"Sunnyside Community Services, Inc."
88,The Jewish Association For Services for the Aged
5000,"Heights and Hills, Inc."
240,The Jewish Association For Services for the Aged
418,"Lenox Hill Neighborhood House, Inc."
395,"Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc."
325,"Hamilton-Madison House, Inc."
3194,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
11000,Citymeals-on-Wheels
3132,"Services Now for Adult Persons, Inc."
130,"Services Now for Adult Persons, Inc."
1210,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
120,"Hamilton-Madison House, Inc."
1775,"Hamilton-Madison House, Inc."
9,"Carter Burden Network, Inc."
2634,"Heights and Hills, Inc."
1300,VISIONS/Services for the Blind and Visually Impaired
6,"Carter Burden Network, Inc."
535,Presbyterian Senior Services
15,Recreation Rooms and Settlement
1979,"Sunnyside Community Services, Inc."
425,"Jewish Community Center of Staten Island, Incorporated"
275,VISIONS/Services for the Blind and Visually Impaired
425,"Jewish Community Center of Staten Island, Incorporated"
240,"Sunnyside Community Services, Inc."
20094,RiseBoro Community Partnership Inc.
300,"Services Now for Adult Persons, Inc."
240,"Services Now for Adult Persons, Inc."
12,"Hamilton-Madison House, Inc."
240,"Services Now for Adult Persons, Inc."
230,"Hamilton-Madison House, Inc."
240,"Jewish Community Center of Staten Island, Incorporated"
5185,Presbyterian Senior Services
50,"Lenox Hill Neighborhood House, Inc."
120,"Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc."
120,Presbyterian Senior Services
24,Presbyterian Senior Services
16825,The Jewish Association For Services for the Aged
10882,The Jewish Association For Services for the Aged
150,"Heights and Hills, Inc."
1217,"Lenox Hill Neighborhood House, Inc."
300,"Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc."
1500,"Hamilton-Madison House, Inc."
550,The Jewish Association For Services for the Aged
1317,"Catholic Charities Neighborhood Services, Inc."
1215,"Selfhelp Community Services, Inc."
300,"Lenox Hill Neighborhood House, Inc."
28774,"Regional Aid for Interim Needs, Inc."
12,"Isabella Geriatric Center, Inc."
21826,The Jewish Association For Services for the Aged
730,"Sunnyside Community Services, Inc."
33,"Services Now for Adult Persons, Inc."
1450,"Jewish Community Center of Staten Island, Incorporated"
1330,RiseBoro Community Partnership Inc.
1313,"Services Now for Adult Persons, Inc."
26258,"Lenox Hill Neighborhood House, Inc."
110,"Sunnyside Community Services, Inc."
1317,"Catholic Charities Neighborhood Services, Inc."
225,"Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc."
425,Presbyterian Senior Services
320,"Services Now for Adult Persons, Inc."
1588,"Hamilton-Madison House, Inc."
12,"Hamilton-Madison House, Inc."
2250,VISIONS/Services for the Blind and Visually Impaired
30443,Recreation Rooms and Settlement
4198,"Jewish Community Center of Staten Island, Incorporated"
2335,"Heights and Hills, Inc."
100000,Citymeals-on-Wheels
100,The Jewish Association For Services for the Aged
400,The Jewish Association For Services for the Aged
275,VISIONS/Services for the Blind and Visually Impaired
180,VISIONS/Services for the Blind and Visually Impaired
24819,"Heights and Hills, Inc."
1317,"Community Agency for Senior Citizens, Inc."
50,"Heights and Hills, Inc."
400,"Heights and Hills, Inc."
240,"Heights and Hills, Inc."
300,"Hamilton-Madison House, Inc."
2634,"New York Foundation for Senior Citizens, Inc."
2000,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
120,"Hamilton-Madison House, Inc."
30,"Community Agency for Senior Citizens, Inc."
425,"Heights and Hills, Inc."
700,VISIONS/Services for the Blind and Visually Impaired
1000,"Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc."
23447,The Jewish Association For Services for the Aged
100,"Jewish Community Center of Staten Island, Incorporated"
525,"Sunnyside Community Services, Inc."
26008,"Services Now for Adult Persons, Inc."
