dbn,school_name,link_to_school_s_virtual,link_to_school_s_myschools
01M539,"New Explorations into Science, Technology & Math  (01M539)",{'url': 'https://nestmk12.net/virtual_tours'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/15104'}
05M362,Columbia Secondary School  (05M362),{'url': 'https://www.columbiasecondary.org/apps/pages/index.jsp?uREC_ID=1629673&type=d&pREC_ID=1779351'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/15391'}
03M250,M.S. 250 West Side Collaborative Middle School  (03M250),{'url': 'https://sites.google.com/wscnyc.org/wscnyc/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18729'}
03M256,Lafayette Academy  (03M256),{'url': 'https://www.lafayetteacademynyc.com/lafayette-open-house'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/15779'}
24Q119,I.S. 119 The Glendale  (24Q119),{'url': 'https://www.psis119.org/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/15890'}
02M422,Quest to Learn  (02M422),{'url': 'https://www.q2l.org/latest/q2l-middle-school-tours-open-houses/'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16004'}
32K383,J.H.S. 383 Philippa Schuyler  (32K383),{'url': 'https://philippaschuyler383.org/admissions/'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/19174'}
04M224,M.S. 224 Manhattan East School for Arts & Academics  (04M224),{'url': 'https://docs.google.com/forms/d/e/1FAIpQLSd3YcXY9L8y-5xLq_u_JH9tIh2Ajq_PlYYlH9qmUSTjcbFYGA/viewform?usp=sf_link'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17612'}
20K936,M.S. 936  (20K936),{'url': 'https://drive.google.com/file/d/1neoyjiamwOx2AcHj_tgLrV9816k2xs37/view?usp=sharing'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17368'}
03M180,P.S. 180 Hugo Newman  (03M180),{'url': 'https://www.hugonewmanprep.org/middleschooladmissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/15903'}
02M114,East Side Middle School  (02M114),{'url': 'https://www.esms.org/open_house_information'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/15425'}
10X254,I.S. 254  (10X254),{'url': 'https://www.is254.com/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18782'}
03M258,Community Action School - MS 258  (03M258),{'url': 'http://www.communityactionschool.org/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/15815'}
14K318,I.S. 318 Eugenio Maria De Hostos  (14K318),{'url': 'https://is318.com/register/'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/15459'}
28Q310,Queens Collegiate: A College Board School  (28Q310),{'url': 'https://queenscollegiate.wordpress.com/enrollment-open-houses/'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17844'}
22K234,W.A. Cunningham I.S. 234  (22K234),{'url': 'https://www.is234.com/domain/469'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17415'}
02M896,Lower Manhattan Community Middle School  (02M896),{'url': 'https://lmc896.org/about-us/admissions/'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18218'}
03M859,Special Music School  (03M859),{'url': 'https://www.kaufmanmusiccenter.org/sms/k-8/admissions/'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/19025'}
09X361,The Highbridge Green School  (09X361),{'url': 'https://www.highbridgegreen.com/admissions-and-open-houses'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18672'}
19K907,Legacy School of the Arts  (19K907),{'url': 'https://www.legacyschoolofthearts.com/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17431'}
11X127,J.H.S. 127 The Castle Hill  (11X127),{'url': 'https://www.ms127x.com/perspective-students'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17403'}
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology  (24Q560)",{'url': 'https://q560.echalksites.com/middle_school_admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/14953'}
22K014,J.H.S. 014 Shell Bank  (22K014),{'url': 'https://www.shellbankjhs.org/2020-2021-virtual-open-house'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17244'}
14K050,J.H.S. 050 John D. Wells  (14K050),{'url': 'https://ms50.org/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17973'}
25Q379,College Point Collaborative  (25Q379),{'url': 'https://sites.google.com/schools.nyc.gov/ms379q/prospective-students?authuser=0'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/15849'}
29Q355,Collaborative Arts Middle School  (29Q355),{'url': 'https://sites.google.com/cams355.com/camsopenhouse/home'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18974'}
17K061,M.S. 061 Dr. Gladstone H. Atwell  (17K061),{'url': 'https://www.ms61.net/academies/how_to_apply_register'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16068'}
29Q356,Community Voices Middle School  (29Q356),{'url': 'https://sites.google.com/ms356covo.org/covofamilysite/home/open-house'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17339'}
21K228,I.S. 228 David A. Boody  (21K228),{'url': 'https://www.is228.org/apps/pages/index.jsp?uREC_ID=2021156&type=d'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/19627'}
26Q074,J.H.S. 074 Nathaniel Hawthorne  (26Q074),{'url': 'https://www.ms74q.com/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16009'}
01M184,P.S. 184m Shuang Wen  (01M184),{'url': 'https://www.ps184m.org/apps/form/form.PSSW.rZEeDZ7.hO'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18255'}
08X123,J.H.S. 123 James M. Kieran  (08X123),{'url': 'https://www.is123x.org/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18170'}
22K078,J.H.S. 078 Roy H. Mann  (22K078),{'url': 'http://www.royhmann.com/open-house-information-.html'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16252'}
15K136,I.S. 136 Charles O. Dewey  (15K136),{'url': 'http://ms136brooklyn.com/virtual-open-house'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/15881'}
06M209,Hamilton Grange Middle School  (06M209),{'url': 'https://www.thehamiltongrangeschool.org/school-tour-dates-and-times'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16514'}
16K898,The Brooklyn Green School  (16K898),{'url': 'https://www.thebrooklyngreenschool.org/admissions__enrollment'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/14912'}
