report_date,age_group,engagement_category,citywide_count
2025-10-09T00:00:00.000,21-24 Years,ASSIGNED JOB SEARCH,3660
2025-12-08T00:00:00.000,21-24 Years,RECEIVING SSI,44
2025-12-08T00:00:00.000,16-17 Years,EDUCATION/TRAINING,1
2025-10-09T00:00:00.000,16-17 Years,UNENGAGED,1
2025-12-08T00:00:00.000,21-24 Years,SUBSTANCE ABUSE TREATMENT,13
2025-11-03T00:00:00.000,21-24 Years,WECARE & SUBSTANCE ABUSE,1
2025-11-03T00:00:00.000,18-20 Years,CONCILIATION/CONFERENCE,4
2025-10-09T00:00:00.000,21-24 Years,EDUCATION/TRAINING,203
2025-12-08T00:00:00.000,21-24 Years,SANCTION IN EFFECT,5
2025-10-09T00:00:00.000,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,10
2025-11-03T00:00:00.000,18-20 Years,DASIS CASES,31
2025-12-08T00:00:00.000,18-20 Years,DASIS CASES,35
2025-12-08T00:00:00.000,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,37
2025-11-03T00:00:00.000,21-24 Years,CHILD UNDER 3 MONTHS,2
2025-11-03T00:00:00.000,18-20 Years,WELLNESS/REHAB PROGRAM,3
2025-12-08T00:00:00.000,21-24 Years,NEEDED AT HOME,8
2025-12-08T00:00:00.000,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,16
2025-10-09T00:00:00.000,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,42
2025-12-08T00:00:00.000,21-24 Years,FAIR HEARING (NOT CONTESTING),3
2025-11-03T00:00:00.000,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,7218
2025-11-03T00:00:00.000,21-24 Years,TEMPORARILY EXEMPT,194
2025-12-08T00:00:00.000,18-20 Years,ACTIVE SINGLE ISSUE CASES,141
