cad_incident_id,incident_close_datetime,first_hosp_arrival_datetime,borough,citycouncildistrict,held_indicator,first_on_scene_datetime,communityschooldistrict
50102611,2005-01-10T18:13:20.000,,BRONX,16.0,N,2005-01-10T18:02:25.000,9.0
50251135,2005-01-25T11:02:04.000,,QUEENS,,N,2005-01-25T10:34:10.000,
50212114,2005-01-21T16:37:52.000,,MANHATTAN,3.0,Y,,2.0
50261076,2005-01-26T11:49:33.000,2005-01-26T10:58:35.000,BROOKLYN,43.0,N,,20.0
50172696,2005-01-17T22:20:13.000,,MANHATTAN,,N,,
50301554,2005-01-30T13:35:21.000,,QUEENS,,N,2005-01-30T13:23:31.000,
50250539,2005-01-25T07:58:23.000,2005-01-25T07:22:25.000,MANHATTAN,,N,2005-01-25T07:02:23.000,
50151980,2005-01-15T16:44:34.000,,MANHATTAN,,N,2005-01-15T16:32:16.000,
50301919,2005-01-30T16:08:05.000,,QUEENS,,N,2005-01-30T15:51:35.000,
50220256,2005-01-22T02:52:05.000,,BROOKLYN,,N,2005-01-22T02:44:08.000,
50300857,2005-01-30T07:46:57.000,,QUEENS,,N,,
50171928,2005-01-17T16:50:13.000,,QUEENS,,N,,
50181507,2005-01-18T13:08:56.000,,QUEENS,20.0,N,2005-01-18T13:02:43.000,25.0
50280197,2005-01-28T02:19:23.000,,BRONX,,N,,
50162507,2005-01-16T21:11:25.000,2005-01-16T20:53:08.000,MANHATTAN,2.0,N,2005-01-16T20:43:31.000,1.0
50242658,2005-01-24T19:09:38.000,2005-01-24T19:00:43.000,QUEENS,,N,2005-01-24T18:28:08.000,
50212079,2005-01-21T16:13:38.000,,QUEENS,,N,2005-01-21T16:07:02.000,
50251233,2005-01-25T11:31:22.000,,MANHATTAN,,Y,,
50142654,2005-01-14T19:34:39.000,,MANHATTAN,4.0,N,,2.0
50272946,2005-01-27T21:56:11.000,,BROOKLYN,,N,,
50260578,2005-01-26T07:16:19.000,,MANHATTAN,1.0,N,2005-01-26T07:06:23.000,2.0
50111216,2005-01-11T12:52:33.000,2005-01-11T12:26:45.000,MANHATTAN,1.0,N,,2.0
50161836,2005-01-16T16:43:09.000,2005-01-16T16:25:28.000,MANHATTAN,9.0,N,2005-01-16T15:42:10.000,5.0
50220405,2005-01-22T04:27:23.000,,QUEENS,,N,,
50222262,2005-01-22T17:41:44.000,,MANHATTAN,4.0,N,,2.0
50350661,2005-02-04T08:04:37.000,,BRONX,,N,2005-02-04T08:01:07.000,
50072505,2005-01-07T18:07:20.000,,MANHATTAN,,N,2005-01-07T18:06:30.000,
50362648,2005-02-05T21:04:27.000,2005-02-05T20:37:26.000,BROOKLYN,,N,2005-02-05T20:11:27.000,
50011297,2005-01-01T04:20:42.000,,BRONX,12.0,Y,,11.0
50162728,2005-01-16T22:17:26.000,,BROOKLYN,,N,2005-01-16T22:14:13.000,
50260846,2005-01-26T09:29:18.000,,MANHATTAN,4.0,N,2005-01-26T09:21:18.000,2.0
50370624,2005-02-06T05:08:47.000,,BROOKLYN,41.0,N,,17.0
50123184,2005-01-12T23:07:51.000,,QUEENS,,N,2005-01-12T23:00:29.000,
50252069,2005-01-25T15:27:31.000,,QUEENS,,N,2005-01-25T15:03:40.000,
50302842,2005-01-30T22:10:51.000,,QUEENS,,N,,
50102688,2005-01-10T18:27:38.000,,BRONX,17.0,N,2005-01-10T18:22:50.000,7.0
50030443,2005-01-03T04:26:12.000,,MANHATTAN,,N,,
50312123,2005-01-31T15:27:56.000,,BROOKLYN,39.0,N,,15.0
50312732,2005-01-31T19:00:30.000,,QUEENS,,N,,
50212022,2005-01-21T16:13:42.000,,MANHATTAN,2.0,Y,2005-01-21T16:10:25.000,2.0
50103142,2005-01-10T21:22:08.000,,BROOKLYN,,N,,
50342573,2005-02-03T19:00:04.000,,BROOKLYN,,N,2005-02-03T18:50:19.000,
50341631,2005-02-03T14:54:23.000,2005-02-03T14:28:49.000,BROOKLYN,,N,2005-02-03T13:51:34.000,
50300663,2005-01-30T06:11:51.000,,QUEENS,,N,2005-01-30T05:43:48.000,
50362673,2005-02-05T20:13:33.000,,BROOKLYN,36.0,N,,13.0
50222440,2005-01-22T19:01:33.000,,MANHATTAN,,N,2005-01-22T18:41:03.000,
50370491,2005-02-06T04:00:08.000,,MANHATTAN,,N,,
50251403,2005-01-25T11:46:22.000,,MANHATTAN,,N,,
50253594,2005-01-26T00:38:51.000,,BROOKLYN,47.0,N,,21.0
50251430,2005-01-25T12:24:17.000,,BRONX,12.0,Y,,11.0
50151624,2005-01-15T14:08:27.000,,MANHATTAN,,N,2005-01-15T14:07:02.000,
50251350,2005-01-25T12:22:07.000,,BRONX,11.0,N,,10.0
50103057,2005-01-10T20:36:59.000,,QUEENS,21.0,N,,24.0
50111605,2005-01-11T14:39:04.000,,MANHATTAN,,Y,2005-01-11T14:13:28.000,
50311927,2005-01-31T14:41:36.000,,BROOKLYN,35.0,Y,,13.0
50171249,2005-01-17T13:21:25.000,2005-01-17T12:45:34.000,QUEENS,,N,2005-01-17T12:25:15.000,
50192725,2005-01-19T21:27:04.000,,MANHATTAN,,N,,
50170678,2005-01-17T07:52:43.000,,QUEENS,31.0,N,,29.0
50283243,2005-01-29T00:24:59.000,,MANHATTAN,,N,2005-01-28T23:57:42.000,
50222424,2005-01-22T18:33:59.000,,BROOKLYN,36.0,Y,,17.0
50142976,2005-01-14T22:43:53.000,,QUEENS,,N,2005-01-14T22:10:29.000,
50151963,2005-01-15T16:30:58.000,,MANHATTAN,,N,,
