purpose,zipcode,validtimes,issuedate
INFLUENZA OUTREACH VANS CARRY MEDICAL EQUIPMENT,10007.0,MONDAY - FRIDAY  7:00AM - 8:00PM-,2007-10-23T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,MONDAY - SUNDAY 7:00AM - 8:00PM,2009-10-23T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 6:00 PM,2008-05-16T00:00:00.000
CRAFT FESTIVAL,7042.0,6:30 AM - 12:00 PM,2009-04-30T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,24 HOURS SEVEN DAYS A WEEK,2007-11-27T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,MONDAY -  SUNDAY  7:00AM - 8:00PM,2009-10-22T00:00:00.000
INFLUENZA OUTREACH VANS CARRYING MEDICAL EQUIPMENT,10007.0,MONDAY - FRIDAY 7:00AM - 8:00PM,2008-10-28T00:00:00.000
OFFICAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY - SUNDAY  7:00AM - 7:00PM,2009-10-21T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM SUNDAY - SATURDAY,2007-12-06T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,MONDAY - SUNDAY 7:00AM - 8:00PM,2009-10-23T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 10:00 PM,2008-05-20T00:00:00.000
SLOAN PUBLIC SERVICE AWARDS,10013.0,8:00AM - 5:00PM,2009-02-26T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM SUNDAY - SATURDAY,2007-12-05T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:30PM),2007-08-06T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 6:00 PM,2008-05-16T00:00:00.000
LOADING AND UNLOADING EQUIPMENTS,10023.0,8:00 AM - MIDNIGHT,2008-06-16T00:00:00.000
INFUENZA OUTREACH VANS CARRYING MEDICAL EQUIPMENT,10007.0,MONDAY - FRIDAY 7:00AM - 8:00PM,2007-10-29T00:00:00.000
SCHOOL ENROLLMENT,10007.0,MONDAY - FRIDAY (7:00AM - 7:00PM),2009-07-30T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2008-08-21T00:00:00.000
OFFICAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY - SUNDAY 7:00AM - 7:00PM,2009-10-21T00:00:00.000
PRIMARY ELECTION,10004.0,5:00AM - 10:00PM,2008-08-27T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,7 DAYS A WEEK 24 HOURS A DAY,2009-10-15T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,MONDAY -SUNDAY 7:00AM - 8:00PM,2009-10-22T00:00:00.000
OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY - SUNDAY 7:00AM - 7:00PM,2009-10-22T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 4:00 PM,2008-05-16T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM SUNDAY - SATURDAY,2007-12-05T00:00:00.000
SCHOOL ENROLLMENT,10007.0,MONDAY - FRIDAY (7:00AM  - 7:00PM),2009-07-30T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,24 HOURS SEVEN DAYS A WEEK,2007-11-27T00:00:00.000
INFLUENZA OUTREACH VANS CARRYING MEDICAL EQUIPMENT,10007.0,MONDAY - FRIDAY 7:00AM - 8:00PM,2008-10-28T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM (SUNDAY - SATURDAY),2008-10-28T00:00:00.000
LINCOLN CENTER LOAD/UNLOAD,10023.0,7:00 AM - MIDNIGHT,2008-06-16T00:00:00.000
FUND RAISER FOR NON-PROFIT,10458.0,MONDAY 12:00 NOON - 12 MIDNIGHT,2008-01-09T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2008-08-21T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 4:00 PM,2008-05-16T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM SUNDAY - SATURDAY,2007-12-05T00:00:00.000
OFFICAL CITY BUSINESS,11101.0,24 HOURS SEVEN DAYS A WEEK,2007-11-27T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM (SUNDAY - SATURDAY),2008-10-29T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2008-08-21T00:00:00.000
summer camp pick up,10128.0,7 DAYS A WEEK 24 HOURS A DAY,2009-05-08T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,7 DAYS A WEEK 24 HOURS A DAY,2009-01-13T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,24 HOURS SEVEN DAYS A WEEK,2007-12-04T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 10:00 PM,2008-05-20T00:00:00.000
SPECIAL ELECTION 30TH COUNCIL DISTRICT,10004.0,5:00 AM - 10:00 PM,2008-06-02T00:00:00.000
PRIMARY ELECTION,10004.0,5:00AM - 10:00PM,2008-08-27T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 10:00 PM,2008-05-20T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,7 DAYS A WEEK 24 HOURS A DAY,2008-12-31T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,24 HOURS SEVEN DAYS A WEEK,2008-01-28T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM SUNDAY - SATURDAY,2007-12-05T00:00:00.000
SCHOOL ENROLLMENT,10007.0,MONDAY - FRIDAY (7:00AM - 7:00PM),2009-07-30T00:00:00.000
FLEET WEEK,10022.0,8:00AM - 6:00PM,2008-05-16T00:00:00.000
MUSEUM BUS FOR EDUCATING STUDENTS,11207.0,TUESDAY (8:00AM - 3:00PM),2008-02-14T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,MONDAY - SUNDAY 7:00AM - 8:00PM,2009-10-23T00:00:00.000
CMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM (SUNDAY - SATURDAY),2008-10-29T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2007-08-03T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM SUNDAY - SATURDAY,2007-12-06T00:00:00.000
