pepid,inspection_id,observation,comments
47604,192906,Unleashed or unauthorized dogs,"throughout main lawn, despite dog run within park."
47650,193430,Homeless persons present,"Multiple, some with possessions."
47632,193273,Homeless persons present,at the Gazebo area.
47500,192233,Smoking/cigarette butts inside park,
47630,193230,Homeless (or other) encampment,Tent in tree line along south edge of zone.
47564,192658,Hort areas need improvement,at east end of site. Weeding should occur before weeds completely overtake hort area.
47625,193217,Unleashed or unauthorized dogs,near soccer field
47536,192339,Drainage issues/standing water,"at sprinkler, possibly impacting safety surface"
47503,192233,Gambling,
47555,192632,Alcohol use,beer & liquor bottles found in lawn area.
47611,192995,Unleashed or unauthorized dogs,within playground.
47583,192781,Forever Wild Area: feral cat shelters/feeding,"Cat shelter, cats, and animal feeds in natural area near Miles Avenue & Fairfield Street. Clse to school."
47597,192846,Illegal BBQ,Unauthorized grill at BF1 and charcoal found in unauthorized areas.
47667,193640,Homeless (or other) encampment,Homeless and their encampment found adj. to the flagpole.
47680,193738,Other positive observations,"Frequent patron complimented on-site worker, Claudius, on his work to keep the site free from litter."
47677,193736,Homeless persons present,Personal belongings kept on bench along greenway near river between E 95 & 96 Streets.
47538,192479,Smoking/cigarette butts inside park,Several park patrons were smoking at many areas inside park.
47521,192378,Public urination/defecation,human feces adj both corners at back of plgd
47502,192233,Other enforcement issues,drug solicitation
47618,193138,Homeless persons present,Homeless person found sleeping at the dugout of ballfield # 1.
47652,193432,Unleashed or unauthorized dogs,in southern BBCT and adj lawn.
47569,192686,Exemplary staff performance,Kudos to all the staff at this park for a great job maintaining and keeping the park very clean.
47527,192436,Drug use,multiple patrons smoking marijuana inside plgd.
47673,193683,Homeless (or other) encampment,adj pedestrian overpass s/o Playground For All Children and HBCT.
47499,192233,Public urination/defecation,urine observed on a few vertical surfaces in park / feces observed adj to running track.
47512,192197,Alcohol use,evidence of Alcohol use in trash cans
47501,192233,Homeless persons present,
47515,192361,Smoking/cigarette butts inside park,Two patrons were smoking at dugout of ballfield #4 inside park near Lakeview Boulevard East & 118th Avenue.
47562,192658,Homeless persons present,Patron reports homeless spend time in the dog run regularly
47498,192233,Amplified sound,loud music being played by 1 park patron
47676,193735,Homeless (or other) encampment,Several homeless encampments were present inside park along Harlem River Drive.
47559,192651,Patrons feeding animals (not natural area),Patrons feeding pidgeons
47642,193315,Homeless persons present,
47662,193520,Use of park feature other than intended,possible dogs digging up lawn IA
47635,193286,Exemplary staff performance,Site was well maintained by staff members. Great job to all the staff members for an impressive work.
47599,192862,Gang activity,multiple self-professed Crip gang members along perimeter of site.
47621,193167,Illegal vending,"5 different vending carts were seen around the parks selling cold drinks, icies & snacks."
47603,192903,Alcohol use,multiple intoxicated patrons hanging out at site.
47616,193045,Homeless persons present,
47612,192999,Homeless (or other) encampment,"Mnay, patrons made complaints to multiple park workers."
47582,192781,Santeria,In natural area near Miles Avenue & Fairfield Street. Close to school.
47495,192228,Illegal vending,3 ice water and cold drinks vendors were seen roaming the beach and boardwalk with their coolers.
47636,193287,Amplified sound,Loud music at oval picnic area inside park near Sutphin Boulevard and playground close to 125th Avenue.
47522,192399,Drug use,in front of womens PR patron refused to move at the time of inspection
47493,192225,Illegal vending,Cold water and drink vendor at the BBCT.
47579,192770,Homeless persons present,Homeless persons present sleeping in natural area along path adj to highway at approx center of zone
47491,192224,Drainage issues/standing water,Large pool of water in front of the Lakeview Blvd Plgd.
47553,192628,Unleashed or unauthorized dogs,in sprinkler.
47513,192350,Illegal vehicles/dirt bikes,Three teenagers seen riding their dirt bikes on the lawn at the natural baseball fields.
47614,193091,Forever Wild Area: major change in water level,Main pond now marshy and full of plant growth.
47508,192280,Abandoned building/structure,Yellow trail head at Rockland and Manor.
47507,192268,Homeless persons present,
47546,192539,Illegal BBQ,Charcoal in non-designated areas.
47575,192761,Drainage issues/standing water,in sitting area outside public restroom.
47519,192364,Patrons feeding animals (not natural area),A female park patron was feeding animals at several areas inside park.
47629,193223,Homeless persons present,Central Communication was notified about a female homeless lady at the plgd that has agreed to be needing a shelter because she lost her job then her home. Ground Breaking was dispatched by Central.
47681,193738,Other patron complaints or suggestions,Patron complained about drinking fountain between HBCT and BBCT not working.
47586,192794,Illegal vehicles/dirt bikes,Mopeds dumped throughout zone.
47554,192629,Drug use,"patrons complain of constant drug use in park, and syringes left behind in public restroom."
47486,192183,Drainage issues/standing water,Flooded area with standing water and disturbed safety surface.
47659,193506,,
47665,193602,Alcohol use,bottle of liquor found on a picnic table by the EE.
47541,192504,Unleashed or unauthorized dogs,Two stray dogs were seen inside the playground with no owner on site.
47646,193359,Exemplary staff performance,"Site was very clean! Men's PR was exceptionally clean, especially given heavy use by homeless population"
47518,192363,Smoking/cigarette butts inside park,A male patron was smoking at exercise equipment inside park.
47535,192464,Homeless (or other) encampment,homeless persons present
47587,192799,Patrons feeding animals (not natural area),Bird feed poured on sidewalk along 84th Street.
47641,193315,Unleashed or unauthorized dogs,in AF
47549,192569,Disorderly patrons,
47547,192541,Illegal BBQ,Charcoal dumped in non-designated areas.
47577,192776,Restroom in generally poor condition,"Men's PR. Pungent urine odor, liquid (giving the impression of urine) covering much of floor, litter strewn about, and multiple Parks staff members standing nearby talking amongst themselves."
47525,192404,Other inspector suggestions for improving site,that PEP make spot check on daily due to its heavy of homeless and EDP  I the inspector came across issues of me just being there doing my job and I didn’t feel safe
47644,193345,Homeless persons present,Sleeping against HBCT wall.
47572,192700,Alcohol use,Lots of beer bottles and cases mixed in with litter.
47637,193288,Amplified sound,Loud music at gazebo inside park near 150th Street and 89th Avenue.
47598,192847,Illegal BBQ,Charcoal found in unauthorized areas.
47516,192361,Illegal vehicles/dirt bikes,A couple of male patrons rode dirth bikes on pedestrian paths inside park.
47485,192090,Other inspector suggestions for improving site,Recommend adding dog bag dispensers
47558,192651,Homeless persons present,Homeless persons present throughout site
47627,193211,Illegal campfire,multiple locations along the water
47550,192569,Alcohol use,
47609,192983,Homeless persons present,A couple of people sleeping on benches appears to be homeless.
47494,192227,Illegal vending,2 ice water vendors with their coolers on the Boardwalk and 2 others on the beach selling cold drinks.
47528,192437,Exemplary staff performance,staff doing an excellent job maintaining and cleaning park.
47674,193692,Drug use,large number syringe caps and other paraphernalia in hort area/sitting area in upper level of park
47592,192834,Illegal vending,One person with a cooler selling cold drinks on the boardwalk.
47545,192540,Illegal BBQ,Charcoal found in non-designated areas.
47517,192361,Other patron complaints or suggestions,Female patron complained about litter in the women's restroom.
47607,192936,Vandalism/theft,Staff report digging out of seams/rubber crumb at safety surface.
47605,192907,Other patron complaints or suggestions,"patrons complain of rodent sightings in trash cans along 37th St, request the full-enclosed kind (not open cans)."
47514,192351,Santeria,Santeria activity or religious ceremony with baskets of fruits offerings at the picnic are near the water.
47539,192481,Smoking/cigarette butts inside park,A male park patron was smoking at upper area near East 164th Street.
47585,192787,Illegal vehicles/dirt bikes,Scouters left/abandonned along SW.
47600,192860,Alcohol use,"multiple drunk patrons hanging out throughout park, heavy concentration in courts,"
47580,192770,Unleashed or unauthorized dogs,Unleashed  dogs on John Muir trail
47663,193576,Homeless (or other) encampment,near southernmost end of raised walkway and lawn.
47595,192837,Public urination/defecation,Public urination in BBQ area from soccer player at adj AF
47628,193214,Alcohol use,"two men with bikes, sitting in back, intoxicated, and making intimidating remarks"
47489,192198,Homeless persons present,Two people who appears to be homeless were found on site.
47537,192477,Drainage issues/standing water,Standing water at sprinkler due to poor drainage.
47671,193658,Smoking/cigarette butts inside park,Crack pipe on step at long stairs south of the overlook near Harlem River Drive.
47552,192606,Feral animal sighting (other than cats),Camper van owner on 233rd Street keeping live chickens.
47656,193490,Other patron complaints or suggestions,Patron complained about inadequate lighting at Handball Court inside playground.
47526,192435,Other patron complaints or suggestions,"patron would like play equipment power washed, all leaves and natural debris removed, and giant weeping willow tree in center of site cut down.  Realistically, more enforcement of off-leash dogs."
47551,192586,Homeless persons present,Three people who appears to be homeless were seen on site.
47480,192121,Unleashed or unauthorized dogs,Unleashed & unauthorized dogs in plgd
47624,193201,Homeless (or other) encampment,A couple of homeless encampment were seen along the malls.
47563,192658,Unleashed or unauthorized dogs,in AF
47588,192806,Illegal vehicles/dirt bikes,E-Bikes on paths throughout zone
47487,192188,Other patron complaints or suggestions,School principal stated that a hole forms in a patched area in MPPA adj to soccer court and is repeatedly repatched. Is concerned it could give way. He also inquired about the color seal on the soccer court being refurbished.
47666,193618,Foul odor,Overpowering stench of urine and feces at entrance to men's and women's restrooms.
47584,192786,Illegal campfire,Hang out clearing at top of hill in east of zone.
