ll_limits,the_geom,old_name,intro_month,lleffect_dt,borough,ll_type,honor_name,repeal_dt,ll_sec
the southwest corner of the intersection of Schley Avenue and Wilcox Avenue,"{'type': 'Point', 'coordinates': [-73.81425052886135, 40.82718851181854]}",None,1,02/18/2003,Bronx,Honorary,Dr. Carlo Mannino Place,,22
the southeast corner of the intersection of 97th Street and 3rd Avenue,"{'type': 'Point', 'coordinates': [-74.03409314128439, 40.61566443376443]}",None,10,12/21/2004,Brooklyn,Honorary,"Terrence ""Terry"" Gazzani 9/11 Memorial Way",,12
Southwest corner of Isham Street and Seaman Avenue,"{'type': 'Point', 'coordinates': [-73.92107769593211, 40.869888554652405]}",None,4,05/23/2006,Manhattan,Honorary,Tommy Dowd Way,,22
the intersection of 86th Street and 15th Avenue,"{'type': 'Point', 'coordinates': [-74.00951152084194, 40.61140615276216]}",None,3,05/05/2004,Brooklyn,Honorary,"Giuseppe ""Joe"" Papandrea Way",,11
Corner of 19th Avenue and Hazen Street,"{'type': 'Point', 'coordinates': [-73.89288992597096, 40.773807661266616]}",None,4,05/23/2006,Queens,Honorary,Avenue of the Boldest,,11
the southeast corner of the intersection of Sharon Avenue and Forest Avenue,"{'type': 'Point', 'coordinates': [-74.10249145203413, 40.63084784379721]}",None,4,06/03/2003,Staten Island,Honorary,Firefighter Kenneth B. Kumpel Way,,32
Southwest corner of West 212th Street and Broadway,"{'type': 'Point', 'coordinates': [-73.91883584254131, 40.86851965566157]}",None,4,05/23/2006,Manhattan,Honorary,Lt. Joseph G. Leavey Way,,23
Corner of Franklin and Lafayette,"{'type': 'Point', 'coordinates': [-74.00207771771674, 40.71673089549576]}",Lafayette Street,4,05/23/2006,Manhattan,Honorary,Captain William Thompson Corner,,43
the northeast corner of the intersection of Richmond Avenue and Victory Boulevard,"{'type': 'Point', 'coordinates': [-74.16228429405315, 40.60734454566131]}",None,12,01/07/2003,Staten Island,Honorary,Vassili G. Haramis Boulevard,,97
the northeast corner of the intersection of Renee Place and Hellman Avenue,"{'type': 'Point', 'coordinates': [-74.16141732808592, 40.61281371452281]}",None,12,01/07/2003,Staten Island,Honorary,John J. Badagliacca Place,,36
Southeast corner of 52nd Avenue at 94th Street,"{'type': 'Point', 'coordinates': [-73.86884490662348, 40.73983530049158]}",None,10,12/05/2006,Queens,Honorary,Florry Burrell Way,,3
the intersection of 73rd Street and 3rd Avenue,"{'type': 'Point', 'coordinates': [-74.027229551641, 40.632836064187806]}",None,3,05/05/2004,Brooklyn,Honorary,Harry G. English Place,,7
the northeast corner of the intersection of Kissel Avenue and Castleton Avenue,"{'type': 'Point', 'coordinates': [-74.10446035734029, 40.634768105136565]}",None,12,01/07/2003,Staten Island,Honorary,Firefighter John A. Santore Way,,37
the intersection of 79th Street and 11th Avenue,"{'type': 'Point', 'coordinates': [-74.01420288402991, 40.620684743534504]}",None,10,12/21/2004,Brooklyn,Honorary,Robert F. Tipaldi 9/11 Memorial Way,,16
"West 116th Street and Adam Clayton Powell, Jr. Boulevard","{'type': 'Point', 'coordinates': [-73.95252974960275, 40.80321652953291]}",None,6,07/11/2006,Manhattan,Honorary,Dr. Reverend Wyatt Tee Walker Square,,8
the southeast corner of the intersection of 159th Avenue and Coleman Square,"{'type': 'Point', 'coordinates': [-73.83044606919134, 40.66044128737891]}",None,10,12/21/2004,Queens,Honorary,159th Avenue,,33
the intersection of Essex Street and Sutter Avenue,"{'type': 'Point', 'coordinates': [-73.88107821214965, 40.67146797295536]}",None,10,12/21/2004,Brooklyn,Honorary,Ronald P. Kloepfer Place,,5
the intersection of 72nd Street and 7th Avenue,"{'type': 'Point', 'coordinates': [-74.01780244149738, 40.62936684015063]}",None,3,05/05/2004,Brooklyn,Honorary,Det. Frank P. Collins Avenue,,10
the intersection of 16th Avenue and Bath Avenue,"{'type': 'Point', 'coordinates': [-74.01082340300863, 40.60670076791827]}",None,10,12/21/2004,Brooklyn,Honorary,Rita Blau Way,,10
Intersection of 127th Street and 11th Avenue,"{'type': 'Point', 'coordinates': [-73.8410210732338, 40.78788368276277]}",None,10,12/05/2006,Queens,Honorary,Thomas J. Shubert Avenue 9-11-01,,11
the intersection of Admiral Avenue and Metropolitan Avenue,"{'type': 'Point', 'coordinates': [-73.8976832260971, 40.712580297628065]}",None,4,06/03/2003,Queens,Honorary,Christina Donovan-Flannery Avenue,,10
Underneath Bard Avenue and the Northeast corner of Walnut Street,"{'type': 'Point', 'coordinates': [-74.10743475432228, 40.63957687430016]}",Bard Avenue,4,05/23/2006,Staten Island,Honorary,Richard A. Carabba Way,,4
32nd Street and Astoria Blvd.,"{'type': 'Point', 'coordinates': [-73.91759120480067, 40.76990087041208]}",None,10,12/05/2006,Queens,Honorary,Cav. Vincent Iannece Corner,,22
Underneath the Benedict Avenue sign at the Southeast Corner of Manor Road,"{'type': 'Point', 'coordinates': [-74.12439980116025, 40.62296749649483]}",None,10,12/05/2006,Staten Island,Honorary,Assemblywoman 1973 -2000 Hon. Elizabeth A. Connelly Way,,13
Underneath the Henderson Avenue and Tysen Street signs on the South side of Tysen Street,"{'type': 'Point', 'coordinates': [-74.09928453091963, 40.64013283231747]}",None,10,12/05/2006,Staten Island,Honorary,Brother Kevin McDonnell Way,,16
On the Southwest Corner of Academy Street and Vermilyea Avenues,"{'type': 'Point', 'coordinates': [-73.92444794883669, 40.86521760279241]}",None,10,12/05/2006,Manhattan,Honorary,Firefighter Thomas C. Brick Way,,26
The sign pointing south on Bronxwood Avenue,"{'type': 'Point', 'coordinates': [-73.86173256755738, 40.86567877758751]}",Northwest corner of Allerton and Bronxwood Avenues,4,05/23/2006,Bronx,Honorary,FF Vincent Priciotta Way,12/5/2006,32
the southeast corner of the intersection of Monroe Avenue and Victory Boulevard,"{'type': 'Point', 'coordinates': [-74.07870107897341, 40.638190165431176]}",None,4,06/03/2003,Staten Island,Honorary,Officer Donald A. Foreman Way,,31
the northeast corner of Park Row and Beekman Street,"{'type': 'Point', 'coordinates': [-74.00694350134691, 40.711900108589845]}",None,3,05/05/2004,Manhattan,Honorary,Susan B. Anthony and Elizabeth Cady Stanton Corner,,12
the intersection of Madison Street and Gouverneur Street,"{'type': 'Point', 'coordinates': [-73.98388229543778, 40.71319880391044]}",None,3,05/05/2004,Manhattan,Honorary,Ruth Winds Way,,23
At the intersection of 3rd Avenue at East 149th Street and Melrose Avenue at East 148th Street and Willis Avenue,"{'type': 'Point', 'coordinates': [-73.91768626968717, 40.81608124236225]}",None,10,12/05/2006,Bronx,Honorary,Roberto Clemente Plaza,,49
the northeast corner of the intersection of Crossfield Avenue and Annadale Road,"{'type': 'Point', 'coordinates': [-74.17633118988414, 40.55734654707088]}",None,12,01/07/2003,Staten Island,Honorary,Firefighter John A. Schardt Avenue,,75
Pulaski Avenue at the southeast corner of Walker Street,"{'type': 'Point', 'coordinates': [-74.14772681472711, 40.631238701200964]}",None,10,12/05/2006,Staten Island,Honorary,Pvt. Leon J. Stasiak Way,,6
On the Corner of Cody Place and Arthur Kill Road,"{'type': 'Point', 'coordinates': [-74.20233797820188, 40.55591021434436]}",None,10,12/05/2006,Staten Island,Honorary,Leonard (Lenny) Ingrassia III Place,,43
the southeast corner of the intersection of West 57th Street and 7th Avenue,"{'type': 'Point', 'coordinates': [-73.97996931418155, 40.76533709485348]}",None,1,02/18/2003,Manhattan,Honorary,Isaac Stern Place,,19
the southeast corner of the intersection of De Kay Street and Davis Avenue,"{'type': 'Point', 'coordinates': [-74.10842111036159, 40.632474650838276]}",None,12,01/07/2003,Staten Island,Honorary,Captain John R. Fischer Way,,57
the intersection of Castle Hill Road and Watson Avenue,"{'type': 'Point', 'coordinates': [-73.85053713681505, 40.82977684962848]}",None,4,06/03/2003,Bronx,Honorary,Yvette Nicole Moreno Place,,6
the southwest corner of the intersection of Huguenot Avenue and Hawley Avenue,"{'type': 'Point', 'coordinates': [-74.19275733195838, 40.53353272927396]}",None,12,01/07/2003,Staten Island,Honorary,"Lt. Jeffrey P. Walz, FDNY Avenue",,26
the southeast corner of the intersection of Oakland Avenue and Forest Avenue,"{'type': 'Point', 'coordinates': [-74.11007068232072, 40.62980062352463]}",None,1,02/18/2003,Staten Island,Honorary,John Connelly Way,,4
the intersection of Jerome Avenue and Olympia Boulevard,"{'type': 'Point', 'coordinates': [-74.07341176869251, 40.59194481387428]}",None,10,12/21/2004,Staten Island,Honorary,P.O. John J. Darcy Way,5/9/2005,65
the intersection of 74th Street and 6th Avenue,"{'type': 'Point', 'coordinates': [-74.01982886071453, 40.62916817809001]}",None,3,05/05/2004,Brooklyn,Honorary,John J. DeMartini Way,,5
the northeast corner of 12th Avenue and 67th Street,"{'type': 'Point', 'coordinates': [-74.00475779471427, 40.62614660431429]}",None,10,12/21/2004,Brooklyn,Honorary,Arturo Angelo Sereno 9/11 Memorial Way,,15
the intersection of 7th Avenue and Poly Place,"{'type': 'Point', 'coordinates': [-74.02478376355904, 40.60969962871469]}",None,10,12/21/2004,Brooklyn,Honorary,Former P.O.W. Peter H. Leone Way,,42
On the Corner of Corona Avenue and Boyce Avenue,"{'type': 'Point', 'coordinates': [-74.13648353653994, 40.56524513730933]}",None,10,12/05/2006,Staten Island,Honorary,Nicholas Alessi Avenue,,44
the intersection of Hylan Boulevard and Woodvale Avenue,"{'type': 'Point', 'coordinates': [-74.20624778108662, 40.5144151547879]}",None,4,06/03/2003,Staten Island,Honorary,"Firefighter Patrick Byrne Ladder 101, FDNY Avenue",,23
the southeast corner of the intersection of Lyon Place and Watchogue Road,"{'type': 'Point', 'coordinates': [-74.147942645942, 40.61700620160609]}",None,3,05/05/2004,Staten Island,Honorary,Firefighter Daniel Perricone Place,,29
Corner of Edward Curry Avenue and Gulf Avenue,"{'type': 'Point', 'coordinates': [-74.18356192374785, 40.61022505748416]}",None,4,05/23/2006,Staten Island,Honorary,Richard Addeo Way,,49
the southeast corner of the intersection of Oakland Avenue and Whitewood Avenue,"{'type': 'Point', 'coordinates': [-74.10882478978476, 40.62394695483671]}",None,4,06/03/2003,Staten Island,Honorary,Firefighter Sean S. Hanley Way,,30
the northeast corner of the intersection of West 212th Street and Broadway,"{'type': 'Point', 'coordinates': [-73.91828807237636, 40.86844292830504]}",None,10,12/21/2004,Manhattan,Honorary,Joe English Way,,52
East 56th Street and Farragut Road,"{'type': 'Point', 'coordinates': [-73.9228324925005, 40.63554299401343]}",none,4,05/23/2006,Brooklyn,Honorary,In Memory of Police Officer James Carragher,,2
The sign pointing west on Allerton Avenue,"{'type': 'Point', 'coordinates': [-73.86173256755738, 40.86567877758751]}",None,4,05/23/2006,Bronx,Honorary,PO John D’ Allara Way,12/5/2006,33
the northeast corner of the intersection of 47th Avenue and Jackson Avenue,"{'type': 'Point', 'coordinates': [-73.94827457089029, 40.744916151110715]}",None,10,12/21/2004,Queens,Honorary,Palmina Delli Gatti Place,,19
the southwest corner of the intersection of Bard Avenue and Matthews Avenue,"{'type': 'Point', 'coordinates': [-74.10493253684692, 40.62612103964271]}",None,12,01/07/2003,Staten Island,Honorary,"Robert H. Lynch, Jr. Way",,54
the southeast corner of the intersection of Wenlock Street and Simonson Avenue,"{'type': 'Point', 'coordinates': [-74.15278244500972, 40.62727605368512]}",None,4,06/03/2003,Staten Island,Honorary,Clement A. Fumando Way,,29
The southeast corner of the intersection of Richmond Terrace and Schuyler Street,"{'type': 'Point', 'coordinates': [-74.07594216051055, 40.643502296080385]}",None,3,05/05/2004,Staten Island,Honorary,Justice John Leone Way,5/9/2005,32
the northeast corner of the intersection of Westervelt Avenue and Richmond Terrace,"{'type': 'Point', 'coordinates': [-74.08744729017656, 40.6478063894752]}",None,12,01/07/2003,Staten Island,Honorary,Beverly Curry Way,,70
the southeast corner of the intersection of Donley Avenue and Hylan Boulevard,"{'type': 'Point', 'coordinates': [-74.07619210096665, 40.60761301896426]}",None,12,01/07/2003,Staten Island,Honorary,Walter Baran Way,,51
the southeast corner of the intersection of Avenue L and East 53rd Street,"{'type': 'Point', 'coordinates': [-73.92432192694874, 40.62362732965937]}",None,12,01/07/2003,Brooklyn,Honorary,Firefighter Michael Roberts Corner,,89
the southeast corner of the intersection of Fordham Road and Walton Avenue,"{'type': 'Point', 'coordinates': [-73.90027657878142, 40.862336316113584]}",None,1,02/18/2003,Bronx,Honorary,Angel Luis Rosario Place,,3
the intersection of West Fordham Road and University Avenue,"{'type': 'Point', 'coordinates': [-73.90493385966674, 40.862749574224935]}",None,4,06/03/2003,Bronx,Honorary,Michael Reidy Pathway,,71
the southwest corner of the intersection of Hylan Boulevard and Page Avenue,"{'type': 'Point', 'coordinates': [-74.23010635013658, 40.50758901817772]}",None,12,01/07/2003,Staten Island,Honorary,Firefighter Jeffery Giordano Boulevard,,23
the intersection of East 106th Street and Third Avenue,"{'type': 'Point', 'coordinates': [-73.94467535484922, 40.79157044966247]}",None,1,07/29/2002,Manhattan,Honorary,Osvaldo Vega Plaza,,11
the southeast corner of the intersection of Morrison Avenue and Oakland Avenue,"{'type': 'Point', 'coordinates': [-74.10967570384454, 40.628633486333314]}",None,10,12/21/2004,Staten Island,Honorary,WWII Medal of Honor Recipient PVT. Joseph F. Merrell Jr. Way,,58
the intersection of 72nd Street and 18th Avenue,"{'type': 'Point', 'coordinates': [-73.9942225369181, 40.61513055105105]}",None,10,12/21/2004,Brooklyn,Honorary,Joe Galatolo Way,,41
the intersection of Bay 19th Street and Bath Avenue,"{'type': 'Point', 'coordinates': [-74.00558707902367, 40.603571612301074]}",None,10,12/21/2004,Brooklyn,Honorary,Christy Principale Place,,71
17th Avenue and 72nd Street,"{'type': 'Point', 'coordinates': [-73.99658204835401, 40.616554738088624]}",None,6,07/11/2006,Brooklyn,Honorary,Josephine Diana Boulevard,,5
Northwest corner of Avenue N and Schenectady Avenue,"{'type': 'Point', 'coordinates': [-73.92994063411057, 40.618871151422745]}",None,4,05/23/2006,Brooklyn,Honorary,Bob Stonehill Way,,1
the northwest corner of the intersection of William Avenue and Hylan Boulevard,"{'type': 'Point', 'coordinates': [-74.14944981083319, 40.53845664907365]}",None,1,02/18/2003,Staten Island,Honorary,"Stephen ""Snapper"" Knapp Place",,10
the intersection of Queens Boulevard and 33rd Street,"{'type': 'Point', 'coordinates': [-73.93168246853817, 40.74466897909363]}",None,4,06/03/2003,Queens,Honorary,Rawson Street,,52
the southeast corner of The intersection of Muller Avenue and Waters Avenue,"{'type': 'Point', 'coordinates': [-74.1411352522005, 40.617974240069856]}",None,4,06/03/2003,Staten Island,Honorary,Daniel R. Notaro Way,6/14/2007,34
the southeast corner of the intersection of Townsend Avenue and Tompkins Avenue,"{'type': 'Point', 'coordinates': [-74.07542540929882, 40.61847832201192]}",None,1,02/18/2003,Staten Island,Honorary,Firefighter Eddy Day Way,,14
Southeast corner of Crescent Street and 36th Avenue,"{'type': 'Point', 'coordinates': [-73.93332855227575, 40.758140077841155]}",None,4,05/23/2006,Queens,Honorary,Bob Wilson Way,,16
the northwest corner of the intersection of Hope Avenue and Bay  Street,"{'type': 'Point', 'coordinates': [-74.06379049267761, 40.610756606243406]}",None,4,06/03/2003,Staten Island,Honorary,Firefighter James M. Gray Way,,33
the southwest corner of the intersection of Beekman Street and Decker Avenue,"{'type': 'Point', 'coordinates': [-74.1380639379531, 40.62756847135811]}",None,1,02/18/2003,Staten Island,Honorary,Battalion Chief Joseph Grzelak Way,,5
At the Northeast Corner of Arnow Place and Westchester Avenue,"{'type': 'Point', 'coordinates': [-73.82999909323485, 40.850280791107366]}",None,10,12/05/2006,Bronx,Honorary,Detective Daniel Enchautegui Way,,59
the southeast corner of the intersection of Hooker Place and Port Richmond Avenue,"{'type': 'Point', 'coordinates': [-74.13990372789466, 40.630188379160515]}",None,4,06/03/2003,Staten Island,Honorary,Carlo Denino Way,,59
the northeast corner of Hales Avenue and Koch Boulevard,"{'type': 'Point', 'coordinates': [-74.16236941600239, 40.53643997937639]}",None,10,12/21/2004,Staten Island,Honorary,"Lt. Glenn C. Perry, FDNY Avenue",,25
the intersection of Woodside Avenue and 58th Street,"{'type': 'Point', 'coordinates': [-73.90641883745477, 40.74563477474748]}",None,4,06/03/2003,Queens,Honorary,Edward Fowley Way,,55
Donizetti Loop at the corner of Baychester Avenue,"{'type': 'Point', 'coordinates': [-73.83385780788069, 40.87602158000131]}",None,10,12/05/2006,Bronx,Honorary,Gloria Wise Way,,9
the intersection of Otis Avenue and Kruser Street,"{'type': 'Point', 'coordinates': [-74.11464270290438, 40.57692687327396]}",None,12,01/07/2003,Staten Island,Honorary,"Frank J. Spinelli, Jr. Way",,55
222nd Gibbon Avenue and Baychester Avenue,"{'type': 'Point', 'coordinates': [-73.83580970117093, 40.87597246933554]}",None,10,12/05/2006,Bronx,Honorary,Dean Christopher DeSimone Way,,8
On the Corner of Beach Road and Hillcrest Street,"{'type': 'Point', 'coordinates': [-74.15483446871642, 40.53965673640858]}",None,10,12/05/2006,Staten Island,Honorary,James (Jimmy) Carsten Road,,42
the southwest corner of the intersection of 34th Avenue and 21st Street,"{'type': 'Point', 'coordinates': [-73.93425301155818, 40.76279815894218]}",None,1,02/18/2003,Staten Island,Honorary,"FF Manuel Mojica, Jr., FDNY Avenue",,28
On the Corner of Alexander Avenue at Ibsen Avenue,"{'type': 'Point', 'coordinates': [-74.17923844493528, 40.5571149156102]}",None,10,12/05/2006,Staten Island,Honorary,Linda Luzzicone Avenue,,38
the northeast corner of the intersection of 72nd Street and 11th Avenue,"{'type': 'Point', 'coordinates': [-74.00987373255226, 40.62467900128834]}",None,10,12/21/2004,Brooklyn,Honorary,Charles J. Mauro 9/11 Memorial Way,,14
Abingdon Avenue at the Northeast Corner of Augusta Avenue,"{'type': 'Point', 'coordinates': [-74.15728703606099, 40.553463879395146]}",None,10,12/05/2006,Staten Island,Honorary,Joseph Baragozza Avenue,,39
the southwest corner of the intersection of 34th Avenue and 21st Street,"{'type': 'Point', 'coordinates': [-73.93425301155818, 40.76279815894218]}",None,12,01/07/2003,Queens,Honorary,Manuel Mojica Avenue,,83
the southeast corner of the intersection of Justin Avenue and Amboy Road,"{'type': 'Point', 'coordinates': [-74.13723951750256, 40.5580130019668]}",None,12,01/07/2003,Staten Island,Honorary,Firefighter Carl V. Bini Way,,41
the southeast corner of Potter Avenue and Fairview Avenue,"{'type': 'Point', 'coordinates': [-74.11867812279628, 40.61703110367431]}",None,3,05/05/2004,Staten Island,Honorary,James Lane III Way,,27
the southeast corner of the intersection of Benedict Avenue and Manor Road,"{'type': 'Point', 'coordinates': [-74.12439980116025, 40.62296749649483]}",None,12,01/07/2003,Staten Island,Honorary,Firefighter Lenny Ragaglia Way,,63
the southeast corner of the intersection of Hill Street and Warren Street,"{'type': 'Point', 'coordinates': [-74.08171366568, 40.62078103075238]}",None,1,02/18/2003,Staten Island,Honorary,Cheryl White Place,,15
the southeast corner of the intersection of Bement Avenue and Forest Avenue,"{'type': 'Point', 'coordinates': [-74.11108622464789, 40.6296176831924]}",None,3,05/05/2004,Staten Island,Honorary,Lou Marli Corner,,28
the intersection of 		Beach 114th Street and the Boardwalk,"{'type': 'Point', 'coordinates': [-73.83429224761933, 40.578354954398804]}",None,10,12/21/2004,Queens,Honorary,Firefighter John Heffernan Street,,1
West 19th Street and the Intersection at Surf Avenue,"{'type': 'Point', 'coordinates': [-73.98557308943097, 40.575149962175395]}",None,4,05/23/2006,Brooklyn,Honorary,Brooklyn Wall of Remembrance Way,,20
the northwest corner of the intersection of Sheepshead Bay Road and Emmons Avenue,"{'type': 'Point', 'coordinates': [-73.95053892530998, 40.58358055533236]}",None,4,06/03/2003,Brooklyn,Honorary,Lena Azizo Cymbrowitz Way,,61
the northwest corner of the intersection of Wainwright Avenue and Wilson Avenue,"{'type': 'Point', 'coordinates': [-74.16857629202667, 40.5447432162841]}",None,1,02/18/2003,Staten Island,Honorary,Vincent M. Litto Place,,7
the intersection of Avenue T and East 14th Street,"{'type': 'Point', 'coordinates': [-73.95775745966317, 40.60098588903353]}",None,10,12/21/2004,Brooklyn,Honorary,Luther Mook Corner,,64
the southeast corner of the intersection of West Buchanan Street and Lafayette Avenue,"{'type': 'Point', 'coordinates': [-74.0952249164726, 40.64264792013668]}",None,1,02/18/2003,Staten Island,Honorary,Caccese Way,,16
Northeast corner of Westchester Avenue and Arnow Place,"{'type': 'Point', 'coordinates': [-73.82999909323485, 40.850280791107366]}",None,4,05/23/2006,Bronx,Honorary,Police Officer Daniel Enchautegui Way,12/5/2006,34
the northeast corner of the intersection of West 215th Street and Broadway,"{'type': 'Point', 'coordinates': [-73.9155805961025, 40.8698743219405]}",None,10,12/21/2004,Manhattan,Honorary,Donald J. McIntyre Way,5/9/2005,28
the southeast corner of the intersection of State Street and Bond Street,"{'type': 'Point', 'coordinates': [-73.98437864166279, 40.687472015597834]}",None,1,02/18/2003,Brooklyn,Honorary,Khay Cochran Place,,32
On the Corner of Longdale Street and Lamberts Lane,"{'type': 'Point', 'coordinates': [-74.16456317847984, 40.61613097261141]}",None,10,12/05/2006,Staten Island,Honorary,Karl Feldman Way,,33
the northeast corner of the intersection of Avenue U and West 9th Street,"{'type': 'Point', 'coordinates': [-73.98027623960809, 40.59630824832982]}",None,10,12/21/2004,Brooklyn,Honorary,Constantino Tino DeCorato Way,,77
On the Southwest Corner of 92nd Street and Battery Avenue,"{'type': 'Point', 'coordinates': [-74.02499530053035, 40.61554247315811]}",None,10,12/05/2006,Brooklyn,Honorary,Dr. Pasquale M. Lapalorcia Corner,,19
the southeast corner of the intersection of Dongan Avenue and Hodges Place,"{'type': 'Point', 'coordinates': [-74.1193165709147, 40.61491205380168]}",None,12,01/07/2003,Staten Island,Honorary,Firefighter Peter J. Carroll Way,6/3/2003,39
the southwest corner of the intersection of Park Terrace East and 215th Street,"{'type': 'Point', 'coordinates': [-73.91713213929378, 40.87014609481739]}",None,10,12/21/2004,Manhattan,Honorary,John Patrick Burnside Way,,20
the southeast corner of the intersection of Belmont Place and Wall Street,"{'type': 'Point', 'coordinates': [-74.07980212295446, 40.64297214679958]}",None,12,01/07/2003,Staten Island,Honorary,Philip Haentzler Way,,65
the intersection of Vernon Boulevard and 51st Avenue,"{'type': 'Point', 'coordinates': [-73.95435566268625, 40.742042989649235]}",None,4,06/03/2003,Queens,Honorary,Felicia Hamilton Way,,14
the northwest corner of the intersection of Third Street and Ross Avenue,"{'type': 'Point', 'coordinates': [-74.12006363326063, 40.57330193851299]}",None,12,01/07/2003,Staten Island,Honorary,Firefighter Joseph Maffeo Avenue,,93
On the Southwest Corner of West 202nd Street and 10th Avenue,"{'type': 'Point', 'coordinates': [-73.92146564361013, 40.86129311605301]}",None,10,12/05/2006,Manhattan,Honorary,Elouise Carrington Whitehurst Place,,27
