the_geom,amended,ulurpcpnum,intro_year,ll_num
"{'type': 'Point', 'coordinates': [-74.11267500369145, 40.63746145036897]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.00694350134691, 40.711900108589845]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-73.93425301155818, 40.76279815894218]}",No,none,2003,15
"{'type': 'Point', 'coordinates': [-74.1046164846726, 40.630800900283276]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.19275733195838, 40.53353272927396]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-73.93425301155818, 40.76279815894218]}",Yes,none,2002,6
"{'type': 'Point', 'coordinates': [-73.81425052886135, 40.82718851181854]}",No,none,2003,14
"{'type': 'Point', 'coordinates': [-74.07594216051055, 40.643502296080385]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-74.11801806823024, 40.63245622441948]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-73.9228324925005, 40.63554299401343]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.16549808457826, 40.590617730060245]}",No,none,2003,15
"{'type': 'Point', 'coordinates': [-74.12439980116025, 40.62296749649483]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.12796098609986, 40.62003806348281]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.15443277351758, 40.62559988872135]}",No,none,2003,15
"{'type': 'Point', 'coordinates': [-74.00533309756993, 40.62937009836703]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.91759120480067, 40.76990087041208]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-73.93332855227575, 40.758140077841155]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-73.82999909323485, 40.850280791107366]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.06379049267761, 40.610756606243406]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.15728703606099, 40.553463879395146]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-73.95336677538256, 40.61061867139729]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.00987373255226, 40.62467900128834]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.08912148057911, 40.58414256104758]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.98489458403341, 40.758594448294204]}",No,none,2006,23
"{'type': 'Point', 'coordinates': [-74.00987373255239, 40.624679002188856]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.14772681472711, 40.631238701200964]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-73.976378333081, 40.67330104858508]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-73.95384052975409, 40.57677674879038]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.08102598486423, 40.61770916348925]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.99680000845524, 40.6037277459979]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.07619210096665, 40.60761301896426]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.11425941605974, 40.56254398581261]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-73.98388229543778, 40.71319880391044]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-74.15278244500972, 40.62727605368512]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.10277233011854, 40.631640882759896]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.07254447939806, 40.6140941628966]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.11867812279628, 40.61703110367431]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-74.08744729017656, 40.6478063894752]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-73.78227013097226, 40.788660613956736]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.14202810303189, 40.603371838120424]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-73.86173256755738, 40.86567877758751]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.0906847384251, 40.6384988099919]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.13723951750256, 40.5580130019668]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.11869613591303, 40.61716586973856]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-73.77821942237259, 40.77622538857772]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.0952249164726, 40.64264792013668]}",No,none,2003,14
"{'type': 'Point', 'coordinates': [-73.95435566268625, 40.742042989649235]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-73.90283955725911, 40.70649369608643]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.10882478978476, 40.62394695483671]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-73.92994063411057, 40.618871151422745]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-73.83052659225288, 40.847661764146714]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-73.90027657878142, 40.862336316113584]}",No,none,2003,14
"{'type': 'Point', 'coordinates': [-73.85053713681505, 40.82977684962848]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.10842111036159, 40.632474650838276]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.06431713445889, 40.61181863096176]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.00558707902367, 40.603571612301074]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.24624768356819, 40.50404540096424]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.9541087839709, 40.74272854662752]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.10493253684692, 40.62612103964271]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.1250375167824, 40.633855705807115]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-74.00207771771674, 40.71673089549576]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.1193165709147, 40.61491205380168]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.12786534151245, 40.63121471104739]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.01982886071453, 40.62916817809001]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-73.85369683928594, 40.68197461806553]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.23010635013658, 40.50758901817772]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-73.91713213929378, 40.87014609481739]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.9942225369181, 40.61513055105105]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.10743475432228, 40.63957687430016]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.14944981083319, 40.53845664907365]}",No,none,2003,14
"{'type': 'Point', 'coordinates': [-73.98027623960809, 40.59630824832982]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.95053892530998, 40.58358055533236]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.01780244149738, 40.62936684015063]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-74.11108622464789, 40.6296176831924]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-74.00475779471427, 40.62614660431429]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.13990372789466, 40.630188379160515]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-73.98557308943097, 40.575149962175395]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.24109577201855, 40.506500338663926]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.86173256755738, 40.86567877758751]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-73.81163814811583, 40.7940114771417]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.10249145203413, 40.63084784379721]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.02499530053035, 40.61554247315811]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.027229551641, 40.632836064187806]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-74.1399467545553, 40.5710361976212]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-73.83385780788069, 40.87602158000131]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.11007068232072, 40.62980062352463]}",No,none,2003,15
"{'type': 'Point', 'coordinates': [-74.09940246132787, 40.63127161468185]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-73.97996931418155, 40.76533709485348]}",No,none,2003,14
"{'type': 'Point', 'coordinates': [-74.10967570384454, 40.628633486333314]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.01082340300863, 40.60670076791827]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.17923844493528, 40.5571149156102]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.17633118988414, 40.55734654707088]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-73.99658204835401, 40.616554738088624]}",No,none,2006,23
"{'type': 'Point', 'coordinates': [-73.86173256755738, 40.86567877758751]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-73.94191717435045, 40.822837519840554]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-73.94827457089029, 40.744916151110715]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.91948664528887, 40.872139972178076]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-73.98833976573694, 40.749253627977666]}",No,none,2003,14
"{'type': 'Point', 'coordinates': [-73.91768626968717, 40.81608124236225]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-73.93168246853817, 40.74466897909363]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-73.90464943075168, 40.740061397846056]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.03409314128439, 40.61566443376443]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.13194185752317, 40.63775012347769]}",No,none,2003,14
"{'type': 'Point', 'coordinates': [-73.91828807237636, 40.86844292830504]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.10461867798392, 40.625721624231524]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.07341176869251, 40.59194481387428]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.92107769593211, 40.869888554652405]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-73.98225730338342, 40.68681256456347]}",No,none,2003,14
"{'type': 'Point', 'coordinates': [-73.92146564361013, 40.86129311605301]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-73.91870218526878, 40.7431557377775]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.11443292687773, 40.634707988287]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-73.86173256755738, 40.86567877758751]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-73.83429224761933, 40.578354954398804]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.83044606919134, 40.66044128737891]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.8976832260971, 40.712580297628065]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.11464270290438, 40.57692687327396]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-73.9242586247588, 40.74380835031544]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-73.95252974960275, 40.80321652953291]}",No,none,2006,23
"{'type': 'Point', 'coordinates': [-74.0402910278876, 40.62254690597831]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.1235758594278, 40.62097506440839]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.09928453091963, 40.64013283231747]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.07870107897341, 40.638190165431176]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-73.94467535484922, 40.79157044966247]}",No,none,2002,19
"{'type': 'Point', 'coordinates': [-73.94542480365307, 40.75064573277145]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.12006363326063, 40.57330193851299]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.01420288402991, 40.620684743534504]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.09954097060762, 40.57295945967664]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.0959828757926, 40.63161941660735]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.86435993007821, 40.67915285137785]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.20280308251097, 40.531045152539356]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-73.91883584254131, 40.86851965566157]}",No,none,2006,13
