latitude,longitude-zipcode
40.622479567601,-74.005169234752-11228
40.618776841211,-74.005435498865-11228
40.721230744971,-73.884513082036-11379
40.757690070953,-73.785625964057-11358
40.655701117542,-73.952999517081-11226
40.701180558966,-73.912895239822-11237
40.609981026791,-73.753586966091-11691
,nan-11355
40.787559679159,-73.952888019361-10029
40.762270287533,-73.962450404385-10065
40.660298257452,-73.907354945299-11212
40.607969524285,-73.960783611128-11229
40.759994383258,-73.960953658462-10022
40.826129605783,-73.836778947283-10465
40.664408748036,-73.896351794597-11207
40.772147683019,-73.922239599287-11102
40.602661456556,-74.163086769773-10314
40.716007857186,-74.004743636969-10007
40.708826049734,-73.968471751283-11249
40.826283262286,-73.881508037871-10472
40.800823432082,-73.937925150831-10035
40.84669557706,-73.859322206334-10462
40.756148843474,-73.969586262143-10022
40.746735531505,-73.9960228834-10001
40.665644470424,-73.939237349258-11213
40.62837819507,-74.002593853125-11219
40.609127633715,-73.960231893905-11229
40.642280451005,-73.995308467893-11219
40.817947347351,-73.927597966769-10451
40.600911849904,-73.958436263034-11229
40.876207824152,-73.866976191563-10467
40.788528047931,-73.967130193305-10024
40.678161537432,-73.922497426631-11233
40.804026414418,-73.963073326975-10025
40.660298257452,-73.907354945299-11212
40.796441583372,-73.968632351453-10025
40.679843487232,-73.939775982908-11216
40.687548739608,-73.918635496017-11221
40.619651925758,-74.027804618024-11209
40.796441583372,-73.968632351453-10025
40.674687391167,-73.954593953462-11216
40.833727148416,-73.889932809537-10460
40.765050056749,-73.798442971464-11358
40.739600814118,-73.96097287317-11101
40.746670992859,-73.95279073124-11101
40.604270518624,-74.148516360898-10314
40.53287293488,-74.160707010401-10312
40.795734118392,-73.936918648166-10029
40.625540054642,-73.9961814348-11219
40.749634394008,-73.939135181882-11101
40.719419705047,-73.808909837576-11432
40.767293581479,-73.992194926927-10019
40.696404688497,-73.912941172384-11237
40.619651925758,-74.027804618024-11209
40.676177730346,-73.937021353415-11213
40.862276166853,-73.90658804223-10468
40.860002990538,-73.843083508048-10469
40.808745994158,-73.926079979867-10454
40.708826049734,-73.968471751283-11249
40.628992824929,-73.992726336278-11219
40.792017294101,-73.969551755691-10025
40.698746460296,-73.787320098351-11433
40.682658093863,-73.881482998432-11208
40.760282020579,-73.98015728348-10020
40.63751445271,-73.919053441977-11236
40.671884138031,-73.878196490769-11208
40.638964898018,-73.964689153126-11226
40.679594716621,-73.961152339316-11238
40.812695472245,-73.92162125205-10454
40.646685918901,-73.999365772365-11232
40.776275366816,-73.934770788426-11102
40.705712255416,-73.893481258482-11385
40.736310743193,-73.86699675696-11373
40.622935317864,-73.999643374392-11219
40.642965438117,-73.960546761805-11226
40.541625868853,-74.20846850504-10309
40.675359457704,-73.927198170354-11233
40.711202471137,-73.966533627566-11249
40.774200504193,-73.97915301362-10023
40.815521362643,-73.923922842219-10451
40.748769215036,-73.75655443281-11364
40.646685918901,-73.999365772365-11232
40.89380210383,-73.860527872009-10466
40.821864592259,-73.924114282331-10451
40.64178571353,-73.986693011387-11218
40.695826597603,-73.854456000699-11421
40.616663524955,-73.964668578329-11230
40.834286900541,-73.878848449276-10472
40.821673516527,-73.903566913133-10456
40.649974357353,-73.965151790669-11226
40.651229633585,-73.940659619267-11203
40.672667021292,-73.86643561352-11208
40.679594716621,-73.961152339316-11238
40.760282020579,-73.98015728348-10020
40.806579646925,-73.916961444748-10454
40.787559679159,-73.952888019361-10029
40.665584336845,-73.885673153878-11207
40.746188471565,-73.942029127028-11101
40.832621684897,-73.827894983635-10465
40.755439214916,-74.002219825347-10001
40.73648450538,-73.977786434808-10010
40.573169559536,-74.002508910504-11224
40.712262196873,-73.888666056725-11379
40.636167853943,-73.94970217396-11210
40.806579646925,-73.916961444748-10454
40.781197005898,-73.845978099527-11356
40.624952643634,-73.995435774185-11219
40.661864169304,-73.849224719527-11414
40.695006134255,-73.793772745663-11433
40.772526896412,-73.915108608042-11105
40.62909375043,-74.028745246123-11209
40.713651837152,-73.814936047246-11435
40.827403134181,-73.937177580452-10039
40.759724351912,-73.966317839787-10022
40.769024535226,-73.773455379812-11361
40.761569138024,-73.723120227739-11362
40.718296890852,-73.963871358562-11249
40.690208914013,-73.985327481511-11201
40.831528143485,-73.892335904079-10459
40.683995683423,-73.879695843208-11208
40.770681958402,-73.980464658752-10023
40.882990692566,-73.894006209915-10463
40.666020879218,-73.894381158803-11207
40.667287190395,-73.984543117499-11215
40.637709888938,-73.905447968847-11236
40.668733631281,-73.908183093392-11212
40.777899334622,-73.955873703612-10028
40.606946944107,-73.999409368292-11214
40.606587689596,-73.950574474348-11229
40.590439716571,-73.7887357309-11692
40.806545374421,-73.918933779341-10454
40.668733631281,-73.908183093392-11212
40.824815891086,-73.896838079211-10459
40.69480920943,-73.919401929932-11221
40.762866595925,-73.956638165646-10065
