bbl,council_district,community_board
3079820049.0,45.0,318.0
3050570007.0,40.0,309.0
4082140008.0,19.0,411.0
3057340045.0,43.0,311.0
4139490026.0,32.0,410.0
4008427501.0,22.0,401.0
1010030029.0,4.0,105.0
2025500012.0,8.0,201.0
3062157501.0,43.0,311.0
3007990001.0,38.0,307.0
1016870017.0,8.0,111.0
3013440001.0,41.0,308.0
3016910012.0,36.0,303.0
1014370007.0,5.0,108.0
1010030029.0,4.0,105.0
3062220045.0,38.0,310.0
2046290050.0,12.0,212.0
3056377502.0,43.0,312.0
1012250021.0,7.0,107.0
1020387501.0,9.0,110.0
4000827501.0,26.0,402.0
3008490001.0,43.0,307.0
2022980040.0,8.0,201.0
4061730013.0,19.0,411.0
5020400001.0,50.0,502.0
4083520051.0,23.0,411.0
4012500063.0,25.0,403.0
4004207501.0,26.0,402.0
2043920040.0,13.0,211.0
2038860002.0,17.0,209.0
2053560001.0,13.0,210.0
5053730001.0,51.0,503.0
,,
1016020044.0,8.0,111.0
3011257501.0,35.0,308.0
3067760055.0,48.0,315.0
3040917501.0,42.0,305.0
3039300016.0,37.0,305.0
3056907503.0,44.0,312.0
4067937501.0,24.0,408.0
3009227502.0,38.0,307.0
1009550005.0,4.0,106.0
4055200001.0,19.0,411.0
1010817503.0,3.0,104.0
