dcid,address,latitude,longitude,bbl,program_type
DC2029,901-909 TINTON AVENUE,40.821673516527,-73.903566913133,2026380090.0,PRESCHOOL
DC34184,127 WEST  94  STREET,40.792017294101,-73.969551755691,1012250021.0,PRESCHOOL
DC22669,3416 AVENUE S,40.608914335604,-73.932604760846,3085200042.0,PRESCHOOL
DC35339,133-14 41  AVENUE,40.756971609708,-73.832177224694,4050410005.0,PRESCHOOL
DC1619,475 GRAND CONCOURSE,40.817947347351,-73.927597966769,2023460029.0,PRESCHOOL
DC38081,27-28 THOMSON AVENUE,40.746188471565,-73.942029127028,4000827501.0,INFANT TODDLER
DC26046,411 THATFORD AVENUE,40.660298257452,-73.907354945299,3036040001.0,INFANT TODDLER
DC40905,33-02 30 AVENUE,40.766077244091,-73.919654696612,4006250042.0,PRESCHOOL
DC178,331 CENTRAL AVENUE,40.69480920943,-73.919401929932,3033150001.0,PRESCHOOL
DC44584,450 KENT AVENUE,40.708826049734,-73.968471751283,3021347502.0,PRESCHOOL
DC20249,2813 FARRAGUT ROAD,40.636167853943,-73.94970217396,3052300003.0,PRESCHOOL
DC37937,46-04 VERNON BOULEVARD,40.746670992859,-73.95279073124,4000270046.0,INFANT TODDLER
DC35096,315 EAST  62  STREET,40.762270287533,-73.962450404385,1014370007.0,INFANT TODDLER
DC43644,35A BAY STREET,40.641492463258,-74.075733844245,5000017504.0,PRESCHOOL
DC33082,258 WEST 26TH STREET,40.746735531505,-73.9960228834,1007757502.0,PRESCHOOL
DC37869,26-27 2 STREET,40.776275366816,-73.934770788426,4009140005.0,PRESCHOOL
DC42542,4312 CHURCH AVENUE,40.651417022829,-73.936915079316,3048970007.0,PRESCHOOL
DC40368,260 WEST 153RD STREET,40.827403134181,-73.937177580452,1020387501.0,PRESCHOOL
DC40635,1919 CORTELYOU ROAD,40.642965438117,-73.960546761805,3051500031.0,PRESCHOOL
DC411,22-32 BUCKINGHAM ROAD,40.649974357353,-73.965151790669,3050760014.0,PRESCHOOL
DC36747,20 ST. JOHN'S  ROAD,40.706772833307,-73.907387490493,4033910026.0,PRESCHOOL
DC182,375 EAST 143RD STREET,40.812695472245,-73.92162125205,2023060009.0,PRESCHOOL
DC44294,955 HUTCHINSON RIVER PARKWAY,40.826129605783,-73.836778947283,2055420001.0,PRESCHOOL
DC32861,42-09 28TH STREET,40.749634394008,-73.939135181882,4004207501.0,PRESCHOOL
DC1623,1555 EAST 174 STREET,40.834286900541,-73.878848449276,2038860002.0,PRESCHOOL
DC25613,411 THATFORD AVENUE,40.660298257452,-73.907354945299,3036040001.0,PRESCHOOL
DC20001,675 LINCOLN AVENUE,40.672667021292,-73.86643561352,3042710005.0,PRESCHOOL
DC19662,1469 BROADWAY,40.687548739608,-73.918635496017,3033730007.0,PRESCHOOL
DC21253,1 WEST 91ST STREET,40.788528047931,-73.967130193305,1012050029.0,INFANT TODDLER
DC42149,762 41 STREET,40.646685918901,-73.999365772365,3009227502.0,PRESCHOOL
DC39978,196 ALBANY AVE,40.67387317405,-73.938973865509,3012300044.0,PRESCHOOL
DC44419,252 EAST   57 STREET,40.759724351912,-73.966317839787,1013307502.0,PRESCHOOL
DC33188,85-27 91 STREET,40.695826597603,-73.854456000699,4088750001.0,PRESCHOOL
DC1652,671 PROSPECT PLACE,40.674687391167,-73.954593953462,3012240045.0,INFANT TODDLER
DC44396,85 WARREN STREET,40.715324022887,-74.0105477199,1001327501.0,PRESCHOOL
DC16645,1600 CROTONA PARK EAST,40.836698167497,-73.891203582188,2029390090.0,PRESCHOOL
DC25327,409 EAST 60TH STREET,40.759994383258,-73.960953658462,1014550008.0,INFANT TODDLER
DC2828,1271 AVENUE OF THE AMERICAS,40.760282020579,-73.98015728348,1010030029.0,PRESCHOOL
DC25981,3001 WEST 37TH STREET,40.573169559536,-74.002508910504,3070650001.0,PRESCHOOL
DC43192,1-14 56 AVENUE,40.739600814118,-73.96097287317,4000067503.0,INFANT TODDLER
DC19444,133-20 AVERY    AVENUE,,,,PRESCHOOL
DC2259,74-15 JUNIPER BOULEVARD NORTH,40.721230744971,-73.884513082036,4029300012.0,PRESCHOOL
DC32837,2975 INDEPENDENCE AVENUE,40.882886325753,-73.917343136408,2057500390.0,PRESCHOOL
DC2736,2800E VICTORY BOULEVARD,40.604270518624,-74.148516360898,5020400001.0,PRESCHOOL
DC25005,137-11 90 AVENUE,40.70077060731,-73.814939484245,4099700038.0,PRESCHOOL
DC44221,2870 GOULDEN AVENUE,40.873171841314,-73.89595280759,2032470001.0,PRESCHOOL
DC1184,225 EAST 51 STREET,40.756148843474,-73.969586262143,1013250015.0,PRESCHOOL
DC43947,570 CROWN STREET,40.665644470424,-73.939237349258,3014170007.0,INFANT TODDLER
DC42073,8810 AVENUE J,40.637709888938,-73.905447968847,3080400037.0,PRESCHOOL
DC42511,1462 62 STREET,40.625540054642,-73.9961814348,3057340045.0,PRESCHOOL
DC2039,90 CHAUNCEY STREET,40.680271879258,-73.930444847891,3016910012.0,PRESCHOOL
DC41101,1207 QUENTIN RD,40.607969524285,-73.960783611128,3067750043.0,PRESCHOOL
DC14364,423 EAST 23 STREET,40.73648450538,-73.977786434808,1009550005.0,INFANT TODDLER
DC14454,6012 FARRAGUT ROAD,40.63751445271,-73.919053441977,3079820049.0,PRESCHOOL
DC44025,299 PACIFIC STREET,40.687609987807,-73.988623744281,3001820048.0,INFANT TODDLER
DC43850,979 PACIFIC STREET,40.679594716621,-73.961152339316,3011257501.0,INFANT TODDLER
DC1297,148 BEACH 59 STREET,40.590439716571,-73.7887357309,4159260001.0,PRESCHOOL
DC44462,5119 4 AVENUE,40.64574094229,-74.013314987508,3007990001.0,PRESCHOOL
DC39345,1331 FLATBUSH AVENUE,40.638650866555,-73.953807864577,3052110060.0,PRESCHOOL
DC2537,80-22 PARSONS BOULEVARD,40.719419705047,-73.808909837576,4067130041.0,PRESCHOOL
DC37363,2331 EASTCHESTER ROAD,40.860002990538,-73.843083508048,2043920040.0,PRESCHOOL
DC40247,11 HOYT STREET,40.690208914013,-73.985327481511,3001577501.0,INFANT TODDLER
DC24683,2322 THIRD AVE,40.804458751467,-73.935259599242,1017750033.0,PRESCHOOL
DC43897,145 WEST STREET,40.732050216785,-73.961713385404,3.0,PRESCHOOL
DC25044,2212 THIRD AVENUE,40.800823432082,-73.937925150831,1017697501.0,PRESCHOOL
DC3017,14-66 BEACH CHANNEL DRIVE,40.609981026791,-73.753586966091,4155010002.0,PRESCHOOL
DC14111,414 MORRIS AVENUE,40.815521362643,-73.923922842219,2023240001.0,PRESCHOOL
DC3043,43-09 196 STREET,40.757690070953,-73.785625964057,4055200001.0,PRESCHOOL
DC43872,21 MESEROLE STREET,40.707485313741,-73.949518307451,3030400044.0,PRESCHOOL
DC41726,71-66 PARSONS BOULEVARD,40.728508613953,-73.81114950846,4067937501.0,PRESCHOOL
DC15291,852 CLASSON AVENUE,40.67180231041,-73.96119294485,3011800025.0,INFANT TODDLER
DC42975,58 BELMONT AVENUE,40.668733631281,-73.908183093392,3035260215.0,PRESCHOOL
DC1942,200 ALEXANDER AVENUE,40.808745994158,-73.926079979867,2022980040.0,PRESCHOOL
DC39933,156-45 84 STREET,40.661864169304,-73.849224719527,4139490026.0,PRESCHOOL
DC42984,68-05 64 PLACE,40.705712255416,-73.893481258482,4036330022.0,PRESCHOOL
DC44500,1317 AVENUE T,40.600911849904,-73.958436263034,3072920043.0,PRESCHOOL
