dcid,bin,age_range,permit_number,capacity
DC33082,1088709.0,2 YEARS - 5 YEARS,102097.0,57
DC40808,2092841.0,0 YEARS - 2 YEARS,105641.0,46
DC41345,4051460.0,2 YEARS - 5 YEARS,105962.0,20
DC20249,3120967.0,2 YEARS - 5 YEARS,27077.0,173
DC1619,2001038.0,2 YEARS - 5 YEARS,5826.0,55
DC24680,1088601.0,2 YEARS - 5 YEARS,91439.0,109
DC349,3076869.0,2 YEARS - 5 YEARS,4476.0,105
DC37409,2094684.0,2 YEARS - 5 YEARS,104590.0,137
DC41505,3136061.0,2 YEARS - 5 YEARS,106082.0,31
DC25981,3189617.0,2 YEARS - 5 YEARS,51657.0,169
DC42149,3397586.0,2 YEARS - 5 YEARS,106342.0,28
DC18943,2023714.0,2 YEARS - 5 YEARS,7942.0,20
DC18839,3084629.0,2 YEARS - 5 YEARS,8068.0,114
DC40247,3329438.0,0 YEARS - 2 YEARS,105694.0,34
DC43947,3393264.0,0 YEARS - 2 YEARS,106544.0,64
DC44221,2119733.0,2 YEARS - 5 YEARS,106756.0,80
DC38226,1013712.0,0 YEARS - 2 YEARS,105029.0,44
DC42952,2118405.0,2 YEARS - 5 YEARS,106206.0,153
DC43872,3427297.0,2 YEARS - 5 YEARS,106694.0,26
DC42975,3081140.0,2 YEARS - 5 YEARS,106199.0,120
DC43914,3142954.0,2 YEARS - 5 YEARS,106568.0,90
DC42514,3429138.0,0 YEARS - 2 YEARS,106535.0,20
DC182,2091101.0,2 YEARS - 5 YEARS,2094.0,80
DC42968,3081140.0,0 YEARS - 2 YEARS,106198.0,43
DC14261,1028249.0,0 YEARS - 2 YEARS,4899.0,10
DC16645,2009866.0,2 YEARS - 5 YEARS,4032.0,50
DC19662,3393150.0,2 YEARS - 5 YEARS,8017.0,102
DC44294,2126086.0,3 YEARS - 5 YEARS,,NO DATA
DC44451,3345686.0,3 YEARS - 5 YEARS,,NO DATA
DC41245,4595538.0,2 YEARS - 5 YEARS,105868.0,39
DC38081,4000697.0,NO DATA,104904.0,68
DC44090,3129034.0,2 YEARS - 5 YEARS,106739.0,20
DC43139,1087131.0,0 YEARS - 2 YEARS,106527.0,44
DC1907,3157619.0,2 YEARS - 5 YEARS,6477.0,15
DC43772,3154221.0,0 YEARS - 2 YEARS,106667.0,16
