address,phone,nta_code,facility_type,borough,program_name
26-27 2 STREET,(718) 626-0050,QN71,GCC,QUEENS,ALPHABET CITY CHILD CARE CENTER LLC
93 NORWOOD AVENUE,(718) 235-3416,BK83,GCC,BROOKLYN,SIMFRAN ACADEMY
164 EAST 68 STREET,(212) 737-6900,MN40,SBCC,MANHATTAN,PARK EAST PRESCHOOL
1859 RICHMOND AVENUE,(718) 982-0550,SI05,GCC,STATEN ISLAND,BIG BIRDS PLAYHOUSE CORP.
68-02 METROPOLITAN AVENUE,(718) 417-6770,QN20,GCC,QUEENS,"CHRIST THE KING CONTINUING EDUCATION, INC."
55 HUDSON YARDS,(212) 561-8914,MN13,GCC,MANHATTAN,"Vivvi 4, LLC"
175 KENT AVENUE,(718) 302-1113,BK73,GCC,BROOKLYN,BRIGHT HORIZONS CHILDREN'S CENTERS LLC.
3880 SEDGWICK AVENUE,(718) 543-0231,BX28,GCC,BRONX,"CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMUNITY CENTER, INC."
765 LAFAYETTE AVENUE,(917) 776-2135,BK35,GCC,BROOKLYN,LAFAYETTE CHILD CARE CENTER LLC
295 WOODBINE STREET,(718) 821-3432,BK77,GCC,BROOKLYN,"THE NEW LIFE CHILD DEVELOPMENT CENTER, INC"
411 THATFORD AVENUE,(929) 234-6870,BK81,GCC,BROOKLYN,SAINT CHRISTOPHER  OTTLIE
33-02 30 AVENUE,(929) 510-8729,QN70,GCC,QUEENS,BRIGHT AND BUSY DAYCARE INC.
30 WEST 68TH STREET,(212) 877-4050,MN14,GCC,MANHATTAN,STEPHEN WISE FREE SYNAGOGUE
81-10 35 AVENUE,(718) 457-0429,QN28,GCC,QUEENS,82ND STREET ACADEMICS
675 LINCOLN AVENUE,(718) 235-1215,BK82,GCC,BROOKLYN,"URBAN STRATEGIES, INC."
578 EAST  138 STREET,(347) 318-7375,BX39,GCC,BRONX,A KIDS SPACE TO DREAM CHILDCARE
1469 BROADWAY,(718) 443-2577,BK78,GCC,BROOKLYN,TRADITIONAL EDUCATIONAL CENTER
137-11 90 AVENUE,(516) 302-4941,QN61,SBCC,QUEENS,AL-IMAN SCHOOL PRE-K FOR ALL
8416 19 AVENUE,(929) 333-9595,BK28,GCC,BROOKLYN,LITTLE BERRIES INC
1113 COLGATE AVENUE,(718) 617-2900,BX55,GCC,BRONX,EAST BRONX DAY CARE CENTER
1331 FLATBUSH AVENUE,(347) 240-2648,BK95,GCC,BROOKLYN,The Reggio Emilia Montessori Center
705 CONCOURSE VILLAGE WEST,(718) 292-5335,BX14,GCC,BRONX,EAST SIDE HOUSE SETTLEMENT
1047 AMSTERDAM AVENUE,(212) 316-7530,MN09,GCC,MANHATTAN,CATHEDRAL CHURCH OF ST. JOHN THE DIVINE IN THE CITY AND DIOCESES OF NEW YORK
7802 BAY PARKWAY,(718) 943-6333,BK28,GCC,BROOKLYN,"EDITH & CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST, INC"
83-78 DANIELS STREET,(718) 487-3747,QN35,GCC,QUEENS,"SHOLOM, SHOLOM INC."
1515 SOUTHERN BOULEVARD,(718) 764-2409,BX75,GCC,BRONX,THE CHILDREN'S AID SOCIETY
98-25 HORACE HARDING EXPRESSWAY,(718) 446-9021,QN25,GCC,QUEENS,"HAPPY DRAGON OF USA, INC"
1257-1263 38TH STREET,(718) 514-8602,BK88,GCC,BROOKLYN,"YELED V' YALDA EARLY CHILDHOOD CENTER, INC."
1326 EAST 10TH STREET,(718) 975-2644,BK46,GCC,BROOKLYN,BAIS FRIEDA CHILD CARE
133 KINGSBOROUGH  1ST WALK,(718) 453-0828,BK61,GCC,BROOKLYN,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.
1226 YORK AVENUE,(212) 327-7071,MN31,GCC,MANHATTAN,ROCKEFELLER CHILD AND FAMILY CENTER
21 MESEROLE STREET,(929) 539-0560,BK90,GCC,BROOKLYN,OITZERLECH INC.
46-04 VERNON BOULEVARD,(718) 361-8326,QN31,GCC,QUEENS,BUNNYHILL BABIES LLC
2331 EASTCHESTER ROAD,(718) 654-5437,BX31,GCC,BRONX,AMAZING KIDS LEARNING CENTER
531 E 137TH STREET,(718) 215-4125,BX39,GCC,BRONX,LUMINOUS EARLY CHILD CARE CENTER
27-17 27 STREET,(347) 242-2315,QN71,GCC,QUEENS,"DISCOVERY LANE, LLC"
60-62 EAST 97TH STREET,(212) 410-2077,MN33,GCC,MANHATTAN,"IMAGINE EARLY LEARNING CENTER, LLC"
683 BARBEY ST,(347) 392-3232,BK82,GCC,BROOKLYN,BARBEY PREP INC.
979 PACIFIC STREET,(212) 590-5845,BK61,GCC,BROOKLYN,PLAYTO PACIFIC LLC
4109 16 AVENUE,(718) 434-7300,BK88,SBCC,BROOKLYN,TALMUD TORAH
331 CENTRAL AVENUE,(718) 453-9040,BK78,GCC,BROOKLYN,BUSHWICK UNITED HOUSING DEVELOPMENT FUND CORPORATION
900 MORRIS PARK AVENUE,(347) 893-1670,BX37,GCC,BRONX,LUMINOUS EARLY CHILD CARE CENTER
578 E 138TH ST,(347) 862-2465,BX39,GCC,BRONX,A KIDS SPACE TO DREAM
105-109 HIGHLAND PLACE,(718) 647-1014,BK83,GCC,BROOKLYN,"Saint Peter’s Evangelical Lutheran Church, in the Borough of Brooklyn, City of New York"
58 BELMONT AVENUE,(718) 346-1064,BK81,GCC,BROOKLYN,BEANSTALK CHILD CARE ACADEMY
23-88 31 STREET,(718) 777-2347,QN72,GCC,QUEENS,"BRIGHT START CHILD LEARNING CENTER, INC."
3425 EAST TREMONT AVENUE,(718) 828-5607,BX52,GCC,BRONX,THE LEARNING EXPERIENCE
133-14 41  AVENUE,(718) 358-8899,QN22,GCC,QUEENS,"CHINESE-AMERICAN PLANNING COUNCIL, INC."
3001 WEST 37TH STREET,(718) 266-5333,BK21,GCC,BROOKLYN,LA PUERTA ABIERTA
27-28 THOMSON AVENUE,(718) 433-4007,QN31,GCC,QUEENS,"TLE AT QUEENS-LONG ISLAND CITY, LLC"
235 EAST 11 STREET,(212) 777-3240,MN22,GCC,MANHATTAN,SOCIETY OF THIRD STREET MUSIC SCHOOL SETTLEMENT
2082 UTICA  AVENUE,(929) 417-2463,BK58,GCC,BROOKLYN,"Learning Ladder Daycare Center, LLC"
11 HOYT STREET,(917) 825-8763,BK38,GCC,BROOKLYN,"Petits Poussins Brooklyn, LLC"
454 PENNSYLVANIA AVE,(718) 342-4724,BK85,GCC,BROOKLYN,"POLICE ATHLETIC LEAGUE, INC."
1 WEST 91ST STREET,(212) 595-2000,MN12,GCC,MANHATTAN,"CENTRAL PARK MONTESSORI, INC."
871 50TH STREET,(347) 789-6939,BK34,GCC,BROOKLYN,"BROOKLYN CHINESE-AMERICAN ASSOCIATION, INC."
3440 WHITE PLAINS RD.,(718) 655-5500,BX44,GCC,BRONX,"NORTHEAST BRONX DAY CARE CENTER,INC."
1835 BAY RIDGE PARKWAY,(718) 222-4986,BK28,SBCC,BROOKLYN,AL MADINAH SCHOOL
1194 YORK AVENUE,(212) 327-7071,MN31,GCC,MANHATTAN,ROCKEFELLER CHILD AND FAMILY CENTER
8902 5 AVENUE,(718) 921-8750,BK31,GCC,BROOKLYN,THE LEARNING EXPERIENCE
200 ALEXANDER AVENUE,(718) 292-5335,BX39,GCC,BRONX,EAST SIDE HOUSE SETTLEMENT
299 PACIFIC STREET,(347) 581-1891,BK38,GCC,BROOKLYN,LADYBUG PRESCHOOL
1505 CARROLL STREET,(718) 756-0770,BK63,GCC,BROOKLYN,BEIS CHAYA MUSHKA
248-12 NORTHERN BOULEVARD,(347) 827-0113,QN45,GCC,QUEENS,LITTLE TULIP DAYCARE CENTER OF LITTLE NECK
255 WEST 14 STREET,(332) 255-8503,MN13,GCC,MANHATTAN,BRIGHT HORIZONS AT WEST 14TH
450 KENT AVENUE,(347) 907-2935,BK73,GCC,BROOKLYN,TICKLE TOES DAY CARE LLC
7817-25 3 AVENUE,(718) 680-6566,BK31,GCC,BROOKLYN,"TUTOR TIME LEARNING CENTERS, LLC."
225 EAST 51 STREET,(212) 826-6204,MN19,GCC,MANHATTAN,SUTTON PLACE SYNAGOGUE
26 FEDERAL PLAZA,(212) 264-4277,MN24,GCC,MANHATTAN,IMAGINE EARLY LEARNING CENTER LLC
163 EAST   84 STREET,(929) 484-4670,MN40,GCC,MANHATTAN,All My Children Day Care and Nursery School
852 CLASSON AVENUE,(718) 399-3979,BK64,GCC,BROOKLYN,CHAI TOTS PRESCHOOL OF PROSPECT HEIGHTS ( I/T)
955 HUTCHINSON RIVER PARKWAY,(718) 540-6959,BX09,SBCC,BRONX,BRONX ARTS AND SCIENCE CHARTER SCHOOL
156-45 84 STREET,(718) 464-5606,QN57,GCC,QUEENS,PARSONS PRESCHOOL
1-14 56 AVENUE,(718) 750-1001,QN31,GCC,QUEENS,BUILDING BRILLIANCE DAY CARE II INC.
375 EAST 143RD STREET,(718) 292-5335,BX39,GCC,BRONX,EAST SIDE HOUSE SETTLEMENT
58-20 LITTLE NECK PARKWAY,(718) 225-6750,QN45,GCC,QUEENS,COMMONPOINT QUEENS
3416 AVENUE S,(718) 355-8960,BK45,GCC,BROOKLYN,ITTY BITTY ADVENTURES LLC
8902 5 AVENUE,(718) 921-8750,BK31,GCC,BROOKLYN,THE LEARNING EXPERIENCE
333 EAST 115 STREET,(212) 988-9500,MN34,GCC,MANHATTAN,Kennedy Children's Center
2800E VICTORY BOULEVARD,(718) 982-3190,SI05,GCC,STATEN ISLAND,"THE COLLEGE OF STATEN ISLAND ASSOCIATON, INC."
27-28 THOMSON AVENUE,(718) 433-4007,QN31,GCC,QUEENS,"TLE AT QUEENS-LONG ISLAND CITY, LLC"
800 POLY PLACE,(917) 329-4764,BK31,GCC,BROOKLYN,BROOKLYN CHILD CARE
6202 15 AVENUE,(718) 303-9400,BK28,GCC,BROOKLYN,EIS LAASOIS CHILD DEVELOPMENT SERVICES
108-17 159TH STREET,(718) 526-3068,QN01,GCC,QUEENS,"AFRO-AMERICAN PARENTS EDUCATIONAL CENTER, INC."
814 AMSTERDAM AVENUE,(212) 316-0890,MN12,GCC,MANHATTAN,THE LEARNING EXPERIENCE
1271 AVENUE OF THE AMERICAS,(315) 615-6352,MN17,GCC,MANHATTAN,BRIGHT HORIZONS CHILDREN'S CENTERS
4301 10 AVENUE,(347) 997-6464,BK34,GCC,BROOKLYN,BNEI YOSEL
1054 INTERVALE AVENUE,(718) 893-5074,BX33,GCC,BRONX,LA PENINSULA  COMMUNITY  ORGANIZATION  HEAD START PROGRAM 2
1 WEST 91ST STREET,(212) 595-2000,MN12,GCC,MANHATTAN,"CENTRAL PARK MONTESSORI, INC."
4180 CARPENTER AVENUE,(917) 736-6737,BX44,GCC,BRONX,LITTLE STARS CHILDCARE PROGRAM VII LLC
156-45 84 STREET,(718) 229-5050,QN57,GCC,QUEENS,CIRCLE ACADEMY
414 MORRIS AVENUE,(718) 401-4242,BX39,GCC,BRONX,EAST SIDE HOUSE SETTLEMENT
20-16 COLLEGE POINT BOULEVARD,(347) 990-5638,QN23,GCC,QUEENS,JOY LEARNING GARDEN II
90 CHAUNCEY STREET,(718) 771-4002,BK61,GCC,BROOKLYN,COMMUNITY PARENTS HEAD START
1271 AVENUE OF THE AMERICAS,(315) 615-6352,MN17,GCC,MANHATTAN,BRIGHT HORIZONS CHILDREN'S CENTER
2322 THIRD AVE,(212) 831-3144,MN34,GCC,MANHATTAN,ADDIE MAE COLLINS COMMUNITY SERVICES INC.
145 WEST STREET,(718) 684-9139,BK76,GCC,BROOKLYN,GREENPOINT CHILDCARE LLC
134-12 LINDEN BOULEVARD,(516) 589-5794,QN55,GCC,QUEENS,BOOK SMART EARLY LEARNING CHILD CARE CORP.
68-05 64 PLACE,(917) 846-7492,QN20,GCC,QUEENS,ONCE UPON A TIME
901-909 TINTON AVENUE,(718) 665-7791,BX35,GCC,BRONX,BLONDELL JOYNER DAY CARE CENTER
225 WEST  99TH STREET,(212) 877-1100,MN12,GCC,MANHATTAN,"LA ESCUELITA, INC."
1298 WOODROW ROAD,(718) 317-8143,SI32,GCC,STATEN ISLAND,"HIGH HOPES OF STATEN ISLAND, INC."
14-66 BEACH CHANNEL DRIVE,(718) 327-1384,QN15,GCC,QUEENS,"BETHEL EMANUEL TEMPLE, INC."
1207 QUENTIN RD,(917) 609-0760,BK25,GCC,BROOKLYN,VIVA KIDS
93 NORWOOD AVENUE,(718) 235-3416,BK83,GCC,BROOKLYN,SIMFRAN ACADEMY
329 BROADWAY,(929) 329-1010,BK73,GCC,BROOKLYN,Cuddles Center
423 EAST 23 STREET,(212) 951-3435,MN20,GCC,MANHATTAN,"IMAGINE EARLY LEARNING CENTERS, LLC"
1091 SUTTER AVENUE,(718) 235-6151,BK82,GCC,BROOKLYN,URBAN STRATEGIES DAY CARE CENTER #1
7104 13 AVENUE,(718) 492-7464,BK30,GCC,BROOKLYN,RING AROUND THE ROSIE PRE-SCHOOL INC.
80-22 PARSONS BOULEVARD,(718) 380-1900,QN37,SBCC,QUEENS,ST. NICHOLAS OF TOLENTINE CATHOLIC ACADEMY
3141 EAST TREMONT AVENUE,(718) 829-3067,BX52,GCC,BRONX,TENDER YEARS CHILDCARE INC.
647 ROGERS AVENUE,(718) 284-0172,BK60,GCC,BROOKLYN,MY LITTLE SPROUTS CHILD CARE L.L.C.
1595 LEXINGTON  AVENUE,(212) 444-2026,MN33,GCC,MANHATTAN,Sunshine LC of Lexington LLC
1436 67 STREET,(718) 551-1227,BK28,GCC,BROOKLYN,"B'ABOVE WORLDWIDE INSTITUTE, INC."
411 THATFORD AVENUE,(929) 234-6870,BK81,GCC,BROOKLYN,SCO FAMILY OF SERVICES
12-45 CLINTONVILLE ST,(718) 746-6107,QN49,GCC,QUEENS,"PEE WEE FOLKS, Inc."
105-25 65 ROAD,(718) 204-0626,QN17,GCC,QUEENS,A+ DAYCARE LLC
85-27 91 STREET,(718) 464-5606,QN53,GCC,QUEENS,PARSONS PRESCHOOL
42-09 28TH STREET,(718) 361-6414,QN31,GCC,QUEENS,BRIGHT HORIZONS CHILDREN'S CENTERS LLC
25-50 CRESCENT STREET,(718) 606-9005,QN71,GCC,QUEENS,"ACADEMY OF HELLENIC PAIDEIA, INC"
6012 FARRAGUT ROAD,(718) 209-1122,BK50,GCC,BROOKLYN,"YELED V' YALDA EARLY CHILDHOOD CENTER, INC."
258 WEST 26TH STREET,(212) 366-4365,MN13,GCC,MANHATTAN,BRIGHT HORIZONS CHILDREN'S CENTERS LLC
58 BELMONT AVENUE,(718) 346-1064,BK81,GCC,BROOKLYN,BEANSTALK CHILD CARE ACADEMY
406-408 GROVE STREET,(718) 417-4214,BK77,GCC,BROOKLYN,"NEW LIFE DAY CARE CENTER, INC."
35A BAY STREET,(718) 981-4001,SI22,GCC,STATEN ISLAND,"THE LEARNING EXPERIENCE - SI, ST. GEORGE"
948 MCDONALD AVENUE,(347) 520-7108,BK88,GCC,BROOKLYN,LITTLE ROSES DC LLC
5119 4 AVENUE,(646) 586-5816,BK32,GCC,BROOKLYN,"GRAND STREET SETTLEMENT, INC."
409 EAST 60TH STREET,(212) 750-4534,MN31,GCC,MANHATTAN,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC"
167-07 35 AVENUE,(718) 539-0732,QN51,GCC,QUEENS,THE CHURCH ON THE HILL - REFORMED
2813 FARRAGUT ROAD,(718) 434-2337,BK42,GCC,BROOKLYN,BUMBLEBEES-R-US DAY CARE CENTER
2209 AVENUE R,(646) 467-3342,BK44,SBCC,BROOKLYN,ALAPHIM
570 CROWN STREET,(347) 996-1090,BK63,GCC,BROOKLYN,"UNITED LUBAVITCHER YESHIVOTH, INC."
260 WEST 153RD STREET,(212) 427-3000,MN03,GCC,MANHATTAN,Community Life Center Inc.
1649 EAST   13 STREET,(718) 332-0399,BK25,SBCC,BROOKLYN,BET YAAKOV MEKOR HAIM
252 EAST   57 STREET,(646) 284-0514,MN19,GCC,MANHATTAN,SUPER STARS TENNIS
