bin,work_reported,community_council,nta,street_name,block,date,borough
4168661.0,Power washed building and replaced roof,19.0,Douglas Manor-Douglaston-Little Neck,Prospect Avenue,8094.0,2014-07-28T00:00:00.000,Queens
3031568.0,painting base of building without permits,36.0,Crown Heights North,Sterling Place,1241.0,2014-07-01T00:00:00.000,Brooklyn
1019083.0,replacement of top floor windows,4.0,Murray Hill-Kips Bay,East 37th Street,893.0,2014-09-10T00:00:00.000,Manhattan
3189607.0,"Homeless people living inside, selling scraps, removal of window frames",47.0,Seagate-Coney Island,Surf Avenue,7064.0,2014-07-29T00:00:00.000,Brooklyn
3058887.0,"Stoop work, façade work",35.0,Fort Greene,Dekalb Avenue,2100.0,2014-08-05T00:00:00.000,Brooklyn
3025827.0,Replacement of windows without permits,39.0,Park Slope-Gowanus,Prospect Park West,1089.0,2014-07-09T00:00:00.000,Brooklyn
1002072.0,installation of platform at sidewalk café,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Greenwich Street,181.0,2014-07-07T00:00:00.000,Manhattan
1007280.0,Installation illumination at periphery of window,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Broome Street,485.0,2014-07-03T00:00:00.000,Manhattan
3019314.0,work being done; working on building façade,39.0,Park Slope-Gowanus,St. Johns Place,945.0,2014-07-01T00:00:00.000,Brooklyn
2007649.0,Building cemented shut,14.0,Mount Hope,Morris Avenue,2807.0,2014-08-27T00:00:00.000,bronx
1031099.0,Installation of Subway signage at the pay phone,6.0,Upper West Side,West End Avenue,1186.0,2014-08-15T00:00:00.000,Manhattan
1001199.0,"Wire exposed, lights hanging",1.0,Battery Park City-Lower Manhattan,John Street,78.0,2014-09-05T00:00:00.000,Manhattan
1010582.0,Covered signband with plastic material without permits; added light fixtures,3.0,West Village,6th Avenue,607.0,2014-08-21T00:00:00.000,Manhattan
2093461.0,Possible FTM; antennas,15.0,Bronxdale,Bronx Park East,4506.0,2014-08-15T00:00:00.000,bronx
1011648.0,"Painting sf, awning, security camera, goosenecks, sf?",3.0,West Village,Hudson Street,626.0,2014-07-23T00:00:00.000,Manhattan
1002808.0,Installation of a thruwall heater,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Laight Street,215.0,2014-08-21T00:00:00.000,Manhattan
3329457.0,"Dust from construction site, work outside of scope of permits",33.0,Brooklyn Heights-Cobble Hill,Montague Street,243.0,2014-08-27T00:00:00.000,Brooklyn
3065105.0,New awning and signage,33.0,Greenpoint,Manhattan Avenue,2573.0,2014-08-18T00:00:00.000,Brooklyn
3030445.0,Replacement of Door,36.0,Crown Heights North,Bergen Street,1214.0,2014-07-15T00:00:00.000,Brooklyn
3058566.0,Removal of addition without permits,35.0,Fort Greene,Clermont avenue,2092.0,2014-08-13T00:00:00.000,Brooklyn
3030444.0,painting façade,36.0,Crown Heights North,Bergen Street,1214.0,2014-07-15T00:00:00.000,Brooklyn
3003557.0,Reconstructing rear and side walls,39.0,Carroll Gardens-Columbia Street-Red Hook,Kane Street,312.0,2014-07-30T00:00:00.000,Brooklyn
1008801.0,Signage and lights,2.0,West Village,Lafayette Street,545.0,2014-07-15T00:00:00.000,Manhattan
1001884.0,high voltage lines dangling,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Leonard Street,174.0,2014-09-19T00:00:00.000,Manhattan
4224800.0,new building. Construction unsafe,23.0,Queens Village,209 Street,10550.0,2014-07-10T00:00:00.000,Queens
4431235.0,Installed brass numbers at the door,25.0,Jackson Heights,80th Street,1267.0,2014-07-16T00:00:00.000,Queens
4035578.0,ac unit installed at rear façade-2nd floor,25.0,Jackson Heights,84th Street,1445.0,2014-09-15T00:00:00.000,Queens
3115367.0,Ongoing stoop work,40.0,Prospect Lefferts Gardens-Wingate,Rutland Road,5038.0,2014-07-13T00:00:00.000,Brooklyn
1006205.0,ongoing interior work,2.0,East Village,2nd Avenue,446.0,2014-07-24T00:00:00.000,Manhattan
1010860.0,Installation of fence at sidewalk café without permits,3.0,West Village,West 4th Street,612.0,2014-08-12T00:00:00.000,Manhattan
3076606.0,- SITE CONDITIONS ENDANGERING WORKERS CONSTRUCTION IN PROGRESS,34.0,Bushwick South,Woodbine Street,3350.0,2014-08-09T00:00:00.000,Brooklyn
2000697.0,Renovating building,8.0,Mott Haven-Port Morris,Alexander Avenue,2314.0,2014-07-29T00:00:00.000,bronx
1012214.0,Installation of awnings at roof without permits,3.0,West Village,9th avenue,645.0,2014-08-07T00:00:00.000,Manhattan
1009575.0,Installation of non-clear glass in entry door,3.0,West Village,West 12th Street,575.0,2014-08-23T00:00:00.000,Manhattan
1031224.0,Visible rooftop addition,6.0,Upper West Side,West 83rd Street,1197.0,2014-08-19T00:00:00.000,Manhattan
1077827.0,"neon in windows, signs on railings, flags",3.0,West Village,7th avenue south,612.0,2014-09-15T00:00:00.000,Manhattan
3059074.0,painting stoop pink,35.0,Fort Greene,Adelphi Street,2104.0,2014-08-23T00:00:00.000,Brooklyn
4029917.0,Removed porch roof? Patching brickwork,25.0,Jackson Heights,79th Street,1289.0,2014-07-11T00:00:00.000,Queens
1016078.0,Alteration to façade,2.0,Hudson Yards-Chelsea-Flatiron-Union Square,East 16th Street,843.0,2014-07-08T00:00:00.000,Manhattan
3046079.0,"Stuccoing over bay, windows in noncompliance, cornice in noncompliance",36.0,Stuyvesant Heights,Hancock Street,1660.0,2014-07-07T00:00:00.000,Brooklyn
1046787.0,"Installed HVAC at rear wall, broke through wall",4.0,Upper East Side-Carnegie Hill,84th Street,1495.0,2014-09-09T00:00:00.000,Manhattan
3030182.0,Stoop work without permits,36.0,Crown Heights North,Dean Street,1209.0,2014-07-30T00:00:00.000,Brooklyn
2007932.0,FTM,14.0,Mount Hope,Morris Avenue,2829.0,2014-09-05T00:00:00.000,bronx
1032272.0,Installation of signage,6.0,Upper West Side,West 87th Street,1218.0,2014-07-21T00:00:00.000,Manhattan
1009848.0,Installation of HVAC equipment without permits--visible from Barrow Street,3.0,West Village,Commerce Street,584.0,2014-07-08T00:00:00.000,Manhattan
3002580.0,painted rear extension in past 3 years,33.0,Brooklyn Heights-Cobble Hill,Clinton Street,267.0,2014-08-26T00:00:00.000,Brooklyn
4168662.0,Replacement of roof,19.0,Douglas Manor-Douglaston-Little Neck,Cherry Street,8094.0,2014-07-31T00:00:00.000,Queens
1010881.0,Stoop in noncompliance--too wide,3.0,West Village,Charles Street,612.0,2014-09-02T00:00:00.000,Manhattan
1009599.0,Installation of planter boxes without permits,3.0,West Village,West 11th Street,575.0,2014-08-13T00:00:00.000,Manhattan
1010059.0,Installation of signage without permits-starbucks,3.0,West Village,Bleecker Street,589.0,2014-07-30T00:00:00.000,Manhattan
2000712.0,Renovating basement; interior alts,8.0,Mott Haven-Port Morris,Alexander Avenue,2314.0,2014-07-29T00:00:00.000,bronx
1002009.0,Possible FTM?,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Leonard Street,179.0,2014-08-05T00:00:00.000,Manhattan
1011217.0,Ongoing roof work,3.0,West Village,West 10th street,620.0,2014-09-18T00:00:00.000,Manhattan
1001891.0,Installation of satellite dishes,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Church Street,174.0,2014-08-25T00:00:00.000,Manhattan
1002318.0,installation of stretch banners,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Broadway,195.0,2014-07-25T00:00:00.000,Manhattan
4029959.0,"new brick areaway wall, steps, and new bay window",25.0,Jackson Heights,78th Street,1289.0,2014-09-08T00:00:00.000,Queens
1010005.0,Stoop gate,3.0,West Village,Bedford Street,588.0,2014-09-10T00:00:00.000,Manhattan
1009563.0,Installing railings on planters,3.0,West Village,West 12th Street,575.0,2014-09-19T00:00:00.000,Manhattan
1009405.0,Installation of signage in noncompliance; installation of sf in noncompliance,3.0,West Village,6th Avenue,572.0,2014-08-05T00:00:00.000,Manhattan
1007554.0,alts to sf and installation of signage,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Spring Street,496.0,2014-09-04T00:00:00.000,Manhattan
4035455.0,Ongoing alts to door surround,25.0,Jackson Heights,82nd Street,1443.0,2014-08-08T00:00:00.000,Queens
3146819.0,"Repointing, scaffolding",43.0,Dyker Heights,Fort Hamilton Parkway,5897.0,2014-07-17T00:00:00.000,Brooklyn
3059143.0,Replacement of windows; shortening windows,35.0,Clinton Hill,Vanderbilt Avenue,2105.0,2014-08-03T00:00:00.000,Brooklyn
3030313.0,Painting front walls,36.0,Crown Heights North,Dean Street,1212.0,2014-07-01T00:00:00.000,Brooklyn
1033802.0,Building fire; no permits,6.0,Upper West Side,West End Avenue,1245.0,2014-07-24T00:00:00.000,Manhattan
1083503.0,ongoing façade work without permits,3.0,West Village,Bleecker Street,525.0,2014-08-21T00:00:00.000,Manhattan
1031225.0,façade work,6.0,Upper West Side,West 83rd Street,1197.0,2014-08-01T00:00:00.000,Manhattan
1083193.0,Installation stretch banner without permits,3.0,West Village,West 13th Street,608.0,2014-07-30T00:00:00.000,Manhattan
1030988.0,Installation of security camera and conduit,6.0,Lincoln Square,West End Avenue,1184.0,2014-09-10T00:00:00.000,Manhattan
1008202.0,Installation of light and signage,1.0,West Village,Bowery,521.0,2014-07-23T00:00:00.000,Manhattan
1010067.0,Removal of canopy,3.0,West Village,Bleecker Street,589.0,2014-08-26T00:00:00.000,Manhattan
1034200.0,Never installed curtains and the railing is incorrect,4.0,Midtown-Midtown South,5th Avenue,1258.0,2014-08-15T00:00:00.000,Manhattan
3056683.0,garbage enclosure,35.0,Clinton Hill,St. James Place,1980.0,2014-08-08T00:00:00.000,Brooklyn
1008801.0,Installation of netting in noncompliance-drilling into stone,2.0,West Village,Lafayette Street,545.0,2014-09-18T00:00:00.000,Manhattan
1009622.0,Power washing building,3.0,West Village,West 12th Street,576.0,2014-08-13T00:00:00.000,Manhattan
5000145.0,Removal of porch; installation of fence,49.0,West New Brighton-New Brighton-St. George,St. Marks Place,15.0,2014-09-05T00:00:00.000,Staten Island
1061443.0,Work done at front steps without permits,9.0,Hamilton Heights,West 147th Street,2062.0,2014-09-10T00:00:00.000,Manhattan
4035571.0,New white windows at rear façade (visible form 85th Street); removal of door from dormers/vinyl,25.0,Jackson Heights,84th Street,1445.0,2014-09-15T00:00:00.000,Queens
3422232.0,Major jackhammering,39.0,Park Slope-Gowanus,3rd Street,1080.0,2014-08-01T00:00:00.000,Brooklyn
1083082.0,"Illegal ad being painted on the corner of Jersey Street, next to bess store",1.0,SoHo-TriBeCa-Civic Center-Little Italy,Lafayette Street,510.0,2014-09-05T00:00:00.000,Manhattan
3332518.0,roof ornament is about to fall,33.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Fulton Street,157.0,2014-09-11T00:00:00.000,Brooklyn
1033224.0,Double doors at entrance have been taken down,6.0,Upper West Side,West End Avenue,1235.0,2014-07-29T00:00:00.000,Manhattan
3047505.0,Carriage house being redone,36.0,Crown Heights North,Decatur Street,1681.0,2014-09-17T00:00:00.000,Brooklyn
2001159.0,SITE CONDITIONS ENDANGERING WORKERS CONSTRUCTION IN PROGRESS,17.0,,3RD AVENUE,2362.0,2014-08-09T00:00:00.000,BRONX
3056124.0,ongoing work at building base,35.0,Clinton Hill,St. James Place,1964.0,2014-09-18T00:00:00.000,Brooklyn
1007540.0,Illegal painted sign,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Lafayette Street,496.0,2014-09-05T00:00:00.000,Manhattan
1005786.0,Installation of rear balconies,2.0,East Village,East 7th Street,434.0,2014-08-13T00:00:00.000,Manhattan
2000711.0,ongoing work,8.0,Mott Haven-Port Morris,Alexander Avenue,2314.0,2014-09-05T00:00:00.000,bronx
3032711.0,Alts to areaway wall and base of building,35.0,Crown Heights North,Eastern Parkway,1262.0,2014-07-08T00:00:00.000,Brooklyn
1011129.0,Resurfacing brownstone lintels without permits,3.0,West Village,West 13th Street,618.0,2014-08-14T00:00:00.000,Manhattan
1007929.0,"changing windows, adding louvers, new machinery",1.0,SoHo-TriBeCa-Civic Center-Little Italy,Lafayette Street,510.0,2014-08-08T00:00:00.000,Manhattan
1088996.0,Installation of bar on patio,3.0,Hudson Yards-Chelsea-Flatiron-Union Square,10th Avenue,718.0,2014-07-01T00:00:00.000,Manhattan
1060997.0,"Stairs in disrepair, glass block in 1st floor window",7.0,Hamilton Heights,Hamilton Terrace,2050.0,2014-07-15T00:00:00.000,Manhattan
4029955.0,installation of areaway wall,25.0,Jackson Heights,78th Street,1289.0,2014-09-08T00:00:00.000,Queens
1031235.0,"Demolishing stoop, installing new stoop",6.0,Upper West Side,Noble Street,1197.0,2014-09-09T00:00:00.000,Brooklyn
3114866.0,Metal post being cemented in front and side yard,40.0,Prospect Lefferts Gardens-Wingate,Bedford Avenue,5031.0,2014-07-23T00:00:00.000,Brooklyn
1083087.0,Installation of windows in noncompliance,3.0,West Village,Hudson street,625.0,2014-08-26T00:00:00.000,Manhattan
4029917.0,added fence on areaway wall,25.0,Jackson Heights,79th Street,1289.0,2014-09-06T00:00:00.000,Queens
1009516.0,Replacement of sidewalk in noncompliance-no scoring,3.0,West Village,West 11th Street,574.0,2014-07-30T00:00:00.000,Manhattan
1088996.0,Installation of bar without permits,3.0,Hudson Yards-Chelsea-Flatiron-Union Square,10th Avenue,718.0,2014-07-28T00:00:00.000,Manhattan
4168351.0,Installation of security cameras on trees and building,19.0,Douglas Manor-Douglaston-Little Neck,Hollywood Avenue,8049.0,2014-07-14T00:00:00.000,Queens
