work_reported,address,landmark_name
Removal of addition without permits,219,Fort Greene - Historic District
painting façade,1203,Crown Heights North - Historic District
Reconstructing rear and side walls,219,Cobble Hill - Historic District
Signage and lights,434,434 Lafayette Street Building - Individual Landmark;  NoHo - Historic District
high voltage lines dangling,87,Tribeca East - Historic District
new building. Construction unsafe,93-31,
Installed brass numbers at the door,34-37,Jackson Heights - Historic District
ac unit installed at rear façade-2nd floor,34-17,Jackson Heights - Historic District
Ongoing stoop work,126,Prospect Lefferts Gardens - Historic District
ongoing interior work,86,East Village/Lower East Side - Historic District
Installation of fence at sidewalk café without permits,259,Greenwich Village - Historic District
- SITE CONDITIONS ENDANGERING WORKERS CONSTRUCTION IN PROGRESS,121,
Renovating building,265,Mott Haven - Historic District
Installation of awnings at roof without permits,21,Gansevoort Market - Historic District
Installation of non-clear glass in entry door,30,Greenwich Village - Historic District
Visible rooftop addition,51,Upper West Side/Central Park West - Historic District
"neon in windows, signs on railings, flags",150,Greenwich Village - Historic District
painting stoop pink,279,Fort Greene - Historic District
Removed porch roof? Patching brickwork,37-16,Jackson Heights - Historic District
Alteration to façade,10-12,Ladies' Mile - Historic District
"Stuccoing over bay, windows in noncompliance, cornice in noncompliance",568,Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District
"Installed HVAC at rear wall, broke through wall",34-17,
Stoop work without permits,1351,Crown Heights North - Historic District
FTM,1991,Morris Avenue - Historic District
Installation of signage,129,Upper West Side/Central Park West - Historic District
Installation of HVAC equipment without permits--visible from Barrow Street,41,Greenwich Village - Historic District
painted rear extension in past 3 years,148,Brooklyn Heights - Historic District
Replacement of roof,27,Douglaston - Historic District
Stoop in noncompliance--too wide,41,Greenwich Village - Historic District
Installation of planter boxes without permits,55,Greenwich Village - Historic District
Installation of signage without permits-starbucks,239,Greenwich Village  Extension II - Historic District
Renovating basement; interior alts,297,Mott Haven - Historic District
Possible FTM?,17,Tribeca West - Historic District
Ongoing roof work,191,Greenwich Village - Historic District
Installation of satellite dishes,251,Tribeca East - Historic District
installation of stretch banners,384,Tribeca East - Historic District
"new brick areaway wall, steps, and new bay window",37-29,Jackson Heights - Historic District
Stoop gate,88,Greenwich Village - Historic District
Installing railings on planters,86,Greenwich Village - Historic District
Installation of signage in noncompliance; installation of sf in noncompliance,404,Greenwich Village - Historic District
alts to sf and installation of signage,63,SoHo-Cast Iron  Extension - Historic District
Ongoing alts to door surround,34-57,Jackson Heights - Historic District
"Repointing, scaffolding",7023,
Replacement of windows; shortening windows,274,Fort Greene - Historic District
Painting front walls,1156,Crown Heights North - Historic District
Building fire; no permits,471,Riverside-West End  Extension I - Historic District
ongoing façade work without permits,160,South Village - Historic District
façade work,49,Upper West Side/Central Park West - Historic District
Installation stretch banner without permits,146,Greenwich Village - Historic District
Installation of security camera and conduit,277,West End-Collegiate  Extension - Historic District
Installation of light and signage,308,NoHo East - Historic District
Removal of canopy,255,Greenwich Village  Extension II - Historic District
Never installed curtains and the railing is incorrect,510,"(Former) Manufactures Trust Company Building - Individual Landmark;  Manufacturers Trust Company Building, First and Second Floor Interiors - Interior Landmark"
garbage enclosure,219,Clinton Hill - Historic District
Installation of netting in noncompliance-drilling into stone,434,434 Lafayette Street Building - Individual Landmark;  NoHo - Historic District
Power washing building,15,Greenwich Village - Historic District
Removal of porch; installation of fence,89,St. George/New Brighton - Historic District
Work done at front steps without permits,425,Hamilton Heights/Sugar Hill - Historic District
New white windows at rear façade (visible form 85th Street); removal of door from dormers/vinyl,34-37,Jackson Heights - Historic District
Major jackhammering,558,
"Illegal ad being painted on the corner of Jersey Street, next to bess store",292,SoHo-Cast Iron  Extension - Historic District
roof ornament is about to fall,450,A.I. Namm & Son Department Store - Individual Landmark
Double doors at entrance have been taken down,574,Riverside-West End - Historic District
Carriage house being redone,346A,Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District
SITE CONDITIONS ENDANGERING WORKERS CONSTRUCTION IN PROGRESS,2882,
ongoing work at building base,115,Clinton Hill - Historic District
Illegal painted sign,252,SoHo-Cast Iron  Extension - Historic District
Installation of rear balconies,118,East Village/Lower East Side - Historic District
ongoing work,299,Mott Haven - Historic District
Alts to areaway wall and base of building,555,Crown Heights North  II - Historic District
Resurfacing brownstone lintels without permits,247,Greenwich Village - Historic District
"changing windows, adding louvers, new machinery",270,SoHo-Cast Iron  Extension - Historic District
Installation of bar on patio,180,Chelsea - Historic District
"Stairs in disrepair, glass block in 1st floor window",47,Hamilton Heights - Historic District
installation of areaway wall,37-37,Jackson Heights - Historic District
"Demolishing stoop, installing new stoop",116,
Metal post being cemented in front and side yard,1860,Prospect Lefferts Gardens - Historic District
Installation of windows in noncompliance,619,Greenwich Village - Historic District
added fence on areaway wall,37-16,Jackson Heights - Historic District
Replacement of sidewalk in noncompliance-no scoring,56,Greenwich Village - Historic District
Installation of bar without permits,180,Chelsea - Historic District
Installation of security cameras on trees and building,356,Douglaston - Historic District
