ell_urdu,ell_russian_1,ela_level_2_1,math_level_2_1,ela_level_4_1,ell_french,grade_5,ela_l3_l4,grade_7,white_1,dbn,ela_test_takers
No Data,No Data,s,s,s,No Data,No Data,s,s,s,01M378,s
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M256,s
No Data,No Data,s,s,73.1%,No Data,34,101,No Data,42.5%,03M334,104
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M256,12
No Data,No Data,33.3%,17.3%,17.3%,No Data,21,37,No Data,s,01M020,75
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M256,10
No Data,No Data,22.0%,29.3%,s,No Data,7,s,No Data,19.6%,03M084,41
No Data,No Data,s,s,73.3%,No Data,53,161,No Data,45.3%,03M334,165
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,01M188,8
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M191,11
No Data,No Data,22.7%,13.6%,27.1%,No Data,37,161,56,1.9%,01M184,247
s,s,No Data,No Data,No Data,s,No Data,No Data,No Data,s,02M130,No Data
No Data,No Data,s,s,74.2%,No Data,61,183,No Data,18.9%,04M012,190
No Data,No Data,s,s,s,No Data,s,s,No Data,s,03M084,6
No Data,No Data,s,s,70.0%,No Data,s,s,No Data,s,02M198,10
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M163,s
No Data,No Data,29.9%,27.8%,9.3%,No Data,26,37,9,7.0%,03M165,97
No Data,No Data,s,s,58.6%,No Data,16,58,No Data,67.0%,02M217,58
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,02M001,s
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,02M077,No Data
No Data,No Data,s,s,s,No Data,s,s,No Data,35.0%,03M163,8
No Data,No Data,34.1%,27.9%,s,No Data,15,s,No Data,s,03M075,44
No Data,No Data,s,s,63.6%,No Data,s,22,No Data,73.5%,02M077,22
s,s,29.7%,s,s,s,s,s,7,s,03M165,37
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M256,s
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,02M267,No Data
No Data,No Data,s,s,s,No Data,s,s,No Data,s,02M033,s
No Data,No Data,32.3%,22.6%,s,No Data,No Data,s,No Data,17.8%,03M180,31
s,s,No Data,No Data,No Data,s,No Data,No Data,No Data,s,02M033,No Data
s,s,44.2%,37.5%,s,s,16,s,No Data,s,06M008,43
s,s,s,s,s,s,No Data,s,No Data,s,01M188,6
No Data,No Data,s,No Data,s,No Data,No Data,s,s,s,01M301,s
s,s,36.5%,23.1%,s,s,No Data,s,No Data,s,06M103,52
No Data,No Data,s,s,s,No Data,s,s,No Data,s,02M033,s
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M084,9
No Data,No Data,s,s,s,No Data,s,s,No Data,66.7%,03M166,s
No Data,No Data,29.8%,25.2%,8.4%,No Data,40,65,No Data,17.3%,03M075,131
No Data,No Data,11.1%,16.7%,45.8%,No Data,37,121,No Data,52.7%,03M084,144
No Data,No Data,s,s,35.3%,No Data,7,14,No Data,33.3%,03M165,17
No Data,No Data,s,s,s,No Data,s,s,No Data,s,02M077,s
s,s,No Data,No Data,No Data,s,No Data,No Data,No Data,s,02M111,No Data
s,s,s,s,s,s,s,s,No Data,s,05M200,11
No Data,No Data,s,s,s,No Data,7,s,No Data,s,03M163,13
No Data,No Data,38.5%,46.2%,s,No Data,No Data,s,No Data,s,01M188,26
s,s,No Data,No Data,No Data,s,No Data,No Data,No Data,s,02M011,No Data
No Data,No Data,30.0%,s,s,No Data,6,s,s,s,03M165,40
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M087,s
No Data,No Data,s,s,s,No Data,s,s,No Data,s,03M165,s
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,02M267,No Data
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,02M130,s
s,s,50.0%,30.0%,s,s,s,s,No Data,s,01M020,20
No Data,No Data,s,s,75.0%,No Data,7,s,No Data,s,02M077,12
No Data,No Data,s,s,s,No Data,s,s,No Data,61.5%,02M011,s
No Data,No Data,s,s,72.6%,No Data,27,70,No Data,5.0%,04M012,73
No Data,No Data,28.6%,33.3%,s,No Data,s,s,s,s,03M165,21
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,02M111,s
No Data,No Data,s,s,s,No Data,No Data,s,s,s,01M378,s
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,02M001,12
s,s,46.3%,40.5%,s,s,s,s,No Data,s,15K001,41
No Data,No Data,s,s,73.9%,No Data,57,184,No Data,50.6%,02M077,184
No Data,No Data,18.7%,12.9%,31.2%,No Data,53,248,83,7.4%,01M184,353
s,s,No Data,No Data,No Data,s,No Data,No Data,No Data,s,02M267,No Data
No Data,No Data,s,s,54.3%,No Data,s,34,No Data,25.3%,02M111,35
No Data,No Data,s,s,50.0%,No Data,23,81,No Data,57.6%,03M163,84
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,02M217,s
No Data,No Data,s,s,81.1%,No Data,31,120,No Data,7.1%,02M130,122
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,01M015,s
No Data,No Data,77.8%,s,s,No Data,s,s,No Data,s,03M145,9
No Data,No Data,s,s,s,No Data,s,s,No Data,s,03M163,s
No Data,No Data,s,s,s,No Data,No Data,s,11,s,01M378,9
No Data,No Data,s,s,s,No Data,s,s,No Data,s,03M145,10
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,01M015,10
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,01M015,7
No Data,No Data,s,s,75.8%,No Data,54,155,No Data,38.5%,02M033,157
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,02M124,s
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,04M057,s
s,54.5%,No Data,No Data,No Data,s,No Data,No Data,No Data,54.5%,01M539,No Data
No Data,No Data,s,s,s,No Data,s,s,No Data,s,03M075,11
No Data,No Data,s,s,s,No Data,s,s,No Data,30.0%,03M166,8
No Data,No Data,s,s,36.4%,No Data,25,40,No Data,17.3%,01M110,44
No Data,No Data,30.2%,s,s,No Data,17,s,No Data,21.9%,03M163,53
No Data,No Data,s,No Data,s,No Data,No Data,s,s,s,01M301,s
s,s,39.6%,21.2%,s,s,s,s,8,s,01M184,48
No Data,No Data,s,s,74.6%,No Data,57,169,No Data,19.9%,04M012,173
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M256,10
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,02M130,No Data
No Data,No Data,s,s,87.0%,No Data,s,s,No Data,s,02M130,23
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M163,s
s,s,s,s,s,s,9,s,No Data,s,12X092,23
No Data,No Data,s,s,35.7%,No Data,11,25,No Data,35.1%,02M011,28
No Data,No Data,34.8%,26.1%,s,No Data,No Data,s,s,s,02M131,23
s,s,No Data,No Data,No Data,s,No Data,No Data,No Data,s,02M217,No Data
s,s,s,s,s,s,7,s,No Data,s,03M145,16
No Data,No Data,s,s,s,No Data,8,s,No Data,64.7%,02M011,13
No Data,No Data,34.0%,25.5%,s,No Data,No Data,s,19,s,02M131,47
No Data,No Data,s,s,s,No Data,s,s,No Data,s,03M163,12
No Data,No Data,46.2%,s,s,No Data,No Data,s,6,s,03M247,13
s,s,s,s,s,s,No Data,s,6,s,01M378,s
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M180,s
No Data,No Data,32.9%,28.0%,8.5%,No Data,21,28,6,s,03M165,82
No Data,No Data,s,s,s,No Data,No Data,s,s,s,02M131,7
No Data,No Data,s,s,40.0%,No Data,11,46,No Data,49.0%,03M087,55
No Data,No Data,s,s,72.4%,No Data,8,28,No Data,s,02M124,29
No Data,No Data,s,s,s,No Data,s,s,s,s,03M165,9
No Data,No Data,s,No Data,s,No Data,No Data,s,s,s,01M301,s
No Data,No Data,35.3%,37.5%,s,No Data,No Data,s,No Data,s,04M057,17
No Data,No Data,s,s,49.5%,No Data,45,91,No Data,40.5%,01M110,99
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M191,21
No Data,No Data,s,s,s,No Data,s,s,No Data,s,02M198,6
No Data,No Data,s,s,s,No Data,s,s,No Data,58.8%,02M198,9
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,02M267,No Data
s,s,s,s,s,s,s,s,No Data,s,26Q173,9
No Data,No Data,42.2%,26.1%,s,No Data,17,s,No Data,s,03M145,45
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M180,s
No Data,No Data,31.0%,s,s,No Data,s,s,No Data,s,01M020,29
No Data,No Data,s,s,s,No Data,No Data,s,13,s,01M378,11
No Data,No Data,40.0%,35.0%,s,No Data,No Data,s,No Data,s,03M180,20
s,s,No Data,No Data,No Data,s,No Data,No Data,No Data,s,01M110,No Data
No Data,No Data,46.2%,s,s,No Data,No Data,s,No Data,s,01M188,13
No Data,No Data,s,s,41.2%,No Data,s,16,No Data,s,02M111,17
No Data,No Data,s,s,57.1%,No Data,9,19,No Data,s,03M334,21
No Data,No Data,s,s,s,No Data,s,s,No Data,s,02M124,s
s,s,No Data,No Data,No Data,s,No Data,No Data,No Data,s,02M001,No Data
No Data,No Data,s,s,84.6%,No Data,9,s,No Data,s,02M130,26
s,s,No Data,No Data,No Data,s,No Data,No Data,No Data,s,03M165,No Data
No Data,No Data,s,s,54.5%,No Data,s,s,No Data,55.6%,03M334,11
No Data,No Data,s,s,28.6%,No Data,6,23,8,s,01M184,35
s,s,48.0%,28.0%,s,s,15,s,No Data,s,10X046,50
No Data,No Data,s,s,s,No Data,7,s,No Data,s,01M110,9
No Data,No Data,s,s,75.3%,No Data,19,72,No Data,52.0%,02M198,73
No Data,No Data,s,s,s,No Data,s,s,No Data,s,03M166,6
No Data,No Data,s,s,75.0%,No Data,7,s,No Data,30.3%,02M033,16
No Data,No Data,34.9%,26.5%,7.2%,No Data,27,32,No Data,4.3%,03M075,83
No Data,No Data,s,s,51.7%,No Data,16,27,No Data,41.3%,01M110,29
s,s,s,s,s,s,No Data,s,No Data,s,03M256,s
No Data,No Data,s,s,59.6%,No Data,26,104,No Data,58.7%,02M217,104
s,s,33.3%,31.7%,s,s,No Data,s,11,s,03M247,39
No Data,No Data,s,s,35.3%,No Data,11,37,No Data,45.8%,03M084,51
s,s,No Data,No Data,No Data,s,No Data,No Data,No Data,s,01M015,No Data
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,02M001,12
No Data,No Data,s,s,s,No Data,s,s,No Data,s,03M145,6
No Data,No Data,36.2%,29.1%,12.1%,No Data,No Data,49,42,s,03M247,116
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M087,s
s,s,No Data,No Data,No Data,s,No Data,No Data,No Data,s,03M334,No Data
s,s,s,s,s,s,No Data,s,No Data,s,03M180,s
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,02M033,s
No Data,No Data,50.0%,28.0%,s,No Data,No Data,s,7,s,03M247,24
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,03M166,No Data
s,s,s,s,s,6,s,s,No Data,66.7%,03M084,s
No Data,No Data,s,s,75.2%,No Data,106,310,No Data,40.5%,01M539,323
No Data,No Data,s,s,74.4%,No Data,30,87,No Data,s,02M124,90
s,s,s,s,s,s,s,s,No Data,s,03M087,s
No Data,No Data,s,s,75.4%,No Data,112,332,No Data,40.6%,01M539,345
No Data,No Data,34.0%,22.6%,13.2%,No Data,No Data,27,21,s,02M131,53
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M191,s
s,s,s,s,s,s,No Data,s,No Data,s,04M057,12
No Data,No Data,s,s,30.0%,No Data,No Data,16,No Data,s,01M015,20
