ell_french_1,ell_arabic_1,ela_l3_l4_1,math_level_2,ell_other_1,math_level_3,female,black_1,ell_urdu_1,ela_level_4,white,math_level_1_1,grade_1,hispanic_1,grade_k,ell_chinese_1,ell_chinese
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,No Data
No Data,No Data,s,s,No Data,s,12,s,No Data,16,s,s,7,s,No Data,No Data,No Data
No Data,No Data,92.9%,s,No Data,s,15,s,No Data,7,s,s,s,46.4%,s,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
s,s,s,s,s,s,32,s,s,s,s,56.3%,s,97.1%,12,s,s
No Data,No Data,s,s,No Data,12,29,s,No Data,s,s,s,11,82.1%,7,No Data,No Data
No Data,No Data,s,13,No Data,s,20,27.9%,No Data,s,s,27.6%,s,65.1%,No Data,No Data,No Data
No Data,No Data,69.2%,10,No Data,20,68,s,No Data,37,s,6.5%,13,s,13,No Data,No Data
No Data,No Data,s,6,No Data,s,39,s,No Data,s,s,43.8%,18,94.4%,17,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,88.9%,s,No Data,No Data
s,s,s,6,s,s,s,s,s,s,s,s,No Data,s,No Data,100.0%,11
No Data,No Data,s,18,No Data,18,61,9.0%,No Data,s,12,29.2%,19,80.3%,17,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,97.1%,s,No Data,7,97,3.0%,No Data,76,85,s,40,9.0%,25,No Data,No Data
No Data,No Data,s,s,No Data,s,s,58.3%,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,49.3%,13,No Data,22,60,s,No Data,13,s,16.0%,No Data,24.3%,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,70.0%,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,12,No Data,14,24,11.8%,No Data,s,10,s,No Data,64.7%,No Data,No Data,No Data
No Data,No Data,97.6%,s,No Data,11,160,2.7%,No Data,121,151,s,58,8.4%,50,No Data,No Data
No Data,No Data,s,s,No Data,s,10,37.5%,No Data,s,s,s,s,56.3%,No Data,No Data,No Data
No Data,No Data,s,s,No Data,8,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,65.2%,34,No Data,63,181,4.0%,No Data,67,7,8.8%,50,13.1%,40,No Data,No Data
s,s,No Data,No Data,s,No Data,s,s,s,No Data,s,No Data,s,s,No Data,s,s
No Data,No Data,96.3%,s,No Data,26,170,17.3%,No Data,141,69,s,62,13.7%,47,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,9,s,No Data,7,s,s,s,s,s,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,s,s,No Data,No Data
No Data,No Data,38.1%,27,No Data,23,75,s,No Data,9,10,32.0%,18,91.5%,No Data,No Data,No Data
No Data,No Data,100.0%,s,No Data,12,54,s,No Data,34,75,s,17,8.9%,20,No Data,No Data
No Data,No Data,s,s,No Data,s,9,s,No Data,s,s,s,7,s,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,s,No Data,No Data,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,10,30.0%,No Data,s,7,s,7,s,s,No Data,No Data
No Data,No Data,s,12,No Data,s,28,s,No Data,s,s,44.2%,14,89.3%,6,No Data,No Data
No Data,No Data,100.0%,s,No Data,7,10,s,No Data,14,25,s,s,s,s,No Data,No Data
s,s,s,s,s,8,22,s,s,s,s,59.5%,No Data,100.0%,No Data,s,s
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,s,No Data,No Data,s,s,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,s,s,No Data,No Data
No Data,No Data,s,7,No Data,7,21,22.2%,No Data,s,8,19.4%,s,51.1%,No Data,No Data,No Data
s,s,No Data,No Data,s,No Data,s,s,s,No Data,s,No Data,No Data,s,No Data,s,s
s,s,s,18,s,s,62,s,s,s,s,37.5%,16,100.0%,25,s,s
s,s,s,s,s,s,s,s,s,s,s,s,No Data,80.0%,No Data,s,s
No Data,No Data,s,No Data,No Data,No Data,s,s,No Data,s,s,No Data,No Data,s,No Data,No Data,No Data
s,s,s,12,s,s,57,s,s,s,s,65.4%,22,99.1%,14,s,s
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,60.0%,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,6,s,s,s,s,No Data,No Data
No Data,No Data,49.6%,33,No Data,36,138,8.3%,No Data,11,46,26.0%,46,71.1%,40,No Data,No Data
No Data,No Data,84.0%,24,No Data,47,87,s,No Data,66,89,4.9%,No Data,32.5%,No Data,No Data,No Data
No Data,No Data,82.4%,s,No Data,6,16,23.3%,No Data,6,10,s,s,36.7%,s,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
s,s,No Data,No Data,s,No Data,s,s,s,No Data,s,No Data,No Data,s,s,s,s
s,s,s,s,s,s,6,s,s,s,s,75.0%,s,100.0%,No Data,s,s
No Data,No Data,s,s,No Data,s,8,s,No Data,s,s,s,s,44.4%,s,No Data,No Data
No Data,No Data,s,12,No Data,s,17,28.9%,No Data,s,s,30.8%,s,63.2%,No Data,No Data,No Data
s,s,No Data,No Data,s,No Data,s,s,s,No Data,s,No Data,No Data,s,s,s,s
No Data,No Data,s,s,No Data,14,32,s,No Data,s,s,27.5%,s,96.5%,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,s,No Data,No Data,s,s,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,s,No Data,No Data,No Data
s,s,s,6,s,7,22,s,s,s,s,s,No Data,s,No Data,85.3%,29
No Data,No Data,s,s,No Data,s,14,s,No Data,9,s,s,s,s,s,No Data,No Data
No Data,No Data,s,s,No Data,s,7,s,No Data,s,8,s,s,s,s,No Data,No Data
No Data,No Data,95.9%,s,No Data,13,61,26.9%,No Data,53,6,s,16,21.0%,8,No Data,No Data
No Data,No Data,s,7,No Data,s,16,s,No Data,s,s,33.3%,6,96.9%,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,18,s,No Data,s,s,s,17,s,No Data,No Data,No Data
s,s,s,17,s,s,51,s,s,s,s,40.5%,s,98.9%,25,s,s
No Data,No Data,100.0%,s,No Data,20,174,s,No Data,136,181,s,60,s,50,No Data,No Data
No Data,No Data,70.3%,46,No Data,85,278,4.0%,No Data,110,41,7.8%,69,13.4%,68,No Data,No Data
s,s,No Data,No Data,s,No Data,s,s,s,No Data,s,No Data,No Data,s,s,s,s
No Data,No Data,97.1%,s,No Data,8,40,s,No Data,19,24,s,14,26.3%,19,No Data,No Data
No Data,No Data,96.4%,s,No Data,9,78,9.9%,No Data,42,87,s,24,14.6%,19,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,98.4%,s,No Data,s,104,s,No Data,99,15,s,32,s,25,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,61.5%,s,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,9,s,No Data,s,s,s,No Data,66.7%,s,No Data,No Data
No Data,No Data,s,s,No Data,s,20,29.0%,No Data,s,s,s,8,35.5%,s,No Data,No Data
No Data,No Data,s,s,No Data,s,10,35.3%,No Data,s,s,s,s,35.3%,s,No Data,No Data
No Data,No Data,98.7%,s,No Data,15,170,s,No Data,119,122,s,53,s,47,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,s,s,No Data,No Data
No Data,No Data,s,s,No Data,s,7,s,No Data,s,s,s,s,93.8%,s,No Data,No Data
s,s,No Data,No Data,s,No Data,s,s,s,No Data,6,No Data,s,s,s,s,s
No Data,No Data,s,s,No Data,s,12,s,No Data,s,s,s,s,90.5%,s,No Data,No Data
No Data,No Data,s,s,No Data,s,9,s,No Data,s,6,s,6,40.0%,s,No Data,No Data
No Data,No Data,90.9%,s,No Data,9,42,s,No Data,16,13,s,11,37.3%,s,No Data,No Data
No Data,No Data,s,s,No Data,21,50,8.6%,No Data,s,23,s,20,61.9%,19,No Data,No Data
No Data,No Data,s,No Data,No Data,No Data,s,s,No Data,s,s,No Data,No Data,s,No Data,No Data,No Data
s,s,s,11,s,19,37,s,s,s,s,13.5%,16,s,12,94.6%,88
No Data,No Data,97.7%,s,No Data,21,154,17.6%,No Data,129,67,s,56,13.4%,47,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,s,No Data,No Data,s,s,No Data,No Data
No Data,No Data,s,s,No Data,s,16,s,No Data,20,s,s,7,s,s,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,s,No Data,No Data,No Data
s,s,s,s,s,s,16,s,s,s,s,84.0%,No Data,100.0%,6,s,s
No Data,No Data,89.3%,s,No Data,9,19,s,No Data,10,13,s,s,s,s,No Data,No Data
No Data,No Data,s,6,No Data,s,10,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
s,s,No Data,No Data,s,No Data,s,s,s,No Data,s,No Data,No Data,s,s,s,s
s,s,s,s,s,s,11,s,s,s,s,76.5%,No Data,89.5%,s,s,s
No Data,No Data,s,s,No Data,s,8,s,No Data,s,11,s,s,s,s,No Data,No Data
No Data,No Data,s,12,No Data,s,22,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,10,s,No Data,s,s,s,s,85.7%,s,No Data,No Data
No Data,No Data,s,s,No Data,s,7,s,No Data,s,s,46.2%,No Data,84.6%,No Data,No Data,No Data
s,s,s,s,s,s,s,s,s,s,s,s,No Data,s,No Data,100.0%,6
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,34.1%,23,No Data,20,63,s,No Data,7,s,34.1%,15,98.3%,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,83.6%,s,No Data,13,54,s,No Data,22,50,s,21,42.2%,No Data,No Data,No Data
No Data,No Data,96.6%,s,No Data,s,25,s,No Data,21,s,s,10,s,s,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,77.8%,s,92.9%,No Data,No Data,No Data
No Data,No Data,s,No Data,No Data,No Data,s,s,No Data,s,s,No Data,No Data,s,No Data,No Data,No Data
No Data,No Data,s,6,No Data,s,38,s,No Data,s,s,43.8%,17,95.6%,15,No Data,No Data
No Data,No Data,91.9%,s,No Data,17,80,4.0%,No Data,49,70,s,25,24.9%,17,No Data,No Data
No Data,No Data,s,s,No Data,15,12,38.1%,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,6,s,No Data,s,10,s,s,s,s,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,s,No Data,No Data,s,s,No Data,No Data
s,s,s,s,s,s,11,s,s,s,s,s,8,s,No Data,100.0%,26
No Data,No Data,s,12,No Data,s,41,12.7%,No Data,s,s,47.8%,No Data,77.8%,s,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,7,27,s,No Data,s,s,s,No Data,25.6%,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,6,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,7,No Data,s,14,28.6%,No Data,s,s,30.0%,s,67.9%,No Data,No Data,No Data
s,s,No Data,No Data,s,No Data,s,s,s,No Data,s,No Data,No Data,s,No Data,s,s
No Data,No Data,s,s,No Data,s,10,30.4%,No Data,s,s,s,No Data,65.2%,No Data,No Data,No Data
No Data,No Data,94.1%,s,No Data,6,16,s,No Data,7,s,s,s,38.2%,s,No Data,No Data
No Data,No Data,90.5%,s,No Data,s,14,s,No Data,12,s,s,s,24.2%,s,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,s,s,No Data,No Data
s,s,No Data,No Data,s,No Data,s,s,s,No Data,s,No Data,s,s,No Data,100.0%,11
No Data,No Data,s,s,No Data,s,17,s,No Data,22,s,s,s,s,No Data,No Data,No Data
s,s,No Data,No Data,s,No Data,s,s,s,No Data,s,No Data,No Data,s,No Data,s,s
No Data,No Data,s,s,No Data,s,s,s,No Data,6,10,s,s,s,s,No Data,No Data
No Data,No Data,65.7%,s,No Data,s,27,s,No Data,10,s,s,8,13.3%,9,No Data,No Data
s,s,s,14,s,s,50,s,s,s,s,44.0%,12,98.9%,17,s,s
No Data,No Data,s,s,No Data,s,8,s,No Data,s,s,s,s,53.3%,s,No Data,No Data
No Data,No Data,98.6%,s,No Data,6,72,s,No Data,55,79,s,24,s,25,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,No Data
No Data,No Data,s,s,No Data,s,23,s,No Data,12,10,s,7,s,s,No Data,No Data
No Data,No Data,38.6%,22,No Data,18,85,11.0%,No Data,6,7,37.3%,27,84.8%,25,No Data,No Data
No Data,No Data,93.1%,s,No Data,s,26,s,No Data,15,19,s,7,23.9%,s,No Data,No Data
s,s,s,s,s,s,s,s,s,s,s,s,No Data,s,No Data,s,s
No Data,No Data,100.0%,s,No Data,24,96,s,No Data,62,115,s,31,s,25,No Data,No Data
s,s,s,13,s,s,19,s,s,s,s,61.0%,No Data,95.1%,No Data,s,s
No Data,No Data,72.5%,s,No Data,21,31,10.2%,No Data,18,27,s,No Data,37.3%,No Data,No Data,No Data
s,s,No Data,No Data,s,No Data,s,s,s,No Data,s,No Data,No Data,s,s,s,s
No Data,No Data,s,s,No Data,s,28,s,No Data,s,s,s,27,16.4%,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,88.9%,s,No Data,No Data
No Data,No Data,42.2%,34,No Data,24,63,s,No Data,14,s,34.2%,No Data,97.4%,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
s,s,No Data,No Data,s,No Data,s,s,s,No Data,s,No Data,s,s,No Data,s,s
s,s,s,s,s,s,s,s,s,s,s,s,No Data,100.0%,No Data,s,s
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,s,No Data,No Data,No Data
No Data,No Data,s,7,No Data,s,12,s,No Data,s,s,68.0%,No Data,100.0%,No Data,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,s,No Data,No Data,s,No Data,No Data,No Data
66.7%,s,s,s,s,s,s,s,s,s,6,s,No Data,s,No Data,s,s
No Data,No Data,96.0%,s,No Data,43,336,4.3%,No Data,243,271,s,107,6.9%,94,No Data,No Data
No Data,No Data,96.7%,s,No Data,6,92,s,No Data,67,s,s,29,s,25,No Data,No Data
s,s,s,s,s,s,s,s,s,s,s,s,No Data,s,No Data,s,s
No Data,No Data,96.2%,s,No Data,45,358,4.1%,No Data,260,290,s,116,7.3%,100,No Data,No Data
No Data,No Data,50.9%,12,No Data,s,24,s,No Data,7,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
s,s,s,s,s,s,23,s,s,s,s,63.6%,9,97.7%,10,s,s
No Data,No Data,80.0%,s,No Data,7,32,24.1%,No Data,6,s,s,11,40.7%,8,No Data,No Data
