ell_haitian_creole_1,ela_level_2,ell_spanish_1,math_level_4_1,female_1,ell_bengali,math_l3_l4,year,ela_level_1,total_enrollment,male_1,ell_russian
s,9,95.6%,s,47.1%,s,s,2017-18,15,68,52.9%,s
No Data,7,No Data,31.0%,51.8%,No Data,21,2017-18,s,56,48.2%,No Data
No Data,10,No Data,s,46.5%,No Data,s,2017-18,s,43,53.5%,No Data
No Data,19,No Data,65.4%,46.3%,No Data,90,2017-18,13,147,53.7%,No Data
No Data,6,No Data,s,54.2%,No Data,s,2017-18,7,72,45.8%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,9,s,No Data
s,s,s,s,s,s,s,2017-18,6,11,s,s
No Data,19,No Data,15.4%,50.0%,No Data,28,2017-18,s,122,50.0%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,s,No Data,90.4%,48.5%,No Data,101,2017-18,s,200,51.5%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,12,s,No Data
No Data,25,No Data,37.3%,54.1%,No Data,50,2017-18,13,111,45.9%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,10,s,No Data
No Data,9,No Data,s,47.1%,No Data,s,2017-18,s,51,52.9%,No Data
No Data,s,No Data,90.9%,48.0%,No Data,161,2017-18,s,333,52.0%,No Data
No Data,s,No Data,s,62.5%,No Data,s,2017-18,s,16,37.5%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,11,s,No Data
No Data,56,No Data,52.4%,48.5%,No Data,194,2017-18,30,373,51.5%,No Data
s,No Data,s,No Data,s,s,No Data,2017-18,No Data,s,s,s
No Data,s,No Data,85.3%,46.6%,No Data,188,2017-18,s,365,53.4%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,6,s,No Data
No Data,s,No Data,80.0%,50.0%,No Data,s,2017-18,s,18,50.0%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,29,No Data,16.5%,52.8%,No Data,39,2017-18,31,142,47.2%,No Data
No Data,s,No Data,72.4%,48.2%,No Data,54,2017-18,s,112,51.8%,No Data
No Data,s,No Data,s,56.3%,No Data,s,2017-18,s,16,43.8%,No Data
No Data,No Data,No Data,No Data,s,No Data,No Data,2017-18,No Data,s,s,No Data
No Data,s,No Data,100.0%,50.0%,No Data,s,2017-18,s,20,50.0%,No Data
No Data,15,No Data,s,37.3%,No Data,s,2017-18,17,75,62.7%,No Data
No Data,s,No Data,59.1%,29.4%,No Data,20,2017-18,s,34,70.6%,No Data
s,11,100.0%,s,53.7%,s,s,2017-18,23,41,46.3%,s
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,No Data,No Data,No Data,s,No Data,No Data,2017-18,No Data,s,s,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,10,No Data,35.5%,46.7%,No Data,18,2017-18,s,45,53.3%,No Data
s,No Data,s,No Data,s,s,No Data,2017-18,No Data,s,s,s
s,19,100.0%,s,63.3%,s,s,2017-18,21,98,36.7%,s
s,s,70.0%,s,s,s,s,2017-18,s,10,s,s
No Data,s,No Data,No Data,s,No Data,No Data,2017-18,s,s,s,No Data
s,19,99.1%,s,51.8%,s,s,2017-18,25,110,48.2%,s
No Data,s,No Data,s,s,No Data,s,2017-18,s,8,s,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,10,s,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,9,s,No Data
No Data,39,No Data,21.4%,51.9%,No Data,64,2017-18,27,266,48.1%,No Data
No Data,16,No Data,45.8%,51.5%,No Data,113,2017-18,7,169,48.5%,No Data
No Data,s,No Data,47.1%,53.3%,No Data,14,2017-18,s,30,46.7%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
s,No Data,s,No Data,s,s,No Data,2017-18,No Data,s,s,s
s,s,100.0%,s,46.2%,s,s,2017-18,6,13,53.8%,s
No Data,s,No Data,84.6%,44.4%,No Data,s,2017-18,s,18,55.6%,No Data
No Data,10,No Data,s,44.7%,No Data,s,2017-18,s,38,55.3%,No Data
s,No Data,s,No Data,s,s,No Data,2017-18,No Data,s,s,s
No Data,12,No Data,s,56.1%,No Data,s,2017-18,s,57,43.9%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,No Data,No Data,No Data,s,No Data,No Data,2017-18,No Data,s,s,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
s,10,s,s,64.7%,s,s,2017-18,s,34,35.3%,s
No Data,s,No Data,91.7%,70.0%,No Data,s,2017-18,s,20,30.0%,No Data
No Data,s,No Data,s,53.8%,No Data,s,2017-18,s,13,46.2%,No Data
No Data,s,No Data,80.8%,51.3%,No Data,72,2017-18,s,119,48.7%,No Data
No Data,6,No Data,s,50.0%,No Data,s,2017-18,7,32,50.0%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,s,No Data,83.3%,46.2%,No Data,s,2017-18,s,39,53.8%,No Data
s,19,100.0%,s,56.0%,s,s,2017-18,14,91,44.0%,s
No Data,s,No Data,88.0%,48.6%,No Data,182,2017-18,s,358,51.4%,No Data
No Data,66,No Data,55.5%,50.3%,No Data,283,2017-18,39,553,49.7%,No Data
s,No Data,s,No Data,s,s,No Data,2017-18,No Data,s,s,s
No Data,s,No Data,77.1%,42.1%,No Data,35,2017-18,s,95,57.9%,No Data
No Data,s,No Data,85.5%,51.7%,No Data,80,2017-18,s,151,48.3%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,s,No Data,94.3%,49.1%,No Data,s,2017-18,s,212,50.9%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,7,No Data,s,s,No Data,s,2017-18,s,13,s,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,11,s,No Data
No Data,s,No Data,s,50.0%,No Data,s,2017-18,s,18,50.0%,No Data
No Data,s,No Data,60.0%,64.5%,No Data,s,2017-18,s,31,35.5%,No Data
No Data,s,No Data,s,58.8%,No Data,s,2017-18,s,17,41.2%,No Data
No Data,s,No Data,90.4%,53.6%,No Data,157,2017-18,s,317,46.4%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,6,s,No Data
No Data,s,No Data,s,43.8%,No Data,s,2017-18,s,16,56.3%,No Data
s,No Data,s,No Data,s,s,No Data,2017-18,No Data,11,s,6
No Data,s,No Data,s,57.1%,No Data,s,2017-18,s,21,42.9%,No Data
No Data,s,No Data,s,45.0%,No Data,s,2017-18,s,20,55.0%,No Data
No Data,s,No Data,76.7%,56.0%,No Data,42,2017-18,s,75,44.0%,No Data
No Data,16,No Data,35.8%,47.6%,No Data,40,2017-18,s,105,52.4%,No Data
No Data,s,No Data,No Data,s,No Data,No Data,2017-18,s,s,s,No Data
s,19,s,28.8%,39.8%,s,34,2017-18,15,93,60.2%,s
No Data,s,No Data,86.7%,45.8%,No Data,171,2017-18,s,336,54.2%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,10,s,No Data
No Data,No Data,No Data,No Data,s,No Data,No Data,2017-18,No Data,s,s,No Data
No Data,s,No Data,100.0%,40.0%,No Data,s,2017-18,s,40,60.0%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,6,s,No Data
s,s,100.0%,s,50.0%,s,s,2017-18,18,32,50.0%,s
No Data,s,No Data,67.9%,51.4%,No Data,28,2017-18,s,37,48.6%,No Data
No Data,8,No Data,65.2%,43.5%,No Data,s,2017-18,s,23,56.5%,No Data
s,No Data,s,No Data,s,s,No Data,2017-18,No Data,s,s,s
s,s,89.5%,s,57.9%,s,s,2017-18,14,19,42.1%,s
No Data,s,No Data,84.6%,47.1%,No Data,s,2017-18,s,17,52.9%,No Data
No Data,16,No Data,48.9%,46.8%,No Data,s,2017-18,s,47,53.2%,No Data
No Data,s,No Data,s,47.6%,No Data,s,2017-18,s,21,52.4%,No Data
No Data,6,No Data,s,53.8%,No Data,s,2017-18,s,13,46.2%,No Data
s,s,s,s,s,s,s,2017-18,s,6,s,s
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,27,No Data,13.4%,53.8%,No Data,31,2017-18,27,117,46.2%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,7,s,No Data
No Data,s,No Data,65.5%,52.9%,No Data,49,2017-18,s,102,47.1%,No Data
No Data,s,No Data,96.6%,50.0%,No Data,s,2017-18,s,50,50.0%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,7,14,s,No Data
No Data,s,No Data,No Data,s,No Data,No Data,2017-18,s,s,s,No Data
No Data,6,No Data,s,55.9%,No Data,s,2017-18,7,68,44.1%,No Data
No Data,s,No Data,80.6%,46.2%,No Data,96,2017-18,s,173,53.8%,No Data
No Data,s,No Data,s,57.1%,No Data,s,2017-18,s,21,42.9%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,8,s,No Data
No Data,s,No Data,s,35.3%,No Data,s,2017-18,s,17,64.7%,No Data
No Data,No Data,No Data,No Data,s,No Data,No Data,2017-18,No Data,s,s,No Data
s,s,s,77.8%,42.3%,s,s,2017-18,s,26,57.7%,s
No Data,19,No Data,s,65.1%,No Data,s,2017-18,19,63,34.9%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,7,s,No Data
No Data,9,No Data,41.4%,62.8%,No Data,19,2017-18,s,43,37.2%,No Data
No Data,s,No Data,46.2%,46.2%,No Data,s,2017-18,s,13,53.8%,No Data
No Data,8,No Data,s,50.0%,No Data,s,2017-18,s,28,50.0%,No Data
s,No Data,s,No Data,s,s,No Data,2017-18,No Data,s,s,s
No Data,6,No Data,s,43.5%,No Data,s,2017-18,s,23,56.5%,No Data
No Data,s,No Data,64.7%,47.1%,No Data,17,2017-18,s,34,52.9%,No Data
No Data,s,No Data,81.0%,42.4%,No Data,s,2017-18,s,33,57.6%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,7,s,No Data
s,No Data,s,No Data,s,s,No Data,2017-18,No Data,11,s,s
No Data,s,No Data,96.2%,51.5%,No Data,s,2017-18,s,33,48.5%,No Data
s,No Data,s,No Data,s,s,No Data,2017-18,No Data,s,s,s
No Data,s,No Data,81.8%,s,No Data,s,2017-18,s,18,s,No Data
No Data,s,No Data,59.0%,45.0%,No Data,s,2017-18,s,60,55.0%,No Data
s,24,98.9%,s,56.2%,s,s,2017-18,24,89,43.8%,s
No Data,s,No Data,77.8%,53.3%,No Data,s,2017-18,s,15,46.7%,No Data
No Data,s,No Data,90.4%,47.4%,No Data,72,2017-18,s,152,52.6%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,9,s,No Data
No Data,s,No Data,87.5%,69.7%,No Data,s,2017-18,s,33,30.3%,No Data
No Data,29,No Data,14.5%,51.8%,No Data,30,2017-18,22,164,48.2%,No Data
No Data,s,No Data,82.8%,56.5%,No Data,s,2017-18,s,46,43.5%,No Data
s,s,s,s,s,s,s,2017-18,s,s,s,s
No Data,s,No Data,73.1%,49.0%,No Data,100,2017-18,s,196,51.0%,No Data
s,13,100.0%,s,46.3%,s,s,2017-18,21,41,53.7%,s
No Data,s,No Data,31.4%,52.5%,No Data,37,2017-18,s,59,47.5%,No Data
s,No Data,s,No Data,s,s,No Data,2017-18,No Data,s,s,s
No Data,s,No Data,83.3%,50.9%,No Data,s,2017-18,s,55,49.1%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,9,s,No Data
No Data,42,No Data,16.2%,53.8%,No Data,43,2017-18,25,117,46.2%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
s,No Data,s,No Data,s,s,No Data,2017-18,No Data,s,s,s
s,s,100.0%,s,s,s,s,2017-18,s,6,s,s
No Data,s,No Data,s,s,No Data,s,2017-18,s,10,s,No Data
No Data,12,No Data,s,48.0%,No Data,s,2017-18,9,25,52.0%,No Data
No Data,No Data,No Data,No Data,s,No Data,No Data,2017-18,No Data,s,s,No Data
s,s,s,s,s,s,s,2017-18,s,9,s,s
No Data,s,No Data,84.5%,50.2%,No Data,316,2017-18,s,669,49.8%,No Data
No Data,s,No Data,92.2%,52.3%,No Data,89,2017-18,s,176,47.7%,No Data
s,s,s,s,s,s,s,2017-18,s,6,s,s
No Data,s,No Data,84.6%,50.1%,No Data,337,2017-18,s,715,49.9%,No Data
No Data,18,No Data,54.7%,45.3%,No Data,s,2017-18,8,53,54.7%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
s,s,95.5%,s,52.3%,s,s,2017-18,7,44,47.7%,s
No Data,s,No Data,55.0%,59.3%,No Data,18,2017-18,s,54,40.7%,No Data
