ell_spanish,math_level_3_1,ell_haitian_creole,math_l3_l4_1,ela_level_3_1,category,special_program,ell_other,grade_6,grade_4,hispanic,asian
No Data,No Data,No Data,No Data,No Data,Students in temporary housing,Gifted and Talented,No Data,No Data,No Data,s,s
No Data,s,No Data,s,s,Attend school outside district of residence,Gifted and Talented,No Data,No Data,s,s,s
No Data,s,No Data,s,s,Students with Disabilities,Dual Language,No Data,No Data,19,67,s
No Data,31.8%,No Data,90.9%,36.4%,Students with Disabilities,Gifted and Talented,No Data,No Data,10,s,s
41,21.6%,s,s,s,English Language Learners,Dual Language,s,s,7,41,s
No Data,s,No Data,s,s,Students with Disabilities,Dual Language,No Data,No Data,No Data,s,s
No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,Dual Language,No Data,No Data,No Data,s,s
No Data,s,No Data,s,s,Students in temporary housing,Gifted and Talented,No Data,No Data,s,s,s
No Data,22.6%,No Data,58.1%,s,All Students,Dual Language,No Data,No Data,17,23,s
s,No Data,s,No Data,No Data,English Language Learners,Gifted and Talented,s,No Data,No Data,s,s
98,s,s,s,s,English Language Learners,Dual Language,s,No Data,17,98,s
7,s,s,s,s,English Language Learners,Dual Language,s,No Data,s,8,s
No Data,No Data,No Data,No Data,s,All Students,Dual Language,No Data,No Data,No Data,s,s
109,s,s,s,s,English Language Learners,Dual Language,s,No Data,25,109,s
No Data,s,No Data,s,s,Attend school outside district of residence,Gifted and Talented,No Data,No Data,s,s,s
No Data,s,No Data,s,s,Students with Disabilities,Dual Language,No Data,No Data,s,6,s
No Data,s,No Data,s,s,Students with Disabilities,Gifted and Talented,No Data,No Data,No Data,s,s
No Data,27.5%,No Data,48.9%,41.2%,All Students,Dual Language,No Data,No Data,44,189,s
No Data,32.6%,No Data,78.5%,38.2%,All Students,Dual Language,No Data,No Data,50,55,s
No Data,35.3%,No Data,82.4%,47.1%,Attend school outside district of residence,Gifted and Talented,No Data,No Data,s,11,s
No Data,s,No Data,s,s,Attend school outside district of residence,Gifted and Talented,No Data,No Data,s,s,s
s,No Data,s,No Data,No Data,English Language Learners,Gifted and Talented,s,No Data,No Data,s,s
13,s,s,s,s,English Language Learners,Dual Language,s,No Data,s,13,s
No Data,s,No Data,s,53.8%,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,s,8,s
No Data,s,No Data,s,53.8%,Receive free or reduced price lunch,Dual Language,No Data,No Data,16,24,s
s,No Data,s,No Data,No Data,English Language Learners,Gifted and Talented,s,No Data,No Data,s,s
No Data,35.0%,No Data,s,32.5%,Attend school outside district of residence,Dual Language,No Data,s,16,55,s
No Data,s,No Data,s,s,Students in temporary housing,Dual Language,No Data,No Data,No Data,s,s
No Data,s,No Data,s,s,Students with Disabilities,Gifted and Talented,No Data,No Data,s,s,s
No Data,No Data,No Data,No Data,No Data,Students with Disabilities,Dual Language,No Data,No Data,No Data,s,s
No Data,s,No Data,s,s,Students with Disabilities,Gifted and Talented,No Data,No Data,s,s,s
s,35.0%,s,s,s,English Language Learners,Dual Language,s,No Data,s,s,30
No Data,s,No Data,s,s,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,s,s,11
No Data,s,No Data,s,s,Students with Disabilities,Gifted and Talented,No Data,No Data,s,s,s
No Data,17.8%,No Data,98.6%,23.3%,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,19,25,49
No Data,s,No Data,s,s,Students in temporary housing,Dual Language,No Data,s,s,31,s
No Data,s,No Data,s,s,Students in temporary housing,Gifted and Talented,No Data,No Data,s,s,s
No Data,s,No Data,s,s,Attend school outside district of residence,Dual Language,No Data,No Data,No Data,s,s
No Data,s,No Data,s,s,Receive free or reduced price lunch,Dual Language,No Data,No Data,No Data,s,31
91,s,s,s,s,English Language Learners,Dual Language,s,No Data,27,90,s
No Data,10.9%,No Data,98.9%,26.1%,All Students,Gifted and Talented,No Data,No Data,63,s,112
No Data,23.8%,No Data,79.3%,39.1%,All Students,Dual Language,No Data,93,63,74,381
s,No Data,s,No Data,No Data,English Language Learners,Dual Language,s,No Data,No Data,s,s
No Data,22.9%,No Data,100.0%,42.9%,All Students,Gifted and Talented,No Data,No Data,s,25,31
No Data,10.8%,No Data,96.4%,46.4%,All Students,Gifted and Talented,No Data,No Data,31,22,16
No Data,s,No Data,s,s,Students in temporary housing,Gifted and Talented,No Data,No Data,s,s,s
No Data,s,No Data,s,17.2%,All Students,Gifted and Talented,No Data,No Data,60,s,170
No Data,s,No Data,s,s,Students with Disabilities,Gifted and Talented,No Data,No Data,s,s,s
No Data,s,No Data,s,s,Students in temporary housing,Dual Language,No Data,No Data,s,8,s
No Data,s,No Data,s,s,Students in temporary housing,Gifted and Talented,No Data,No Data,No Data,s,s
No Data,s,No Data,s,s,Receive free or reduced price lunch,Dual Language,No Data,No Data,No Data,s,10
No Data,s,No Data,s,s,Attend school outside district of residence,Dual Language,No Data,No Data,s,12,s
No Data,s,No Data,s,70.0%,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,s,11,10
No Data,s,No Data,s,s,Attend school outside district of residence,Gifted and Talented,No Data,No Data,s,6,s
No Data,9.6%,No Data,100.0%,22.9%,All Students,Gifted and Talented,No Data,No Data,54,s,121
No Data,s,No Data,s,s,Students with Disabilities,Gifted and Talented,No Data,No Data,s,s,s
No Data,s,No Data,s,s,Attend school outside district of residence,Dual Language,No Data,No Data,No Data,15,s
s,No Data,s,No Data,No Data,English Language Learners,Gifted and Talented,s,No Data,No Data,s,s
No Data,s,No Data,s,s,Students in temporary housing,Dual Language,No Data,No Data,s,19,s
No Data,s,No Data,s,s,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,s,8,s
No Data,20.9%,No Data,97.7%,54.5%,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,s,28,29
No Data,39.6%,No Data,75.5%,45.3%,All Students,Dual Language,No Data,No Data,21,65,s
No Data,No Data,No Data,No Data,s,Students with Disabilities,Dual Language,No Data,No Data,No Data,s,s
s,36.5%,s,65.4%,s,English Language Learners,Dual Language,s,13,s,s,87
No Data,12.1%,No Data,98.8%,23.1%,Attend school outside district of residence,Gifted and Talented,No Data,No Data,62,45,131
No Data,s,No Data,s,60.0%,Attend school outside district of residence,Dual Language,No Data,No Data,No Data,s,s
No Data,No Data,No Data,No Data,No Data,Students in temporary housing,Gifted and Talented,No Data,No Data,No Data,s,s
No Data,s,No Data,s,s,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,12,s,39
No Data,s,No Data,s,s,Students with Disabilities,Gifted and Talented,No Data,No Data,No Data,s,s
32,s,s,s,s,English Language Learners,Dual Language,s,No Data,No Data,32,s
No Data,32.1%,No Data,100.0%,53.6%,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,s,s,17
No Data,s,No Data,s,34.8%,Attend school outside district of residence,Dual Language,No Data,s,No Data,s,20
s,No Data,s,No Data,No Data,English Language Learners,Gifted and Talented,s,No Data,No Data,s,s
17,s,s,s,s,English Language Learners,Dual Language,s,No Data,s,17,s
No Data,s,No Data,s,46.2%,Attend school outside district of residence,Gifted and Talented,No Data,No Data,s,s,s
No Data,s,No Data,s,40.4%,Receive free or reduced price lunch,Dual Language,No Data,10,No Data,s,45
No Data,s,No Data,s,66.7%,Attend school outside district of residence,Dual Language,No Data,No Data,s,18,s
No Data,s,No Data,s,s,Students in temporary housing,Dual Language,No Data,s,No Data,11,s
s,s,s,s,s,English Language Learners,Dual Language,s,No Data,No Data,s,6
No Data,s,No Data,s,s,Students in temporary housing,Dual Language,No Data,No Data,No Data,s,s
No Data,24.4%,No Data,37.8%,25.6%,Receive free or reduced price lunch,Dual Language,No Data,8,22,115,s
No Data,s,No Data,s,s,Students with Disabilities,Dual Language,No Data,No Data,No Data,s,6
No Data,23.6%,No Data,89.1%,43.6%,All Students,Dual Language,No Data,No Data,17,43,s
No Data,s,No Data,s,24.1%,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,12,s,50
No Data,s,No Data,s,s,Students with Disabilities,Dual Language,No Data,No Data,s,13,s
No Data,No Data,No Data,No Data,s,Receive free or reduced price lunch,Dual Language,No Data,No Data,No Data,s,s
No Data,s,No Data,s,s,Receive free or reduced price lunch,Dual Language,No Data,No Data,No Data,65,s
No Data,17.3%,No Data,98.0%,42.4%,All Students,Gifted and Talented,No Data,No Data,28,43,44
No Data,71.4%,No Data,s,66.7%,All Students,Gifted and Talented,No Data,No Data,No Data,s,s
No Data,s,No Data,s,s,Attend school outside district of residence,Gifted and Talented,No Data,No Data,s,s,s
No Data,s,No Data,s,s,Students with Disabilities,Gifted and Talented,No Data,No Data,s,s,7
No Data,No Data,No Data,No Data,No Data,All Students,Dual Language,No Data,No Data,No Data,s,s
s,s,s,s,s,English Language Learners,Dual Language,s,No Data,s,s,26
No Data,s,No Data,s,s,Receive free or reduced price lunch,Dual Language,No Data,No Data,14,49,s
No Data,s,No Data,s,s,Attend school outside district of residence,Dual Language,No Data,No Data,s,s,s
No Data,24.1%,No Data,65.5%,27.6%,Attend school outside district of residence,Dual Language,No Data,No Data,s,11,24
No Data,s,No Data,s,s,All Students,Dual Language,No Data,No Data,No Data,s,12
No Data,s,No Data,s,s,Receive free or reduced price lunch,Dual Language,No Data,No Data,11,19,s
s,No Data,s,No Data,No Data,English Language Learners,Gifted and Talented,s,No Data,No Data,s,s
No Data,s,No Data,s,46.2%,Attend school outside district of residence,Dual Language,No Data,No Data,s,15,s
No Data,35.3%,No Data,100.0%,52.9%,Attend school outside district of residence,Gifted and Talented,No Data,No Data,s,13,10
No Data,s,No Data,s,33.3%,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,s,8,12
No Data,s,No Data,s,s,Students in temporary housing,Gifted and Talented,No Data,No Data,No Data,s,7
s,No Data,s,No Data,No Data,English Language Learners,Dual Language,s,No Data,No Data,s,11
No Data,s,No Data,s,s,Attend school outside district of residence,Gifted and Talented,No Data,No Data,11,s,29
s,No Data,s,No Data,No Data,English Language Learners,Gifted and Talented,s,No Data,s,s,s
No Data,s,No Data,s,s,Students with Disabilities,Gifted and Talented,No Data,No Data,s,s,s
No Data,s,No Data,s,37.1%,Students in temporary housing,Dual Language,No Data,12,s,8,52
88,s,s,s,s,English Language Learners,Dual Language,s,No Data,19,88,s
No Data,s,No Data,s,s,Students in temporary housing,Gifted and Talented,No Data,No Data,s,8,s
No Data,8.2%,No Data,98.6%,23.3%,All Students,Gifted and Talented,No Data,No Data,29,s,59
No Data,s,No Data,s,s,Attend school outside district of residence,Gifted and Talented,No Data,No Data,s,s,s
No Data,s,No Data,s,s,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,7,s,18
No Data,21.7%,No Data,36.1%,31.3%,Receive free or reduced price lunch,Dual Language,No Data,No Data,31,139,s
No Data,s,No Data,s,41.4%,Attend school outside district of residence,Gifted and Talented,No Data,No Data,6,11,10
s,s,s,s,s,English Language Learners,Dual Language,s,No Data,No Data,s,s
No Data,23.1%,No Data,96.2%,40.4%,All Students,Gifted and Talented,No Data,No Data,50,s,46
41,s,s,s,s,English Language Learners,Dual Language,s,13,No Data,39,s
No Data,41.2%,No Data,72.5%,37.3%,Attend school outside district of residence,Dual Language,No Data,No Data,19,22,s
s,No Data,s,No Data,No Data,English Language Learners,Gifted and Talented,s,No Data,No Data,s,s
No Data,s,No Data,s,s,All Students,Dual Language,No Data,No Data,No Data,9,39
No Data,s,No Data,s,s,Students with Disabilities,Dual Language,No Data,No Data,s,8,s
No Data,20.5%,No Data,36.8%,30.2%,Receive free or reduced price lunch,Dual Language,No Data,34,No Data,114,s
No Data,s,No Data,s,s,Students with Disabilities,Dual Language,No Data,No Data,No Data,s,s
s,No Data,s,No Data,No Data,English Language Learners,Gifted and Talented,s,No Data,No Data,s,s
6,s,s,s,s,English Language Learners,Dual Language,s,No Data,No Data,6,s
No Data,s,No Data,s,s,Students with Disabilities,Gifted and Talented,No Data,No Data,s,s,s
No Data,s,No Data,s,s,Students with Disabilities,Dual Language,No Data,11,No Data,25,s
No Data,No Data,No Data,No Data,No Data,Students in temporary housing,Gifted and Talented,No Data,No Data,No Data,s,s
s,s,s,s,s,English Language Learners,Dual Language,s,No Data,s,s,s
No Data,13.3%,No Data,97.8%,20.7%,Attend school outside district of residence,Gifted and Talented,No Data,No Data,106,46,251
No Data,6.7%,No Data,98.9%,22.2%,All Students,Gifted and Talented,No Data,No Data,28,s,164
s,s,s,s,s,English Language Learners,Dual Language,s,No Data,s,s,s
No Data,13.0%,No Data,97.7%,20.9%,All Students,Gifted and Talented,No Data,No Data,116,52,266
No Data,s,No Data,s,37.7%,All Students,Dual Language,No Data,14,No Data,s,48
No Data,s,No Data,s,s,Students in temporary housing,Gifted and Talented,No Data,No Data,No Data,s,s
42,s,s,s,s,English Language Learners,Dual Language,s,No Data,No Data,43,s
No Data,35.0%,No Data,90.0%,50.0%,All Students,Gifted and Talented,No Data,No Data,10,22,13
