dbn,location_name
05M318,Thurgood Marshall Academy Lower School
20K180,The SEEALL Academy
02M001,P.S. 001 Alfred E. Smith
13K008,P.S. 008 Robert Fulton
22K197,P.S. 197 - The Kings Highway Academy
17K590,Medgar Evers College Preparatory School
22K234,J.H.S. 234 Arthur W. Cunningham
09X241,"Urban Assembly School for Applied Math and Science, The"
14K318,I.S. 318 Eugenio Maria De Hostos
02M533,Union Square Academy for Health Sciences
10X396,P.S. 396
09X327,Comprehensive Model School Project M.S. 327
09X568,Young Women's Leadership School of the Bronx
15K442,M.S. 442 Carroll Gardens School for Innovation
21K177,P.S. 177 The Marlboro
11X355,Bronx Alliance Middle School
02M297,M.S. 297
09X361,The Highbridge Green School
04M083,P.S. 083 Luis Munoz Rivera
09X274,The New American Academy at Roberto Clemente State Park
18K569,Kurt Hahn Expeditionary Learning School
10X280,P.S./M.S. 280 Mosholu Parkway
11X513,New World High School
22K217,P.S. 217 Colonel David Marcus School
21K097,P.S. 97 The Highlawn
21K215,P.S. 215 Morris H. Weiss
17K524,International High School at Prospect Heights
25Q024,P.S. 024 Andrew Jackson
21K239,Mark Twain I.S. 239 for the Gifted & Talented
01M839,Tompkins Square Middle School
07X277,P.S. 277
20K163,P.S. 163 Bath Beach
20K105,P.S. 105 The Blythebourne
24Q153,P.S. 153 Maspeth Elem
04M224,M.S. 224 Manhattan East School for Arts & Academics
21K226,P.S. 226 Alfred De B. Mason
21K121,P.S. 121 Nelson A. Rockefeller
08X072,P.S. 072 Dr. William Dorney
22K889,P.S. 889
03M404,Innovation Diploma Plus
17K002,Parkside Preparatory Academy
11X169,Baychester Academy
02M489,High School of Economics and Finance
10X353,World View High School
06M278,Paula Hedbavny School
20K104,P.S./I.S. 104 The Fort Hamilton School
22K206,P.S. 206 Joseph F Lamb
15K130,P.S. 130 The Parkside
11X508,Bronxdale High School
15K107,P.S. 107 John W. Kimball
24Q102,P.S. 102 Bayview
01M361,The Children's Workshop School
17K399,P.S. 399 Stanley Eugene Clark
20K048,P.S. 048 Mapleton
07X025,P.S. 025 Bilingual School
08X036,P.S. 036 Unionport
08X293,Renaissance High School for Musical Theater and the Arts
02M413,School of the Future High School
14K031,P.S. 031 Samuel F. Dupont
10X228,Jonas Bronck Academy
22K278,J.H.S. 278 Marine Park
19K452,Frederick Douglass Academy VIII Middle School
16K057,J.H.S. 057 Whitelaw Reid
08X558,Westchester Square Academy
19K662,Liberty Avenue Middle School
07X005,P.S. 5 Port Morris
03M241,STEM Institute of Manhattan
11X189,Cornerstone Academy for Social Action
11X153,P.S. 153 Helen Keller
14K685,El Puente Academy for Peace and Justice
09X063,P.S. 063 Author's Academy
10X390,M.S. 390
23K664,Brooklyn Environmental Exploration School (BEES)
10X340,P.S. 340
10X003,P.S. 3 Raul Julia Micro Society
07X298,Academy of Public Relations
02M420,High School for Health Professions and Human Services
02M234,P.S. 234 Independence School
22K890,M.S. 890
13K011,P.S. 011 Purvis J. Behan
22K014,J.H.S. 014 Shell Bank
22K203,P.S. 203 Floyd Bennett School
07X296,South Bronx Academy for Applied Media
08X014,P.S. X014 Senator John Calandra
04M964,Central Park East II
19K507,Performing Arts and Technology High School
21K209,P.S. 209 Margaret Mead
15K010,"Magnet School of Math, Science and Design Technology"
13K594,Gotham Professional Arts Academy
02M449,Vanguard High School
06M028,P.S. 028 Wright Brothers
18K637,Academy for Conservation and the Environment
02M150,P.S. 150
24Q081,P.S. 81Q Jean Paul Richter
22K277,P.S. 277 Gerritsen Beach
24Q049,P.S. 049 Dorothy Bonawit Kole
07X157,P.S. 157 Grove Hill
01M696,Bard High School Early College
15K261,P.S. 261 Philip Livingston
25Q029,P.S. 029 Queens
12X242,Mott Hall V
03M250,M.S. 250 West Side Collaborative Middle School
08X062,P.S. 062 Inocensio Casanova
01M063,The STAR Academy - P.S.63
13K054,P.S. 054 Samuel C. Barnes
10X442,"Celia Cruz Bronx High School of Music, The"
02M177,Yorkville East Middle School
21K153,P.S. 153 Homecrest
02M280,Manhattan Early College School for Advertising
03M245,M.S. M245 The Computer School
03M258,Community Action School - MS 258
15K015,P.S. 015 Patrick F. Daly
16K628,Brooklyn Brownstone School
02M139,Stephen T. Mather Building Arts & Craftsmanship High School
10X008,P.S. 008 Isaac Varian
20K609,Urban Assembly School for Criminal Justice
20K192,P.S. 192 - The Magnet School for Math and Science Inquiry
14K414,Brooklyn Arbor Elementary School
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School
03M541,Manhattan / Hunter Science High School
06M128,P.S. 128 Audubon
02M276,Battery Park City School
08X583,P.S. 583
07X670,Health Opportunities High School
03M199,P.S. 199 Jessie Isador Straus
02M104,J.H.S. 104 Simon Baruch
