violation_type,law_section,nta_code,census_tract,violation_code
,,MN0501,5200.0,
,,MN0602,6400.0,
,,BX1102,29600.0,
Critical,24 RCNY §8-04(a),MN0101,1502.0,AH8C
PHH,24 RCNY §8-05(f)(3),MN0501,5400.0,AH8S
General,24 RCNY §8-05(f)(1),MN0604,10601.0,AH8Q
,,BX1102,29600.0,
Critical,24 RCNY §8-05(c)(3),MN0501,7600.0,AH8L
Critical,24 RCNY §8-04(b),MN0501,7600.0,AH8D
,,MN0502,10400.0,
,,MN0604,9000.0,
,,MN0501,7600.0,
PHH,24 RCNY §8-05(f)(3),MN0501,7600.0,AH8S
General,24 RCNY §8-04(c),MN0402,11500.0,AH8E
,,MN0701,15102.0,
PHH,24 RCNY §8-05(f)(5),MN0803,13800.0,AH8U
,,MN0801,11000.0,
Critical,24 RCNY §8-04(d),MN0501,7600.0,AH8F
,,MN0602,5000.0,
,,MN0501,5800.0,
,,MN0101,700.0,
,,BK0102,51700.0,
,,BK0202,1502.0,
,,MN0402,11500.0,
,,MN0101,700.0,
,,MN0803,13800.0,
,,MN0502,13700.0,
PHH,24 RCNY §8-05(f)(3),BK0401,38900.0,AH8S
,,BX1102,29600.0,
,,MN0502,10400.0,
General,24 RCNY §8-06(b)(2),MN0601,4400.0,AH8X
Critical,24 RCNY §8-05(f)(4),MN0604,10601.0,AH8T
,,MN0101,900.0,
,,MN0801,23803.0,
,,MN0201,4900.0,
,,MN1002,23400.0,
,,MN0502,13700.0,
,,MN0604,9000.0,
Critical,24 RCNY §8-05(f)(2),MN0602,5000.0,AH8R
General,24 RCNY §8-05(c)(2),BK0204,19500.0,AH8K
,,BK0801,16100.0,
,,MN0501,7600.0,
,,MN0604,9000.0,
,,BK0601,4900.0,
,,MN0202,5700.0,
Critical,24 RCNY §8-04(b),BK0601,4900.0,AH8D
Critical,24 RCNY §8-06(b)(1),BK0204,19500.0,AH8W
