active_equip,inspection_date,violation_text
1,2022-06-17T00:00:00.000,No records of all chemicals and biocides (C&B) added
1,2020-02-06T00:00:00.000,Sufficient quantities and combinations of chemicals not added as specified in the maintenance program and plan
1,2020-10-06T00:00:00.000,
0,2021-05-21T00:00:00.000,"Minimum daily water quality measurements not taken or recorded (or if automated, not viewable)"
1,2023-05-12T00:00:00.000,
1,2022-06-07T00:00:00.000,Maintenance Program and Plan incomplete or not on premises
1,2021-11-16T00:00:00.000,
1,2021-08-05T00:00:00.000,Improper or inadequate start-up procedures
2,2023-05-23T00:00:00.000,
1,2020-09-01T00:00:00.000,Routine maintenance according to Maintenance Program and Plan not conducted or documented
1,2023-07-07T00:00:00.000,
1,2020-02-11T00:00:00.000,"Compliance inspections not conducted, documented at least once every 90 days when the tower is in use"
1,2023-10-26T00:00:00.000,Improper or inadequate start-up procedures
1,2022-08-10T00:00:00.000,
1,2022-04-01T00:00:00.000,
1,2024-01-10T00:00:00.000,
1,2020-02-06T00:00:00.000,"Failure to collect, analyze or record weekly biological process control indicators"
1,2021-08-12T00:00:00.000,
4,2022-02-22T00:00:00.000,
1,2023-03-07T00:00:00.000,
1,2020-10-06T00:00:00.000,
1,2023-06-27T00:00:00.000,
1,2020-03-02T00:00:00.000,
1,2022-06-23T00:00:00.000,"Legionella samples not collected or analyzed, or results not recorded or reported to DOHMH as required"
1,2022-03-03T00:00:00.000,
0,2022-05-18T00:00:00.000,
1,2023-10-26T00:00:00.000,Failure to monitor and sample from representative locations and times
1,2022-04-18T00:00:00.000,
1,2023-05-17T00:00:00.000,
1,2020-03-11T00:00:00.000,
1,2023-09-20T00:00:00.000,
1,2021-07-22T00:00:00.000,
1,2023-02-01T00:00:00.000,
1,2022-08-05T00:00:00.000,
1,2020-09-01T00:00:00.000,"Routine monitoring not conducted, documented at least once a week when tower is in use"
1,2022-07-18T00:00:00.000,
1,2022-08-26T00:00:00.000,
1,2022-06-14T00:00:00.000,"Failure to collect, analyze or record weekly biological process control indicators"
1,2020-02-11T00:00:00.000,"Minimum daily water quality measurements not taken or recorded (or if automated, not viewable)"
2,2023-06-20T00:00:00.000,
1,2021-03-17T00:00:00.000,
1,2023-07-05T00:00:00.000,
1,2024-12-17T00:00:00.000,
1,2022-05-12T00:00:00.000,"Legionella samples not collected or analyzed, or results not recorded or reported to DOHMH as required"
1,2020-02-06T00:00:00.000,No records of all chemicals and biocides (C&B) added
1,2020-10-05T00:00:00.000,
1,2020-09-01T00:00:00.000,Twice yearly or other required cleaning not conducted or documented
1,2020-02-06T00:00:00.000,"Routine monitoring not conducted, documented at least once a week when tower is in use"
1,2021-10-18T00:00:00.000,No records of all chemicals and biocides (C&B) added
1,2020-10-06T00:00:00.000,Twice yearly or other required cleaning not conducted or documented
1,2021-03-08T00:00:00.000,No records of all chemicals and biocides (C&B) added
1,2021-08-24T00:00:00.000,
1,2021-07-01T00:00:00.000,
1,2023-10-06T00:00:00.000,
1,2022-04-01T00:00:00.000,
1,2022-05-31T00:00:00.000,
1,2022-06-14T00:00:00.000,
1,2023-04-25T00:00:00.000,
0,2021-05-21T00:00:00.000,Required corrective actions not taken based on bacteriological results
0,2021-05-21T00:00:00.000,Routine maintenance according to Maintenance Program and Plan not conducted or documented
1,2023-07-26T00:00:00.000,"Minimum daily water quality measurements not taken or recorded (or if automated, not viewable)"
1,2023-04-04T00:00:00.000,
1,2020-02-11T00:00:00.000,"Failure to collect, analyze or record weekly biological process control indicators"
1,2024-01-04T00:00:00.000,
0,2021-05-21T00:00:00.000,Sufficient quantities and combinations of chemicals not added as specified in the maintenance program and plan
1,2021-10-18T00:00:00.000,Twice yearly or other required cleaning not conducted or documented
0,2017-02-15T00:00:00.000,Twice yearly or other required cleaning not conducted or documented
1,2023-10-26T00:00:00.000,"Compliance inspections not conducted, documented at least once every 90 days when the tower is in use"
1,2022-04-28T00:00:00.000,
1,2023-10-25T00:00:00.000,"Legionella samples not collected or analyzed, or results not recorded or reported to DOHMH as required"
1,2018-06-04T00:00:00.000,"Compliance inspections not conducted, documented at least once every 90 days when the tower is in use"
0,2021-05-21T00:00:00.000,Improper or inadequate shutdown procedures
1,2022-05-12T00:00:00.000,"Legionella samples not collected, analyzed before system start-up"
1,2020-10-06T00:00:00.000,No records of all chemicals and biocides (C&B) added
1,2022-01-13T00:00:00.000,
1,2020-09-22T00:00:00.000,
1,2022-09-20T00:00:00.000,Improper or inadequate shutdown procedures
1,2023-06-22T00:00:00.000,
1,2021-09-08T00:00:00.000,
1,2021-12-17T00:00:00.000,
1,2018-06-04T00:00:00.000,"Routine monitoring not conducted, documented at least once a week when tower is in use"
1,2022-06-15T00:00:00.000,"Legionella samples not collected or analyzed, or results not recorded or reported to DOHMH as required"
1,2022-07-26T00:00:00.000,"Minimum daily water quality measurements not taken or recorded (or if automated, not viewable)"
1,2020-09-09T00:00:00.000,
0,2021-05-21T00:00:00.000,No records of all chemicals and biocides (C&B) added
1,2021-08-05T00:00:00.000,"Compliance inspections not conducted, documented at least once every 90 days when the tower is in use"
1,2022-06-14T00:00:00.000,
1,2022-07-01T00:00:00.000,
0,2023-03-14T00:00:00.000,
0,2021-05-21T00:00:00.000,"Legionella samples not collected or analyzed, or results not recorded or reported to DOHMH as required"
1,2020-02-13T00:00:00.000,Routine maintenance according to Maintenance Program and Plan not conducted or documented
1,2020-03-05T00:00:00.000,
1,2022-06-07T00:00:00.000,Required corrective actions not taken based on bacteriological results
1,2022-06-15T00:00:00.000,
1,2023-10-26T00:00:00.000,Twice yearly or other required cleaning not conducted or documented
1,2023-06-20T00:00:00.000,
1,2021-07-16T00:00:00.000,
1,2022-08-31T00:00:00.000,
2,2022-08-24T00:00:00.000,
1,2020-11-17T00:00:00.000,
1,2023-12-27T00:00:00.000,
1,2021-07-15T00:00:00.000,
1,2020-10-06T00:00:00.000,
1,2024-01-11T00:00:00.000,
1,2021-10-18T00:00:00.000,"Legionella samples not collected or analyzed, or results not recorded or reported to DOHMH as required"
1,2022-11-09T00:00:00.000,
1,2022-09-28T00:00:00.000,
1,2021-03-08T00:00:00.000,"Legionella samples not collected, analyzed before system start-up"
1,2022-07-26T00:00:00.000,Failure to monitor and sample from representative locations and times
1,2023-12-08T00:00:00.000,
1,2023-10-18T00:00:00.000,
1,2022-01-05T00:00:00.000,
1,2021-09-02T00:00:00.000,
1,2020-01-28T00:00:00.000,
1,2022-06-13T00:00:00.000,
1,2022-06-17T00:00:00.000,"Failure to collect, analyze or record weekly biological process control indicators"
1,2020-10-06T00:00:00.000,Use of an unregistered biocide product
1,2022-05-16T00:00:00.000,
1,2022-09-12T00:00:00.000,
1,2023-06-22T00:00:00.000,
1,2023-05-01T00:00:00.000,
1,2022-10-18T00:00:00.000,
1,2020-09-01T00:00:00.000,"Compliance inspections not conducted, documented at least once every 90 days when the tower is in use"
1,2020-10-06T00:00:00.000,Improper or inadequate start-up procedures
