change_order_project_to_status_name,change_order_project_identifier,change_order_project_ball_in_court_code
OPN,HSMSAK04,WCC
APP,HSBTHK19,IND.TEMP
APP,HSBTHK13,NESCO
CLO,HSBTHK17,ATJ
NEW,HSLINK12,PADILLA
CLO,HSBTHK11,NEELAM
CLO,HSBTHK13,NESCO
CLO,HSBTHK13,NESCO
CLO,HSBTHK15,ALLVOLTS
NEW,HSAUTK08,ADAM
CLO,HSBTHK16,RED&BLUE
NEW,HSBTHK16,RED&BLUE
CLO,HSBTHK13,NESCO
NEW,HSBACK03,KGCONST
CLO,HSBTHK17,ATJ
NEW,HSBTHK11,NEELAM
NEW,PS202K04,NESCO
NEW,HSBAHK01,NEHAL
NEW,HSBAHK01,NEHAL
CLO,HS743K01,RICI
CLO,HSBTHK17,ATJ
CLO,HSBTHK13,NESCO
CLO,HSBTHK17,ATJ
NEW,HSBTHK16,RED&BLUE
NEW,HSBAHK01,NEHAL
CLO,HSBAHK01,NEHAL
CLO,HSALCK02,EUROCAST
CLO,HSBTHK13,NESCO
NEW,HSBTHK11,NEELAM
CLO,HSBTHK11,NEELAM
CLO,HSBTHK13,NESCO
CLO,HSBTHK13,NESCO
APP,HSBAHK01,NEHAL
NEW,HSBUSK09,OUDAZ
CLO,HS743K01,RICI
CLO,HSBTHK19,IND.TEMP
CLO,HSBTHK13,NESCO
NEW,HS743K01,RICI
APP,HSAUTK08,ADAM
NEW,HSBTHK19,IND.TEMP
NEW,HSBTHK17,ATJ
CLO,HSLINK12,PADILLA
NEW,HSBAHK01,NEHAL
NEW,HS743K01,RICI
CLO,HSLINK12,PADILLA
NEW,HSBTHK13,NESCO
CLO,HSBTHK17,ATJ
NEW,HSBTHK11,NEELAM
APP,HSBTHK19,IND.TEMP
NEW,HSSOSK06,ABAXINCO
CLO,HSLINK12,PADILLA
NEW,HS743K01,RICI
NEW,HSARTK04,IND.TEMP
NEW,HSMSAK04,WCC
NEW,HSBAHK01,NEHAL
APP,HSALCK02,EUROCAST
NEW,HSBTHK16,RED&BLUE
CLO,HSBTHK17,ATJ
CLO,HSBTHK17,ATJ
NEW,HSBTHK11,NEELAM
CLO,HSAUTK08,ADAM
CLO,HSBTHK19,IND.TEMP
NEW,HSBTHK13,NESCO
CLO,HSAUTK08,ADAM
NEW,HSBTHK13,NESCO
NEW,HS743K01,RICI
NEW,HSMSAK04,WCC
APP,HSBTHK19,IND.TEMP
NEW,HSBTHK17,ATJ
CLO,HS743K01,RICI
NEW,HSBTHK16,RED&BLUE
NEW,PS202K04,NESCO
CLO,HS743K01,RICI
NEW,HS743K01,RICI
NEW,HSBAHK01,NEHAL
NEW,HSBGSK01,SAFECON
CLO,HSBAHK01,NEHAL
CLO,HSAUTK08,ADAM
CLO,HSAUTK08,ADAM
NEW,HSBTHK13,NESCO
CLO,PS333K02,NORTHEAS
NEW,HSBAHK01,NEHAL
CLO,HSAUTK08,ADAM
NEW,HSLINK12,PADILLA
NEW,HSLINK12,PADILLA
NEW,HSBGHK06,FRAMAN
NEW,HSBAHK01,NEHAL
NEW,HSAUTK08,ADAM
NEW,HSARTK04,IND.TEMP
NEW,HSBTHK15,ALLVOLTS
NEW,HSBAHK01,NEHAL
NEW,HSLINK12,PADILLA
NEW,HS743K01,RICI
NEW,HSBTHK13,NESCO
CLO,HS743K01,RICI
NEW,HSBTHK16,RED&BLUE
CLO,HSBTHK11,NEELAM
NEW,HSBACK03,KGCONST
NEW,HSAUTK08,ADAM
NEW,HSBAHK01,NEHAL
CLO,HSBAHK01,NEHAL
NEW,HSBGSK01,SAFECON
CLO,HSBTHK13,NESCO
NEW,HSBTHK19,IND.TEMP
CLO,HSBTHK16,RED&BLUE
CLO,HSBTHK15,ALLVOLTS
NEW,HSBAHK01,NEHAL
CLO,HS743K01,RICI
APP,HSLINK12,PADILLA
NEW,HSBTHK17,ATJ
NEW,HS743K01,RICI
NEW,HSALCK02,EUROCAST
NEW,HS743K01,RICI
NEW,HSAUTK08,ADAM
NEW,HSARTK04,IND.TEMP
CLO,HSBTHK16,RED&BLUE
NEW,HSARTK03,ARK
APP,HSBTHK13,NESCO
CLO,HSLINK12,PADILLA
NEW,PS202K04,NESCO
NEW,HSBACK03,KGCONST
NEW,HSLINK12,PADILLA
CLO,HSAUTK08,ADAM
CLO,HSBTHK16,RED&BLUE
NEW,HSBTHK13,NESCO
NEW,HSBTHK13,NESCO
NEW,HSBTHK17,ATJ
NEW,HSARTK04,IND.TEMP
CLO,HSBAHK01,NEHAL
NEW,HS743K01,RICI
NEW,HS743K01,RICI
APP,HSBTHK13,NESCO
NEW,HSBTHK19,IND.TEMP
NEW,PS333K02,NORTHEAS
NEW,HSBTHK19,IND.TEMP
NEW,HSLINK12,PADILLA
NEW,HSBTHK14,ASHNU
NEW,HSMSAK04,WCC
