change_order_project_title,change_order_project_stage_date
"Bedford Sty@K458(K) Ext Mas, Prpts",2021-09-29
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2017-02-17
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-05-28
"Bklyn Tech(K) Roofs,Prpts,Ext Mas",2021-10-28
Bklyn Academy HS(K) CofO Work,2021-07-14
Bklyn Tech(K) PA Systems,2021-10-27
"ALC @ K799 Ext Mas,Wndws,Roofs,Prpts",2020-02-04
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2020-07-17
"Bklyn HS of Arts(K) Boiler, Climate",2020-07-14
"ALC @ K799 Ext Mas,Wndws,Roofs,Prpts",2019-07-02
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-10-22
"A&P Mid school(K) Ext Mas,Prpts,Roof",2020-01-17
"Bklyn Tech(K) Boiler, Climate Cntrl",2021-01-20
Bklyn Tech(K) Athletic Fld Upgr,2019-11-07
Bklyn Tech(K) PA Systems,2021-10-26
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2019-11-26
"Brklyn Tech (K) Low Volt,Fire Supp",2021-07-16
Bklyn Tech(K) Athletic Fld Upgr,2021-07-22
Bklyn Tech(K) Athletic Fld Upgr,2020-03-02
Bklyn Tech(K) IPDVS Camera Install,2021-08-16
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-09-16
Bklyn Tech(K) Science Lab Upgr,2019-11-08
Bklyn Tech(K) Science Lab Upgr,2021-07-21
Bklyn Tech(K) Athletic Fld Upgr,2021-07-22
"Bedford Sty@K458(K) Ext Mas, Prpts",2021-01-22
Bklyn Tech(K) PA Systems,2021-10-26
"Brklyn Tech (K) Low Volt,Fire Supp",2021-07-16
"AFACS@K202 TCU Rem, Plygrnd",2021-01-20
Bklyn Academy HS(K) CofO Work,2020-01-27
Bklyn Academy HS(K) CofO Work,2020-01-30
"Adult&Cont Ed @K743 Ext Mas,Vent",2019-06-17
Bklyn Tech(K) PA Systems,2021-10-27
Bklyn Tech(K) Athletic Fld Upgr,2020-10-07
Bklyn Tech(K) PA Systems,2021-07-14
Bklyn Tech(K) Science Lab Upgr,2021-04-07
Bklyn Academy HS(K) CofO Work,2021-03-16
Bklyn Academy HS(K) CofO Work,2018-08-28
"ALC @ K799 Ext Mas,Wndws,Roofs,Prpts",2019-05-20
Bklyn Tech(K) Athletic Fld Upgr,2021-07-29
"Brklyn Tech (K) Low Volt,Fire Supp",2020-01-31
"Brklyn Tech (K) Low Volt,Fire Supp",2016-12-08
Bklyn Tech(K) Athletic Fld Upgr,2021-05-13
Bklyn Tech(K) Athletic Fld Upgr,2021-03-16
Bklyn Academy HS(K) CofO Work,2021-07-06
Acad for Env LS(K) @ BW Science Lab,2018-12-12
"Adult&Cont Ed @K743 Ext Mas,Vent",2019-08-12
"Bklyn Tech(K) Boiler, Climate Cntrl",2021-01-20
Bklyn Tech(K) Athletic Fld Upgr,2021-01-11
"Adult&Cont Ed @K743 Ext Mas,Vent",2021-05-19
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-06-30
"Bklyn Tech(K) Boiler, Climate Cntrl",2020-12-03
Bklyn Tech(K) PA Systems,2021-10-27
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2018-06-28
Bklyn Academy HS(K) CofO Work,2020-12-11
"Adult&Cont Ed @K743 Ext Mas,Vent",2021-05-03
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2018-09-04
Bklyn Tech(K) Athletic Fld Upgr,2021-08-04
Bklyn Tech(K) PA Systems,2021-07-14
"Brklyn Tech (K) Low Volt,Fire Supp",2021-09-23
"Bklyn Tech(K) Boiler, Climate Cntrl",2021-07-26
B.B. Academy @SSE(K) Windows Repl,2020-04-13
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2018-02-14
"Adult&Cont Ed @K743 Ext Mas,Vent",2021-06-23
"Bklyn HS of Arts(K) Boiler, Climate",2020-09-16
"A&P Mid school(K) Ext Mas,Prpts,Roof",2020-06-17
Bklyn Academy HS(K) CofO Work,2020-01-30
"ALC @ K799 Ext Mas,Wndws,Roofs,Prpts",2020-05-21
Bklyn Tech(K) Science Lab Upgr,2020-07-15
Bklyn Tech(K) PA Systems,2021-10-26
Bklyn Tech(K) PA Systems,2021-10-27
"Brklyn Tech (K) Low Volt,Fire Supp",2020-04-06
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-10-22
"Bklyn Tech(K) Boiler, Climate Cntrl",2021-06-02
Bklyn Tech(K) Athletic Fld Upgr,2021-06-15
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-09-16
Bklyn Tech(K) Athletic Fld Upgr,2021-01-27
"Adult&Cont Ed @K743 Ext Mas,Vent",2021-05-03
"A&P Mid school(K) Ext Mas,Prpts,Roof",2021-09-13
"Bklyn Tech(K) Boiler, Climate Cntrl",2021-04-19
Bklyn Tech(K) PA Systems,2021-10-27
"Adult&Cont Ed @K743 Ext Mas,Vent",2019-02-01
Bklyn Tech(K) Science Lab Upgr,2021-04-07
"AFACS@K202 TCU Rem, Plygrnd",2020-04-06
"Adult&Cont Ed @K743 Ext Mas,Vent",2021-06-22
"Adult&Cont Ed @K743 Ext Mas,Vent",2021-10-20
Bklyn Academy HS(K) CofO Work,2020-12-17
Bklyn Gen Sch@SH HS(K) Athletic Fld,2020-04-13
Bklyn Academy HS(K) CofO Work,2019-08-26
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-06-25
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2020-10-27
Bklyn Tech(K) Athletic Fld Upgr,2021-08-09
516 Sunset Park School(K) Int Reno,2021-02-10
Bklyn Academy HS(K) CofO Work,2019-05-16
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-02-12
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2020-05-12
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2019-11-06
"Boys&Girls HS(K)Boil Conv,Clim Cntrl",2016-07-27
Bklyn Academy HS(K) CofO Work,2021-05-03
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-09-23
"Bklyn HS of Arts(K) Boiler, Climate",2021-07-02
Bklyn Tech(K) IPDVS Camera Install,2021-08-19
Bklyn Academy HS(K) CofO Work,2019-11-26
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2021-06-08
"Adult&Cont Ed @K743 Ext Mas,Vent",2020-09-09
Bklyn Tech(K) Athletic Fld Upgr,2021-09-29
"Adult&Cont Ed @K743 Ext Mas,Vent",2019-09-03
Bklyn Tech(K) Science Lab Upgr,2021-06-17
"Brklyn Tech (K) Low Volt,Fire Supp",2017-02-15
"Bedford Sty@K458(K) Ext Mas, Prpts",2021-06-02
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-02-12
Bklyn Academy HS(K) CofO Work,2020-04-01
Bklyn Academy HS(K) CofO Work,2019-05-17
Bklyn Gen Sch@SH HS(K) Athletic Fld,2018-08-23
Bklyn Tech(K) Athletic Fld Upgr,2019-11-05
"Bklyn Tech(K) Boiler, Climate Cntrl",2021-07-26
Bklyn Tech(K) Science Lab Upgr,2021-06-11
Bklyn Tech(K) IPDVS Camera Install,2021-05-05
Bklyn Academy HS(K) CofO Work,2019-08-26
"Adult&Cont Ed @K743 Ext Mas,Vent",2019-10-21
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2018-11-23
Bklyn Tech(K) PA Systems,2021-09-24
"Adult&Cont Ed @K743 Ext Mas,Vent",2019-08-30
"ALC @ K799 Ext Mas,Wndws,Roofs,Prpts",2021-08-20
"Adult&Cont Ed @K743 Ext Mas,Vent",2021-05-17
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-06-02
"Bklyn HS of Arts(K) Boiler, Climate",2020-04-30
Bklyn Tech(K) Science Lab Upgr,2021-06-11
"Bklyn HS of Arts(K) FA, Sprnk, Vent",2018-05-01
Bklyn Tech(K) Athletic Fld Upgr,2021-06-14
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2017-02-09
"AFACS@K202 TCU Rem, Plygrnd",2021-01-22
"Bedford Sty@K458(K) Ext Mas, Prpts",2021-01-28
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2020-05-11
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-01-27
Bklyn Tech(K) Science Lab Upgr,2020-03-09
Bklyn Tech(K) Athletic Fld Upgr,2021-07-22
Bklyn Tech(K) Athletic Fld Upgr,2021-10-15
Bklyn Tech(K) PA Systems,2021-10-27
"Bklyn HS of Arts(K) Boiler, Climate",2021-04-16
Bklyn Academy HS(K) CofO Work,2019-04-02
"Adult&Cont Ed @K743 Ext Mas,Vent",2020-01-13
"Adult&Cont Ed @K743 Ext Mas,Vent",2021-09-14
Bklyn Tech(K) Athletic Fld Upgr,2021-04-06
"Bklyn Tech(K) Boiler, Climate Cntrl",2021-01-25
516 Sunset Park School(K) Int Reno,2021-07-22
"Bklyn Tech(K) Boiler, Climate Cntrl",2020-04-06
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2021-03-04
"Bklyn Tech(K) Roofs,Prpts,Ext Mas",2021-10-28
"A&P Mid school(K) Ext Mas,Prpts,Roof",2021-07-29
