problem_id,unique_key,unit_type,apartment,complaint_id,status_description,community_board
18384903,38629622.0,APARTMENT,1,8977260,"More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint.The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",10
17932886,37666461.0,APARTMENT,406,8690321,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",7
23136667,55537417.0,PUBLIC AREA,BLDG,11562244,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,9
18828474,40266837.0,APARTMENT,4C,9170928,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,14
18376169,38598815.0,BUILDING-WIDE,1C,8972666,"More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint.The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",12
17902816,37576599.0,APARTMENT,GF3,8670928,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,11
18833394,40299846.0,APARTMENT,7B,9172711,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,1
23196406,55722790.0,PUBLIC AREA,1F,11596166,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,8
18623716,,APARTMENT,5E,9089569,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,7
17938303,37677071.0,APARTMENT,2F,8694255,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,1
18828367,40267804.0,APARTMENT,4A,9170873,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,4
18388264,38634374.0,APARTMENT,31,8979076,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,12
10018521,15926372.0,APARTMENT,A2,5056552,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,12
23185688,55679606.0,APARTMENT,C,11586335,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,14
18379174,38625158.0,APARTMENT,1,8974584,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",4
23147777,55575958.0,APARTMENT,B5,11567761,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",14
23134639,55529483.0,APARTMENT,1B,11561384,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,5
17902827,37579372.0,APARTMENT,4C,8670931,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,9
23136739,55540802.0,PUBLIC AREA,BLDG,11562268,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,9
24748740,59516227.0,APARTMENT,11D,12490053,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",6
18362837,,APARTMENT,16F,8965761,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,10
23181386,55663709.0,APARTMENT,3TOTHE,11584290,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,5
23323331,55962334.0,APARTMENT,3,11677970,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,4
23298757,55932779.0,APARTMENT,2D,11657223,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,5
24115985,57647267.0,APARTMENT,6S,12176223,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,11
24155922,57792063.0,APARTMENT,3H,12189847,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,14
18623969,39464152.0,APARTMENT,1E,9089650,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,4
18145720,38058132.0,APARTMENT,D5,8835313,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,11
23200596,55737159.0,APARTMENT,3,11598379,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,5
23298465,55932698.0,APARTMENT,2NDFLO,11657048,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,5
18151401,38069129.0,APARTMENT,1D,8839587,"More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint.The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",8
18828472,40266292.0,APARTMENT,4C,9170928,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,14
24412276,58726199.0,APARTMENT,3A,12300391,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",7
18384844,38628217.0,APARTMENT,2E,8977233,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",1
17932882,37673370.0,BUILDING-WIDE,1,8690319,"More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint.The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",3
17902828,37577910.0,APARTMENT,4C,8670931,"More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint.The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",9
18623927,39462861.0,APARTMENT,5K,9089636,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,4
23668750,56657179.0,APARTMENT,1R,11898222,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",5
18623973,39464348.0,APARTMENT,1M,9089653,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,9
24097851,57559058.0,APARTMENT,4D,12166282,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,17
18623715,,APARTMENT,5E,9089569,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,7
24511844,59025188.0,APARTMENT,2,12342950,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,9
18384805,38620123.0,APARTMENT,B,8977225,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",10
18623626,39458622.0,PUBLIC AREA,BLDG,9089529,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",14
18669376,39665577.0,APARTMENT,6B,9108554,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,7
18623689,,APARTMENT,32S,9089555,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",14
