unique_key,major_category,problem_status,lot,bbl,house_number,census_tract,complaint_status,problem_code,post_code,council_district,longitude,space_type,nta,latitude
39463170.0,WATER LEAK,CLOSE,24,2039260024.0,1562,21601,CLOSE,FROM WALL OR CEILING,10460.0,18,-73.86589399999998,BATHROOM,Soundview-Bruckner-Bronx River,40.839697
55529388.0,APPLIANCE,CLOSE,120,4017150120.0,33-26,377,CLOSE,NO GAS OR ELECTRICITY,11368.0,21,-73.86736399999998,KITCHEN,North Corona,40.756841
37220688.0,APPLIANCE,CLOSE,1,2028290001.0,1970,241,CLOSE,BROKEN DOOR SEAL,10453.0,14,-73.908129,KITCHEN,Mount Hope,40.851615
55399958.0,WATER LEAK,CLOSE,86,3013140086.0,131,327,CLOSE,FROM WALL OR CEILING,11225.0,40,-73.95629599999998,BUILDING ENTRANCE,Prospect Lefferts Gardens-Wingate,40.662797
36360846.0,PAINT/PLASTER,CLOSE,11,2031640011.0,2320,23703,CLOSE,CHIPPED/PEELING/FLAKING,10468.0,14,-73.900532,BATHROOM,Fordham Heights,40.858424
55482367.0,UNSANITARY CONDITION,CLOSE,22,3014070022.0,1580,35302,CLOSE,ACCUMULATION,11213.0,35,-73.935613,HALLWAY,Crown Heights (South),40.667242
,GENERAL,CLOSE,33,2033160033.0,60,40304,CLOSE,MOLD,10468.0,14,-73.894728,BEDROOM,Bedford Park,40.868634
40267654.0,UNSANITARY CONDITION,CLOSE,65,3038380065.0,333,1128,CLOSE,MICE,11207.0,42,-73.894475,ENTIRE APARTMENT,East New York-New Lots,40.661236
38620105.0,WATER LEAK,CLOSE,61,1010660061.0,454,139,CLOSE,FROM WALL OR CEILING,10019.0,3,-73.98724199999998,BEDROOM,Hell's Kitchen,40.768552
38627878.0,APPLIANCE,CLOSE,39,2039700039.0,1417,202,CLOSE,PILOT LIGHT OUT,10462.0,18,-73.84716199999998,KITCHEN,Westchester Square,40.83711
37580501.0,PLUMBING,CLOSE,25,1016430025.0,163,182,CLOSE,LOW WATER PRESSURE,10029.0,8,-73.941501,BATHROOM,East Harlem (North),40.797689
52973149.0,UNSANITARY CONDITION,CLOSE,10,1014230010.0,1299,118,CLOSE,ACCUMULATION,10065.0,4,-73.96017399999998,YARD,Upper East Side-Lenox Hill-Roosevelt Island,40.766339
55683176.0,FLOORING/STAIRS,CLOSE,18,3011490018.0,880,305,CLOSE,SAGGING OR SLOPING,11238.0,35,-73.958161,BEDROOM,Crown Heights (North),40.677301
38066758.0,HEAT/HOT WATER,CLOSE,6,1019410006.0,245,228,CLOSE,NO HEAT,10030.0,9,-73.94583,BUILDING-WIDE,Harlem (North),40.81621
56655349.0,HEAT/HOT WATER,CLOSE,51,3040880051.0,563,1124,CLOSE,NO HEAT,11207.0,42,-73.887907,ENTIRE APARTMENT,East New York-New Lots,40.664145
38628126.0,HEAT/HOT WATER,CLOSE,39,2039700039.0,1417,202,CLOSE,NO HEAT AND NO HOT WATER,10462.0,18,-73.84716199999998,ENTIRE APARTMENT,Westchester Square,40.83711
55721823.0,UNSANITARY CONDITION,CLOSE,13,3013690013.0,1564,359,CLOSE,MISSING OR INADEQUATE CANS/LID,11233.0,41,-73.92438199999998,BUILDING-WIDE,Crown Heights (North),40.672903
38629915.0,WATER LEAK,CLOSE,13,3031710013.0,48,391,CLOSE,FROM WALL OR CEILING,11206.0,34,-73.933228,ENTIRE APARTMENT,Bushwick (West),40.698646
39788167.0,PLUMBING,CLOSE,23,3011790023.0,326,215,CLOSE,FAUCET BROKEN/MISSING/LEAKING,11238.0,35,-73.965525,BATHROOM,Prospect Heights,40.67334
55624269.0,WATER LEAK,CLOSE,52,3012230052.0,971,311,CLOSE,AT WALL OR CEILING,11213.0,36,-73.939161,BEDROOM,Crown Heights (North),40.674622
38626623.0,GENERAL,CLOSE,24,3034320024.0,1002,403,CLOSE,DAMAGED OR MISSING,11207.0,37,-73.911388,KITCHEN,Bushwick (East),40.684836
55628025.0,FLOORING/STAIRS,CLOSE,52,3012230052.0,971,311,CLOSE,BROKEN OR DEFECTIVE,11213.0,36,-73.939161,BEDROOM,Crown Heights (North),40.674622
38620871.0,ELECTRIC,CLOSE,13,3031710013.0,48,391,CLOSE,EXPOSED,11206.0,34,-73.933228,KITCHEN,Bushwick (West),40.698646
39466254.0,GENERAL,CLOSE,28,1007410028.0,313,83,CLOSE,ESSENTIAL SERVICE POSTING,10011.0,3,-74.001794,ENTIRE APARTMENT,Chelsea-Hudson Yards,40.741956
40270106.0,UNSANITARY CONDITION,CLOSE,54,2024890054.0,1265,197,CLOSE,,10452.0,16,-73.919613,ENTIRE APARTMENT,Concourse-Concourse Village,40.836588
38625634.0,PAINT/PLASTER,CLOSE,13,3031710013.0,48,391,CLOSE,BULGING/HOLE/CRACKED,11206.0,34,-73.933228,ENTIRE APARTMENT,Bushwick (West),40.698646
55617531.0,DOOR/WINDOW,CLOSE,1,3050630001.0,59,50803,CLOSE,LOCK BROKEN OR MISSING,11226.0,40,-73.960519,ENTRANCE/FOYER,Flatbush,40.653128
56659373.0,FLOORING/STAIRS,CLOSE,51,3040880051.0,563,1124,CLOSE,HOLE IN WALKING AREA,11207.0,42,-73.887907,LIVING ROOM,East New York-New Lots,40.664145
57569901.0,PAINT/PLASTER,CLOSE,49,3032680049.0,217,431,CLOSE,COLLAPSING OR FALLING,11237.0,37,-73.920536,BATHROOM,Bushwick (West),40.699418
40270052.0,PAINT/PLASTER,CLOSE,54,2024890054.0,1265,197,CLOSE,CHIPPED/PEELING/FLAKING,10452.0,16,-73.919613,ENTIRE APARTMENT,Concourse-Concourse Village,40.836588
40299179.0,PLUMBING,CLOSE,90,5001150090.0,395,75,CLOSE,LOW WATER PRESSURE,10301.0,49,-74.08672,BATHROOM,West New Brighton-Silver Lake-Grymes Hill,40.632775
38597249.0,APPLIANCE,CLOSE,190,2032580190.0,3605,279,CLOSE,PILOT LIGHT OUT,10463.0,11,-73.896483,KITCHEN,Kingsbridge Heights-Van Cortlandt Village,40.881542
37679334.0,ELECTRIC,CLOSE,34,2048370034.0,723,396,CLOSE,ONE ROOM OR AREA,10466.0,12,-73.86025999999998,BUILDING ENTRANCE,Williamsbridge-Olinville,40.886093
38627271.0,UNSANITARY CONDITION,CLOSE,24,3034320024.0,1002,403,CLOSE,MICE,11207.0,37,-73.911388,ENTIRE APARTMENT,Bushwick (East),40.684836
36592704.0,ELECTRIC,CLOSE,7503,1003977503.0,250,3002,CLOSE,EXPOSED,10002.0,2,-73.985321,HALLWAY,East Village,40.721937
55668337.0,SAFETY,CLOSE,92,3011520092.0,239,205,CLOSE,BROKEN OR MISSING,11238.0,35,-73.96819499999998,ENTIRE APARTMENT,Prospect Heights,40.677532
38597569.0,HEAT/HOT WATER,CLOSE,48,1019880048.0,514,22301,CLOSE,NO HEAT,10031.0,7,-73.952895,ENTIRE APARTMENT,Manhattanville-West Harlem,40.819219
40270020.0,PAINT/PLASTER,CLOSE,12,3051220012.0,120,512,CLOSE,PEELING OR FLAKING PAINT,11226.0,40,-73.961554,BATHROOM,Flatbush,40.64644
37584238.0,DOOR/WINDOW,CLOSE,25,1016430025.0,163,182,CLOSE,NOT SELF-CLOSING,10029.0,8,-73.941501,ENTRANCE/FOYER,East Harlem (North),40.797689
58313885.0,FLOORING/STAIRS,CLOSE,55,2037400055.0,1135,5002,CLOSE,BROKEN OR DEFECTIVE,10472.0,18,-73.87804099999998,ENTIRE APARTMENT,Soundview-Bruckner-Bronx River,40.827777
55731050.0,SAFETY,CLOSE,13,3041740013.0,61,1186,CLOSE,BROKEN OR MISSING,11208.0,37,-73.86772399999998,ENTIRE APARTMENT,East New York-City Line,40.681245
55738494.0,ELECTRIC,CLOSE,13,3041740013.0,61,1186,CLOSE,EXPOSED,11208.0,37,-73.86772399999998,OTHER ROOM/AREA,East New York-City Line,40.681245
39791099.0,UNSANITARY CONDITION,CLOSE,23,3011790023.0,326,215,CLOSE,MICE,11238.0,35,-73.965525,ENTIRE APARTMENT,Prospect Heights,40.67334
38626537.0,ELECTRIC,CLOSE,24,3034320024.0,1002,403,CLOSE,FIXTURE WET OR FLOODED,11207.0,37,-73.911388,BEDROOM,Bushwick (East),40.684836
38620104.0,WATER LEAK,CLOSE,24,3034320024.0,1002,403,CLOSE,FROM WALL OR CEILING,11207.0,37,-73.911388,BEDROOM,Bushwick (East),40.684836
38598604.0,WATER LEAK,CLOSE,34,2024590034.0,888,5902,CLOSE,FROM WALL OR CEILING,10451.0,16,-73.922751,KITCHEN,Concourse-Concourse Village,40.826613
55960421.0,FLOORING/STAIRS,CLOSE,8,3032360008.0,313,429,CLOSE,BROKEN OR DEFECTIVE,11237.0,37,-73.923015,BATHROOM,Bushwick (West),40.701472
60864594.0,FLOORING/STAIRS,CLOSE,23,4049570023.0,139-09,88902,CLOSE,SAGGING OR SLOPING,11354.0,20,-73.82879699999998,BATHROOM,Flushing-Willets Point,40.766383
38067399.0,HEAT/HOT WATER,CLOSE,68,3014320068.0,327,303,CLOSE,NO HEAT,11233.0,41,-73.91926599999998,ENTIRE APARTMENT,Ocean Hill,40.67641
40710146.0,HEAT/HOT WATER,CLOSE,40,4096000040.0,120-11,166,CLOSE,NO HEAT,11420.0,28,-73.82111299999998,BEDROOM,South Ozone Park,40.682566
55885052.0,HEAT/HOT WATER,CLOSE,56,3013560056.0,1297,307,CLOSE,NO HEAT AND NO HOT WATER,11213.0,41,-73.925815,ENTIRE APARTMENT,Crown Heights (North),40.673892
