problem_id,minor_category,problem_status_date,street_name,complaint_anonymous_flag,complaint_status_date,received_date,borough,block,type,problem_duplicate_flag,building_id,bin
17172242,ENTIRE BUILDING,2017-01-13T02:15:24.000,PROSPECT AVENUE,Y,2017-01-13T05:20:48.000,2017-01-08T17:45:47.000,BRONX,3110,EMERGENCY,N,1012317,2128907.0
18828504,PESTS,2018-09-20T09:48:36.000,NEW LOTS AVENUE,N,2018-09-22T05:20:40.000,2018-09-13T19:41:49.000,BROOKLYN,3838,NON EMERGENCY,N,342754,3085508.0
23136678,DOOR,2023-05-18T11:53:12.000,LEFFERTS AVENUE,Y,2023-05-19T05:20:22.000,2022-09-27T09:53:14.000,BROOKLYN,1332,EMERGENCY,N,908285,3397935.0
18828593,GARBAGE/RECYCLING STORAGE,2018-09-18T15:04:28.000,61 STREET,N,2018-09-19T05:20:33.000,2018-09-13T20:16:01.000,BROOKLYN,5791,NON EMERGENCY,N,162819,3143728.0
18384904,APARTMENT ONLY,2018-03-07T02:08:56.000,ST MARKS PLACE,N,2018-03-07T05:20:34.000,2018-03-06T16:55:40.000,STATEN ISLAND,13,EMERGENCY,Y,784046,5116656.0
18828591,FIRE ESCAPE,2018-09-18T15:04:27.000,61 STREET,N,2018-09-19T05:20:33.000,2018-09-13T20:16:01.000,BROOKLYN,5791,IMMEDIATE EMERGENCY,N,162819,3143728.0
18155414,ENTIRE BUILDING,2018-01-04T14:09:02.000,DEAN STREET,Y,2018-01-05T05:20:42.000,2018-01-01T16:15:57.000,BROOKLYN,1130,EMERGENCY,N,231421,3027676.0
18151512,ENTIRE BUILDING,2018-01-03T02:04:33.000,CRESTON AVENUE,Y,2018-01-03T05:20:45.000,2017-12-31T22:50:42.000,BRONX,3163,EMERGENCY,Y,59187,2013767.0
18151446,ENTIRE BUILDING,2018-01-04T02:04:57.000,ST NICHOLAS PLACE,N,2018-01-04T05:20:46.000,2017-12-31T22:07:15.000,MANHATTAN,2069,EMERGENCY,Y,28339,1061700.0
23166787,RADIATOR,2023-05-18T13:40:30.000,ST MARKS AVENUE,N,2023-05-19T05:20:21.000,2022-10-06T13:22:30.000,BROOKLYN,1223,EMERGENCY,N,375083,3030844.0
23258612,DAMP SPOT,2023-05-17T14:56:13.000,NOSTRAND AVENUE,N,2023-05-20T05:20:21.000,2022-11-02T12:40:19.000,BROOKLYN,6836,NON EMERGENCY,N,346686,3184662.0
18833393,WIRING,2018-09-19T10:40:03.000,VICTORY BOULEVARD,N,2018-09-20T05:20:31.000,2018-09-16T20:14:01.000,STATEN ISLAND,115,EMERGENCY,N,791117,5002753.0
23166788,FLOOR,2023-05-18T13:40:30.000,ST MARKS AVENUE,N,2023-05-19T05:20:21.000,2022-10-06T13:22:30.000,BROOKLYN,1223,NON EMERGENCY,N,375083,3030844.0
23076201,GARBAGE/RECYCLING STORAGE,2023-06-05T08:35:17.000,CHESTNUT STREET,Y,2023-06-06T05:20:19.000,2022-09-02T16:27:45.000,BROOKLYN,4193,NON EMERGENCY,N,219735,3094275.0
23257686,DOOR,2023-05-21T02:02:14.000,BRADFORD STREET,N,2023-05-21T05:20:15.000,2022-11-02T07:51:50.000,BROOKLYN,3826,EMERGENCY,N,211501,3085166.0
23417188,POWER OUTAGE,2023-10-18T10:24:35.000,WICKHAM AVENUE,N,2023-10-18T10:24:35.000,2022-11-26T23:19:20.000,BRONX,4755,NON EMERGENCY,N,123901,2061594.0
18376504,ENTIRE BUILDING,2018-03-07T02:05:23.000,GRAND CONCOURSE,Y,2018-03-07T05:20:31.000,2018-03-03T14:13:40.000,BRONX,2461,EMERGENCY,N,81994,2002815.0
18379179,FLOOR,2018-03-23T08:56:46.000,JEFFERSON STREET,N,2018-03-30T05:20:34.000,2018-03-05T01:09:17.000,BROOKLYN,3171,NON EMERGENCY,N,317840,3072195.0
23148082,SLOW LEAK,2023-05-18T11:49:41.000,EAST 18 STREET,N,2023-05-19T05:20:18.000,2022-10-01T11:13:01.000,BROOKLYN,5160,NON EMERGENCY,N,247834,3118778.0
23181454,PESTS,2023-05-18T09:51:13.000,CHURCH AVENUE,N,2023-05-19T05:20:12.000,2022-10-10T15:55:07.000,BROOKLYN,5090,NON EMERGENCY,N,989769,3418326.0
