the_geom,wpaa_id,sign_name,shape_leng,shape_area
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97299557651148, 40.73663871487717], [-73.97302701716423, 40.736651647232655], [-73.97296862688745, 40.736738092187], [-73.97293449122927, 40.73677008371044], [-73.97288957462723, 40.736759873995126], [-73.97277548927518, 40.73673809261647], [-73.97270991231377, 40.736758512316406], [-73.97268296309473, 40.73679799138848], [-73.97267308106657, 40.73685925058208], [-73.97267757312075, 40.73708046766095], [-73.97267577650685, 40.73722068438022], [-73.97269194570525, 40.737330950872604], [-73.97267487755404, 40.73743237009675], [-73.9726721825228, 40.73754331739742], [-73.97269733509879, 40.73768829788128], [-73.97268835235924, 40.73774751493062], [-73.97268925063764, 40.73787820130405], [-73.97268116543974, 40.73796872831106], [-73.9726973355796, 40.73810894297031], [-73.97269733571932, 40.7382443928089], [-73.97270811537923, 40.738420001530564], [-73.97269464115983, 40.738645977085376], [-73.97268655566356, 40.738846767617254], [-73.9726587079557, 40.738840642061284], [-73.97265870797338, 40.738696344748256], [-73.97265870780731, 40.73859288634655], [-73.97265331863534, 40.73839685899678], [-73.9726488268182, 40.738088523257645], [-73.97263175881348, 40.73782579072273], [-73.97263175869381, 40.737673323083904], [-73.97262906378792, 40.737423521635485], [-73.97262636810572, 40.73732550614328], [-73.97261558893322, 40.73721591900564], [-73.97261918246397, 40.7371485339725], [-73.97261289398884, 40.73711041668978], [-73.97261469022484, 40.73706072800494], [-73.9726048090905, 40.73700151007183], [-73.97261828399704, 40.73692935919876], [-73.97261469015761, 40.73682181431358], [-73.97260480893354, 40.73668227739492], [-73.97258235178732, 40.73652776563783], [-73.97258774153104, 40.73648556372563], [-73.97264523268682, 40.73651074838825], [-73.97272159010707, 40.73654137926067], [-73.97278357357793, 40.7365679246847], [-73.97282040465068, 40.73658289982157], [-73.97288688024176, 40.736593790022724], [-73.97299557651148, 40.73663871487717]]]]}",1060007,Waterside Houses,1884.11273744,18417.9331938
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96400847652994, 40.720934456353596], [-73.96400855203156, 40.720934915637145], [-73.96400586875033, 40.72093288324848], [-73.96400847652994, 40.720934456353596]]], [[[-73.96400847652994, 40.720934456353596], [-73.9640005051273, 40.72088612710858], [-73.96395222601626, 40.72078651833198], [-73.9636518177343, 40.7205303801544], [-73.96404342019142, 40.72009534978905], [-73.96419630624384, 40.72018072974153], [-73.96427606188345, 40.72008277725118], [-73.96437396200045, 40.72013877336901], [-73.96433846379541, 40.72017056478236], [-73.96444843390707, 40.72023155069668], [-73.96430091227543, 40.7203941794354], [-73.96465228198906, 40.72061169431077], [-73.9645798621683, 40.7206828438393], [-73.96431432338774, 40.72052021533411], [-73.96405951365654, 40.7207661904484], [-73.96501974487506, 40.72136587533077], [-73.96490172620263, 40.721473614206175], [-73.96400847652994, 40.720934456353596]]]]}",3010003,Williamsburg - The Edge,1707.61134257,52838.2664321
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.00166351220646, 40.706040378077134], [-74.00141018688919, 40.70618474603986], [-74.0005954149033, 40.70543770598219], [-74.001058047928, 40.70514692390361], [-74.00111194604285, 40.70519459287149], [-74.00089455400996, 40.7053396437513], [-74.0016706983454, 40.70603288661885], [-74.00167159655656, 40.706035610652734], [-74.00166351220646, 40.706040378077134]]]]}",1010003,Pier 17 (2of2),1046.55627483,33461.3368119
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.00357981635474, 40.75986604836566], [-74.00392984405266, 40.76001740548853], [-74.00313725139114, 40.76108502481643], [-74.00280063456964, 40.76093671679361], [-74.00302728143875, 40.760632989783794], [-74.00321294192418, 40.7607048963492], [-74.0031412756456, 40.76080872560114], [-74.00326197418148, 40.76085138905303], [-74.00329281979884, 40.760839199846394], [-74.00379841590325, 40.760142351315395], [-74.0036669879647, 40.76008648106145], [-74.0036374836324, 40.76012508212858], [-74.00345241096113, 40.760038737532035], [-74.0035773804155, 40.759868379847916], [-74.00357981635474, 40.75986604836566]]]]}",1040008,Pier 79 (West Midtown Ferry),1420.41099089,21677.0656769
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99666169213383, 40.67271091677281], [-73.99672457438002, 40.672640740534774], [-73.99721685180431, 40.67287307199238], [-73.99723661409858, 40.67293098369533], [-73.99695454316708, 40.67329548887514], [-73.99657186146005, 40.67374174995424], [-73.9963176381874, 40.67359935626336], [-73.99615504230428, 40.67347467553647], [-73.9960741943645, 40.67341676338434], [-73.9960373635895, 40.67339836820101], [-73.99607060100819, 40.6733595328278], [-73.99648292807352, 40.673561883799856], [-73.99660240413709, 40.67354621302528], [-73.99709198542736, 40.67296028109132], [-73.99710456197374, 40.67294869808265], [-73.99712432511755, 40.67293030285558], [-73.99666169213383, 40.67271091677281]]]]}",3060003,LOWES Gowanus,1361.21108488,20946.8857277
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93802236582634, 40.768581641610155], [-73.93808973981933, 40.76852585290353], [-73.93814094346709, 40.76855714859747], [-73.93884073072137, 40.76782917850763], [-73.93886229080022, 40.767840744315016], [-73.93917759964134, 40.768015594532024], [-73.93930695609009, 40.76808771115562], [-73.93935277039067, 40.76804144758382], [-73.93940397493166, 40.76807070217746], [-73.93960968888945, 40.76786387620994], [-73.93965550282577, 40.76781761251621], [-73.93983516563765, 40.767882926365445], [-73.9399833874902, 40.767645484076084], [-73.94012083017839, 40.7676951499383], [-73.94025467885487, 40.76748151905127], [-73.94029330608457, 40.76741824625939], [-73.94052507165715, 40.76750261007066], [-73.94048105459258, 40.76752846331901], [-73.94031127292544, 40.76769923168541], [-73.94003279545099, 40.767845507203425], [-73.93982348777708, 40.767955723299174], [-73.93963484106978, 40.76801831589013], [-73.93936355017829, 40.76815166411668], [-73.93895481709401, 40.76793463307898], [-73.93836372545032, 40.76850680376194], [-73.93817238399527, 40.768664643296155], [-73.93802236582634, 40.768581641610155]]]]}",4010001,Costco Esplanade,2001.38132388,34238.6675158
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9590323524025, 40.736096537976366], [-73.95960700360885, 40.7367047503273], [-73.95968144747053, 40.73667372960858], [-73.96008377864922, 40.736775347082116], [-73.95998251309913, 40.73687140331774], [-73.95987456548053, 40.73699890556625], [-73.95920937850593, 40.737523248222246], [-73.9582920621125, 40.73651114069465], [-73.95843690208248, 40.73642578169735], [-73.95889287750853, 40.736917611795626], [-73.9591610985654, 40.73705581089064], [-73.95941749283588, 40.73720142267275], [-73.95971631508645, 40.73698061413703], [-73.95956879363206, 40.736840382201905], [-73.95890360639092, 40.73617376828272], [-73.9590323524025, 40.736096537976366]]]]}",3010014,Greenpoint Landing,2207.07602615,58890.311687
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.01117390309541, 40.74799725668129], [-74.01117554478982, 40.74798656391099], [-74.01117541773039, 40.747984393703305], [-74.01117582683668, 40.747980926714625], [-74.0112995836835, 40.74798981974632], [-74.01137273583663, 40.74763126157227], [-74.01025559532287, 40.747517284019615], [-74.00912653011659, 40.747392405852395], [-74.00915186645484, 40.74729653143726], [-74.00922411278674, 40.74674865130364], [-74.01149594412765, 40.74697624085312], [-74.01154039564365, 40.746633717097126], [-74.00930879846472, 40.7463776781713], [-74.00940113780148, 40.74572855678408], [-74.01168094592602, 40.74596849431068], [-74.01175343612238, 40.7456269527303], [-74.0117239319058, 40.74559647088945], [-74.00947624027715, 40.74535058822087], [-74.00954273620083, 40.745028562474204], [-74.00876489642842, 40.74492862033315], [-74.00812704178172, 40.7483851366602], [-74.00839236001211, 40.748506654449685], [-74.0086176647216, 40.74853916589681], [-74.0087356823991, 40.748543229995875], [-74.0087678689853, 40.74843350177433], [-74.00878932727609, 40.74840099006495], [-74.0088590639991, 40.748405054109725], [-74.0089999788163, 40.74773193909859], [-74.00975197207907, 40.747803243906155], [-74.01020185210758, 40.74785053464588], [-74.010554196765, 40.74790761570657], [-74.01086396873413, 40.74794954869498], [-74.0109585775034, 40.74795989375327], [-74.01102775542961, 40.74796645184122], [-74.01117524079669, 40.74798136892004], [-74.01117541773039, 40.747984393703305], [-74.01117390309541, 40.74799725668129], [-74.01117194796228, 40.748009978322465], [-74.0110976143117, 40.74800205835209], [-74.0090382609333, 40.747767776250164], [-74.00888347176941, 40.74841694071239], [-74.00887006088138, 40.748443357194084], [-74.00880568809666, 40.748431164777266], [-74.00877886645127, 40.74857543601685], [-74.0083953095455, 40.74853479685332], [-74.00808417394435, 40.74839865357311], [-74.0087386334691, 40.74494416957562], [-74.00873595134837, 40.744905559657084], [-74.00956207168868, 40.74499903596025], [-74.00957548177512, 40.745039678311606], [-74.00951647342166, 40.74532620368819], [-74.0117561184515, 40.74557615038004], [-74.01178294038772, 40.745610695572665], [-74.01171320168937, 40.745970373093435], [-74.01167565173964, 40.74598662924723], [-74.00945478279816, 40.74575497325422], [-74.00934481139171, 40.746346305212725], [-74.01153885843995, 40.746584055223046], [-74.01158713911273, 40.74661860010559], [-74.01154154100841, 40.746964047939436], [-74.01150667264135, 40.747002657036475], [-74.00926434536147, 40.74677303648913], [-74.00917583191446, 40.74736639081053], [-74.0113859723697, 40.7475960090456], [-74.0114154768986, 40.74764477844596], [-74.01135110522483, 40.74801257317442], [-74.01130524251077, 40.74802565483657], [-74.01125519576298, 40.748020597992365], [-74.01117241328951, 40.74800990623684], [-74.01117390309541, 40.74799725668129]]]]}",1040007,Chelsea Piers,13639.4653943,71652.3229403
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83986075960074, 40.66135639065176], [-73.8398400979898, 40.661293016758314], [-73.83982213249112, 40.66122623635387], [-73.83980033802735, 40.661158950826184], [-73.83978350433519, 40.661078363449626], [-73.8397763177677, 40.660997271709796], [-73.83977351580012, 40.66093301135261], [-73.83983886458934, 40.660919693648204], [-73.83995328652694, 40.66129642426777], [-73.84013474559805, 40.661273936720804], [-73.84014193240712, 40.661305282928836], [-73.83996226906808, 40.66132845197603], [-73.84009791462489, 40.66179727999736], [-73.83998562504044, 40.66181363484473], [-73.8399604720611, 40.66172504833486], [-73.83993801437347, 40.66162010676223], [-73.83991945210954, 40.66154026353425], [-73.83990104215154, 40.66145758298278], [-73.83986075960074, 40.66135639065176]]]]}",4100004,157-41 Cross Bay Boulevard,806.43851909,9924.93917294
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96966013158719, 40.70943566667342], [-73.96969696259902, 40.70929130644402], [-73.96968079329827, 40.708936530539596], [-73.96967180958572, 40.70874041666496], [-73.96909239649341, 40.70871454035162], [-73.96857047460477, 40.70869070658504], [-73.9685623901728, 40.708521829722486], [-73.96919121115351, 40.70850548706567], [-73.96919390552092, 40.70856472971351], [-73.9697706241101, 40.70855383423787], [-73.96977062472756, 40.70855247266517], [-73.96986674446386, 40.7085511110797], [-73.9698676421618, 40.70857834907512], [-73.96986225279075, 40.7085790302517], [-73.96991076199016, 40.70929879624583], [-73.96991255782604, 40.709313096830705], [-73.96989189674017, 40.709371657965626], [-73.96986045594866, 40.709459499992896], [-73.96966013158719, 40.70943566667342]]]]}",3010001,Schaefer Landing,1395.70045003,38925.8852381
