fy3_amt,discpln_sys,agy_name
0.0,Site Enclosure,DEPT. OF HOMELESS SERVICES
205000.0,Electrical,DEPT. OF HEALTH & MENTAL HYGIENE
28000.0,Exterior Architecture,CITY UNIVERSITY OF NEW YORK
97000.0,Electrical,ADMIN. FOR CHILDREN'S SERVICES
2825000.0,Mechanical,CITY UNIVERSITY OF NEW YORK
3191000.0,Elevators/Escalators,HEALTH AND HOSPITALS CORP.
1367000.0,Mechanical,DEPARTMENT OF SANITATION
0.0,Site Pavements,HUMAN RESOURCES ADMINISTRATION
0.0,Site Pavements,QUEENS PUBLIC LIBRARY
13000.0,Site Pavements,DEPARTMENT OF TRANSPORTATION
0.0,Site Pavements,BROOKLYN PUBLIC LIBRARY
13000.0,Exterior Architecture,ADMIN. FOR CHILDREN'S SERVICES
15000.0,Miscellaneous Buildings,DEPARTMENT OF TRANSPORTATION
238000.0,Marinas/Docks,DEPT. OF PARKS & RECREATION
16000.0,Elevators/Escalators,DIV. OF YOUTH & FAMILY JUSTICE
0.0,Site Pavements,DIV. OF YOUTH & FAMILY JUSTICE
0.0,Site Enclosure,NEW YORK PUBLIC LIBRARY
0.0,Site Enclosure,DEPT. OF HEALTH & MENTAL HYGIENE
698000.0,Mechanical,DEPT. OF HEALTH & MENTAL HYGIENE
660000.0,Electrical,DEPT. OF PARKS & RECREATION
0.0,Bulkheads,CITY UNIVERSITY OF NEW YORK
2385000.0,Mechanical,POLICE DEPARTMENT
0.0,Site Pavements,DEPARTMENT OF SANITATION
127000.0,Electrical,DEPARTMENT OF TRANSPORTATION
225000.0,Exterior Architecture,DEPT. OF HOMELESS SERVICES
17000.0,Site Enclosure,DEPT. OF PARKS & RECREATION
0.0,Parks' Streets and Roads,DEPT. OF PARKS & RECREATION
2289000.0,Electrical,HEALTH AND HOSPITALS CORP.
11000.0,Park Bridges,DEPT. OF PARKS & RECREATION
422000.0,Mechanical,QUEENS PUBLIC LIBRARY
28000.0,Miscellaneous Buildings,HEALTH AND HOSPITALS CORP.
0.0,Secondary Streets,DEPARTMENT OF TRANSPORTATION
5000.0,Piers,DEPARTMENT OF SANITATION
2431000.0,Interior Architecture,DEPARTMENT OF CULTURAL AFFAIRS
1362000.0,Mechanical,DEPT. OF HOMELESS SERVICES
307000.0,Interior Architecture,FIRE DEPARTMENT
0.0,Site Enclosure,DEPARTMENT OF CULTURAL AFFAIRS
11703000.0,Interior Architecture,DEPARTMENT OF EDUCATION
1289000.0,Elevators/Escalators,DEPARTMENT OF CULTURAL AFFAIRS
7000.0,Miscellaneous Buildings,DEPT. OF HEALTH & MENTAL HYGIENE
0.0,Site Enclosure,ADMIN. FOR CHILDREN'S SERVICES
101000.0,Interior Architecture,DEPT. OF HEALTH & MENTAL HYGIENE
119000.0,Bulkheads,DEPT. OF SMALL BUSINESS SERV.
0.0,Piers,FIRE DEPARTMENT
0.0,Site Enclosure,HEALTH AND HOSPITALS CORP.
0.0,Piers,DEPARTMENT OF CORRECTION
128000.0,Mechanical,DEPARTMENT FOR THE AGING
49000.0,Marinas/Docks,DEPT. OF SMALL BUSINESS SERV.
653000.0,Electrical,CITY UNIVERSITY OF NEW YORK
95000.0,Miscellaneous Buildings,POLICE DEPARTMENT
20000.0,Site Pavements,DEPARTMENT OF CULTURAL AFFAIRS
238000.0,Elevators/Escalators,DEPT. OF PARKS & RECREATION
46000.0,Interior Architecture,DEPARTMENT OF TRANSPORTATION
428000.0,Elevators/Escalators,POLICE DEPARTMENT
463000.0,Exterior Architecture,FIRE DEPARTMENT
41000.0,Exterior Architecture,QUEENS PUBLIC LIBRARY
13000.0,Marinas/Docks,DEPARTMENT OF CORRECTION
79000.0,Elevators/Escalators,QUEENS PUBLIC LIBRARY
0.0,Bulkheads,DEPARTMENT OF CORRECTION
0.0,Site Enclosure,DEPARTMENT OF TRANSPORTATION
115000.0,Exterior Architecture,NEW YORK PUBLIC LIBRARY
31942000.0,Street Lighting System,DEPARTMENT OF TRANSPORTATION
0.0,Site Pavements,DEPARTMENT OF CORRECTION
8105000.0,Ferries,DEPARTMENT OF TRANSPORTATION
99000.0,Mechanical,ADMIN. FOR CHILDREN'S SERVICES
22000.0,Marinas/Docks,POLICE DEPARTMENT
0.0,Parks' Walls,DEPT. OF PARKS & RECREATION
8000.0,Miscellaneous Buildings,DEPARTMENT OF SANITATION
3008000.0,Parks' Water and Sewer Utilities,DEPT. OF PARKS & RECREATION
93000.0,Interior Architecture,DEPARTMENT OF CORRECTION
1299000.0,Mechanical,DEPT. OF PARKS & RECREATION
