total_days,days_present,school_name,chronically_absent
2975,2767,P.S. 034 Franklin D. Roosevelt,3
5278,4979,P.S. 015 Roberto Clemente,5
5523,5005,P.S. 034 Franklin D. Roosevelt,13
88007,81318,P.S. 020 Anna Silver,158
13500,12401,P.S. 020 Anna Silver,28
7583,6976,P.S. 019 Asher Levy,17
4550,4339,P.S. 019 Asher Levy,3
2990,2590,P.S. 034 Franklin D. Roosevelt,11
4463,4120,P.S. 015 Roberto Clemente,10
1855,1653,P.S. 019 Asher Levy,4
5861,4938,P.S. 020 Anna Silver,23
2981,2483,P.S. 034 Franklin D. Roosevelt,13
5205,4729,P.S. 019 Asher Levy,7
16233,15390,P.S. 020 Anna Silver,15
71138,65656,P.S. 020 Anna Silver,99
4233,3475,P.S. 034 Franklin D. Roosevelt,17
4019,3742,P.S. 019 Asher Levy,5
53694,48932,P.S. 020 Anna Silver,192
7630,6935,The STAR Academy - P.S.63,18
7174,6273,P.S. 020 Anna Silver,33
7735,6933,P.S. 034 Franklin D. Roosevelt,21
3162,2922,P.S. 034 Franklin D. Roosevelt,6
7428,6941,P.S. 020 Anna Silver,21
47382,42898,P.S. 019 Asher Levy,94
16779,15589,P.S. 020 Anna Silver,29
4508,4071,P.S. 019 Asher Levy,13
4968,4609,P.S. 015 Roberto Clemente,8
6528,5941,The STAR Academy - P.S.63,16
2554,2214,P.S. 034 Franklin D. Roosevelt,12
3669,3188,P.S. 034 Franklin D. Roosevelt,14
4685,3919,P.S. 015 Roberto Clemente,15
5519,5164,P.S. 015 Roberto Clemente,7
1490,1292,P.S. 015 Roberto Clemente,10
14703,13498,P.S. 020 Anna Silver,25
4845,4559,P.S. 019 Asher Levy,8
44723,40744,P.S. 019 Asher Levy,87
30601,28607,P.S. 015 Roberto Clemente,51
4375,3887,The STAR Academy - P.S.63,11
3365,2947,P.S. 034 Franklin D. Roosevelt,9
6358,5740,P.S. 019 Asher Levy,16
7854,7105,P.S. 019 Asher Levy,17
6210,5605,P.S. 034 Franklin D. Roosevelt,13
2403,s,P.S. 034 Franklin D. Roosevelt,s
6136,5491,P.S. 019 Asher Levy,17
15618,14750,P.S. 020 Anna Silver,19
3939,3554,The STAR Academy - P.S.63,12
12978,11875,P.S. 020 Anna Silver,21
7363,6974,P.S. 019 Asher Levy,7
2983,2723,P.S. 019 Asher Levy,8
13559,12614,P.S. 020 Anna Silver,23
8428,7690,P.S. 034 Franklin D. Roosevelt,17
7274,6512,The STAR Academy - P.S.63,20
4695,4213,P.S. 034 Franklin D. Roosevelt,18
5587,4862,P.S. 034 Franklin D. Roosevelt,22
94536,87538,P.S. 020 Anna Silver,157
10989,9821,P.S. 020 Anna Silver,31
9866,8857,P.S. 020 Anna Silver,19
4566,4096,The STAR Academy - P.S.63,12
12151,11379,P.S. 020 Anna Silver,18
5277,4886,P.S. 015 Roberto Clemente,8
3223,2883,P.S. 034 Franklin D. Roosevelt,8
33264,31186,P.S. 015 Roberto Clemente,37
13642,12838,P.S. 020 Anna Silver,19
5370,5066,P.S. 015 Roberto Clemente,6
2421,1969,P.S. 034 Franklin D. Roosevelt,17
8449,7658,P.S. 034 Franklin D. Roosevelt,15
3491,3208,P.S. 015 Roberto Clemente,6
11581,10615,P.S. 020 Anna Silver,17
6864,6214,P.S. 019 Asher Levy,15
2104,1859,P.S. 015 Roberto Clemente,7
6599,6032,The STAR Academy - P.S.63,11
10627,9691,P.S. 034 Franklin D. Roosevelt,22
5455,5127,P.S. 015 Roberto Clemente,4
11741,10988,P.S. 020 Anna Silver,16
7668,7031,P.S. 019 Asher Levy,13
7241,6557,P.S. 019 Asher Levy,19
2819,2573,P.S. 034 Franklin D. Roosevelt,7
5551,5196,P.S. 015 Roberto Clemente,6
6700,6171,P.S. 034 Franklin D. Roosevelt,9
2728,2239,P.S. 034 Franklin D. Roosevelt,12
6874,6222,P.S. 034 Franklin D. Roosevelt,21
26631,24137,The STAR Academy - P.S.63,83
