total_days,attendance,chronically_absent_1,dbn,category
4796,88.5,43.5,01M063,All Students
7468,92.4,23.3,01M019,All Students
2830,83.5,55.6,01M015,All Students
7972,91.5,26.5,01M019,All Students
5012,85.3,53.1,01M015,All Students
5448,94.8,23.5,01M015,All Students
4274,93.9,16.7,01M015,All Students
7228,91.9,31.0,01M019,All Students
3304,94.2,21.9,01M015,All Students
4512,84.6,51.9,01M015,All Students
3091,90.7,50.0,01M015,All Students
4247,93.7,19.2,01M015,All Students
7449,s,s,01M020,All Students
4163,87.8,58.6,01M034,All Students
6330,92.3,24.3,01M063,All Students
2026,87.2,52.6,01M034,All Students
4099,93.8,20.0,01M015,All Students
10575,92.9,24.2,01M034,All Students
21101,92.9,28.4,01M015,All Students
4952,91.6,33.3,01M019,All Students
1726,88.0,56.3,01M034,All Students
7601,93.7,18.2,01M019,All Students
59315,89.8,41.4,01M034,All Students
4957,93.2,24.1,01M015,All Students
2230,91.6,21.4,01M019,All Students
10680,90.4,27.9,01M034,All Students
4426,85.2,50.0,01M034,All Students
7596,91.2,34.1,01M034,All Students
16337,94.4,24.5,01M020,All Students
7254,89.1,48.9,01M034,All Students
9028,90.4,34.0,01M020,All Students
338,s,s,01M020,All Students
3140,93.3,17.2,01M019,All Students
5063,88.9,37.0,01M034,All Students
3918,86.3,62.5,01M034,All Students
61477,90.9,32.4,01M034,All Students
6881,88.1,48.8,01M034,All Students
7476,87.5,43.2,01M034,All Students
6462,93.1,27.5,01M063,All Students
3111,95.9,5.6,01M015,All Students
46335,91.4,35.1,01M019,All Students
4941,89.7,39.5,01M034,All Students
4718,87.6,54.3,01M020,All Students
3595,91.2,28.6,01M034,All Students
8241,90.9,39.6,01M019,All Students
4507,94.1,14.8,01M015,All Students
5166,92.8,33.3,01M015,All Students
54863,88.5,48.0,01M034,All Students
10336,93.6,30.2,01M020,All Students
2084,80.5,64.3,01M034,All Students
4465,84.2,60.0,01M034,All Students
2871,92.4,32.1,01M015,All Students
2844,s,s,01M015,All Students
2975,93.0,17.6,01M034,All Students
5278,94.3,15.2,01M015,All Students
5523,90.6,37.1,01M034,All Students
88007,92.4,29.6,01M020,All Students
13500,91.9,33.7,01M020,All Students
7583,92.0,37.0,01M019,All Students
4550,95.4,11.5,01M019,All Students
2990,86.6,57.9,01M034,All Students
4463,92.3,34.5,01M015,All Students
1855,89.1,36.4,01M019,All Students
5861,84.3,57.5,01M020,All Students
2981,83.3,50.0,01M034,All Students
5205,90.9,22.6,01M019,All Students
16233,94.8,15.6,01M020,All Students
71138,92.3,23.3,01M020,All Students
4233,82.1,60.7,01M034,All Students
4019,93.1,21.7,01M019,All Students
53694,91.1,37.7,01M020,All Students
7630,90.9,38.3,01M063,All Students
7174,87.4,48.5,01M020,All Students
7735,89.6,44.7,01M034,All Students
3162,92.4,30.0,01M034,All Students
7428,93.4,29.6,01M020,All Students
47382,90.5,33.5,01M019,All Students
16779,92.9,27.9,01M020,All Students
4508,90.3,31.7,01M019,All Students
4968,92.8,28.6,01M015,All Students
6528,91.0,40.0,01M063,All Students
2554,86.7,50.0,01M034,All Students
3669,86.9,63.6,01M034,All Students
4685,83.6,51.7,01M015,All Students
5519,93.6,21.9,01M015,All Students
1490,86.7,66.7,01M015,All Students
14703,91.8,28.4,01M020,All Students
4845,94.1,18.6,01M019,All Students
44723,91.1,32.8,01M019,All Students
30601,93.5,26.0,01M015,All Students
4375,88.8,39.3,01M063,All Students
3365,87.6,45.0,01M034,All Students
6358,90.3,42.1,01M019,All Students
7854,90.5,35.4,01M019,All Students
6210,90.3,36.1,01M034,All Students
2403,s,s,01M034,All Students
6136,89.5,45.9,01M019,All Students
15618,94.4,20.9,01M020,All Students
3939,90.2,34.3,01M063,All Students
12978,91.5,28.0,01M020,All Students
7363,94.7,16.3,01M019,All Students
2983,91.3,28.6,01M019,All Students
13559,93.0,28.4,01M020,All Students
8428,91.2,32.7,01M034,All Students
7274,89.5,46.5,01M063,All Students
4695,89.7,41.9,01M034,All Students
5587,87.0,43.1,01M034,All Students
94536,92.6,27.4,01M020,All Students
10989,89.4,44.3,01M020,All Students
9866,89.8,30.2,01M020,All Students
4566,89.7,44.4,01M063,All Students
12151,93.6,24.0,01M020,All Students
5277,92.6,25.0,01M015,All Students
3223,89.5,40.0,01M034,All Students
33264,93.8,18.9,01M015,All Students
13642,94.1,23.8,01M020,All Students
5370,94.3,17.1,01M015,All Students
2421,81.3,70.8,01M034,All Students
8449,90.6,30.0,01M034,All Students
3491,91.9,27.3,01M015,All Students
11581,91.7,25.4,01M020,All Students
6864,90.5,36.6,01M019,All Students
2104,88.4,46.7,01M015,All Students
6599,91.4,28.9,01M063,All Students
10627,91.2,34.4,01M034,All Students
5455,94.0,11.8,01M015,All Students
11741,93.6,22.9,01M020,All Students
7668,91.7,27.7,01M019,All Students
7241,90.6,42.2,01M019,All Students
2819,91.3,41.2,01M034,All Students
5551,93.6,18.2,01M015,All Students
6700,92.1,22.0,01M034,All Students
2728,82.1,66.7,01M034,All Students
6874,90.5,47.7,01M034,All Students
26631,90.6,33.7,01M063,All Students
