onboroughcode,onstreetname,communitydistrictleft,maintenancesector
,SANDS STREET,,0
M,BEND,112.0,0
,JOE DIMAGGIO HIGHWAY,,0
B,BROOKLYN BRIDGE,302.0,0
,WOODHAVEN BOULEVARD,,0
M,HRLM RIV DRIVE ENTRANCE NB,111.0,0
Q,HONEYWELL STREET,,0
Q,QUEENS PLAZA EAST,,0
X,LEGGETT AVENUE,,0
B,5 AVENUE,310.0,31
X,EAST  177 STREET,206.0,51
B,RAMP,302.0,57
X,HENRY HUDSON PARKWAY,,0
M,BEND,207.0,0
,PELHAM PARKWAY,,0
,MANHATTAN BRIDGE,,9
Q,GRAND AVENUE,405.0,0
Q,WHITESTONE EXPRESSWAY,,0
Q,JJ BYRNE MEM BRIDGE,402.0,0
B,BROOKLYN QNS EXPRESSWAY,,0
X,BRUCKNER BOULEVARD,,0
,THOMSON AVENUE,,0
X,NEREID AVENUE,,0
M,BKLYN BRIDGE ENTRANCE RAMP,103.0,0
X,AMTRAK RR,210.0,70
X,EAST  177 STREET,,0
M,G WASHINGTON BRIDGE,112.0,0
Q,ASTORIA BOULEVARD,403.0,0
,MANHATTAN COLLEGE PARKWAY,,30
M,QUEENSBORO BRIDGE,108.0,0
M,EAST DRIVE,,0
Q,BROOKLYN QNS EXPRESSWAY,,0
Q,SOUTH CONDUIT AVENUE,,0
B,RIDGE BOULEVARD,310.0,0
X,WASHINGTON AVENUE,203.0,0
B,BROOKLYN QNS EXPRESSWAY,302.0,0
X,3 AVENUE,201.0,0
M,FDR DRIVE ENTRANCE NB,,0
Q,WHITESTONE EXPRESSWAY,407.0,0
,35 STREET,,0
,BROOKLYN QNS EXPRESSWAY,,0
X,BRUCKNER BOULEVARD,202.0,0
M,ROOSEVELT IS BRIDGE,108.0,0
Q,GRAND CENTRL PARKWAY,401.0,0
,WEST   79 STREET,,0
B,BAY PARKWAY,,0
,WEST   35 STREET,104.0,30
M,F D R DRIVE,111.0,65
M,WEST  145 STREET,109.0,70
,BROADWAY BRIDGE,,0
,JOE DIMAGGIO HIGHWAY,,80
X,WEST KINGSBRIDGE ROAD,,0
,WOODHAVEN BOULEVARD,,0
B,SHORE PARKWAY,,0
M,F D R DRIVE,106.0,0
,WEST STREET,,0
,39 STREET,,0
,BELT PARKWAY,,0
M,HRLM RIV DRIVE ENTRANCE NB,,0
