tostreetname,inspectiondistrict,modifiedon
BROOKLYN QNS EXPRESSWAY,2.0,2015-12-03T17:54:48.000
47 STREET,3.0,2015-12-03T17:54:48.000
PCRR HARLEM DIV,41.0,2015-12-03T17:54:48.000
ROOSEVELT IS BRIDGE,,2015-12-03T17:54:48.000
BKLYN QNS EXPRESSWAY EXIT NW,3.0,2015-12-03T17:54:48.000
JOE DIMAGGIO HIGHWAY,48.0,2015-12-03T17:54:48.000
ERICSON DRIVE ENTRANCE NB,29.0,2015-12-03T17:54:48.000
AMTRAK RR,32.0,2015-12-03T17:54:48.000
PEDESTRIAN OVERPASS,,2015-12-03T17:54:48.000
AMTRAK RR,72.0,2015-12-03T17:54:48.000
,26.0,2015-12-03T17:54:48.000
HENRY HUDSON BRIDGE,,2015-12-03T17:54:48.000
METRO NORTH RR,27.0,2015-12-03T17:54:48.000
HORACE HARDING EXPRESSWAY,45.0,2015-12-03T17:54:48.000
SHORE PARKWAY ET SB,15.0,2015-12-03T17:54:48.000
FDR DRIVE EXIT,,2015-12-03T17:54:48.000
HENRY HUDSON PARKWAY NB ET    9,,2015-12-03T17:54:48.000
,6.0,2015-12-03T17:54:48.000
,23.0,2015-12-03T17:54:48.000
,,2015-12-03T17:54:48.000
