boroughname,communitydistrictright,createdon
QUEENS,,2015-12-03T17:54:48.000
STATEN ISLAND,,2015-12-03T17:54:48.000
MANHATTAN,164.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
STATEN ISLAND,,2015-12-03T17:54:48.000
BROOKLYN,310.0,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
MANHATTAN,108.0,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BRONX,202.0,2015-12-03T17:54:48.000
STATEN ISLAND,,2015-12-03T17:54:48.000
BRONX,201.0,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
QUEENS,407.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BRONX,202.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BROOKLYN,302.0,2015-12-03T17:54:48.000
STATEN ISLAND,501.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
MANHATTAN,111.0,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
QUEENS,401.0,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
MANHATTAN,12.0,2015-12-03T17:54:48.000
BRONX,1.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BROOKLYN,302.0,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
MANHATTAN,207.0,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BRONX,203.0,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
QUEENS,402.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BRONX,202.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BRONX,1.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
QUEENS,1.0,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BROOKLYN,2.0,2015-12-03T17:54:48.000
QUEENS,402.0,2015-12-03T17:54:48.000
MANHATTAN,9.0,2015-12-03T17:54:48.000
BRONX,201.0,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
MANHATTAN,101.0,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BRONX,202.0,2015-12-03T17:54:48.000
MANHATTAN,104.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
MANHATTAN,101.0,2015-12-03T17:54:48.000
STATEN ISLAND,,2015-12-03T17:54:48.000
MANHATTAN,101.0,2015-12-03T17:54:48.000
BRONX,206.0,2015-12-03T17:54:48.000
BROOKLYN,5.0,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BROOKLYN,2.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
MANHATTAN,112.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BROOKLYN,2.0,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
MANHATTAN,111.0,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
BROOKLYN,310.0,2015-12-03T17:54:48.000
BRONX,206.0,2015-12-03T17:54:48.000
BROOKLYN,302.0,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
MANHATTAN,207.0,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
QUEENS,5.0,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
QUEENS,2.0,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
MANHATTAN,103.0,2015-12-03T17:54:48.000
BRONX,210.0,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
MANHATTAN,12.0,2015-12-03T17:54:48.000
QUEENS,3.0,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
MANHATTAN,6.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BROOKLYN,310.0,2015-12-03T17:54:48.000
BRONX,203.0,2015-12-03T17:54:48.000
BROOKLYN,2.0,2015-12-03T17:54:48.000
BRONX,201.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
QUEENS,7.0,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BRONX,202.0,2015-12-03T17:54:48.000
MANHATTAN,8.0,2015-12-03T17:54:48.000
QUEENS,1.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
MANHATTAN,104.0,2015-12-03T17:54:48.000
MANHATTAN,111.0,2015-12-03T17:54:48.000
MANHATTAN,109.0,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
BRONX,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
MANHATTAN,6.0,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
QUEENS,,2015-12-03T17:54:48.000
BROOKLYN,,2015-12-03T17:54:48.000
MANHATTAN,,2015-12-03T17:54:48.000
