neighborhood_tabulation_area,total_population,number_of_free_public_wi,mobile_broadband_adoption,residential_broadband_isp,total_poles,home_broadband_adoption
MN34,61330,38,0.68,1.71,71,0.59
MN09,54801,39,0.81,1.97,65,0.75
BK35,70238,3,0.83,1.57,30,0.65
QN26,54859,1,0.87,2.45,30,0.62
BX09,55000,1,0.77,1.8,72,0.66
SI14,16417,3,0.77,1.74,17,0.77
BX39,52835,23,0.75,1.68,109,0.53
BX33,27974,0,0.77,1.78,38,0.63
QN68,18938,14,0.76,2.65,31,0.66
QN06,27296,1,0.86,1.91,11,0.71
BK46,20364,0,0.69,1.93,3,0.66
BX27,26181,1,0.76,1.71,69,0.57
BX30,33742,10,0.78,1.77,40,0.61
BK17,65167,2,0.76,1.82,36,0.77
BK29,65589,1,0.8,1.88,19,0.73
BX75,22409,0,0.79,1.72,24,0.6
MN20,49853,81,0.87,2.49,69,0.84
SI12,32780,0,0.79,1.89,42,0.64
BX98,6864,0,0.0,0.06,0,0.0
QN30,33329,1,0.82,2.67,11,0.77
MN50,22335,0,0.89,2.12,13,0.84
QN43,27643,1,0.81,1.95,18,0.79
MN12,130223,140,0.85,2.49,156,0.82
BK93,12553,0,0.63,1.19,1,0.63
BK91,51633,6,0.77,1.93,35,0.73
MN24,43835,35,0.88,1.81,158,0.82
QN22,68600,3,0.72,2.39,70,0.47
MN15,52941,44,0.85,2.3,53,0.8
QN99,67,0,0.57,0.73,22,1.0
MN99,2033,0,0.0,0.87,115,0.0
QN54,65274,23,0.85,1.94,57,0.75
BX62,44715,1,0.78,2.04,47,0.59
BX31,31097,0,0.82,1.94,41,0.71
QN56,23966,1,0.84,1.94,17,0.81
MN36,91865,34,0.8,1.49,60,0.67
QN17,87668,25,0.82,2.06,47,0.77
QN20,76103,1,0.85,2.17,47,0.75
SI28,19293,0,0.71,1.91,33,0.67
QN42,29840,0,0.82,1.98,27,0.78
BX41,54076,16,0.82,1.68,64,0.57
BX07,38814,0,0.77,1.89,36,0.59
QN57,28313,1,0.73,1.88,11,0.77
QN18,28213,4,0.78,2.04,18,0.73
BX36,57214,7,0.8,1.69,70,0.59
SI08,21480,0,0.77,1.94,37,0.61
BK76,34554,7,0.86,1.86,17,0.76
BX05,58354,14,0.85,1.82,63,0.6
MN06,23769,15,0.77,1.45,19,0.68
BK34,64170,0,0.77,2.58,19,0.64
BK30,43840,2,0.8,2.65,10,0.75
BK88,99534,1,0.54,1.66,51,0.43
BX37,28214,1,0.77,1.85,57,0.59
MN27,42766,21,0.7,1.54,68,0.57
BX17,44166,3,0.77,1.86,63,0.54
SI54,41724,0,0.81,1.98,60,0.79
BK64,22301,13,0.89,2.27,16,0.87
BK75,79075,5,0.77,1.94,34,0.6
BK42,104103,8,0.79,1.57,45,0.69
BX46,30318,1,0.82,1.82,17,0.73
QN21,41442,0,0.81,2.59,29,0.77
QN02,27046,2,0.82,1.95,5,0.62
QN48,20240,1,0.79,1.96,32,0.76
MN40,54413,51,0.89,2.48,125,0.86
BK27,33580,1,0.82,1.86,19,0.75
QN37,37538,0,0.8,1.87,27,0.74
BK37,74137,28,0.91,2.39,54,0.86
BK63,39594,8,0.77,1.63,23,0.68
BX29,31123,1,0.79,1.86,36,0.75
BK38,46573,109,0.86,2.04,72,0.81
SI45,21208,15,0.75,1.98,22,0.77
BK41,34898,1,0.78,1.58,13,0.73
BK78,72809,2,0.79,1.85,32,0.61
BK43,53408,0,0.73,1.85,21,0.67
MN03,86144,60,0.78,1.78,55,0.67
QN44,24631,0,0.79,2.2,17,0.75
BX03,38367,1,0.78,1.95,53,0.63
BK60,67938,9,0.74,1.8,39,0.66
QN07,20714,1,0.85,1.97,9,0.59
BK61,111782,28,0.81,1.64,69,0.67
BK28,89889,0,0.81,1.83,28,0.72
SI22,31284,1,0.72,1.95,62,0.62
BK50,88884,1,0.82,1.93,43,0.79
QN70,74094,50,0.83,2.66,32,0.78
QN15,57757,6,0.73,2.02,8,0.65
BX55,36454,0,0.79,1.85,40,0.6
QN72,47234,1,0.83,2.7,48,0.8
BK99,328,0,0.98,1.16,11,0.88
BX35,41100,4,0.78,1.85,41,0.61
BK72,33828,0,0.38,1.93,13,0.24
MN23,65393,35,0.9,2.15,168,0.86
MN19,50121,108,0.9,2.35,88,0.87
BK90,36587,18,0.83,2.11,18,0.73
BX06,28962,1,0.81,1.77,36,0.59
QN50,23789,10,0.85,2.64,11,0.76
BK33,43647,6,0.85,1.86,38,0.81
BX99,693,0,0.83,0.96,36,0.76
BK44,41116,0,0.75,1.98,23,0.77
BK21,31120,30,0.61,1.83,20,0.55
BX26,38629,1,0.79,1.67,54,0.57
BX34,42877,24,0.77,1.83,59,0.58
MN04,52510,53,0.82,1.58,67,0.76
MN22,42950,54,0.87,1.96,49,0.68
BX22,28157,0,0.79,1.83,29,0.77
QN51,50102,0,0.74,2.0,49,0.61
QN12,42665,2,0.82,1.72,5,0.67
QN49,31749,1,0.8,1.91,45,0.76
MN25,46466,51,0.94,2.12,144,0.91
BK96,54956,1,0.77,1.87,43,0.67
BX10,27262,1,0.78,1.86,43,0.71
SI48,26887,0,0.84,1.98,25,0.81
QN03,22196,0,0.85,1.8,25,0.56
BX13,46725,1,0.72,1.5,30,0.66
MN01,52529,1,0.78,1.65,23,0.65
BK68,32376,21,0.82,2.0,26,0.78
BK09,23758,20,0.88,2.41,32,0.86
QN19,35677,1,0.83,1.96,17,0.77
BK79,36805,5,0.85,1.47,20,0.65
QN47,21990,1,0.78,1.61,21,0.76
BX43,40032,1,0.79,1.73,51,0.63
BK25,44817,0,0.77,1.95,16,0.75
MN28,68838,0,0.68,1.77,94,0.48
MN13,77490,110,0.87,2.22,151,0.83
BX14,64459,2,0.77,1.79,78,0.6
QN01,43789,1,0.83,1.94,29,0.66
BX08,35319,1,0.76,1.79,34,0.6
QN33,21032,1,0.82,2.01,29,0.76
QN55,80664,1,0.84,1.93,48,0.76
MN31,82085,43,0.88,2.2,88,0.85
QN53,60377,15,0.83,2.07,33,0.77
BK19,34814,1,0.69,1.86,13,0.67
BK82,99982,5,0.83,1.9,77,0.7
QN46,42718,1,0.82,1.94,66,0.8
