density_of_poles_reserved,mobile_broadband_adoption_1,percentage_of_blocks_without_1,commercial_fiber_max_isp,no_broadband_percentage_of,number_of_public_computer_1
173.61,High Connected,Low,10,0.04,45
40.17,Low Connected,High,3,0.26,178
90.28,Medium High Connected,Low,5,0.15,108
27.88,High Connected,High,3,0.14,25
43.53,Medium High Connected,Medium High,4,0.17,177
14.01,Medium High Connected,Medium High,3,0.13,24
73.47,Medium High Connected,Medium High,4,0.19,51
7.18,Medium High Connected,Medium Low,4,0.11,44
36.75,Medium Low Connected,Medium High,4,0.19,20
121.05,High Connected,Low,8,0.05,236
27.76,Low Connected,Medium High,4,0.15,96
37.3,Medium High Connected,Medium Low,4,0.19,152
43.37,Medium Low Connected,Medium High,3,0.13,67
126.83,High Connected,Low,6,0.09,177
51.47,Low Connected,Medium Low,5,0.26,180
13.39,High Connected,Medium High,3,0.13,12
11.87,High Connected,Low,2,0.15,21
33.93,High Connected,Medium Low,3,0.12,52
24.05,High Connected,Medium Low,2,0.18,25
27.41,Low Connected,Medium Low,3,0.27,0
91.07,Medium Low Connected,Medium High,3,0.18,63
17.59,Medium High Connected,Medium High,3,0.1,0
16.41,Low Connected,Medium High,4,0.17,35
29.73,High Connected,Medium High,4,0.13,80
22.71,Medium High Connected,Medium Low,4,0.11,67
16.18,Medium High Connected,High,3,0.11,74
67.21,Medium Low Connected,Medium Low,4,0.22,104
