total_population,density_of_poles_reserved,public_wi_fi_in_nyc_count,reserved_poles,total_number_of_households,number_of_public_computer,no_broadand_by_quartiles
21990,12.65,2,5,10076,3,Medium Low
0,0.0,0,0,0,0,Low
28962,73.47,1,13,9147,1,Medium High
49945,90.38,69,10,20143,2,Medium Low
27643,9.09,7,12,8243,2,Low
58354,116.67,23,16,19667,3,Medium High
28004,4.76,17,5,11056,3,Medium High
41100,67.21,6,5,14838,5,High
53408,16.41,1,5,18495,2,Medium High
20166,24.21,7,9,5861,1,High
48738,20.2,10,13,14955,2,Medium High
28366,108.7,9,1,9038,0,High
17349,16.57,1,11,6157,1,Medium High
35190,84.75,4,8,11201,3,High
68600,51.47,6,27,26035,5,High
67938,34.51,20,16,27558,3,High
50658,65.22,4,19,18219,3,Medium Low
65589,14.84,2,10,22406,2,Medium High
28355,44.23,12,12,10034,0,High
20240,26.02,1,18,7046,1,Low
77490,113.53,156,32,44426,5,Low
27296,7.19,1,7,9424,1,Low
130223,126.83,143,19,63305,5,Low
36454,68.97,0,5,11763,0,High
39594,40.35,11,9,13171,0,Medium High
38367,36.81,9,12,12133,2,Medium High
67,1.97,12,11,14,1,Low
78459,59.18,14,1,41439,2,Low
99982,18.33,15,42,35454,8,Medium High
28214,43.85,7,7,9448,3,Medium High
328,1.34,27,4,167,1,Low
33828,30.95,1,4,8144,2,High
44166,91.3,10,11,15502,4,High
32780,13.17,0,13,10152,2,High
30318,51.52,1,2,12697,2,Low
65274,31.15,29,31,17234,2,Medium Low
25400,5.71,2,6,9792,3,Medium Low
57757,4.12,11,6,17382,6,Medium High
52510,115.52,63,11,19391,2,Medium Low
80664,16.22,2,27,21409,2,Low
64459,120.0,6,16,22602,2,High
27974,100.0,4,13,9412,2,High
82085,114.29,52,4,42062,6,Low
64170,19.59,0,3,18783,1,High
67724,50.77,3,24,22792,3,High
26680,6.79,1,7,7862,1,Low
52941,80.3,46,0,30512,3,Low
51633,28.46,7,18,18567,2,Medium High
21032,24.37,1,19,6264,1,Low
46466,211.76,52,7,22194,2,Low
54518,5.22,1,7,14865,1,Low
38814,66.67,1,8,14429,5,Medium High
52529,35.94,2,3,19828,4,Medium High
32376,44.07,46,8,13905,3,Medium Low
23694,33.93,7,14,10527,3,Medium Low
28213,25.0,7,4,12404,3,Medium Low
46725,20.98,1,4,19821,3,High
91865,72.29,48,19,30516,6,Medium High
23758,88.89,27,8,11150,2,Low
21870,19.74,1,5,7729,1,Medium Low
57146,37.5,1,21,16418,2,Medium High
56384,37.08,10,9,19684,2,Medium High
32077,11.01,3,18,11238,2,Low
45634,27.76,10,21,16692,4,Medium High
86144,60.44,101,9,34734,13,Medium High
22409,40.68,0,5,8093,1,High
104103,27.78,9,19,38759,6,Medium High
98046,33.14,25,33,35033,3,Medium Low
44817,14.81,1,6,15744,3,Medium Low
31123,43.37,1,5,13544,2,Medium Low
60377,24.81,19,12,16680,2,Low
65167,15.86,18,11,25483,4,Medium Low
24750,10.5,1,7,7783,1,High
70238,26.55,6,11,27231,6,Medium High
50121,141.94,111,5,29022,4,Low
43789,20.28,7,13,12335,4,Medium High
49853,132.69,82,9,26537,2,Low
26181,38.76,3,21,8720,2,High
22759,20.0,3,3,9259,1,Low
43647,23.75,26,15,18153,4,Low
25274,20.75,4,7,8214,2,High
52835,72.67,41,26,19355,7,High
23834,12.81,1,19,8238,1,Medium Low
54859,46.15,2,17,12187,5,Medium High
36805,27.78,13,3,13968,2,High
37849,24.05,17,26,11218,2,Medium High
61330,80.68,65,24,25181,9,High
28444,44.19,1,9,9335,1,Medium High
82536,30.77,39,23,26346,3,Medium High
28293,35.71,0,6,10676,1,High
30294,8.04,1,4,11421,2,Medium High
42718,22.76,1,24,15234,1,Low
72175,30.86,25,6,26316,1,Medium Low
38629,91.53,2,17,13757,4,High
89889,16.77,0,13,29960,1,Medium Low
54754,43.53,25,45,16045,5,Medium High
41942,20.79,16,12,15749,1,Medium Low
693,4.55,34,13,265,0,Medium High
28157,16.48,2,2,11121,3,Medium Low
79075,29.06,11,8,27263,5,High
46179,6.83,2,5,16052,1,Low
53266,21.23,18,6,16357,2,Medium High
68838,111.9,7,2,31824,10,High
26447,13.33,20,15,8787,1,Medium High
111782,37.3,44,21,48089,9,Medium High
12553,2.38,0,0,6602,1,High
42766,130.77,29,4,18226,3,High
33742,85.11,11,9,11139,0,Medium High
42877,95.16,27,22,14837,5,High
72809,22.22,9,3,27431,8,High
16417,11.56,3,8,5667,2,Medium Low
35677,15.74,1,12,12077,1,Medium Low
87668,22.71,30,17,39427,5,Low
22335,65.0,0,0,10501,0,Low
31284,30.85,18,18,12036,4,High
26887,13.81,0,3,9054,0,Low
33329,8.59,1,8,10943,2,Medium Low
43840,9.35,7,4,14543,2,Medium Low
50102,26.06,6,16,17604,1,High
23789,13.92,12,4,7686,0,Medium Low
41724,18.69,2,16,15081,2,Low
40032,91.07,11,11,14539,3,Medium High
57774,27.88,40,5,25403,2,Medium Low
42160,6.04,5,19,13749,3,Medium Low
41116,23.47,1,7,14744,2,Medium Low
27046,4.9,5,4,10606,5,High
34814,20.97,1,7,14441,3,High
54413,173.61,54,11,27065,1,Low
78892,16.18,8,4,33164,5,Low
29801,17.59,5,23,10263,0,Low
24516,18.94,8,8,8797,1,Medium Low
54801,90.28,42,17,19599,6,Medium Low
19500,3.0,5,3,6677,2,Low
21480,27.41,0,13,7866,0,High
20364,4.69,0,1,6636,0,Medium High
54076,120.75,21,19,17861,2,High
23966,18.89,1,7,6955,1,Low
53151,11.87,20,24,15891,1,Medium High
55000,38.71,3,15,19516,5,Medium High
20485,15.42,4,11,7889,0,Medium High
19293,25.19,1,6,6491,2,Medium High
37538,19.85,1,8,12905,2,Medium Low
34898,22.81,2,0,12079,1,Medium High
