ntaname2010,comp2020,filed
Greenpoint,695.0,1105.0
Whitestone-Beechhurst,32.0,28.0
Soundview-Bruckner-Bronx River,74.0,16.0
Greenwich Village,62.0,67.0
Corona,44.0,19.0
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,166.0,1336.0
Central Park,0.0,0.0
Williamsburg,497.0,544.0
University Heights (South)-Morris Heights,70.0,475.0
Pelham Bay Park,0.0,0.0
Murray Hill-Kips Bay,-5.0,274.0
Clinton Hill,97.0,20.0
Flatbush (West)-Ditmas Park-Parkville,47.0,26.0
Yankee Stadium-Macombs Dam Park,0.0,0.0
Williamsbridge-Olinville,131.0,303.0
Prospect Heights,58.0,65.0
Cypress Hills,113.0,695.0
Dyker Heights,5.0,11.0
Morningside Heights,263.0,0.0
Tremont,66.0,831.0
Hamilton Heights-Sugar Hill,5.0,90.0
Park Slope,146.0,-7.0
Van Cortlandt Park,0.0,0.0
Allerton,32.0,153.0
Pelham Bay-Country Club-City Island,8.0,42.0
Upper West Side-Lincoln Square,9.0,78.0
Mount Hebron & Cedar Grove Cemeteries,0.0,0.0
Upper East Side-Lenox Hill-Roosevelt Island,316.0,152.0
Brooklyn Navy Yard,0.0,0.0
Washington Heights (North),-24.0,170.0
Rego Park,0.0,20.0
Co-op City,0.0,6.0
Calvert Vaux Park,0.0,0.0
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,29.0,47.0
Bushwick (West),400.0,312.0
Parkchester,20.0,24.0
Melrose,197.0,34.0
Astoria Park,0.0,0.0
Murray Hill-Broadway Flushing,109.0,50.0
Glendale,-12.0,19.0
Brooklyn Heights,152.0,419.0
Norwood,27.0,326.0
Harlem (South),257.0,132.0
Lincoln Terrace Park,0.0,0.0
East Flushing,33.0,24.0
Sunset Park (West),129.0,69.0
Inwood,24.0,181.0
Upper East Side-Carnegie Hill,-13.0,100.0
Coney Island-Sea Gate,139.0,320.0
Ferry Point Park-St. Raymond Cemetery,0.0,0.0
Brownsville,196.0,507.0
Fort Totten,0.0,0.0
Gravesend (West),15.0,32.0
Chinatown-Two Bridges,4.0,73.0
West Village,7.0,111.0
Crotona Park,0.0,0.0
Kingsbridge-Marble Hill,-2.0,169.0
Bushwick (East),319.0,88.0
East Elmhurst,47.0,4.0
East Midtown-Turtle Bay,1.0,1101.0
North & South Brother Islands,0.0,0.0
West Farms,395.0,74.0
Jamaica Estates-Holliswood,68.0,145.0
Woodlawn Cemetery,0.0,0.0
Soundview Park,0.0,0.0
