dbn,school_name,school_pupil_teacher_ratio
01M019,PS 019 ASHER LEVY,6.2
02M933,CITY KNOLL MIDDLE SCHOOL,12.3
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,16.2
03M334,THE ANDERSON SCHOOL,20.5
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",13.0
02M298,PACE HIGH SCHOOL,14.1
02M114,EAST SIDE MIDDLE SCHOOL,15.5
03M199,PS 199 JESSIE ISADOR STRAUS,17.2
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",14.3
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,14.1
02M282,URBAN ASSEMBLY MAKER ACADEMY,13.6
02M560,HIGH SCHOOL M560 - CITY AS SCHOOL,15.2
01M458,FORSYTH SATELLITE ACADEMY,12.2
02M519,TALENT UNLIMITED HIGH SCHOOL,15.4
01M361,THE CHILDREN'S WORKSHOP SCHOOL,13.8
03M258,COMMUNITY ACTION SCHOOL - MS 258,12.0
02M290,PS 290 MANHATTAN NEW SCHOOL,16.4
02M412,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,12.7
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,11.1
02M303,"FACING HISTORY SCHOOL, THE",11.9
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",18.2
03M247,MS M247 DUAL LANGUAGE MIDDLE SCHOOL,9.5
02M150,PS 150,16.9
02M212,PS 212 MIDTOWN WEST,18.3
02M527,PS 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,14.3
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,7.7
03M417,FRANK MCCOURT HIGH SCHOOL,15.4
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,15.5
04M037,RIVER EAST ELEMENTARY,9.7
03M404,INNOVATION DIPLOMA PLUS,14.2
02M255,MS 255 SALK SCHOOL OF SCIENCE,15.7
03M242,PS 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,8.2
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",14.1
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,11.5
02M543,NEW DESIGN HIGH SCHOOL,10.9
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,15.1
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",15.4
02M033,PS 033 CHELSEA PREP,17.7
03M291,WEST END SECONDARY SCHOOL OF URBAN STUDIES,14.4
02M167,JHS 167 ROBERT F WAGNER,15.5
